	State of the Vending Industry Report” httpwwwvendingmarketwatchcomcontentreports accessed	National Automatic Merchandising Association “Comments of The National Automatic Merchandising Association” Docket No	Business Administration “Table of Small Business Size Standards Matched to North American Industry Classification System Codes” Effective	Operators Find Todayaposs Patrons Favor aposBetterForYouapos Food Selections In	Is the Obesity Epidemic a Public Health Problem A Decade	Strategies for Promoting Healthier Food Choices” American Economic Review Papers and Proceedings	Doing it Now or	Will all Americans Become Overweight or Obese Estimating the Progression and	Prevalence of Overweight Obesity and Extreme Obesity Among Adults United States	The Effect of Obesity and Cardiometabolic Risk Factor on Expenditures and Productivity in the US” Obesity	Social Network and Weight Misperception Among Adolescents” Southern Economic Journal Forthcoming	Size Matters The Influence of Adolescent’s Weight and	Body Weight SelfPerception and Mental Health among	The Impact of Obesity on	Annual Medical Spending Attributable to Obesity Payer	The Growth of Obesity and Technological Change A Theoretical and Empirical Examination”	The LongRun Growth in Obesity as a Function of Technological Change”	An Economic Analysis of Adult Obesity Results from the Behavioral Risk Factor Surveillance System”	A Pricing Strategy to Promote LowFat Snack Choices through Vending Machines”	Department of Agriculture Economic Research Service “Table 15 Sales of meals and snacks away from home by type of outlet” Food CPI and Expenditures Food Expenditure Tables httpwwwersusdagovBriefingCPIFoodAndExpendituresData Accessed 1082010	Testing Laboratory “Quality Nutrition Analysis” httpwwwrlfoodtestinglaboratorycomservicesasp accessed	Evaluation of Recordkeeping Costs for Food Manufacturers Final Report” Prepared for Andy Estrin and Cristina McLaughlin of FDAaposs Center for Food Safety and Applied Nutrition Prepared by Aylin Sertkaya Ayesha Berlind and Seda Erdem Contract No 223012461 Task Order Number 5	City’s Soda Cost Millions Monthly Tax on Soft Drinks	Taxing Food Implications for Public	Ounces of Prevention — The Public Policy Case for Taxes on Sugared Beverages” New England	The Effects of Soft Drink Taxes on Child and Adolescent Consumption and Weight Outcomes”	Schoolchildren’s Consumption of Competitive Foods and Beverages Excluding à la	Choose Beverages and Foods to Moderate your Intake of Sugars Measurement Requires Quantification	Measuring the Health of the US	ObesityRelated QualityAdusted Life Years Lost in the US from 19932008”	Trends in QualityAdjusted LifeYears Lost Contributed by Smoking and Obesity”	Statistical Abstract of the United States	Separating what We Eat from where	Calorie Labeling And Food Choices A First Look At The Effects On LowIncome People In New York City	Adolescent Fast Food and Restaurant Ordering Behavior with and without Calorie and Fat Content Menu Information”	Do Nutrition Labels Improve Dietary Outcomes	Mandatory Menu Labeling in One FastFood Chain in King County	Child and Adolescent FastFood Choice and the Influence of Calorie Labeling	Nutrition Menu Labeling May Lead to LowerCalorie Restaurant Meal Choices for Children Pediatrics	Modeling weightloss maintenance to help prevent body weight regain”	School Vending Machine Use and FastFood Restaurant Use Are Associated with Sugar Sweetened Beverage Intake in Youth”
Quality Nutrition Analysis	0.8571428571428571	0.859504132231405	0.8723404255319149	0.8481012658227848	0.8214285714285714	0.8469387755102041	0.8076923076923077	0.8421052631578947	0.7721518987341772	0.8504672897196262	0.8367346938775511	0.8363636363636363	0.78	0.8846153846153846	0.7735849056603774	0.8651685393258427	0.8142857142857143	0.83	0.8333333333333334	0.9262295081967213	0.7523809523809524	0.9133574007220217	0.7777777777777778	0.7428571428571429	0.8817204301075269	0.8555555555555555	0.8271604938271605	0.875	0.8666666666666667	0.8055555555555556	0.7692307692307693	0.7317073170731707	0.8484848484848485	0.8775510204081632	0.868421052631579	0.7954545454545454	0.8333333333333334	0.8513513513513513	0.8229166666666666	0.8405797101449275	0.8728813559322034
Table of Small Business Size Standards Matched to North American Industry Classification System Codes	0.8217821782178217	0.7355371900826446	0.28368794326241137	0.7920792079207921	0.8118811881188119	0.8118811881188119	0.8910891089108911	0.7722772277227723	0.7425742574257426	0.8037383177570093	0.8811881188118812	0.7821782178217822	0.7920792079207921	0.8316831683168316	0.7722772277227723	0.7821782178217822	0.7920792079207921	0.8217821782178217	0.8316831683168316	0.7745901639344263	0.8571428571428571	0.8014440433212996	0.7821782178217822	0.8217821782178217	0.8316831683168316	0.7920792079207921	0.8415841584158416	0.8118811881188119	0.8217821782178217	0.801980198019802	0.7623762376237624	0.7722772277227723	0.8217821782178217	0.8415841584158416	0.7982456140350878	0.801980198019802	0.7920792079207921	0.7821782178217822	0.8217821782178217	0.7722772277227723	0.8305084745762712
The Growth of Obesity and Technological Change A Theoretical and Empirical Examination	0.8461538461538461	0.768595041322314	0.7588652482269503	0.8488372093023255	0.7325581395348837	0.8061224489795918	0.8953488372093024	0.8023255813953488	0.8023255813953488	0.6448598130841121	0.8061224489795918	0.7790697674418605	0.7558139534883721	0.7906976744186046	0.8023255813953488	0.033707865168539325	0.6627906976744186	0.83	0.813953488372093	0.819672131147541	0.780952380952381	0.8303249097472925	0.8023255813953488	0.8255813953488372	0.7849462365591398	0.7555555555555555	0.8255813953488372	0.7604166666666666	0.8488372093023255	0.8255813953488372	0.813953488372093	0.8023255813953488	0.813953488372093	0.7959183673469388	0.7368421052631579	0.8255813953488372	0.7790697674418605	0.7790697674418605	0.7708333333333334	0.7906976744186046	0.7542372881355932
Strategies for Promoting Healthier Food Choices	0.7692307692307693	0.7851239669421488	0.8297872340425532	0.7341772151898734	0.7321428571428571	0.5204081632653061	0.7872340425531915	0.7763157894736842	0.7848101265822784	0.8037383177570093	0.7755102040816326	0.8181818181818182	0.82	0.851063829787234	0.8301886792452831	0.797752808988764	0.7857142857142857	0.77	0.6794871794871795	0.8688524590163934	0.8095238095238095	0.8844765342960289	0.7962962962962963	0.7446808510638298	0.8172043010752689	0.7666666666666667	0.7654320987654321	0.8020833333333334	0.6808510638297872	0.7916666666666666	0.8076923076923077	0.723404255319149	0.723404255319149	0.7959183673469388	0.7982456140350878	0.8297872340425532	0.7833333333333333	0.7702702702702703	0.7395833333333334	0.8115942028985508	0.8135593220338984
Taxing Food Implications for Public Health Nutrition	0.8351648351648352	0.7520661157024794	0.8085106382978723	0.7215189873417721	0.7321428571428571	0.7755102040816326	0.8076923076923077	0.7631578947368421	0.7848101265822784	0.7850467289719626	0.7653061224489796	0.8363636363636363	0.7307692307692307	0.6923076923076923	0.8679245283018868	0.7752808988764045	0.8	0.81	0.7948717948717948	0.8729508196721312	0.7904761904761904	0.8700361010830325	0.7962962962962963	0.3269230769230769	0.7849462365591398	0.8	0.8271604938271605	0.71875	0.7884615384615384	0.8194444444444444	0.8076923076923077	0.7884615384615384	0.8076923076923077	0.7551020408163265	0.7631578947368421	0.8269230769230769	0.8	0.7702702702702703	0.7708333333333334	0.782608695652174	0.8050847457627118
ObesityRelated QualityAdjusted Life Years Lost in the US from 19932008	0.8351648351648352	0.8264462809917356	0.7801418439716312	0.8354430379746836	0.7714285714285715	0.7959183673469388	0.8857142857142857	0.8289473684210527	0.8354430379746836	0.7476635514018691	0.8061224489795918	0.8428571428571429	0.8285714285714286	0.8428571428571429	0.8142857142857143	0.8202247191011236	0.9	0.8	0.8333333333333334	0.860655737704918	0.7619047619047619	0.855595667870036	0.7714285714285715	0.8142857142857143	0.8064516129032258	0.8222222222222222	0.8518518518518519	0.78125	0.7571428571428571	0.05555555555555555	0.5769230769230769	0.7428571428571429	0.7714285714285715	0.7857142857142857	0.7807017543859649	0.8142857142857143	0.8142857142857143	0.8243243243243243	0.7708333333333334	0.8714285714285714	0.7966101694915254
Size Matters The Influence of Adolescent�s Weight and Height on Dating and Sex	0.7912087912087912	0.7520661157024794	0.75177304964539	0.8607594936708861	0.7692307692307693	0.7653061224489796	0.8974358974358975	0.7948717948717948	0.8227848101265823	0.7757009345794392	0.7142857142857143	0.358974358974359	0.7307692307692307	0.782051282051282	0.7948717948717948	0.7640449438202247	0.8205128205128205	0.78	0.8717948717948718	0.8319672131147541	0.8	0.8303249097472925	0.8076923076923077	0.8461538461538461	0.7849462365591398	0.7	0.7654320987654321	0.7916666666666666	0.7948717948717948	0.8461538461538461	0.8333333333333334	0.7564102564102564	0.8076923076923077	0.8061224489795918	0.7543859649122807	0.7948717948717948	0.7564102564102564	0.782051282051282	0.7916666666666666	0.7692307692307693	0.7627118644067796
The Economics of Childhood Obesity	0.8351648351648352	0.8347107438016529	0.8581560283687943	0.8227848101265823	0.75	0.826530612244898	0.8235294117647058	0.7763157894736842	0.810126582278481	0.7383177570093458	0.8469387755102041	0.7636363636363637	0.86	0.6176470588235294	0.7358490566037735	0.797752808988764	0.7857142857142857	0.79	0.7948717948717948	0.889344262295082	0.8476190476190476	0.9169675090252708	0.8333333333333334	0.8571428571428571	0.8172043010752689	0.7222222222222222	0.7654320987654321	0.84375	0.7647058823529411	0.8611111111111112	0.7307692307692307	0.8048780487804879	0.8823529411764706	0.8163265306122449	0.8508771929824561	0.8409090909090909	0.8	0.7567567567567568	0.8229166666666666	0.7971014492753623	0.8559322033898306
The Impact of Obesity on Wages	0.8241758241758241	0.859504132231405	0.8581560283687943	0.8227848101265823	0.7678571428571429	0.8163265306122449	0.8333333333333334	0.75	0.7468354430379747	0.7757009345794392	0.8367346938775511	0.7090909090909091	0.78	0.2	0.7735849056603774	0.7640449438202247	0.7	0.81	0.8076923076923077	0.9098360655737705	0.8476190476190476	0.927797833935018	0.7777777777777778	0.8285714285714286	0.8279569892473119	0.7666666666666667	0.7530864197530864	0.8333333333333334	0.8	0.8333333333333334	0.782051282051282	0.6829268292682927	0.8484848484848485	0.8571428571428571	0.8596491228070176	0.7272727272727273	0.8166666666666667	0.8108108108108109	0.84375	0.7971014492753623	0.8559322033898306
Doing it Now or Later	0.8461538461538461	0.859504132231405	0.8936170212765957	0.8354430379746836	0.8392857142857143	0.8469387755102041	0.2857142857142857	0.8289473684210527	0.8354430379746836	0.8691588785046729	0.8469387755102041	0.8545454545454545	0.82	0.8333333333333334	0.7735849056603774	0.8651685393258427	0.8285714285714286	0.85	0.8205128205128205	0.930327868852459	0.8571428571428571	0.9386281588447654	0.7962962962962963	0.7142857142857143	0.8494623655913979	0.8666666666666667	0.8518518518518519	0.8541666666666666	0.7333333333333333	0.8333333333333334	0.8461538461538461	0.7804878048780488	0.696969696969697	0.8469387755102041	0.8508771929824561	0.75	0.8166666666666667	0.8108108108108109	0.8333333333333334	0.7971014492753623	0.864406779661017
The Economics of Immediate Gratification	0.8131868131868132	0.7851239669421488	0.8085106382978723	0.7848101265822784	0.7857142857142857	0.8163265306122449	0.825	0.7631578947368421	0.8227848101265823	0.7476635514018691	0.8163265306122449	0.7636363636363637	0.8	0.625	0.8490566037735849	0.7415730337078652	0.7428571428571429	0.75	0.8205128205128205	0.8729508196721312	0.8380952380952381	0.9025270758122743	0.8518518518518519	0.8	0.7956989247311828	0.7555555555555555	0.7654320987654321	0.7395833333333334	0.825	0.8472222222222222	0.8076923076923077	0.8780487804878049	0.8	0.826530612244898	0.8157894736842105	0.8181818181818182	0.7833333333333333	0.7837837837837838	0.8125	0.8115942028985508	0.8220338983050848
Mandatory Menu Labeling in One FastFood Chain in King County Washington	0.8461538461538461	0.743801652892562	0.7801418439716312	0.759493670886076	0.8309859154929577	0.7448979591836735	0.8450704225352113	0.8026315789473685	0.7974683544303798	0.7663551401869159	0.7346938775510204	0.8169014084507042	0.7464788732394366	0.8169014084507042	0.7605633802816901	0.7752808988764045	0.8169014084507042	0.79	0.7948717948717948	0.8319672131147541	0.7904761904761904	0.8303249097472925	0.7746478873239436	0.7746478873239436	0.7741935483870968	0.7888888888888889	0.8395061728395061	0.7916666666666666	0.7887323943661971	0.875	0.8076923076923077	0.7746478873239436	0.7887323943661971	0.7346938775510204	0.7192982456140351	0.7605633802816901	0.15492957746478872	0.7702702702702703	0.6770833333333334	0.8028169014084507	0.7372881355932204
The Economics of Obesity	0.8791208791208791	0.8677685950413223	0.8865248226950354	0.8607594936708861	0.8035714285714286	0.8367346938775511	0.8333333333333334	0.8026315789473685	0.8227848101265823	0.7850467289719626	0.8571428571428571	0.7636363636363637	0.86	0.4583333333333333	0.7547169811320755	0.8426966292134831	0.8	0.8	0.8461538461538461	0.9180327868852459	0.8761904761904762	0.9386281588447654	0.8518518518518519	0.7142857142857143	0.8494623655913979	0.8111111111111111	0.8271604938271605	0.8645833333333334	0.8333333333333334	0.875	0.7948717948717948	0.7804878048780488	0.9090909090909091	0.8367346938775511	0.9035087719298246	0.8181818181818182	0.8166666666666667	0.8108108108108109	0.8645833333333334	0.8260869565217391	0.8898305084745762
Separating what We Eat from where Measuring the Effect of Food Away from Home on Diet	0.8351648351648352	0.7851239669421488	0.7588652482269503	0.788235294117647	0.8117647058823529	0.8163265306122449	0.8705882352941177	0.788235294117647	0.8235294117647058	0.794392523364486	0.7755102040816326	0.7529411764705882	0.7529411764705882	0.8235294117647058	0.8117647058823529	0.8202247191011236	0.8	0.81	0.7764705882352941	0.8114754098360656	0.8	0.8194945848375451	0.8	0.8235294117647058	0.8494623655913979	0.8333333333333334	0.8823529411764706	0.8229166666666666	0.7529411764705882	0.788235294117647	0.8235294117647058	0.7764705882352941	0.611764705882353	0.6938775510204082	0.7631578947368421	0.8117647058823529	0.7294117647058823	0.7411764705882353	0.78125	0.788235294117647	0.7457627118644068
Social Dynamics of Obesity	0.8681318681318682	0.8677685950413223	0.8865248226950354	0.8481012658227848	0.8392857142857143	0.8469387755102041	0.7692307692307693	0.8026315789473685	0.8227848101265823	0.822429906542056	0.826530612244898	0.7636363636363637	0.84	0.5769230769230769	0.7169811320754716	0.8539325842696629	0.8428571428571429	0.85	0.8205128205128205	0.9221311475409836	0.8666666666666667	0.924187725631769	0.8148148148148148	0.7428571428571429	0.8709677419354839	0.8444444444444444	0.8148148148148148	0.8645833333333334	0.8	0.8472222222222222	0.7948717948717948	0.6829268292682927	0.8484848484848485	0.826530612244898	0.8947368421052632	0.7954545454545454	0.7833333333333333	0.8108108108108109	0.8333333333333334	0.8260869565217391	0.8813559322033898
School Vending Machine Use and FastFood Restaurant Use Are Associated with Sugar Sweetened Beverage Intake in Youth	0.7913043478260869	0.8181818181818182	0.8085106382978723	0.782608695652174	0.8173913043478261	0.7739130434782608	0.8956521739130435	0.7739130434782608	0.782608695652174	0.8	0.7739130434782608	0.782608695652174	0.7913043478260869	0.8869565217391304	0.7913043478260869	0.7652173913043478	0.7913043478260869	0.8173913043478261	0.7304347826086957	0.7950819672131147	0.8521739130434782	0.776173285198556	0.8260869565217391	0.8434782608695652	0.7217391304347827	0.7913043478260869	0.6869565217391305	0.7130434782608696	0.8347826086956521	0.808695652173913	0.782608695652174	0.782608695652174	0.8173913043478261	0.7652173913043478	0.7652173913043478	0.8260869565217391	0.7565217391304347	0.6956521739130435	0.7565217391304347	0.7565217391304347	0.025423728813559324
Measuring the Health of the US Population	0.8241758241758241	0.8016528925619835	0.8226950354609929	0.759493670886076	0.8035714285714286	0.7653061224489796	0.8048780487804879	0.7368421052631579	0.7848101265822784	0.8130841121495327	0.7857142857142857	0.7636363636363637	0.78	0.7317073170731707	0.8113207547169812	0.7752808988764045	0.7714285714285715	0.78	0.782051282051282	0.8770491803278688	0.8285714285714286	0.8953068592057761	0.7962962962962963	0.7560975609756098	0.7956989247311828	0.8	0.8395061728395061	0.78125	0.2682926829268293	0.7361111111111112	0.782051282051282	0.6829268292682927	0.7073170731707317	0.7857142857142857	0.7631578947368421	0.8181818181818182	0.75	0.7702702702702703	0.7604166666666666	0.7681159420289855	0.8135593220338984
Why Have Americans Become More Obese	0.8021978021978022	0.8429752066115702	0.8368794326241135	0.8227848101265823	0.7321428571428571	0.7857142857142857	0.8055555555555556	0.631578947368421	0.7974683544303798	0.8037383177570093	0.8061224489795918	0.8	0.76	0.7777777777777778	0.7547169811320755	0.8089887640449438	0.8142857142857143	0.82	0.7948717948717948	0.8975409836065574	0.819047619047619	0.9169675090252708	0.8148148148148148	0.7777777777777778	0.8064516129032258	0.7888888888888889	0.8271604938271605	0.8125	0.8333333333333334	0.8055555555555556	0.782051282051282	0.8048780487804879	0.7777777777777778	0.8061224489795918	0.8421052631578947	0.7727272727272727	0.8333333333333334	0.7432432432432432	0.8125	0.8260869565217391	0.8389830508474576
Will all Americans Become Overweight or Obese Estimating the Progression and Cost of the US Obesity Epidemic	0.8333333333333334	0.8264462809917356	0.75177304964539	0.7962962962962963	0.7870370370370371	0.8240740740740741	0.9074074074074074	0.2962962962962963	0.6574074074074074	0.7962962962962963	0.8055555555555556	0.7962962962962963	0.7592592592592593	0.8333333333333334	0.7407407407407407	0.8055555555555556	0.7685185185185185	0.7870370370370371	0.7870370370370371	0.7991803278688525	0.8425925925925926	0.8014440433212996	0.7962962962962963	0.8148148148148148	0.8333333333333334	0.7870370370370371	0.7685185185185185	0.8333333333333334	0.7777777777777778	0.7592592592592593	0.7777777777777778	0.7870370370370371	0.8240740740740741	0.7777777777777778	0.7982456140350878	0.8148148148148148	0.7777777777777778	0.7407407407407407	0.8240740740740741	0.75	0.8135593220338984
Adolescent Fast Food and Restaurant Ordering Behavior with and without Calorie and Fat Content Menu Information	0.7747747747747747	0.8016528925619835	0.7730496453900709	0.7207207207207207	0.7927927927927928	0.8018018018018018	0.8918918918918919	0.7657657657657657	0.7567567567567568	0.8108108108108109	0.7837837837837838	0.8108108108108109	0.7837837837837838	0.8828828828828829	0.7927927927927928	0.7567567567567568	0.7837837837837838	0.7747747747747747	0.7837837837837838	0.7991803278688525	0.8468468468468469	0.7689530685920578	0.7747747747747747	0.8378378378378378	0.7837837837837838	0.7477477477477478	0.8018018018018018	0.7297297297297297	0.8198198198198198	0.7837837837837838	0.7657657657657657	0.7837837837837838	0.8108108108108109	0.7657657657657657	0.02631578947368421	0.8288288288288288	0.7387387387387387	0.7207207207207207	0.7747747747747747	0.7747747747747747	0.7288135593220338
