	Ahold announced the pending purchase of Supermarket General-II Holdings Corporation, parent of the Pathmark chain. Similarly, SUPERVALUE acquired Richfood, Food Lion bought out Hannaford Brothers and Scarborough, and Albertson’s purchased American Stores. (Sean Mehegan, ‘‘Consolidation Changes the Face of the North American Supermarket Sector,’’ Meat & Poultry	Agricultural Handbook No.	King Marketing Services,	Safety Commission (Miller et al., ‘‘The Consumer Product Safety Commission’s Revised Injury Cost Model,’’ Peer Review Draft Prepared for the U.S. Consumer Product Safety Commission,	Food Safety Efforts Accelerate in the 1990’s,’’ Food Review,	The Economic Benefits of Nutrition Labeling: A Case Study for Fresh Meat and Poultry Products.’’	Re: Docket #98– 005F, Food Safety and Inspection Service Proposed Rule: ‘‘Nutrition Labeling of Ground or Chopped Meat and Poultry Products and SingleIngredient Products.’’ Comments submitted to the FSIS Docket Clerk,	Drug Administration (60 FR 65095,	Drug Administration (68 FR 41434–41504,	Drug Administration (69 FR 56824–56906,	Read the Label: Reducing Risk by Providing Information	Information Advertising, and Health Choices:	Information, Advertising, and Health: A Study of the Cereal Market.’’ In Economics of Food Safety,	Information and Advertising: The Case of	The Effect of Food Label Use on Nutrient Intakes: An Endogenous Switching Regression Analysis’’,	Assigning Value to Life: Comparing Methods for Valuing Health Risks, Agricultural Economic	A New Approach to Consumer Theory.’’	Informational Approaches to Regulation	Offsetting Behavior in Reducing High Cholesterol: Substitution of Medication for Diet and Lifestyle Changes.’’	Food companies spread nutrition information through advertising and labels. Food Review.	Personnal communication with Mary Muth, RTI International, Research	A Quasi Experiment to Assess the Consumer and Informational Determinants of Nutrition Information Processing Activities: The Case of the Nutrition Labeling and Education Act,’’	FDA Labeling Cost Model.’’ Prepared for the U.S. Food and Drug Administration, Center for Food Safety and Applied Nutrition. Research Triangle Park, NC.	National Cattlemen’s Beef Association.	The Journey towards Retail Meat Case Nutrition Labeling, A white paper,	Uniform Retail Meat Identity Standards.	The NMI Health and Wellness Trends Database.	As reported in Food Technology. ‘‘What, When and Where Americans Eat:	Use of food nutrition labels is associated with lower fat intake’’.	The Imperative to Warn: Disentangling the ‘‘Right to Know’’ from the ‘‘Need to Know’’ about Consumer Product Hazards’’	Guidelines for Ensuring and Maximizing the Quality, Objectivity, Utility, and Integrity of Information Disseminated by Federal Agencies.	Cost Analysis for Nutrition Labeling of Ground, Chopped, and Single-Ingredient Meat and Poultry VerDate	Does Nutrition Labeling Lead to Healthier Eating?’’	Measuring the welfare effects of nutrition information.	Hedonic Prices and Implicit Markets: Product Differentiation in	Department of Agriculture, 1994–1996. Continuing survey of food intake by individuals (CSFII), and companion diet and health knowledge survey (DHKS).	Survey years 1994–1996.	Nutrition Labeling/Safe Handling Information Study—Raw Meat and Poultry. Prepared by Retail Diagnostics,	Department of Agriculture, Agricultural Research Service,	Do Nutrition Labels Improve Dietary Outcomes?	Diet-Health Information and Nutrition: The Intake of Dietary Fats	Fatal Tradeoffs—Public & Private Responsibilities for Risk.	Estimated Benefits of Nutrition Label Changes: Final Report,	Potential Health Benefits of Nutrition Label Changes,’’	Section 381.400 is revised to read as follows:
Consumer Use of Information Implications for Food Policy	0.3125	0.4358974358974359	0.5135135135135135	0.25	0.4	0.3090909090909091	0.34375	0.4285714285714286	0.5	0.5	0.23404255319148937	0.2558139534883721	0.28301886792452835	0.31707317073170727	0.34545454545454546	0.30612244897959184	0.36363636363636365	0.23809523809523814	0.39622641509433965	0.24444444444444446	0.2558139534883721	0.3214285714285714	0.27586206896551724	0.36585365853658536	0.375	0.2195121951219512	0.5	0.3191489361702128	0.31818181818181823	0.3448275862068966	0.3090909090909091	0.2941176470588235	0.4666666666666667	0.30000000000000004	0.18181818181818177	0.33333333333333337	0.631578947368421	0.2962962962962963	0.31818181818181823	0.2727272727272727	0.24444444444444446	0.276595744680851	0.276595744680851	0.3913043478260869	0.39534883720930236
Economics of Food Labeling	0.423728813559322	0.4117647058823529	0.5	0.5294117647058824	0.4222222222222223	0.31999999999999995	0.4576271186440678	0.45945945945945943	0.5348837209302326	0.5348837209302326	0.2857142857142857	0.3157894736842105	0.375	0.38888888888888884	0.36	0.31818181818181823	0.5897435897435898	0.3513513513513513	0.41666666666666663	0.25	0.4736842105263158	0.37254901960784315	0.39622641509433965	0.38888888888888884	0.4418604651162791	0.38888888888888884	0.5428571428571429	0.33333333333333337	0.3846153846153846	0.4716981132075472	0.36	0.4347826086956522	0.35	0.3142857142857143	0.3846153846153846	0.4545454545454546	0.7575757575757576	0.3877551020408163	0.3846153846153846	0.3846153846153846	0.4	0.38095238095238093	0.23809523809523814	0.41463414634146345	0.42105263157894735
FDA Labeling Cost Model	0.43333333333333335	0.37142857142857144	0.4545454545454546	0.5	0.4782608695652174	0.33333333333333337	0.43333333333333335	0.368421052631579	0.4545454545454546	0.4545454545454546	0.39534883720930236	0.33333333333333337	0.3877551020408163	0.3513513513513513	0.4117647058823529	0.33333333333333337	0.55	0.42105263157894735	0.34693877551020413	0.36585365853658536	0.4871794871794872	0.3846153846153846	0.33333333333333337	0.4054054054054054	0.2727272727272727	0.4054054054054054	0.38888888888888884	0.39534883720930236	0.44999999999999996	0.4814814814814815	0.37254901960784315	0.276595744680851	0.31707317073170727	0.38888888888888884	0.4	0.4285714285714286	0.7647058823529411	0.4	0.4	0.4	0.41463414634146345	0.4418604651162791	0.3023255813953488	0.38095238095238093	0.4871794871794872
The Consumer Product Safety Commission�s Revised Injury Cost Model	0.33333333333333337	0.5	0.4285714285714286	0.14754098360655743	0.34545454545454546	0.2666666666666667	0.30434782608695654	0.4893617021276596	0.5471698113207547	0.5471698113207547	0.1923076923076923	0.25	0.24137931034482762	0.26086956521739135	0.33333333333333337	0.2962962962962963	0.3877551020408163	0.276595744680851	0.27586206896551724	0.28	0.16666666666666663	0.3114754098360656	0.2698412698412699	0.4347826086956522	0.3207547169811321	0.21739130434782605	0.4222222222222223	0.3846153846153846	0.3877551020408163	0.3015873015873016	0.30000000000000004	0.2857142857142857	0.48	0.28888888888888886	0.26530612244897955	0.3538461538461538	0.5813953488372092	0.288135593220339	0.26530612244897955	0.34693877551020413	0.28	0.3076923076923077	0.34615384615384615	0.4117647058823529	0.375
Cost Analysis for Nutrition Labeling of Ground Chopped and SingleIngredient Meat and Poultry Products	0.19999999999999996	0.33333333333333337	0.4418604651162791	0.29032258064516125	0.3928571428571429	0.180327868852459	0.22857142857142854	0.5	0.5555555555555556	0.5555555555555556	0.2075471698113207	0.26530612244897955	0.2542372881355932	0.3191489361702128	0.24590163934426235	0.23636363636363633	0.36	0.25	0.2542372881355932	0.2941176470588235	0.30612244897959184	0.22580645161290325	0.1875	0.4042553191489362	0.18518518518518523	0.3191489361702128	0.3913043478260869	0.3584905660377359	0.36	0.3125	0.2786885245901639	0.052631578947368474	0.33333333333333337	0.30434782608695654	0.28	0.303030303030303	0.6363636363636364	0.19999999999999996	0.28	0.28	0.33333333333333337	0.3584905660377359	0.24528301886792447	0.2692307692307693	0.4285714285714286
National Meat Case Study	0.4482758620689655	0.3939393939393939	0.4193548387096774	0.4	0.4545454545454546	0.34693877551020413	0.4482758620689655	0.5	0.5714285714285714	0.5714285714285714	0.41463414634146345	0.4054054054054054	0.36170212765957444	0.4285714285714286	0.4285714285714286	0.39534883720930236	0.42105263157894735	0.4444444444444444	0.36170212765957444	0.4358974358974359	0.3513513513513513	0.48	0.3846153846153846	0.37142857142857144	0.2857142857142857	0.2571428571428571	0.4117647058823529	0.46341463414634143	0.42105263157894735	0.5	0.4693877551020408	0.28888888888888886	0.3846153846153846	0.3529411764705882	0.368421052631579	0.4814814814814815	0.5625	0.375	0.42105263157894735	0.368421052631579	0.33333333333333337	0.46341463414634143	0.36585365853658536	0.4	0.4054054054054054
The Journey towards Retail Meat Case Nutrition Labeling A white paper	0.32352941176470584	0.34883720930232553	0.5121951219512195	0.33333333333333337	0.40740740740740744	0.2542372881355932	0.3529411764705882	0.4347826086956522	0.5	0.5	0.2941176470588235	0.36170212765957444	0.368421052631579	0.33333333333333337	0.2542372881355932	0.24528301886792447	0.29166666666666663	0.30434782608695654	0.29824561403508776	0.26530612244897955	0.276595744680851	0.30000000000000004	0.22580645161290325	0.4666666666666667	0.0	0.37777777777777777	0.36363636363636365	0.33333333333333337	0.375	0.32258064516129037	0.38983050847457623	0.19999999999999996	0.30612244897959184	0.31818181818181823	0.41666666666666663	0.375	0.6666666666666667	0.27586206896551724	0.33333333333333337	0.33333333333333337	0.34693877551020413	0.37254901960784315	0.21568627450980393	0.31999999999999995	0.4893617021276596
Uniform Retail Meat Identity Standards	0.3770491803278688	0.5	0.4117647058823529	0.28301886792452835	0.36170212765957444	0.3846153846153846	0.4098360655737705	0.4358974358974359	0.5111111111111111	0.5111111111111111	0.2727272727272727	0.30000000000000004	0.31999999999999995	0.3157894736842105	0.34615384615384615	0.34782608695652173	0.5121951219512195	0.28205128205128205	0.36	0.33333333333333337	0.25	0.4716981132075472	0.34545454545454546	0.42105263157894735	0.37777777777777777	0.0	0.4054054054054054	0.40909090909090906	0.36585365853658536	0.4545454545454546	0.34615384615384615	0.33333333333333337	0.47619047619047616	0.29729729729729726	0.2682926829268293	0.4385964912280702	0.6	0.2941176470588235	0.31707317073170727	0.36585365853658536	0.2857142857142857	0.40909090909090906	0.36363636363636365	0.4883720930232558	0.35
Re Docket 98�005F Food Safety and Inspection Service Proposed Rule ��Nutrition Labeling of Ground or Chopped Meat and Poultry Products and SingleIngredient Products��	0.2592592592592593	0.4642857142857143	0.4814814814814815	0.31506849315068497	0.3731343283582089	0.3055555555555556	0.11111111111111116	0.423728813559322	0.4769230769230769	0.4461538461538461	0.25	0.4	0.3142857142857143	0.4482758620689655	0.3055555555555556	0.33333333333333337	0.5081967213114754	0.38983050847457623	0.2857142857142857	0.32258064516129037	0.4	0.31506849315068497	0.22666666666666668	0.5517241379310345	0.32307692307692304	0.4137931034482759	0.4736842105263158	0.46875	0.4426229508196722	0.33333333333333337	0.33333333333333337	0.20588235294117652	0.4193548387096774	0.4385964912280702	0.34426229508196726	0.2987012987012987	0.6363636363636364	0.2676056338028169	0.34426229508196726	0.34426229508196726	0.3548387096774194	0.34375	0.3125	0.39682539682539686	0.43333333333333335
nan	0.9090909090909091	0.7894736842105263	0.7647058823529411	0.8888888888888888	0.8666666666666667	0.8857142857142857	0.9090909090909091	0.8181818181818181	0.8571428571428572	0.8571428571428572	0.8518518518518519	0.8260869565217391	0.8787878787878788	0.8095238095238095	0.8857142857142857	0.8620689655172413	0.8333333333333334	0.8181818181818181	0.8787878787878788	0.84	0.8260869565217391	0.8888888888888888	0.8947368421052632	0.8095238095238095	0.8571428571428572	0.8095238095238095	0.8	0.8518518518518519	0.8333333333333334	0.8947368421052632	0.8857142857142857	0.8709677419354839	0.84	0.8	0.8333333333333334	0.9	0.8888888888888888	0.8823529411764706	0.8333333333333334	0.8333333333333334	0.84	0.8518518518518519	0.8518518518518519	0.8461538461538461	0.8260869565217391
Guidelines for Ensuring and Maximizing the Quality Objectivity Utility and Integrity of Information Disseminated by Federal Agencies	0.30666666666666664	0.43999999999999995	0.5	0.31343283582089554	0.3770491803278688	0.303030303030303	0.33333333333333337	0.4339622641509434	0.4915254237288136	0.4915254237288136	0.27586206896551724	0.2962962962962963	0.25	0.34615384615384615	0.303030303030303	0.33333333333333337	0.49090909090909096	0.3207547169811321	0.3125	0.2857142857142857	0.37037037037037035	0.25373134328358204	0.30434782608695654	0.5	0.38983050847457623	0.34615384615384615	0.4509803921568627	0.3448275862068966	0.38181818181818183	0.3623188405797102	0.0	0.29032258064516125	0.3928571428571429	0.33333333333333337	0.34545454545454546	0.323943661971831	0.6734693877551021	0.3538461538461538	0.3090909090909091	0.3090909090909091	0.3214285714285714	0.4137931034482759	0.3448275862068966	0.4736842105263158	0.4814814814814815
Labeling Trans Fatty Acids in Nutrition labeling Nutrient Content Claims and Health Claims Final Rule	0.2647058823529411	0.2558139534883721	0.5121951219512195	0.3666666666666667	0.37037037037037035	0.18644067796610164	0.32352941176470584	0.34782608695652173	0.42307692307692313	0.42307692307692313	0.21568627450980393	0.23404255319148937	0.26315789473684215	0.28888888888888886	0.22033898305084743	0.2075471698113207	0.29166666666666663	0.26086956521739135	0.26315789473684215	0.22448979591836737	0.276595744680851	0.2666666666666667	0.19354838709677424	0.37777777777777777	0.15384615384615385	0.37777777777777777	0.36363636363636365	0.2549019607843137	0.375	0.29032258064516125	0.3220338983050848	0.2727272727272727	0.26530612244897955	0.31818181818181823	0.375	0.3125	0.6666666666666667	0.27586206896551724	0.29166666666666663	0.29166666666666663	0.22448979591836737	0.33333333333333337	0.17647058823529416	0.28	0.4893617021276596
Prevention of Salmonella Enteritidis in Shell Eggs During Production Proposed Rule	0.33333333333333337	0.41463414634146345	0.3846153846153846	0.24137931034482762	0.3076923076923077	0.29824561403508776	0.303030303030303	0.36363636363636365	0.43999999999999995	0.43999999999999995	0.18367346938775508	0.24444444444444446	0.2727272727272727	0.3023255813953488	0.33333333333333337	0.21568627450980393	0.4347826086956522	0.18181818181818177	0.2727272727272727	0.14893617021276595	0.28888888888888886	0.24137931034482762	0.2666666666666667	0.4418604651162791	0.36	0.3023255813953488	0.47619047619047616	0.30612244897959184	0.34782608695652173	0.2666666666666667	0.29824561403508776	0.28301886792452835	0.3191489361702128	0.23809523809523814	0.21739130434782605	0.32258064516129037	0.6	0.25	0.08695652173913049	0.30434782608695654	0.3191489361702128	0.26530612244897955	0.22448979591836737	0.375	0.33333333333333337
Procedures for the Safe and Sanitary Processing and Importing of Fish and Fishery Products Final Rule	0.2727272727272727	0.41463414634146345	0.4358974358974359	0.24137931034482762	0.3076923076923077	0.26315789473684215	0.2727272727272727	0.36363636363636365	0.43999999999999995	0.43999999999999995	0.1428571428571429	0.24444444444444446	0.23636363636363633	0.3023255813953488	0.26315789473684215	0.2549019607843137	0.3913043478260869	0.13636363636363635	0.3090909090909091	0.14893617021276595	0.19999999999999996	0.31034482758620685	0.23333333333333328	0.4418604651162791	0.31999999999999995	0.2093023255813954	0.47619047619047616	0.26530612244897955	0.34782608695652173	0.30000000000000004	0.29824561403508776	0.24528301886792447	0.4042553191489362	0.23809523809523814	0.21739130434782605	0.29032258064516125	0.6	0.2142857142857143	0.17391304347826086	0.30434782608695654	0.23404255319148937	0.26530612244897955	0.22448979591836737	0.375	0.37777777777777777
Use of food nutrition labels is associated with lower fat intake	0.4098360655737705	0.2777777777777778	0.4117647058823529	0.3584905660377359	0.36170212765957444	0.3846153846153846	0.4426229508196722	0.4871794871794872	0.5555555555555556	0.5555555555555556	0.2272727272727273	0.30000000000000004	0.36	0.368421052631579	0.2692307692307693	0.30434782608695654	0.41463414634146345	0.28205128205128205	0.36	0.19047619047619047	0.30000000000000004	0.39622641509433965	0.34545454545454546	0.42105263157894735	0.33333333333333337	0.3157894736842105	0.4054054054054054	0.40909090909090906	0.07317073170731703	0.38181818181818183	0.34615384615384615	0.375	0.33333333333333337	0.18918918918918914	0.2682926829268293	0.368421052631579	0.6571428571428571	0.37254901960784315	0.31707317073170727	0.36585365853658536	0.2857142857142857	0.2727272727272727	0.31818181818181823	0.34883720930232553	0.30000000000000004
Information Advertising and Health Choices A Study of the Cereal Market 	0.2647058823529411	0.3023255813953488	0.31707317073170727	0.2666666666666667	0.33333333333333337	0.2542372881355932	0.2941176470588235	0.4347826086956522	0.5	0.5	0.17647058823529416	0.1063829787234043	0.08771929824561409	0.19999999999999996	0.288135593220339	0.16981132075471694	0.375	0.21739130434782605	0.22807017543859653	0.26530612244897955	0.276595744680851	0.30000000000000004	0.25806451612903225	0.37777777777777777	0.3076923076923077	0.24444444444444446	0.40909090909090906	0.33333333333333337	0.33333333333333337	0.32258064516129037	0.2542372881355932	0.23636363636363633	0.3877551020408163	0.2272727272727273	0.20833333333333337	0.21875	0.5714285714285714	0.27586206896551724	0.20833333333333337	0.33333333333333337	0.22448979591836737	0.37254901960784315	0.33333333333333337	0.36	0.36170212765957444
