	Proposed Rules 51 ‘‘Excess Billing and Insurance-Related Administrative Costs,’’ by James Kahn, in The Healthcare Imperative; Lowering Costs and Improving Outcomes: Workshop Series Summary, edited by	55 ‘‘Project Swipe IT Savings Model,’’	56 For billing and posting clerks in physician offices, Department of Labor,	Avoidance: Interest on Loans and Lines of Credit	prepared by Robert E.	The Costs and Benefits of Moving to the ICD–10 Code Sets,’’	65 ‘‘Health Plans’ Estimated Costs of Implementing ICD–10 Diagnosis Coding,’’	Aetna Chief Financial Officer and Senior Executive Vice President. Aetna Fourth Quarter 2011 Earnings Call Webcast (transcript),	TABLE 30—COST AVOIDANCE LESS COST (NET) OF A ONE-YEAR DELAY [In millions] * Low Net Estimate (Low Cost Avoidance with High Costs) .. ¥$2,950 High Net Estimate (High Cost Avoidance with Low Costs) .. 6,846 Mean Net Cost Avoidance (average) ....................................	Flexibility Analysis: Impact on Small Entities of a Delay in the Compliance Date of ICD–10 The Regulatory Flexibility Act (RFA) of	Number of Small Entities and Scope of Analysis a. Health Care Providers: Physician Total Savings/Cost Avoidance ................................................................................................................. $6,532 $13,612 $10,072 Total Costs ............................................................................................................................................... 2,133 8,784 5,459 * Costs and savings of HPID are calculated over 11 years,	[In millions of dollars] Delay in Compliance Date for ICD–10: Avoidance of returned health care claims. COSTS: Annualized Monetized costs: 7% Discount ................	List of Subjects in 45 CFR Part 162 Administrative practice and procedures, Electronic transactions, Health facilities, Health insurance, Hospitals, Incorporation by reference, Medicaid, Medicare, Reporting and 1. The authority citation for part 162 continues to read as follows:	124 Stat. 146–154 and 915– 917. Subpart A—General Provisions 2. Section 162.103 is amended by health plan. Subpart D—Standard Unique Health Identifier for Health Care Providers § 162.402 [Removed and Reserved] 3. Section 162.402 is removed and reserved. 4. Section 162.404 is amended as follows: A. Redesignating paragraph (a) as paragraph (a)(1). B. Adding a paragraph (a)(2). The addition reads as follows: § 162.404 Compliance dates of the implementation of the standard unique health identifier for health care providers. 6. Subpart E is added to part 162 to read as follows: Subpart E—Standard Unique Health Identifier for Health Plans Sec. 162.502 [Reserved] 162.504 Compliance dates for the implementation of the standard unique health plan identifier. 162.506 Standard unique health plan identifier. 162.508 Enumeration System. 162.510 Implementation specifications: Covered entities. 162.512 Implementation specifications: Health plans. 162.514 Other entity identifier. Subpart E—Standard Unique Health Identifier for Health Plans § 162.502 [Reserved] § 162.504 Compliance dates for the implementation of the standard unique health plan identifier.	(a) Covered health care providers. A covered health care provider must comply with the implementation specifications	plans. A health plan must comply with the implementation specifications in § 162.510 and § 162.512 no later than one of the following dates: (1) A health plan that is not a small health plan—October 1,	(2) A health plan that is a small health plan—October 1,	care clearinghouses. A health care clearinghouse must comply with the implementation specifications in § 162.510 no later than October 1, 2014. § 162.506 Standard unique health plan identifier. (a) Standard. The standard unique health plan identifier is the Health Plan Identifier (HPID) that is assigned by the Enumeration System identified in § 162.508. (b) Required and permitted uses for the HPID. (1) The HPID must be used as specified in § 162.510 and § 162.512. (2) The HPID may be used for any other lawful purpose. § 162.508 Enumeration System. The Enumeration System shall do all of the following: (c) If appropriate, deactivate an HPID upon receipt of sufficient information concerning circumstances justifying deactivation. (d) If appropriate, reactivate a deactivated HPID or OEID upon receipt of sufficient information justifying reactivation. (e) Not assign a deactivated HPID to any other health plan or OEID to any other entity. (f) Disseminate Enumeration System information upon approved requests. § 162.510 Implementation specifications: Covered entities. (a) A covered entity must use an HPID standard under this part. § 162.512 Implementation specifications: Health plans. (a) A controlling health plan must do all of the following: (1) Obtain an HPID from the Enumeration System for itself. (2) Disclose its HPID, when requested, to any entity that needs the HPID to identify the health plan in a standard transaction.	(3) Communicate to the Enumeration System any changes in its required data elements in the Enumeration System within 30 days of the change.
The National Progress Report on Healthcare Efficiency	0.5700000000000001	0.74	0.5900000000000001	0.64	0.55	0.63	0.6799999999999999	0.5900000000000001	0.65	0.5700000000000001	0.55	0.5900000000000001	0.5	0.5700000000000001	0.51	0.61	0.64	0.53	0.61
Version 5010 and ID10 Readiness Assessment Conducted among Helath Care Providers payers and Vendors for the Centers for Medicare  Medicaid Services CMS	0.5800000000000001	0.6699999999999999	0.5900000000000001	0.54	0.6	0.5700000000000001	0.65	0.62	0.64	0.63	0.6	0.64	0.55	0.55	0.54	0.62	0.6	0.5900000000000001	0.62
Comments from VHA Health Care as Health Care Provider testimony by Barbara Mayerick for NCVHS	0.6	0.69	0.65	0.5700000000000001	0.6	0.6799999999999999	0.6799999999999999	0.63	0.62	0.64	0.52	0.62	0.52	0.55	0.54	0.64	0.55	0.5900000000000001	0.63
Testimony before the NCVHS Subcommittee on Standards on the National Health Plan Identifier on behalf of America�s Health Insurance Plans and the Blue Cross and Blue Shield Association	0.63	0.6699999999999999	0.6	0.56	0.65	0.63	0.61	0.6	0.65	0.62	0.62	0.5900000000000001	0.55	0.54	0.6	0.5900000000000001	0.53	0.52	0.5700000000000001
Testimony By The American Medical Association	0.6	0.74	0.5800000000000001	0.6699999999999999	0.7	0.65	0.63	0.6	0.6	0.63	0.6	0.65	0.56	0.5800000000000001	0.56	0.56	0.65	0.52	0.5800000000000001
2010 AFP Electronic Payments Report of Survey Results	0.63	0.69	0.63	0.6	0.6	0.6799999999999999	0.6699999999999999	0.5700000000000001	0.6699999999999999	0.61	0.65	0.61	0.53	0.61	0.65	0.61	0.6699999999999999	0.5700000000000001	0.61
An Updated Surve of Health Care Claims Receipt and Processing Times	0.5	0.72	0.65	0.5800000000000001	0.55	0.6799999999999999	0.63	0.6	0.63	0.5900000000000001	0.53	0.51	0.5900000000000001	0.5700000000000001	0.56	0.5900000000000001	0.6	0.5700000000000001	0.6
Health Plans Estimated Costs of Implementing ICD10 Diagnosis Coding	0.54	0.6699999999999999	0.65	0.64	0.65	0.5900000000000001	0.08999999999999997	0.6599999999999999	0.56	0.5900000000000001	0.6	0.6	0.5700000000000001	0.54	0.56	0.48	0.5700000000000001	0.5700000000000001	0.5900000000000001
Project Swipe IT Savings Model	0.6	0.0	0.6699999999999999	0.6	0.7	0.64	0.6	0.6	0.6	0.64	0.5	0.6	0.6	0.64	0.6	0.64	0.6699999999999999	0.6	0.6
Replacing ICD9CM with ICD10CM and ICD10PCS Challenges Estimated Costs and Potential Benefits	0.62	0.72	0.65	0.5800000000000001	0.65	0.65	0.62	0.6599999999999999	0.5900000000000001	0.65	0.65	0.61	0.65	0.61	0.69	0.62	0.62	0.6	0.61
The 2011 Medicare Trusteess Report The Baby Boomer Tsunami	0.61	0.72	0.6599999999999999	0.64	0.5	0.63	0.69	0.61	0.6799999999999999	0.64	0.6599999999999999	0.63	0.52	0.5900000000000001	0.5700000000000001	0.64	0.6699999999999999	0.5700000000000001	0.61
the complexities of physician supply and demand Projections through 2025 Center for workforce Studies	0.5800000000000001	0.69	0.6	0.5800000000000001	0.65	0.6	0.7	0.63	0.6699999999999999	0.61	0.62	0.63	0.62	0.5700000000000001	0.63	0.56	0.64	0.6	0.61
The Impact of Health Care Reform on the Future Supply and Demand for Physicians Updated Projections Through 2025	0.62	0.69	0.5700000000000001	0.6	0.55	0.61	0.65	0.65	0.6599999999999999	0.61	0.5900000000000001	0.5900000000000001	0.5700000000000001	0.5700000000000001	0.6	0.61	0.6	0.5800000000000001	0.5900000000000001
The Impact of Implementing ICD10 on Physician Practices and Clinical Laboratories A Report to the ICD10 Coalition	0.62	0.69	0.52	0.6	0.44999999999999996	0.5	0.63	0.62	0.63	0.5800000000000001	0.5900000000000001	0.6	0.5900000000000001	0.55	0.64	0.5700000000000001	0.6	0.55	0.5900000000000001
The National Progress Report on Healthcare Efficiency 2010	0.5900000000000001	0.72	0.61	0.64	0.55	0.64	0.6599999999999999	0.61	0.64	0.5900000000000001	0.56	0.5900000000000001	0.52	0.5700000000000001	0.54	0.61	0.64	0.56	0.61
Version 5010 and ID10 Readiness Assessment Conducted among Health Care Providers payers and Vendors for the Centers for Medicare  Medicaid Services	0.5800000000000001	0.6699999999999999	0.5900000000000001	0.54	0.6	0.5700000000000001	0.65	0.62	0.64	0.64	0.6	0.62	0.55	0.54	0.54	0.62	0.5900000000000001	0.5800000000000001	0.61
Aetna Fourth Quarter 2011 Earnings Call Webcast transcript	0.61	0.69	0.6599999999999999	0.62	0.65	0.6799999999999999	0.69	0.0	0.63	0.64	0.63	0.61	0.5700000000000001	0.63	0.63	0.5700000000000001	0.5900000000000001	0.56	0.5700000000000001
An Updated Survey of Health Care Claims Receipt and Processing Times	0.49	0.72	0.65	0.5800000000000001	0.55	0.6799999999999999	0.64	0.5900000000000001	0.64	0.5900000000000001	0.52	0.52	0.5900000000000001	0.5800000000000001	0.55	0.5800000000000001	0.6	0.56	0.61
CMS Hints at Delay in ICD10 Implementation Deadline	0.5900000000000001	0.72	0.65	0.64	0.75	0.61	0.55	0.65	0.65	0.5	0.63	0.5	0.61	0.45999999999999996	0.45999999999999996	0.48	0.61	0.51	0.5700000000000001
Edifecs poll 2012 And February 28 2012 Letter In Regards to ICD10 Implementation Date Delay to Denise M Buenning Director	0.64	0.72	0.65	0.6	0.65	0.65	0.61	0.6599999999999999	0.6699999999999999	0.63	0.6699999999999999	0.62	0.62	0.56	0.62	0.61	0.6	0.5800000000000001	0.62
Examining the Cost of Implementing ICD10	0.53	0.75	0.6	0.63	0.75	0.55	0.22999999999999998	0.65	0.5800000000000001	0.5	0.63	0.5800000000000001	0.63	0.44999999999999996	0.55	0.5	0.65	0.55	0.55
ICD10 Frequently Asked Questions	0.63	0.72	0.63	0.6599999999999999	0.65	0.6599999999999999	0.6599999999999999	0.6	0.6599999999999999	0.63	0.63	0.63	0.63	0.54	0.6	0.6	0.75	0.5700000000000001	0.5700000000000001
Letter to Kathleen G Sebelius Secretary US Department of Health and Human Services	0.5800000000000001	0.72	0.5900000000000001	0.6	0.55	0.6799999999999999	0.7	0.63	0.64	0.63	0.5900000000000001	0.65	0.5700000000000001	0.52	0.61	0.61	0.6	0.5800000000000001	0.55
Oregon Provider and Payer Survey Overhauling the US Healthcare Payment System	0.56	0.6699999999999999	0.65	0.62	0.55	0.63	0.75	0.5900000000000001	0.65	0.65	0.5800000000000001	0.5800000000000001	0.5800000000000001	0.52	0.55	0.56	0.62	0.5900000000000001	0.55
Survey Industry Reaction to Potential Delay of ICD10  A Delay will be Costly but Manageable Unless its more than a Year	0.63	0.69	0.61	0.54	0.6	0.61	0.6599999999999999	0.65	0.61	0.5800000000000001	0.64	0.61	0.6	0.61	0.65	0.63	0.62	0.5800000000000001	0.6
The 2011 Medicare Trustees Report The Baby Boomer Tsunami	0.6	0.72	0.65	0.64	0.5	0.64	0.69	0.6	0.6699999999999999	0.64	0.65	0.62	0.51	0.5800000000000001	0.5700000000000001	0.64	0.6799999999999999	0.5800000000000001	0.6
WellPoint Fourth Quarter 2011 Results Conference Call transcript	0.63	0.76	0.65	0.6	0.55	0.69	0.61	0.33999999999999997	0.63	0.61	0.6599999999999999	0.6	0.5700000000000001	0.6	0.63	0.6	0.6599999999999999	0.5800000000000001	0.61
Comments from VHA Health Care as Healthe Care Provider	0.54	0.72	0.65	0.62	0.6	0.62	0.6699999999999999	0.6	0.6	0.6	0.41000000000000003	0.56	0.49	0.54	0.44999999999999996	0.56	0.56	0.56	0.5800000000000001
What Does it cost physician practices to interact with health insurance plans	0.5800000000000001	0.6699999999999999	0.5700000000000001	0.5800000000000001	0.6	0.61	0.6799999999999999	0.6	0.56	0.5800000000000001	0.6	0.54	0.45999999999999996	0.55	0.54	0.54	0.5700000000000001	0.52	0.5800000000000001
What does it cost physician practices to interact with health insurance plans	0.5800000000000001	0.6699999999999999	0.5700000000000001	0.5800000000000001	0.6	0.61	0.6799999999999999	0.6	0.56	0.5800000000000001	0.6	0.55	0.45999999999999996	0.55	0.54	0.54	0.5700000000000001	0.52	0.5800000000000001
