	We are chronically sleep deprived.	Circadian rhythms in the secretion of cortisol, adrenaline and noradrenaline.	Sleepiness as a consequence of shift work.	Concepts and Models of Sleep Regulation: An overview&quot;,	Homeostatic and circadian components of sUbjective alertness interact in a non-additive manner&quot;,	Bimodal distribution of REM sleep latency during forced desynchrony: model implications&quot;,	Review of fatigue detection and prediction technologies._	Effects of loading and unloading cargo on commercial truck driver alertness and performance~ Federal Motor Carrier Safety Administration FMCSA	Pay for Safety: An Economic Alternative for Truck Driver Safety&quot;,	Commercial Motor Vehicle Driver Fatigue, Alertness, and Countermeasures Survey.&quot; Sponsored by U.S. Department of Transportation, Federal Highway Administration.	A Survey of Owner-Operators and Company Drivers on their Use of Three New 'Hours of Service Features,'&quot; OOIDA Foundation,	A Survey of Private Fleets on their Use of Three New 'Hours of Service Features,'&quot;	06 P a 00 00 I' IS 00 os , Ii 00 i~l 1. ________ ~ ____ . ___ .. _ .1 The 'regular' driver, in addition to showing a higher overall effectiveness, also shows much less
Large Truck and Bus Crash Facts 200S	0.6785714285714286	0.5925925925925926	0.5714285714285714	0.59375	0.696969696969697	0.6060606060606061	0.5862068965517242	0.53125	0.6666666666666667	0.5789473684210527	0.5945945945945945	0.6176470588235294	0.53125
Pay for Safety An Economic Alternative for Truck Driver Safety	0.5925925925925926	0.5	0.4814814814814815	0.5161290322580645	0.5333333333333333	0.53125	0.5517241379310345	0.3448275862068966	0.04347826086956519	0.4722222222222222	0.48571428571428577	0.4	0.4516129032258065
Preliminary Regulatory Evaluation and Regulatory Flexibility Act Analysis Hours of Service NPRM	0.59375	0.5161290322580645	0.5882352941176471	0.3939393939393939	0.4545454545454546	0.36363636363636365	0.46875	0.28125	0.4242424242424242	0.368421052631579	0.46153846153846156	0.38235294117647056	0.4722222222222222
Review of fatigue detection and prediction technologies	0.36363636363636365	0.3913043478260869	0.30434782608695654	0.24	0.3846153846153846	0.33333333333333337	0.0	0.4137931034482759	0.5666666666666667	0.4411764705882353	0.5	0.4666666666666667	0.3571428571428571
supporting statement for the HOS Information Collection Request	0.5714285714285714	0.42307692307692313	0.34615384615384615	0.3448275862068966	0.4137931034482759	0.3666666666666667	0.37037037037037035	0.4375	0.53125	0.41666666666666663	0.38235294117647056	0.48484848484848486	0.4375
Table of Small Business Size Standards matched to North American Industry Classification System NAICS codes	0.5517241379310345	0.34615384615384615	0.5	0.48484848484848486	0.5	0.40625	0.5161290322580645	0.4242424242424242	0.46875	0.4054054054054054	0.37142857142857144	0.4242424242424242	0.4242424242424242
The effects of sleep schedules on commercial motor vehicle driver performance	0.33333333333333337	0.2857142857142857	0.34782608695652173	0.40740740740740744	0.29166666666666663	0.37037037037037035	0.2272727272727273	0.3928571428571429	0.4444444444444444	0.4242424242424242	0.4375	0.4482758620689655	0.33333333333333337
A Review of the Federal Motor Carrier Safety Administrations Economic Analysis for its Proposed Hours of Service Standard	0.5	0.4137931034482759	0.4516129032258065	0.29032258064516125	0.4545454545454546	0.36363636363636365	0.3666666666666667	0.22580645161290325	0.4242424242424242	0.2777777777777778	0.33333333333333337	0.33333333333333337	0.4285714285714286
A Survey of OwnerOperators and Company Drivers on their Use of Three New Hours of Service Features	0.5483870967741935	0.4666666666666667	0.5	0.4411764705882353	0.4545454545454546	0.5405405405405406	0.46875	0.38235294117647056	0.47058823529411764	0.22857142857142854	0.06451612903225812	0.28125	0.4722222222222222
A Survey of Private Fleets on their Use of Three New Hours of Service Features	0.5357142857142857	0.5	0.4285714285714286	0.46875	0.4838709677419355	0.5714285714285714	0.4482758620689655	0.4545454545454546	0.4	0.34285714285714286	0.303030303030303	0.038461538461538436	0.40625
A survey of subjective sleep length of shift workers based on time of day of sleep onset	0.42307692307692313	0.3846153846153846	0.37037037037037035	0.3666666666666667	0.3214285714285714	0.33333333333333337	0.2692307692307693	0.30000000000000004	0.4516129032258065	0.34285714285714286	0.4444444444444444	0.4545454545454546	0.40625
Empty Seats and Musical Chairs Critical Success Factors in Truck Driver Retention	0.4642857142857143	0.4285714285714286	0.4666666666666667	0.40625	0.5151515151515151	0.375	0.43333333333333335	0.23333333333333328	0.3870967741935484	0.33333333333333337	0.38888888888888884	0.48571428571428577	0.48571428571428577
Exploratory analysis of motor carrier accident risk and daily driving patterns	0.3913043478260869	0.34782608695652173	0.46153846153846156	0.4482758620689655	0.40740740740740744	0.3571428571428571	0.36	0.2592592592592593	0.4285714285714286	0.5	0.5555555555555556	0.5757575757575757	0.4838709677419355
Fatigue Sleepiness and Medical Errors for the Agency for Health Care Research and Quality	0.5172413793103448	0.4285714285714286	0.4666666666666667	0.30000000000000004	0.5151515151515151	0.32258064516129037	0.3793103448275862	0.23333333333333328	0.5294117647058824	0.33333333333333337	0.43243243243243246	0.4411764705882353	0.5277777777777778
Hours of Service Impact Assessment	0.5416666666666667	0.5	0.41666666666666663	0.40740740740740744	0.36	0.5333333333333333	0.43999999999999995	0.3928571428571429	0.4444444444444444	0.47058823529411764	0.3870967741935484	0.4482758620689655	0.4482758620689655
Let it Be Palletized A Portrait of Truck Drivers Work and Lives	0.5185185185185186	0.5357142857142857	0.5172413793103448	0.5	0.5161290322580645	0.5588235294117647	0.48275862068965514	0.48484848484848486	0.3793103448275862	0.5384615384615384	0.5526315789473684	0.48484848484848486	0.48484848484848486
Modeling the safety of truck driver service hours using timedependent logistic regression	0.34782608695652173	0.30434782608695654	0.36	0.3571428571428571	0.37037037037037035	0.2592592592592593	0.25	0.2222222222222222	0.4482758620689655	0.38235294117647056	0.48571428571428577	0.5	0.4
Oregelbunndna arbetstider Sammanfattning av en undersokning av turlistetidsarbetande lokforare	0.56	0.45833333333333337	0.43999999999999995	0.4285714285714286	0.3846153846153846	0.4482758620689655	0.4	0.3571428571428571	0.4642857142857143	0.48571428571428577	0.5428571428571429	0.5625	0.4137931034482759
Qualcomm reported sales	0.5	0.44999999999999996	0.5	0.5384615384615384	0.4347826086956522	0.5	0.4545454545454546	0.5185185185185186	0.6296296296296297	0.6176470588235294	0.6363636363636364	0.6666666666666667	0.5714285714285714
The Determinants of Job Satisfaction of Professional Drivers	0.52	0.41666666666666663	0.46153846153846156	0.5483870967741935	0.4642857142857143	0.5161290322580645	0.4814814814814815	0.53125	0.37037037037037035	0.4571428571428572	0.5142857142857142	0.43333333333333335	0.3793103448275862
Truck Costing Model for Transportation Managers	0.5	0.3913043478260869	0.375	0.3076923076923077	0.4444444444444444	0.3928571428571429	0.33333333333333337	0.2962962962962963	0.5172413793103448	0.4411764705882353	0.5428571428571429	0.5625	0.4666666666666667
Wage and Employment Adjustment in Local Labor Markets	0.4814814814814815	0.5	0.5333333333333333	0.46875	0.43333333333333335	0.33333333333333337	0.5	0.30000000000000004	0.5	0.4736842105263158	0.6	0.6216216216216216	0.5833333333333333
Evidence of fatigue and the circadian rhythm in the accident experience	0.4347826086956522	0.3913043478260869	0.5	0.48275862068965514	0.4444444444444444	0.33333333333333337	0.33333333333333337	0.3571428571428571	0.4642857142857143	0.48571428571428577	0.5	0.5625	0.4666666666666667
Motor Carrier Annual Report	0.5909090909090908	0.5454545454545454	0.5217391304347826	0.375	0.5769230769230769	0.5185185185185186	0.4782608695652174	0.4814814814814815	0.5925925925925926	0.5882352941176471	0.6470588235294117	0.6333333333333333	0.6774193548387097
The 2000 TTS Blue Book of Trucking Companies	0.5555555555555556	0.46153846153846156	0.3846153846153846	0.4838709677419355	0.5483870967741935	0.4516129032258065	0.4642857142857143	0.4193548387096774	0.5161290322580645	0.4864864864864865	0.5405405405405406	0.5588235294117647	0.4193548387096774
The Costs of Driver Turnover	0.5909090909090908	0.47619047619047616	0.5217391304347826	0.5555555555555556	0.5769230769230769	0.6206896551724138	0.4782608695652174	0.5862068965517242	0.5384615384615384	0.5454545454545454	0.5161290322580645	0.5357142857142857	0.5357142857142857
The diffusion of hybrid seed corn in two Iowa communities	0.5	0.31818181818181823	0.43999999999999995	0.5333333333333333	0.4444444444444444	0.3928571428571429	0.4	0.5161290322580645	0.5172413793103448	0.4411764705882353	0.40625	0.4666666666666667	0.3571428571428571
Trucking Activity Report	0.5652173913043479	0.64	0.56	0.4814814814814815	0.6071428571428572	0.5517241379310345	0.45833333333333337	0.4642857142857143	0.46153846153846156	0.5714285714285714	0.5882352941176471	0.5666666666666667	0.6129032258064516
What Matters to Drivers	0.4736842105263158	0.5714285714285714	0.6086956521739131	0.6296296296296297	0.6538461538461539	0.6428571428571428	0.5652173913043479	0.6551724137931034	0.6666666666666667	0.6470588235294117	0.6666666666666667	0.6551724137931034	0.6551724137931034
A case control study of heavy vehicle drivers working time and safety	0.41666666666666663	0.30434782608695654	0.36	0.3571428571428571	0.4285714285714286	0.3793103448275862	0.25	0.2857142857142857	0.3928571428571429	0.38235294117647056	0.4411764705882353	0.4	0.3448275862068966
2006 HOS Survey Results	0.72	0.7307692307692308	0.7037037037037037	0.6666666666666667	0.6896551724137931	0.71875	0.6666666666666667	0.6875	0.7	0.7105263157894737	0.6944444444444444	0.6451612903225806	0.6451612903225806
Work Schedules Before and After 2004 Hoursof Service Rule Change and Predictors of Reported Rule Violations in 2004 Survey of LongDistance Truck Drivers	0.5428571428571429	0.5555555555555556	0.5405405405405406	0.4473684210526315	0.575	0.5	0.4722222222222222	0.4358974358974359	0.4736842105263158	0.38095238095238093	0.4651162790697675	0.475	0.475
conversation with Qualcomm sales representative Angelo Matera and FMCSA	0.4814814814814815	0.4444444444444444	0.4285714285714286	0.25	0.4838709677419355	0.4375	0.33333333333333337	0.24137931034482762	0.5454545454545454	0.2941176470588235	0.4	0.4545454545454546	0.40625
SIC 4123 trucking except local	0.6428571428571428	0.6071428571428572	0.4814814814814815	0.5161290322580645	0.625	0.6176470588235294	0.5517241379310345	0.5	0.59375	0.625	0.641025641025641	0.6666666666666667	0.5454545454545454
Electronic OnBoard Recorders for HoursofService Compliance	0.5185185185185186	0.42307692307692313	0.4642857142857143	0.3448275862068966	0.3571428571428571	0.3666666666666667	0.37037037037037035	0.33333333333333337	0.4838709677419355	0.45945945945945943	0.4285714285714286	0.5294117647058824	0.48484848484848486
nan	0.875	0.8823529411764706	0.8947368421052632	0.9166666666666666	0.9090909090909091	0.92	0.9	0.9230769230769231	0.9130434782608696	0.9393939393939394	0.935483870967742	0.9230769230769231	0.9230769230769231
Docket 19608	0.8333333333333334	0.7916666666666666	0.76	0.8387096774193549	0.8275862068965517	0.84375	0.8148148148148149	0.8125	0.75	0.8461538461538461	0.8378378378378378	0.8484848484848485	0.7333333333333334
Electronic OnBoard Recorder RIA	0.5652173913043479	0.5217391304347826	0.6153846153846154	0.5357142857142857	0.6071428571428572	0.5	0.52	0.5666666666666667	0.5714285714285714	0.6842105263157895	0.6285714285714286	0.65625	0.6129032258064516
Hours of Service of Drivers Driver Rest and Sleep for Safe Operations	0.45833333333333337	0.48	0.4	0.33333333333333337	0.34615384615384615	0.4666666666666667	0.29166666666666663	0.43333333333333335	0.48275862068965514	0.4571428571428572	0.4242424242424242	0.4838709677419355	0.4838709677419355
Regulatory Impact Analysis and Small Business Impact Analysis for Hours of Service Options	0.5	0.4642857142857143	0.5	0.33333333333333337	0.4	0.3548387096774194	0.3571428571428571	0.32258064516129037	0.46875	0.4054054054054054	0.37142857142857144	0.47058823529411764	0.4242424242424242
Regulatory Impact Analysis and Small Business Impact Analysis for Hours of Service Options in Final Rule Hours of Service of Drivers	0.5333333333333333	0.5	0.53125	0.375	0.4375	0.3939393939393939	0.4	0.3125	0.4545454545454546	0.3513513513513513	0.3142857142857143	0.4571428571428572	0.4571428571428572
Bimodal distribution of REM sleep latency during forced desynchrony model implications	0.46153846153846156	0.36	0.4642857142857143	0.4	0.4137931034482759	0.040000000000000036	0.3076923076923077	0.33333333333333337	0.53125	0.41666666666666663	0.5526315789473684	0.5714285714285714	0.48484848484848486
Homeostatic and circadian components of subjective alertness interact in a nonadditive manner	0.4347826086956522	0.3913043478260869	0.43999999999999995	0.4285714285714286	0.09090909090909094	0.3928571428571429	0.33333333333333337	0.4137931034482759	0.5172413793103448	0.4411764705882353	0.5	0.5161290322580645	0.4666666666666667
Catastrophes Sleep and Public Policy Consensus Report	0.3913043478260869	0.34782608695652173	0.4	0.3928571428571429	0.4642857142857143	0.3571428571428571	0.36	0.43333333333333335	0.5333333333333333	0.4571428571428572	0.5142857142857142	0.4838709677419355	0.4838709677419355
Metaanalysis of the relationship between total sleep deprivation and performance	0.31818181818181823	0.2727272727272727	0.4	0.3928571428571429	0.34615384615384615	0.2962962962962963	0.29166666666666663	0.3793103448275862	0.5333333333333333	0.36363636363636365	0.47058823529411764	0.4838709677419355	0.43333333333333335
Effects of sleep deprivation on performance A metaanalysis	0.33333333333333337	0.2857142857142857	0.48	0.40740740740740744	0.36	0.37037037037037035	0.375	0.2692307692307693	0.3846153846153846	0.47058823529411764	0.48484848484848486	0.5	0.5
Interactive mathematical models of SUbjective alertness and cognitive throughput in humans	0.46153846153846156	0.42307692307692313	0.40740740740740744	0.4	0.23076923076923073	0.3666666666666667	0.3076923076923077	0.3870967741935484	0.53125	0.37142857142857144	0.4285714285714286	0.48484848484848486	0.33333333333333337
Competition Drives the Trucking Industry	0.48	0.43999999999999995	0.5357142857142857	0.5161290322580645	0.5333333333333333	0.4838709677419355	0.4444444444444444	0.4	0.5	0.4285714285714286	0.3939393939393939	0.5882352941176471	0.4516129032258065
Effects of sleep loss on sustained cognitive performance during a command and control simulation	0.40909090909090906	0.36363636363636365	0.41666666666666663	0.34615384615384615	0.29166666666666663	0.3076923076923077	0.2272727272727273	0.2692307692307693	0.4444444444444444	0.47058823529411764	0.5294117647058824	0.5483870967741935	0.3928571428571429
Human sleep its duration and organization depend on its circadian phase	0.40909090909090906	0.36363636363636365	0.41666666666666663	0.4642857142857143	0.36	0.37037037037037035	0.30434782608695654	0.4482758620689655	0.6	0.47058823529411764	0.5294117647058824	0.5483870967741935	0.4482758620689655
Circadian and sleepwake dependent aspects of subjective alertness and cognitive performance	0.5	0.4	0.3846153846153846	0.3214285714285714	0.2692307692307693	0.4	0.28	0.31034482758620685	0.5161290322580645	0.4	0.5	0.5588235294117647	0.4193548387096774
Rotating shift work sleep and accidents related to sleepiness in hospital nurses	0.4347826086956522	0.3913043478260869	0.2272727272727273	0.3076923076923077	0.4444444444444444	0.33333333333333337	0.09523809523809523	0.4137931034482759	0.5666666666666667	0.48571428571428577	0.5428571428571429	0.5161290322580645	0.4137931034482759
Microcomputer analyses of performance on a portable using simple visual reaction time task during sustained operations	0.41666666666666663	0.375	0.42307692307692313	0.3571428571428571	0.3076923076923077	0.2592592592592593	0.31999999999999995	0.2222222222222222	0.4482758620689655	0.38235294117647056	0.5277777777777778	0.5454545454545454	0.4516129032258065
Tractortrailer driver fatality the role of nonconnective rest in a sleep berth	0.25	0.2857142857142857	0.41666666666666663	0.4642857142857143	0.36	0.37037037037037035	0.30434782608695654	0.4482758620689655	0.5	0.4242424242424242	0.48484848484848486	0.4482758620689655	0.4482758620689655
Displacement of the sleep period and sleep deprivation	0.30000000000000004	0.25	0.3913043478260869	0.4444444444444444	0.33333333333333337	0.40740740740740744	0.2727272727272727	0.4285714285714286	0.4814814814814815	0.4545454545454546	0.46875	0.5333333333333333	0.4285714285714286
Ultrashort Sleepwaking Schedule 3 Gates and forbidden zones for sleep	0.5357142857142857	0.5	0.3076923076923077	0.4193548387096774	0.43333333333333335	0.4375	0.33333333333333337	0.4545454545454546	0.5882352941176471	0.43243243243243246	0.5263157894736843	0.5	0.4545454545454546
Sleepiness as a consequence of shift work	0.4782608695652174	0.4347826086956522	0.0	0.34615384615384615	0.42307692307692313	0.4285714285714286	0.30434782608695654	0.4482758620689655	0.4444444444444444	0.47058823529411764	0.48484848484848486	0.3928571428571429	0.4482758620689655
Sleep loss and performance no safe duration of a monotonous task	0.4545454545454546	0.33333333333333337	0.23809523809523814	0.3846153846153846	0.33333333333333337	0.40740740740740744	0.34782608695652173	0.3076923076923077	0.42307692307692313	0.5	0.5151515151515151	0.5333333333333333	0.4285714285714286
Manifest sleepiness and the spectral content of the EEG during shift work	0.48	0.43999999999999995	0.29166666666666663	0.3571428571428571	0.48275862068965514	0.3214285714285714	0.25	0.3448275862068966	0.5483870967741935	0.4722222222222222	0.5675675675675675	0.5454545454545454	0.4516129032258065
The circadian variation of experimentally displaced sleep	0.2857142857142857	0.23809523809523814	0.43999999999999995	0.48275862068965514	0.3846153846153846	0.3928571428571429	0.33333333333333337	0.4137931034482759	0.4642857142857143	0.4411764705882353	0.4545454545454546	0.4666666666666667	0.4137931034482759
Circadian rhythms in the secretion of cortisol adrenaline and noradrenaline	0.35	0.0	0.4347826086956522	0.4814814814814815	0.43999999999999995	0.3846153846153846	0.3913043478260869	0.40740740740740744	0.5185185185185186	0.48484848484848486	0.5	0.5172413793103448	0.4642857142857143
Body temperature and sleep at different times of day	0.4285714285714286	0.30000000000000004	0.4347826086956522	0.4814814814814815	0.375	0.31999999999999995	0.3913043478260869	0.40740740740740744	0.5185185185185186	0.5294117647058824	0.5454545454545454	0.5666666666666667	0.5172413793103448
The impact of work practices on fatigue in long distance truck drivers	0.41666666666666663	0.375	0.29166666666666663	0.3571428571428571	0.37037037037037035	0.3793103448275862	0.17391304347826086	0.3448275862068966	0.4482758620689655	0.38235294117647056	0.4411764705882353	0.4516129032258065	0.2857142857142857
Multiday driving patterns and motor carrier accident risk a disaggregate analysis	0.36363636363636365	0.3913043478260869	0.43999999999999995	0.37037037037037035	0.3846153846153846	0.33333333333333337	0.33333333333333337	0.23076923076923073	0.4642857142857143	0.4411764705882353	0.5428571428571429	0.5625	0.4666666666666667
Hybrid Corn An Exploration in the Economics of Technological Change	0.4814814814814815	0.31999999999999995	0.5333333333333333	0.46875	0.43333333333333335	0.33333333333333337	0.4482758620689655	0.3548387096774194	0.5	0.34285714285714286	0.4444444444444444	0.5	0.5
Factors associated with falling asleep at the wheel among longdistance truck drivers	0.41666666666666663	0.375	0.29166666666666663	0.3571428571428571	0.37037037037037035	0.3793103448275862	0.17391304347826086	0.2857142857142857	0.5	0.38235294117647056	0.4411764705882353	0.4516129032258065	0.3448275862068966
The effects of regularizing sleepwake schedules on daytime sleepiness 	0.43999999999999995	0.33333333333333337	0.31999999999999995	0.43333333333333335	0.4482758620689655	0.3448275862068966	0.28	0.3666666666666667	0.4666666666666667	0.4	0.4571428571428572	0.46875	0.3666666666666667
Do Electronic Logbooks Contribute to Motor Carrier Safety Performance	0.6333333333333333	0.4444444444444444	0.48275862068965514	0.46875	0.53125	0.3870967741935484	0.5483870967741935	0.30000000000000004	0.3448275862068966	0.43243243243243246	0.5641025641025641	0.5428571428571429	0.5
Shiftwork and Performance	0.5652173913043479	0.38095238095238093	0.36363636363636365	0.5357142857142857	0.5555555555555556	0.5517241379310345	0.45833333333333337	0.5172413793103448	0.46153846153846156	0.5714285714285714	0.5454545454545454	0.5172413793103448	0.40740740740740744
Black times temporal determinants of transport safety	0.38095238095238093	0.25	0.3913043478260869	0.5	0.4	0.34615384615384615	0.41666666666666663	0.37037037037037035	0.4814814814814815	0.5428571428571429	0.5588235294117647	0.5806451612903225	0.5333333333333333
Concepts and Models of Sleep Regulation An overview	0.5	0.46153846153846156	0.3846153846153846	0.04166666666666663	0.4482758620689655	0.4	0.20833333333333337	0.25	0.5161290322580645	0.3529411764705882	0.4571428571428572	0.46875	0.4193548387096774
Sustained work fatigue sleeps loss and performance a review of the issues	0.41666666666666663	0.375	0.21739130434782605	0.2962962962962963	0.37037037037037035	0.3793103448275862	0.17391304347826086	0.2857142857142857	0.4482758620689655	0.38235294117647056	0.4411764705882353	0.4516129032258065	0.2857142857142857
The Walter Reed performance assessment battery	0.36363636363636365	0.31818181818181823	0.5	0.5333333333333333	0.4444444444444444	0.33333333333333337	0.4	0.5161290322580645	0.5666666666666667	0.48571428571428577	0.5428571428571429	0.5625	0.5161290322580645
We are chronically sleep deprived	0.0	0.35	0.4782608695652174	0.5185185185185186	0.48	0.4814814814814815	0.36363636363636365	0.5	0.6071428571428572	0.5588235294117647	0.5757575757575757	0.5517241379310345	0.5517241379310345
