	Association of American Railroads (AAR), before U.S. House of Representatives Subcommittee on Railroads,	Car Performance Standards NPRM - RIA NTSB, “Derailment of Canadian Pacific Railway Freight Train 292-16 and Subsequent Release of Anhydrous Ammonia Near	Sign Safety Pact, Traffic World	Car Performance Standards NPRM - RIA “Economic Analysis of Federal Regulations Under Executive Order 12866.” http://www.whitehouse.gov/OMB/inforeg/riaguide.html,	Highway Business Report Fewer Customers,” Augusta Chronicle,	Statement to the docket by the Dow Chemical Company,	Alternative Technologies to Railroad Tank Car Placarding.” Texas Transportation Institute,	Car Performance Standards NPRM - RIA AEI-Brookings Joint Center for Regulatory Studies, “Interests of Amici Curiae: American Trucking Associations,	Abbreviated Injury Scale _____________________________________________________________________________ The Abbreviated Injury Scale (AIS) was &quot;[f]irst published in 1971 under the joint sponsorship of the American Medical Association; the Society of Automotive Engineers; and the Association for the Advancement of Automotive Medicine (formerly the American Association for Automotive Medicine).&quot; The AIS was originally developed for impact injury assessment.	(Produced by the University of California, San Francisco and The John Hopkins University for the National Highway Traffic Satey Administation and the Centers for Disease Control)	Railroad Injury: Causes, Costs, and Comparisons with other Transport Modes,” Journal of Safety Research,
Public meeting statement by Manager Fleet Engineer American Railcar Industries	0.8163265306122449	0.7748344370860927	0.782051282051282	0.8235294117647058	0.782051282051282	0.7307692307692307	0.7777777777777778	0.7569444444444444	0.8514588859416445	0.7885714285714286	0.8118811881188119
Public meeting statement by Manager Technical Research	0.8061224489795918	0.8211920529801324	0.7222222222222222	0.8496732026143791	0.8333333333333334	0.7222222222222222	0.7777777777777778	0.8194444444444444	0.8938992042440318	0.8171428571428572	0.7326732673267327
Statement of Edward Hamberger President and CEO Association of American Railroads before US House of Representatives Subcommittee on Railroads	0.36619718309859156	0.7880794701986755	0.8591549295774648	0.8366013071895425	0.8169014084507042	0.7887323943661971	0.7887323943661971	0.8472222222222222	0.7824933687002652	0.7828571428571428	0.7323943661971831
Statement to the docket by the Dow Chemical Company	0.8061224489795918	0.8410596026490066	0.7843137254901961	0.8627450980392157	0.8166666666666667	0.0	0.8	0.7916666666666666	0.8885941644562334	0.8171428571428572	0.801980198019802
Testimony of Fred Morscheck from the McGregor Company	0.7653061224489796	0.8410596026490066	0.8113207547169812	0.8300653594771242	0.8166666666666667	0.6037735849056604	0.8111111111111111	0.8194444444444444	0.8859416445623343	0.8171428571428572	0.801980198019802
Testimony of Joe Giesler from Terra Industries 	0.7653061224489796	0.8344370860927153	0.7872340425531915	0.8366013071895425	0.7833333333333333	0.803921568627451	0.7777777777777778	0.8194444444444444	0.896551724137931	0.8114285714285714	0.7821782178217822
Testimony of Wolf Anderson	0.8469387755102041	0.8807947019867549	0.8666666666666667	0.8823529411764706	0.8333333333333334	0.7843137254901961	0.8222222222222222	0.8819444444444444	0.9363395225464191	0.8742857142857143	0.8514851485148515
Transcript of May 31  June 1 2006 public meeting in docket no FRA 25169	0.7857142857142857	0.8079470198675497	0.8591549295774648	0.8366013071895425	0.8732394366197183	0.8028169014084507	0.8111111111111111	0.8125	0.8806366047745358	0.8057142857142857	0.8217821782178217
BenefitCost Analysis of Using Type 105 Tank Cars Instead of Type 111 Tank Cars to Ship EnvironmentallySensitive Chemicals	0.7933884297520661	0.8145695364238411	0.8677685950413223	0.8169934640522876	0.7851239669421488	0.8181818181818182	0.7520661157024794	0.8125	0.8249336870026526	0.7657142857142857	0.7768595041322314
Interests of Amici Curiae American Trucking Association Inc et al v Carol Browner Administrator of the Environmental Protection Agency et al	0.7428571428571429	0.8278145695364238	0.8928571428571429	0.8366013071895425	0.8071428571428572	0.8	0.7214285714285714	0.7847222222222222	0.76657824933687	0.7257142857142858	0.7785714285714286
Norfolk Southern Railway Annual Report	0.7959183673469388	0.8344370860927153	0.8157894736842105	0.8627450980392157	0.8333333333333334	0.7843137254901961	0.7777777777777778	0.8541666666666666	0.9204244031830239	0.8457142857142858	0.8118811881188119
Norfolk Southern Railway Quarterly Financial Review Fourth Quarter	0.7448979591836735	0.7880794701986755	0.7878787878787878	0.8169934640522876	0.8484848484848485	0.8181818181818182	0.7777777777777778	0.7986111111111112	0.883289124668435	0.8171428571428572	0.7623762376237624
Alternative Technologies to Railroad Tank Car Placarding	0.7959183673469388	0.8211920529801324	0.8035714285714286	0.8366013071895425	0.8666666666666667	0.75	0.37777777777777777	0.8055555555555556	0.8885941644562334	0.8114285714285714	0.801980198019802
Ammonia the Story Behind the Gas	0.8061224489795918	0.8675496688741722	0.90625	0.8758169934640523	0.8166666666666667	0.6862745098039216	0.8222222222222222	0.8680555555555556	0.9283819628647215	0.8628571428571429	0.8217821782178217
Chlorine	0.9489795918367347	0.9536423841059603	0.9333333333333333	0.954248366013072	0.9166666666666666	0.9019607843137255	0.9222222222222223	0.9513888888888888	0.9814323607427056	0.96	0.9405940594059405
Chlorines Casualties and Counsel Nations worst chlorine gas leak wreaked havoc but research reveals lessons learned	0.7913043478260869	0.7615894039735099	0.8695652173913043	0.7973856209150327	0.7913043478260869	0.7739130434782608	0.7739130434782608	0.7638888888888888	0.8143236074270557	0.7542857142857143	0.7391304347826086
Circular A4 Regulatory Analysis	0.8163265306122449	0.8675496688741722	0.8709677419354839	0.869281045751634	0.8	0.8431372549019608	0.8333333333333334	0.8333333333333334	0.9310344827586207	0.8857142857142857	0.8316831683168316
Data from Earl Hunter	0.8469387755102041	0.9006622516556292	0.8	0.8954248366013072	0.85	0.8627450980392157	0.8666666666666667	0.8958333333333334	0.9496021220159151	0.92	0.8514851485148515
Element properties of chlorine	0.8367346938775511	0.8675496688741722	0.8666666666666667	0.8758169934640523	0.75	0.6862745098039216	0.8	0.8472222222222222	0.9257294429708223	0.88	0.8316831683168316
Information extracted from the RSIAAR Railroad Tank Car Saftey Research Test Project	0.7755102040816326	0.7615894039735099	0.8095238095238095	0.8104575163398693	0.8214285714285714	0.7857142857142857	0.7222222222222222	0.7916666666666666	0.8620689655172413	0.7714285714285715	0.7920792079207921
PIH Risk Analysis Presentation	0.7959183673469388	0.8741721854304636	0.9333333333333333	0.8562091503267973	0.8166666666666667	0.8431372549019608	0.8	0.8472222222222222	0.9389920424403183	0.88	0.8514851485148515
Propulsion Resistance	0.8673469387755102	0.8940397350993378	0.9	0.9019607843137255	0.8	0.8823529411764706	0.8444444444444444	0.8888888888888888	0.9496021220159151	0.8971428571428571	0.8613861386138614
Risk Analysis of Rail Transport of Chlorine  Ammonia on US railroad Mainlines	0.7653061224489796	0.7947019867549668	0.7922077922077922	0.7973856209150327	0.7792207792207793	0.8051948051948052	0.7777777777777778	0.7708333333333334	0.8461538461538461	0.7657142857142857	0.7326732673267327
The Abbreviated Injury Scale as Measurement of Bicyclists Minor Injuries	0.7755102040816326	0.7947019867549668	0.8055555555555556	0.7973856209150327	0.7916666666666666	0.8055555555555556	0.8111111111111111	0.7847222222222222	0.8249336870026526	0.7942857142857143	0.7821782178217822
The Chlorine Institute	0.8673469387755102	0.9072847682119205	0.9	0.9084967320261438	0.8	0.8627450980392157	0.7777777777777778	0.8958333333333334	0.946949602122016	0.8971428571428571	0.8514851485148515
UP Down Sign Safety Pact	0.8775510204081632	0.8940397350993378	0.7333333333333333	0.9084967320261438	0.85	0.8431372549019608	0.8777777777777778	0.8819444444444444	0.9522546419098143	0.9028571428571428	0.8415841584158416
Using Agricultural Anhydrous Ammonia Safely 	0.7653061224489796	0.8145695364238411	0.8181818181818182	0.869281045751634	0.8166666666666667	0.8627450980392157	0.8444444444444444	0.8541666666666666	0.9071618037135278	0.8514285714285714	0.7920792079207921
Volpe Center research	0.8673469387755102	0.9139072847682119	0.8333333333333334	0.9019607843137255	0.8	0.8235294117647058	0.8666666666666667	0.8819444444444444	0.9522546419098143	0.9028571428571428	0.8316831683168316
Emergency Response Planning Committee Procedures and Responsibilities	0.7857142857142857	0.8013245033112583	0.8260869565217391	0.8104575163398693	0.782608695652174	0.8115942028985508	0.7666666666666667	0.7777777777777778	0.8726790450928382	0.8	0.7722772277227723
The Abbreviated Injury Scale 1990 revision	0.8163265306122449	0.8675496688741722	0.8571428571428571	0.8627450980392157	0.8166666666666667	0.8235294117647058	0.8222222222222222	0.8402777777777778	0.8938992042440318	0.8742857142857143	0.8514851485148515
71 FR 30019	0.9693877551020408	0.9735099337748344	0.9333333333333333	0.9673202614379085	0.95	0.9607843137254902	0.9666666666666667	0.9791666666666666	0.9893899204244032	0.9828571428571429	0.9801980198019802
49 CFR Part 213	0.9387755102040817	0.9337748344370861	0.8	0.9477124183006536	0.9	0.9215686274509803	0.9111111111111111	0.9513888888888888	0.9814323607427056	0.9542857142857143	0.9306930693069307
71 FR 12259	0.9693877551020408	0.9668874172185431	0.9333333333333333	0.9607843137254902	0.95	0.9607843137254902	0.9666666666666667	0.9791666666666666	0.9893899204244032	0.9828571428571429	0.9801980198019802
71 FR 37974	0.9693877551020408	0.9735099337748344	0.9333333333333333	0.9738562091503268	0.95	0.9607843137254902	0.9666666666666667	0.9791666666666666	0.9893899204244032	0.9828571428571429	0.9801980198019802
Statement to the docket by the Chlorine Institute Inc	0.7857142857142857	0.8211920529801324	0.8301886792452831	0.8366013071895425	0.8333333333333334	0.37735849056603776	0.7222222222222222	0.8055555555555556	0.883289124668435	0.8057142857142857	0.801980198019802
TCC Docket T 872	0.9387755102040817	0.9271523178807947	0.8333333333333334	0.9477124183006536	0.9	0.8431372549019608	0.9111111111111111	0.9375	0.9761273209549072	0.9485714285714286	0.9207920792079208
Docket Submission USDOTFRA docket number 25169 p1	0.8061224489795918	0.8741721854304636	0.8163265306122449	0.8562091503267973	0.8333333333333334	0.9019607843137255	0.8555555555555555	0.8611111111111112	0.9151193633952255	0.8685714285714285	0.8316831683168316
Economic Analysis of Federal Regulations Under Executive Order 12866	0.7653061224489796	0.8079470198675497	0.8235294117647058	0.5555555555555556	0.8088235294117647	0.8529411764705882	0.8	0.7430555555555556	0.8779840848806366	0.8228571428571428	0.7920792079207921
Railroad Injury Causes Costs and Comparisons with other Transport Modes	0.7959183673469388	0.8079470198675497	0.7887323943661971	0.7973856209150327	0.8028169014084507	0.8169014084507042	0.7333333333333333	0.7638888888888888	0.8541114058355438	0.7828571428571428	0.297029702970297
CostBenefit Default Principles	0.8367346938775511	0.8675496688741722	0.8666666666666667	0.8823529411764706	0.8	0.803921568627451	0.8444444444444444	0.8611111111111112	0.9336870026525199	0.8914285714285715	0.8514851485148515
