	Regulatory Impact Analysis Heavy‐Duty Engine and Vehicle Standards and Highway Diesel Fuel Sulfur Control Requirements US Environmental Protection Agency Office of Transportation and Air Quality Assessment and Standards Division	Environmental Protection Agency EPA 2005a Clean Air Interstate Rule Emissions Inventory Technical Support Document US Environmental Protection Agency Office of Air Quality Planning and Standards	Emissions Inventory and Emissions Processing for the Clean Air Mercury Rule CAMR US Environmental Protection Agency Office of Air Quality Planning and Standards	Environmental Protection Agency EPA 2007b Proposed Emission Standards for New Nonroad Spark‐Ignition Engines Equipment and Vessels	Environmental Protection Agency EPA 2008a Air Quality Modeling Platform for the Ozone National Ambient Air Quality Standard Final Rule Regulatory Impact Analysis North Carolina	Environmental Protection Agency EPA 2008b Final Ozone NAAQS Regulatory Impact Analysis US Environmental Protection Agency Office of Air Quality Planning and Standards	Environmental Protection Agency EPA	Development and applications of a standard visual index	Cardiopulmonary Mortality and Longterm Exposure to Fine Particulate Air Pollution”	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the US Environ Sci Technol	Oxidants and Asthmatics in Los Angeles A Benefits Analysis  Executive Summary Prepared for US Environmental Protection Agency Office of Policy Analysis Prepared by Energy and Resource Consultants	Ambient air pollution and asthma exacerbations in children an eightcity analysis	Guidelines for Preparing Economic Analyses	Letter to Recipients of Third Draft EPA PM Criteria Document National Center for Environmental Assessment	Air Quality Criteria for Particulate Matter Volume I	Regulatory Impact Analysis for the Final Clean Air Interstate Rule	Regulatory Impact Analysis	Willingness to Pay for Environmental	Forest Inventory and Analysis National Program Forest Inventory Data Online Online database US Department of Agriculture Forest Service Forest Inventory and Analysis	Investigations and Monitoring of Mercury in Indiana by the US Geological Survey	Episodic acidification of small streams in the northeastern United States Fish mortality in field bioassays	Pricing Environmental Health Risks Survey Assessments of RiskRisk and RiskDollar TradeOffs for Chronic Bronchitis”	The Value of a Statistical Life A Critical Review of Market Estimates throughout the World”	Effect of shortterm exposure to low levels of gaseous pollutants on chronic obstructive pulmonary disease hospitalizations	Association between ozone and respiratory admissions among children and the elderly in Vancouver	Chapter 6 Cost Analysis Approach and Results Commercial and Institutional	Pechan and Associates and Industrial Economics Direct Cost Estimates for the Clean Air Act Second Section 812 Prospective Analysis Draft Report prepared for US EPA Office of Air and Radiation	Learning and Cost Reductions for Generating Technologies in the National Energy Modeling System NEMS	Proposed Approach for Expanding the Treatment of Learning Curve Impacts for the Second Section 812 Prospective Analysis Memorandum prepared for US EPA Office of Air and Radiation	Sulfur Dioxide Control by Electric Utilities What Are the Gains from Trade”	Ex Post Evaluation of Tradable Permits The US	Testimony of Jeffrey Holmstead Assistant Administrator Office of Air	Are the costs of proposed environmental regulations overestimated	The Clean Air Act Amendment Spurring Innovation and Growth While Cleaning the Air	Incorporating Technological Learning in the Coal Utility Environmental Cost CUECost Model Estimating the Future Cost Trends of SO2 NOx and Mercury Control Technologies” Prepared for ARCADIS Geraghty and Miller Research Triangle Park NC 27711 Available at httpstepsucdaviseduPeopleslyehsyeh‐ resourcesDrft20Fnl20Rpt20Lrng20for20CUECostv3pdf	Census Bureau	f No data on budget or revenues for this NAICS code is included
Environmental Benefits and Mapping Program Version 30	0.39682539682539686	0.3448275862068966	0.3207547169811321	0.3220338983050848	0.33333333333333337	0.3448275862068966	0.30000000000000004	0.2857142857142857	0.33333333333333337	0.3214285714285714	0.3090909090909091	0.36363636363636365	0.2727272727272727	0.2941176470588235	0.39534883720930236	0.3913043478260869	0.38095238095238093	0.2195121951219512	0.34615384615384615	0.36170212765957444	0.33333333333333337	0.368421052631579	0.38181818181818183	0.29166666666666663	0.3191489361702128	0.4222222222222223	0.38181818181818183	0.36	0.35593220338983056	0.4814814814814815	0.30434782608695654	0.39534883720930236	0.2558139534883721	0.41666666666666663	0.4084507042253521	0.5625	0.3913043478260869
Expanded Expert Judgment Assessment of the ConcentrationResponse Relationship Between PM25 Exposure and Mortality	0.295774647887324	0.21212121212121215	0.21311475409836067	0.31343283582089554	0.23529411764705888	0.303030303030303	0.33333333333333337	0.31999999999999995	0.22033898305084743	0.1875	0.17460317460317465	0.23076923076923073	0.23076923076923073	0.22033898305084743	0.33333333333333337	0.2222222222222222	0.28	0.34693877551020413	0.33333333333333337	0.34545454545454546	0.3207547169811321	0.2615384615384615	0.3015873015873016	0.2142857142857143	0.2727272727272727	0.24528301886792447	0.23809523809523814	0.24137931034482762	0.19402985074626866	0.32258064516129037	0.33333333333333337	0.33333333333333337	0.2549019607843137	0.3214285714285714	0.31645569620253167	0.55	0.33333333333333337
Guidelines for Preparing Economic  Analyses External Review Draft	0.25373134328358204	0.22580645161290325	0.22807017543859653	0.2698412698412699	0.28125	0.25806451612903225	0.2272727272727273	0.17391304347826086	0.23636363636363633	0.23333333333333328	0.18644067796610164	0.20833333333333337	0.125	0.19999999999999996	0.36170212765957444	0.24	0.21739130434782605	0.24444444444444446	0.2142857142857143	0.2941176470588235	0.30612244897959184	0.24590163934426235	0.3220338983050848	0.15384615384615385	0.21568627450980393	0.26530612244897955	0.22033898305084743	0.2592592592592593	0.23809523809523814	0.27586206896551724	0.28	0.3191489361702128	0.19148936170212771	0.2692307692307693	0.30666666666666664	0.6111111111111112	0.31999999999999995
Guidelines for Preparing Economic Analyses	0.34426229508196726	0.2857142857142857	0.2549019607843137	0.29824561403508776	0.31034482758620685	0.2857142857142857	0.21052631578947367	0.25	0.22448979591836737	0.2592592592592593	0.24528301886792447	0.19047619047619047	0.0	0.26530612244897955	0.31707317073170727	0.2272727272727273	0.19999999999999996	0.23076923076923073	0.24	0.28888888888888886	0.2558139534883721	0.3090909090909091	0.39622641509433965	0.21739130434782605	0.24444444444444446	0.2558139534883721	0.28301886792452835	0.25	0.29824561403508776	0.3076923076923077	0.31818181818181823	0.2682926829268293	0.1707317073170732	0.30434782608695654	0.3913043478260869	0.5333333333333333	0.31818181818181823
Integrated Science Assessment for Particulate Matter External Review Draft	0.25373134328358204	0.22580645161290325	0.1578947368421053	0.2698412698412699	0.25	0.25806451612903225	0.2727272727272727	0.21739130434782605	0.2727272727272727	0.19999999999999996	0.22033898305084743	0.29166666666666663	0.25	0.19999999999999996	0.3191489361702128	0.28	0.26086956521739135	0.28888888888888886	0.2142857142857143	0.2549019607843137	0.34693877551020413	0.24590163934426235	0.2542372881355932	0.23076923076923073	0.2941176470588235	0.30612244897959184	0.22033898305084743	0.2592592592592593	0.2063492063492064	0.31034482758620685	0.24	0.36170212765957444	0.23404255319148937	0.2692307692307693	0.30666666666666664	0.6111111111111112	0.24
Integrated Science Assessment for Sulfur Oxides  Health Criteria Final Report	0.22388059701492535	0.22580645161290325	0.19298245614035092	0.3650793650793651	0.21875	0.25806451612903225	0.40909090909090906	0.26086956521739135	0.2727272727272727	0.19999999999999996	0.18644067796610164	0.20833333333333337	0.29166666666666663	0.2727272727272727	0.36170212765957444	0.12	0.21739130434782605	0.4222222222222223	0.2142857142857143	0.2941176470588235	0.26530612244897955	0.24590163934426235	0.3220338983050848	0.2692307692307693	0.2941176470588235	0.18367346938775508	0.22033898305084743	0.2592592592592593	0.2063492063492064	0.31034482758620685	0.31999999999999995	0.276595744680851	0.19148936170212771	0.23076923076923073	0.30666666666666664	0.5555555555555556	0.19999999999999996
Letter to Recipients of Third Draft EPA PM Criteria Document	0.29230769230769227	0.23333333333333328	0.23636363636363633	0.4098360655737705	0.29032258064516125	0.3666666666666667	0.38095238095238093	0.2727272727272727	0.24528301886792447	0.24137931034482762	0.22807017543859653	0.30434782608695654	0.26086956521739135	0.05660377358490565	0.33333333333333337	0.25	0.31818181818181823	0.39534883720930236	0.33333333333333337	0.3877551020408163	0.3191489361702128	0.2542372881355932	0.26315789473684215	0.31999999999999995	0.34693877551020413	0.23404255319148937	0.22807017543859653	0.1923076923076923	0.21311475409836067	0.2857142857142857	0.29166666666666663	0.33333333333333337	0.24444444444444446	0.31999999999999995	0.31506849315068497	0.5294117647058824	0.33333333333333337
Maple Syrup � June 12 2008 Maple Syrup Production Up 30 Percent Nationwide	0.4626865671641791	0.3870967741935484	0.4035087719298246	0.3650793650793651	0.34375	0.32258064516129037	0.4545454545454546	0.4347826086956522	0.4181818181818182	0.3666666666666667	0.423728813559322	0.41666666666666663	0.41666666666666663	0.4181818181818182	0.44680851063829785	0.48	0.4347826086956522	0.5111111111111111	0.3571428571428571	0.37254901960784315	0.3877551020408163	0.5081967213114754	0.5254237288135593	0.42307692307692313	0.4117647058823529	0.4285714285714286	0.3220338983050848	0.40740740740740744	0.33333333333333337	0.48275862068965514	0.43999999999999995	0.44680851063829785	0.44680851063829785	0.42307692307692313	0.3866666666666667	0.6666666666666667	0.43999999999999995
Mercury in fish bed sediment and water from streams across the United States 1998�2005	0.4411764705882353	0.33333333333333337	0.3448275862068966	0.375	0.32307692307692304	0.33333333333333337	0.5111111111111111	0.4042553191489362	0.4642857142857143	0.34426229508196726	0.3666666666666667	0.34693877551020413	0.4285714285714286	0.4285714285714286	0.45833333333333337	0.4117647058823529	0.44680851063829785	0.4782608695652174	0.368421052631579	0.2692307692307693	0.28	0.4516129032258065	0.43333333333333335	0.3207547169811321	0.34615384615384615	0.4	0.30000000000000004	0.34545454545454546	0.3125	0.35593220338983056	0.33333333333333337	0.41666666666666663	0.375	0.4339622641509434	0.39473684210526316	0.6216216216216216	0.37254901960784315
OffHighway Vehicle Recreation in the United States Regions and States A National Report from the National Survey on Recreation and the Environment	0.17142857142857137	0.19999999999999996	0.16666666666666663	0.24242424242424243	0.22388059701492535	0.19999999999999996	0.3191489361702128	0.30612244897959184	0.3448275862068966	0.23809523809523814	0.16129032258064513	0.2549019607843137	0.2549019607843137	0.24137931034482762	0.4	0.24528301886792447	0.26530612244897955	0.33333333333333337	0.18644067796610164	0.2592592592592593	0.23076923076923073	0.21875	0.25806451612903225	0.19999999999999996	0.18518518518518523	0.2692307692307693	0.19354838709677424	0.22807017543859653	0.21212121212121215	0.3114754098360656	0.28301886792452835	0.28	0.19999999999999996	0.2727272727272727	0.3076923076923077	0.641025641025641	0.24528301886792447
Oxidants and Asthmatics in Los Angeles A Benefits Analysis  Executive Summary	0.303030303030303	0.24590163934426235	0.1785714285714286	0.32258064516129037	0.2698412698412699	0.2786885245901639	0.2558139534883721	0.24444444444444446	0.2592592592592593	0.22033898305084743	0.10344827586206895	0.19148936170212771	0.23404255319148937	0.2592592592592593	0.3913043478260869	0.26530612244897955	0.28888888888888886	0.2727272727272727	0.23636363636363633	0.24	0.25	0.19999999999999996	0.27586206896551724	0.17647058823529416	0.24	0.29166666666666663	0.24137931034482762	0.2075471698113207	0.19354838709677424	0.26315789473684215	0.22448979591836737	0.26086956521739135	0.17391304347826086	0.2941176470588235	0.32432432432432434	0.5428571428571429	0.22448979591836737
Profile of the Annual Fall Foliage Tourist in Vermont Travel Year 2001	0.3538461538461538	0.30000000000000004	0.34545454545454546	0.34426229508196726	0.32258064516129037	0.33333333333333337	0.33333333333333337	0.36363636363636365	0.39622641509433965	0.31034482758620685	0.368421052631579	0.34782608695652173	0.34782608695652173	0.3207547169811321	0.37777777777777777	0.29166666666666663	0.36363636363636365	0.3023255813953488	0.33333333333333337	0.3877551020408163	0.4042553191489362	0.35593220338983056	0.368421052631579	0.36	0.30612244897959184	0.4042553191489362	0.33333333333333337	0.3846153846153846	0.3114754098360656	0.4285714285714286	0.29166666666666663	0.37777777777777777	0.24444444444444446	0.36	0.36986301369863017	0.5882352941176471	0.33333333333333337
Technical Support Document Calculating Benefit PerTon estimates Ozone NAAQS Docket EPAHQOAR200702250284	0.28205128205128205	0.17808219178082196	0.2941176470588235	0.32432432432432434	0.19999999999999996	0.23287671232876717	0.4545454545454546	0.4385964912280702	0.4242424242424242	0.352112676056338	0.2857142857142857	0.423728813559322	0.38983050847457623	0.2727272727272727	0.4482758620689655	0.34426229508196726	0.4035087719298246	0.4642857142857143	0.34328358208955223	0.4838709677419355	0.43333333333333335	0.2222222222222222	0.37142857142857144	0.39682539682539686	0.4193548387096774	0.4	0.2571428571428571	0.32307692307692304	0.2702702702702703	0.3913043478260869	0.4098360655737705	0.4137931034482759	0.3793103448275862	0.39682539682539686	0.2790697674418605	0.6170212765957447	0.3770491803278688
The Benefits and Costs of the Clean Air Act 1990 to 2010 EPA Report to Congress Office of Air and Radiation Office of Policy	0.30434782608695654	0.1875	0.2542372881355932	0.3538461538461538	0.24242424242424243	0.28125	0.34782608695652173	0.41666666666666663	0.33333333333333337	0.29032258064516125	0.21311475409836067	0.31999999999999995	0.28	0.26315789473684215	0.4285714285714286	0.2692307692307693	0.33333333333333337	0.36170212765957444	0.3448275862068966	0.39622641509433965	0.33333333333333337	0.23809523809523814	0.3770491803278688	0.33333333333333337	0.3584905660377359	0.2941176470588235	0.21311475409836067	0.2857142857142857	0.19999999999999996	0.3666666666666667	0.3846153846153846	0.30612244897959184	0.30612244897959184	0.37037037037037035	0.2987012987012987	0.5789473684210527	0.34615384615384615
The Benefits and Costs of the Clean Air Act 1990�2010	0.46031746031746035	0.3448275862068966	0.39622641509433965	0.4576271186440678	0.4	0.4482758620689655	0.44999999999999996	0.38095238095238093	0.4509803921568627	0.3928571428571429	0.38181818181818183	0.36363636363636365	0.40909090909090906	0.33333333333333337	0.4418604651162791	0.34782608695652173	0.4285714285714286	0.46341463414634143	0.46153846153846156	0.4042553191489362	0.37777777777777777	0.368421052631579	0.4181818181818182	0.41666666666666663	0.4042553191489362	0.33333333333333337	0.34545454545454546	0.36	0.35593220338983056	0.37037037037037035	0.3913043478260869	0.3023255813953488	0.3023255813953488	0.375	0.43661971830985913	0.5	0.30434782608695654
Updated Outdoor Recreation Use Values With Emphasis On National Park Recreation Final Report	0.303030303030303	0.3114754098360656	0.2857142857142857	0.3548387096774194	0.3015873015873016	0.2786885245901639	0.39534883720930236	0.33333333333333337	0.33333333333333337	0.3220338983050848	0.27586206896551724	0.3191489361702128	0.3191489361702128	0.2592592592592593	0.4347826086956522	0.30612244897959184	0.33333333333333337	0.36363636363636365	0.2727272727272727	0.4	0.25	0.33333333333333337	0.3448275862068966	0.33333333333333337	0.31999999999999995	0.29166666666666663	0.27586206896551724	0.3207547169811321	0.32258064516129037	0.368421052631579	0.30612244897959184	0.3913043478260869	0.30434782608695654	0.37254901960784315	0.3513513513513513	0.6	0.3877551020408163
Valuation of Reductions in Human Health Symptoms and Risks	0.32258064516129037	0.33333333333333337	0.3076923076923077	0.3448275862068966	0.35593220338983056	0.368421052631579	0.4358974358974359	0.2682926829268293	0.4	0.34545454545454546	0.2962962962962963	0.2558139534883721	0.3023255813953488	0.31999999999999995	0.38095238095238093	0.24444444444444446	0.2682926829268293	0.4	0.33333333333333337	0.30434782608695654	0.2272727272727273	0.2857142857142857	0.33333333333333337	0.276595744680851	0.26086956521739135	0.2272727272727273	0.2962962962962963	0.26530612244897955	0.3448275862068966	0.3584905660377359	0.33333333333333337	0.2857142857142857	0.23809523809523814	0.36170212765957444	0.4285714285714286	0.6129032258064516	0.33333333333333337
Willingness to Pay for Environmental Health Risk Reductions when there are Varying Degrees of Life Expectancy A White Paper	0.2222222222222222	0.25373134328358204	0.25806451612903225	0.2647058823529411	0.30434782608695654	0.31343283582089554	0.30612244897959184	0.2549019607843137	0.2666666666666667	0.2615384615384615	0.1875	0.24528301886792447	0.24528301886792447	0.19999999999999996	0.3846153846153846	0.2727272727272727	0.2941176470588235	0.28	0.2786885245901639	0.3571428571428571	0.33333333333333337	0.21212121212121215	0.21875	0.19298245614035092	0.2142857142857143	0.2962962962962963	0.25	0.288135593220339	0.23529411764705888	0.3015873015873016	0.3090909090909091	0.34615384615384615	0.23076923076923073	0.29824561403508776	0.30000000000000004	0.6585365853658536	0.34545454545454546
A New National Park Visibility Value Estimates	0.4098360655737705	0.4285714285714286	0.37254901960784315	0.26315789473684215	0.3793103448275862	0.3571428571428571	0.26315789473684215	0.4	0.34693877551020413	0.37037037037037035	0.3584905660377359	0.2857142857142857	0.2857142857142857	0.34693877551020413	0.31707317073170727	0.36363636363636365	0.30000000000000004	0.28205128205128205	0.31999999999999995	0.4222222222222223	0.34883720930232553	0.38181818181818183	0.39622641509433965	0.30434782608695654	0.24444444444444446	0.34883720930232553	0.39622641509433965	0.375	0.4385964912280702	0.3846153846153846	0.31818181818181823	0.36585365853658536	0.36585365853658536	0.4347826086956522	0.4492753623188406	0.5333333333333333	0.36363636363636365
Ecosystems and Human Wellbeing Synthesis	0.3770491803278688	0.3571428571428571	0.2941176470588235	0.368421052631579	0.3448275862068966	0.3571428571428571	0.3157894736842105	0.35	0.34693877551020413	0.2962962962962963	0.28301886792452835	0.19047619047619047	0.2857142857142857	0.3877551020408163	0.46341463414634143	0.31818181818181823	0.30000000000000004	0.28205128205128205	0.31999999999999995	0.24444444444444446	0.2093023255813954	0.3090909090909091	0.3584905660377359	0.21739130434782605	0.24444444444444446	0.3023255813953488	0.3584905660377359	0.25	0.368421052631579	0.2692307692307693	0.2727272727272727	0.31707317073170727	0.2682926829268293	0.30434782608695654	0.4492753623188406	0.6	0.2727272727272727
Introduction to visibility	0.49090909090909096	0.43999999999999995	0.37777777777777777	0.4117647058823529	0.42307692307692313	0.4	0.375	0.2941176470588235	0.4418604651162791	0.375	0.4042553191489362	0.2777777777777778	0.38888888888888884	0.4418604651162791	0.4285714285714286	0.368421052631579	0.2941176470588235	0.3939393939393939	0.31818181818181823	0.23076923076923073	0.3513513513513513	0.4693877551020408	0.5319148936170213	0.30000000000000004	0.28205128205128205	0.29729729729729726	0.4042553191489362	0.4285714285714286	0.4509803921568627	0.4347826086956522	0.368421052631579	0.37142857142857144	0.3142857142857143	0.4	0.5238095238095238	0.5833333333333333	0.26315789473684215
