	Analysis of Piping Replacement Thresholds Appendix D Methodology for Calculating Compliance Costs Appendix E Access Model Structure and Specifications Appendix F Analysis of Statistical Relationship between State Regulatory Programs and Confirmed Release Data Appendix G Expert Consultation Selection and Data Collection Methodology Appendix H Expert Consultation Responses Appendix I Methodology for Calculating Avoided Cleanup Costs Appendix J Estimation of Future UST System and Release Universes for the Alternative 62 United States Department of Health and Human Services Public Health Service Agency for Toxic Substances and Disease Registry “Toxicological Profile for Polycyclic Aromatic Hydrocarbons”	Sources Cited quot2005 US Motor Fuel Station Count 168987quot	Association of State and Territorial Solid Waste Management Officials State Fund Survey Results	Committee on Vehicle Emission Inspection and Maintenance Programs Evaluating Vehicle Emissions Inspection and Maintenance Programs	Analyzing Gasoline Demand Elasticities A Survey” Energy Economics	Petroleum Hydrocarbon Vapor Intrusion Investigations Current General Practice” Leaking Underground Storage Tanks	memoranda and analyses submitted under Contract EPW05018 “US Environmental Protection Agency Underground Storage TanksLeaking Underground Storage Tanks Analytical and Technical Support” Eckert Andrew and	Methodology Statement ESRI Data—Business Locations and Business Summary” httpwwwesricomlibrarywhitepaperspdfsinfousabusinessdatabasepdf ICF quotEconomic Impact Analysis of Additional Mechanisms for Local Government Entities to Demonstrate Financial Responsibility for Underground Storage Tanksquot	Executive Order 12866 “Regulatory Planning and Review”	The Economics of Price Zones and Territorial Restrictions in Gasoline Marketing” Federal Trade Commission	The Measurement of Environmental and Resource Values Theory and Methods Resources for the Future	Determinants of Storelevel Price Elasticity”	Approaches to Assessing the Benefits Costs	Detailed Assessment of UST Universe by Tank Purpose and Designquot Work Assignment 125 Task 6	Methodology for Secondary Containment for Pipingquot Work Assignment 119 Task 5	Methodology to Estimate Avoided Costs Associated with a Typical UST Leakquot	Preliminary Assessment and Scoping of Data Related to Potential Revisions to the UST Regulations” Work Assignment 125 Tasks	Entities Screening Analysis of UST Universe by Industry Sector” Work Assignment 325 Task 4	The Economics of Gasoline Retailing Petroleum Distribution and Retailing Issues in the USquot	MarketFacts	National Association of Convenience Stores	of Convenience Stores “Consumer Fuels Report” February 2008 as cited in “Testimony of Bill Douglass Douglass Distributing Company	of Convenience Stores “How do retailers get – and sell – gasoline”	of Convenience Stores “Who sells gasoline in the United States”	Department of Environmental Services quotUnderground Storage Tank Programquot	Benzene toxicity and risk assessment 19721992 implications for future regulation” Environ Health Perspect	A Preliminary Meta Analysis of Contingent Values for Ground Water Revisited” In The Economic Value of Water Quality	MarketFacts 2008quot National Petroleum News Rhode Island Department of Environmental Management Underground Storage Tank Environmental Results Program Final Report Tables IIV Risk Management Association Statement Studies Sector 447	Risk Analysis to Support Revisions to Underground Storage Tank UST Regulations”	Distributing Company on behalf of the National Association of Convenience Stores before the House Judiciary Committee AntiTrust Task Force Hearing to Examine the Consumer Effects of Rising Gas Prices	of Labor Statistics quotEmployer Costs for Employee Compensationquot	Bureau of Labor Statistics quotOccupational Employment and Wagesquot	of Transportation Statistics “Sales Price of Transportation Fuel to EndUsers in National Transportation Statistics	Economic Census Retail Trade Industry Series Gasoline Stations	Industry Statistics Sampler NAICS 447 Geographic Distribution Gasoline Stations	of Health and Human Services Public Health Service Agency for Toxic Substances and Disease Registry “Toxicological Profile for Polycyclic Aromatic Hydrocarbons”	Environmental Protection Agency “ERP States Produce Results”	Environmental Protection Agency Office of Underground Storage Tanks “Evaluation of Releases from New and Upgraded Underground Storage Tank Systems peer review draft”	Environmental Protection Agency Office of Underground Storage Tanks “Petroleum Releases at Underground Storage Tank Facilities in Florida”	Environmental Protection Agency Office of Underground Storage Tanks	Environmental Protection Agency quotRegulatory Impact Analysis of Technical Standards for Underground Storage Tanksquot	Environmental Protection Agency quotStatus of State Fund Programsquot accessed on September 9 2010 httpwwwepagovouststatesfndstatushtm US Environmental Protection Agency “Summary of the updated Regulatory Impact Analysis RIA for the Reconsideration of the 2008 Ozone National Ambient Air Quality Standard NAAQSquot US Environmental Protection Agency quotUnderground Storage Tanks Technical and Financial Requirements and State Program Approval Proceduresquot Supporting Statement for EPA Information Collection Request Number 136008	Revenue Service SOI TaxStats Table 7 Corporation Returns with Net Income for 2007 Accessible online at httpwwwirsgovtaxstatsarticle0id17069300html	US Office of Management and Budget Circular No A76	Office of Management and Budget Circular No A94 Revised	of Environmental Quality quotUnderground Storage Tank Programquot	of Environmental Conservation	Underground Storage Tank FieldBased Research Project Report Submitted to the California State Water Resources Control Board under contract to the
ERP States Produce Results	0.54	0.5800000000000001	0.31000000000000005	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.62	0.5800000000000001	0.5800000000000001	0.62	0.5800000000000001	0.54	0.6599999999999999	0.62	0.7	0.5	0.54	0.5800000000000001	0.62	0.64	0.69	0.5800000000000001	0.5800000000000001	0.5800000000000001	0.5700000000000001	0.54	0.5800000000000001	0.5	0.54	0.54	0.62	0.5800000000000001	0.54	0.62	0.6599999999999999	0.54	0.0	0.62	0.54	0.6599999999999999	0.62	0.54	0.62	0.6599999999999999	0.7	0.5700000000000001	0.74	0.5
Evaluation of Releases from New and Upgraded Underground Storage Tank Systems � Peer Review Draft	0.55	0.69	0.5900000000000001	0.63	0.63	0.54	0.5	0.54	0.61	0.62	0.61	0.64	0.62	0.63	0.65	0.6799999999999999	0.61	0.65	0.63	0.64	0.62	0.65	0.61	0.5900000000000001	0.45999999999999996	0.6699999999999999	0.61	0.48	0.5	0.6	0.6799999999999999	0.6699999999999999	0.6	0.5700000000000001	0.6599999999999999	0.6	0.65	0.06000000000000005	0.47	0.42000000000000004	0.48	0.52	0.6599999999999999	0.5800000000000001	0.62	0.44999999999999996	0.63	0.5900000000000001
Evaluation of Releases from New and Upgraded Underground Storage Tanks	0.55	0.71	0.5800000000000001	0.55	0.63	0.39	0.42000000000000004	0.44999999999999996	0.6799999999999999	0.6	0.5800000000000001	0.6599999999999999	0.65	0.62	0.62	0.6599999999999999	0.5800000000000001	0.62	0.62	0.64	0.62	0.6599999999999999	0.65	0.6	0.43000000000000005	0.6599999999999999	0.6	0.39	0.45999999999999996	0.6	0.6799999999999999	0.65	0.5900000000000001	0.55	0.65	0.62	0.65	0.020000000000000018	0.4	0.42000000000000004	0.4	0.42000000000000004	0.65	0.5800000000000001	0.62	0.44999999999999996	0.63	0.5800000000000001
Evaluation of Three Environmental Results Programs ERPs	0.45999999999999996	0.72	0.5900000000000001	0.55	0.6799999999999999	0.6	0.5700000000000001	0.5700000000000001	0.64	0.53	0.43999999999999995	0.61	0.65	0.6	0.6	0.6799999999999999	0.5700000000000001	0.5900000000000001	0.6	0.73	0.5800000000000001	0.6	0.64	0.6799999999999999	0.48	0.5	0.5700000000000001	0.32999999999999996	0.62	0.5700000000000001	0.6799999999999999	0.64	0.6	0.64	0.71	0.6599999999999999	0.5900000000000001	0.51	0.62	0.62	0.5900000000000001	0.55	0.64	0.63	0.64	0.5700000000000001	0.35	0.6
Final Report � Environmental Results Project � Vermont Underground Storage Tank Facilities	0.5800000000000001	0.6599999999999999	0.63	0.62	0.65	0.43999999999999995	0.38	0.45999999999999996	0.64	0.62	0.52	0.5700000000000001	0.65	0.64	0.63	0.65	0.5700000000000001	0.64	0.63	0.55	0.5800000000000001	0.63	0.64	0.5900000000000001	0.33999999999999997	0.6599999999999999	0.5900000000000001	0.38	0.43000000000000005	0.5900000000000001	0.6699999999999999	0.64	0.5900000000000001	0.5900000000000001	0.6799999999999999	0.62	0.52	0.4	0.39	0.27	0.48	0.35	0.62	0.64	0.6599999999999999	0.31000000000000005	0.38	0.5700000000000001
Methodology for Secondary Containment for Piping	0.42000000000000004	0.65	0.5900000000000001	0.5900000000000001	0.69	0.5900000000000001	0.61	0.53	0.6699999999999999	0.5900000000000001	0.63	0.6599999999999999	0.7	0.65	0.0	0.5	0.61	0.61	0.63	0.64	0.5800000000000001	0.61	0.65	0.6699999999999999	0.5900000000000001	0.61	0.53	0.5900000000000001	0.61	0.5900000000000001	0.5900000000000001	0.63	0.63	0.62	0.69	0.61	0.65	0.61	0.61	0.61	0.5700000000000001	0.55	0.63	0.69	0.69	0.63	0.52	0.5900000000000001
Occupational Employment and Wage	0.5700000000000001	0.6599999999999999	0.54	0.5700000000000001	0.63	0.6	0.5700000000000001	0.63	0.6	0.6	0.5	0.72	0.6599999999999999	0.63	0.6	0.6599999999999999	0.63	0.63	0.6	0.73	0.6	0.69	0.63	0.63	0.5700000000000001	0.5700000000000001	0.5700000000000001	0.47	0.63	0.6	0.5700000000000001	0.0	0.54	0.63	0.63	0.63	0.6	0.5700000000000001	0.63	0.63	0.5700000000000001	0.6	0.63	0.5	0.5	0.63	0.63	0.63
Office of Management and Budget Circular No A94	0.62	0.6599999999999999	0.54	0.64	0.6599999999999999	0.6599999999999999	0.62	0.64	0.69	0.5800000000000001	0.56	0.71	0.65	0.6	0.62	0.6599999999999999	0.62	0.5800000000000001	0.5800000000000001	0.64	0.6699999999999999	0.62	0.62	0.69	0.6	0.64	0.5800000000000001	0.52	0.6599999999999999	0.6	0.69	0.5700000000000001	0.5800000000000001	0.6599999999999999	0.71	0.62	0.6599999999999999	0.56	0.54	0.6	0.62	0.5800000000000001	0.64	0.050000000000000044	0.0	0.62	0.56	0.6
Permit Application Review Summary Former Pease AFB Remediation Project 090113	0.5900000000000001	0.64	0.6699999999999999	0.63	0.6599999999999999	0.64	0.64	0.62	0.6799999999999999	0.62	0.64	0.64	0.62	0.6699999999999999	0.65	0.69	0.62	0.6699999999999999	0.6699999999999999	0.64	0.5800000000000001	0.64	0.6599999999999999	0.65	0.63	0.6	0.63	0.62	0.63	0.6	0.62	0.7	0.63	0.5900000000000001	0.6799999999999999	0.62	0.6599999999999999	0.62	0.63	0.6599999999999999	0.62	0.55	0.64	0.6799999999999999	0.62	0.64	0.5900000000000001	0.64
Permit Application Review Summary Former Pease AFB Remediation Project FY040453	0.6	0.6599999999999999	0.6599999999999999	0.64	0.6599999999999999	0.64	0.65	0.61	0.6799999999999999	0.63	0.64	0.64	0.62	0.6799999999999999	0.6799999999999999	0.69	0.63	0.6599999999999999	0.6599999999999999	0.64	0.5800000000000001	0.64	0.6699999999999999	0.65	0.63	0.6	0.64	0.63	0.64	0.6	0.62	0.7	0.64	0.5900000000000001	0.69	0.61	0.6599999999999999	0.63	0.63	0.6599999999999999	0.63	0.56	0.65	0.6799999999999999	0.64	0.64	0.5900000000000001	0.64
Petroleum Hydrocarbon Vapor Intrusion Investigations Current General Practice	0.5900000000000001	0.63	0.65	0.5800000000000001	0.5900000000000001	0.0	0.5900000000000001	0.5800000000000001	0.69	0.55	0.63	0.5900000000000001	0.62	0.65	0.63	0.65	0.62	0.6799999999999999	0.6	0.55	0.5	0.6699999999999999	0.65	0.63	0.63	0.5800000000000001	0.62	0.56	0.64	0.56	0.65	0.5900000000000001	0.56	0.5700000000000001	0.64	0.65	0.6599999999999999	0.6	0.6	0.65	0.63	0.5800000000000001	0.62	0.6599999999999999	0.6699999999999999	0.64	0.56	0.6
Petroleum Releases at Underground Storage Tank Facilities in Florida	0.53	0.64	0.5800000000000001	0.61	0.6599999999999999	0.48	0.39	0.48	0.64	0.56	0.61	0.64	0.65	0.5900000000000001	0.6699999999999999	0.65	0.5900000000000001	0.64	0.55	0.55	0.5800000000000001	0.61	0.65	0.63	0.41000000000000003	0.6699999999999999	0.61	0.43000000000000005	0.42000000000000004	0.5900000000000001	0.6799999999999999	0.6699999999999999	0.61	0.6	0.65	0.5900000000000001	0.6599999999999999	0.39	0.0	0.48	0.47	0.39	0.62	0.6799999999999999	0.6799999999999999	0.43999999999999995	0.6599999999999999	0.5
Preliminary Assessment and Scoping of Data Related to Potential Revisions to the UST Regulations Tasks 24 Work Assignment 125	0.56	0.63	0.5700000000000001	0.62	0.63	0.64	0.6	0.6	0.63	0.5900000000000001	0.6	0.61	0.6	0.51	0.53	0.5800000000000001	0.07999999999999996	0.52	0.5900000000000001	0.64	0.55	0.64	0.64	0.6	0.54	0.5800000000000001	0.55	0.5800000000000001	0.47	0.6	0.62	0.62	0.63	0.5900000000000001	0.63	0.6599999999999999	0.6	0.63	0.61	0.5900000000000001	0.6	0.56	0.6599999999999999	0.62	0.5900000000000001	0.6	0.52	0.6
Sales Price of Transportation Fuel to EndUsers in National Transportation Statistics 2010	0.5700000000000001	0.6	0.61	0.5800000000000001	0.65	0.5800000000000001	0.56	0.5900000000000001	0.6599999999999999	0.5800000000000001	0.62	0.64	0.5800000000000001	0.62	0.6599999999999999	0.64	0.6	0.64	0.5800000000000001	0.64	0.53	0.61	0.63	0.5900000000000001	0.5800000000000001	0.64	0.61	0.54	0.55	0.61	0.5800000000000001	0.56	0.030000000000000027	0.55	0.6	0.62	0.63	0.56	0.5900000000000001	0.56	0.62	0.56	0.5800000000000001	0.5800000000000001	0.6	0.54	0.44999999999999996	0.5900000000000001
SemiAnnual Report of UST Performance Measures End of Fiscal Year 2009	0.6	0.6699999999999999	0.61	0.63	0.64	0.64	0.61	0.6	0.69	0.6	0.56	0.5900000000000001	0.65	0.5800000000000001	0.6699999999999999	0.6699999999999999	0.61	0.61	0.63	0.64	0.5800000000000001	0.6	0.6699999999999999	0.69	0.63	0.6599999999999999	0.6	0.6	0.63	0.5800000000000001	0.72	0.69	0.5700000000000001	0.63	0.6699999999999999	0.6	0.6599999999999999	0.5800000000000001	0.61	0.65	0.5800000000000001	0.5800000000000001	0.63	0.5800000000000001	0.64	0.6699999999999999	0.6599999999999999	0.5800000000000001
SemiAnnual Report of UST Performance Measures for Fiscal Year 1999 	0.56	0.6799999999999999	0.6	0.63	0.6799999999999999	0.65	0.63	0.56	0.73	0.6	0.53	0.5900000000000001	0.65	0.6	0.65	0.6799999999999999	0.5900000000000001	0.6	0.62	0.64	0.5800000000000001	0.62	0.6599999999999999	0.6799999999999999	0.63	0.6699999999999999	0.5700000000000001	0.5700000000000001	0.62	0.5700000000000001	0.69	0.69	0.5900000000000001	0.62	0.6599999999999999	0.6	0.6599999999999999	0.63	0.62	0.65	0.6	0.5900000000000001	0.63	0.6	0.62	0.6599999999999999	0.6599999999999999	0.5900000000000001
SemiAnnual Report of UST Performance Measures for Fiscal Year 2009	0.5700000000000001	0.69	0.61	0.63	0.69	0.64	0.63	0.5700000000000001	0.73	0.6	0.52	0.5900000000000001	0.65	0.6	0.6699999999999999	0.6699999999999999	0.6	0.6	0.61	0.64	0.5800000000000001	0.6	0.6599999999999999	0.69	0.63	0.6699999999999999	0.5700000000000001	0.5700000000000001	0.63	0.5800000000000001	0.6799999999999999	0.69	0.6	0.62	0.6599999999999999	0.6	0.6599999999999999	0.64	0.61	0.65	0.6	0.5800000000000001	0.63	0.62	0.64	0.6699999999999999	0.6599999999999999	0.5800000000000001
Site Summaries Pease Air Force Base NewingtonPortsmouth	0.62	0.64	0.6	0.5900000000000001	0.62	0.6	0.62	0.62	0.71	0.62	0.6	0.64	0.5800000000000001	0.6	0.64	0.6599999999999999	0.62	0.64	0.62	0.55	0.62	0.62	0.62	0.62	0.5900000000000001	0.6	0.62	0.62	0.64	0.53	0.6	0.6799999999999999	0.6	0.62	0.62	0.6	0.6599999999999999	0.64	0.5900000000000001	0.6599999999999999	0.64	0.5900000000000001	0.6	0.6799999999999999	0.6699999999999999	0.62	0.63	0.5700000000000001
Small Entities Screening Analysis of UST Universe by Industry Sector	0.55	0.69	0.62	0.64	0.61	0.5900000000000001	0.61	0.55	0.6799999999999999	0.64	0.61	0.5900000000000001	0.6699999999999999	0.5	0.6799999999999999	0.64	0.62	0.08999999999999997	0.65	0.64	0.55	0.6699999999999999	0.64	0.65	0.64	0.65	0.56	0.5900000000000001	0.5900000000000001	0.5900000000000001	0.6699999999999999	0.6699999999999999	0.5900000000000001	0.5700000000000001	0.65	0.5900000000000001	0.62	0.5800000000000001	0.5800000000000001	0.5700000000000001	0.55	0.5900000000000001	0.6799999999999999	0.6599999999999999	0.6799999999999999	0.64	0.63	0.62
Summary of Key Data from State Public Record Postings	0.55	0.65	0.5900000000000001	0.61	0.6699999999999999	0.65	0.63	0.5900000000000001	0.7	0.61	0.65	0.61	0.6699999999999999	0.63	0.5900000000000001	0.65	0.5700000000000001	0.61	0.63	0.64	0.65	0.63	0.6699999999999999	0.65	0.63	0.65	0.5900000000000001	0.61	0.64	0.5900000000000001	0.63	0.61	0.5900000000000001	0.63	0.65	0.5900000000000001	0.5700000000000001	0.5900000000000001	0.63	0.65	0.63	0.53	0.63	0.6599999999999999	0.6699999999999999	0.65	0.63	0.51
Toxicological Profile for Polycyclic Aromatic Hydrocarbons	0.0	0.71	0.64	0.6599999999999999	0.6799999999999999	0.63	0.64	0.61	0.71	0.5900000000000001	0.69	0.61	0.72	0.69	0.61	0.63	0.6799999999999999	0.69	0.61	0.73	0.65	0.64	0.6799999999999999	0.71	0.6799999999999999	0.64	0.6799999999999999	0.63	0.69	0.63	0.61	0.6799999999999999	0.61	0.64	0.6599999999999999	0.0	0.64	0.61	0.61	0.61	0.64	0.61	0.6599999999999999	0.6799999999999999	0.71	0.69	0.63	0.63
