	Traffic and Motor Vehicle Safety Act to NHTSA61. NHTSA is adopting this rule under the	105 and 322; delegation of authority at 49 CFR 1.50. VIII-3 Furthermore, this final rule satisfies the congressional mandate in Section 10301 of the Safe, Accountable, Flexible, Efficient, Transportation Equity Act: A Legacy for Users of 2005 (SAFETEA-LU).62 Under that provision, the Secretary of Transportation must conduct a rulemaking to “establish performance criteria to reduce the occurrence of rollovers consistent with stability enhancing technologies” and issue “a final rule by April 1,	Description and estimate of the number of small entities to which the proposal or final rule will apply The proposal applies to truck tractor and large bus manufacturers who produce these types of vehicles with a GVWR greater than 11,793 kg (26,000 pounds). The proposal also will impact manufacturers of ESC systems. Business entities are defined as small businesses using the North American Industry Classification System (NAICS	is the number of employees in the firm. Affected business categories include: (a) To qualify as a small business in Heavy Duty Truck Manufacturing (NAICS	the firm must have fewer than 1000 employees, (b) In Truck Trailer Manufacturing (NAICS 336212), the firm must have fewer than 500 employees, (c)	The latest version modified by the Office of Management and Budget in	They are Advanced Bus Industries, Ebus Inc., Enova Systems,
Motorcoach Facts 2009	0.55	0.6065573770491803	0.6071428571428572	0.6	0.5416666666666667	0.5135135135135135	0.5555555555555556
An Analysis of the Operational Costs of Trucking	0.22448979591836737	0.4	0.3538461538461538	0.2222222222222222	0.26315789473684215	0.21739130434782605	0.33333333333333337
A Survey of the Freight Transportation Demand Literature and Comparison of Elasticity Estimates	0.23636363636363633	0.2894736842105263	0.2676056338028169	0.16666666666666663	0.2698412698412699	0.23076923076923073	0.21568627450980393
Unit Costs of Medium and Heavy Truck Crashes	0.28	0.4084507042253521	0.3939393939393939	0.19999999999999996	0.31034482758620685	0.19148936170212771	0.26086956521739135
A Sugested Approach for Discounting the Benefits and Costs of Environmental Regulations	0.28301886792452835	0.3513513513513513	0.24637681159420288	0.2068965517241379	0.3114754098360656	0.24	0.22448979591836737
Regulatory Flexibility Act of 1980	0.3877551020408163	0.4	0.41538461538461535	0.4444444444444444	0.4035087719298246	0.3913043478260869	0.4666666666666667
Traffic and Motor Vehicle Safety Act	0.17391304347826086	0.4626865671641791	0.4193548387096774	0.2941176470588235	0.37037037037037035	0.2558139534883721	0.2857142857142857
Effectiveness of Stability Systems for Truck Tractors	0.33333333333333337	0.3913043478260869	0.34375	0.24528301886792447	0.2857142857142857	0.19999999999999996	0.18181818181818177
Crash Problem Definition and Safety Benefits methodology for Stability Control for SingleUnit Medium and Heavy Trucks and Large Platform Buses 	0.27586206896551724	0.3417721518987342	0.29729729729729726	0.1428571428571429	0.2727272727272727	0.1636363636363637	0.2592592592592593
Final Regulatory Impact Analysis Airbrake Systems Amending Stopping Distance	0.3076923076923077	0.34246575342465757	0.2941176470588235	0.19298245614035092	0.30000000000000004	0.30612244897959184	0.25
Discounting Environmental Health Risks New Evidence and Policy Implications	0.3090909090909091	0.368421052631579	0.2676056338028169	0.19999999999999996	0.3015873015873016	0.3076923076923077	0.2941176470588235
