	The Behavioral Economics of Retirement Savings Behavior AARP Public Policy Institute White Paper	The Effects of Expenses on Mutual Fund Flows	Number 1210–NEW Affected Public Business or other forprofit Estimated Number of Respondents 16000 Estimated Number of Annual Responses 20656000 Frequency of Response Initially Annually Upon Request when a material change Estimated Total Annual Burden Hours 8398000 hours in the first year 5776000 hours in each subsequent year Estimated Total Annual Burden Cost 642541000 for the first year 493242000 for each subsequent year	List of Subjects in 29 CFR Part 2550 Employee benefit plans Exemptions Fiduciaries Investments Pensions Prohibited transactions Reporting and recordkeeping requirements and 1 The authority citation for part 2550 is revised to read as follows	Sec 2550401b–1 also issued under sec 102 Reorganization Plan No	Sec 2550401c–1 also issued under 29 USC 1101 Sec 2550404c–1 also issued under 29 USC 1104 Sec 2550407c–3 also issued under 29 USC 1107 Sec 2550404a–2 also issued under 26 USC 401 note sec 657 Pub L 107–16 115 Stat 38 Sec 2550408b–1 also issued under 29 USC 1108b1 and sec 102 Reorganization Plan No 4 of 1978 3 CFR 1978 Comp p 332 effective Dec 31 1978 44 FR	Add § 2550408g–1 to read as follows	Section 408g1 of the Employee Retirement Income Security Advice Exemption Notification— Statutory US Department of Labor Employee Benefits Security Administration Room N–1513 200 Constitution Ave	For purposes of paragraph j6i Signed at Washington DC this 15th day of August
Company Stock and Pension Plan Diversification in The Pension Challenge Risk Transfers and Retirement Income Security	0.2727272727272727	0.5454545454545454	0.5384615384615384	0.3414634146341463	0.5641025641025641	0.5106382978723405	0.7317073170731707	0.46808510638297873	0.4571428571428572
Fees and Revenue Sharing in Defined Contribution Retirement Plans	0.3939393939393939	0.5806451612903225	0.5882352941176471	0.4390243902439024	0.5142857142857142	0.4651162790697675	0.7027027027027026	0.5217391304347826	0.4375
Financial Advice and Individual Investors Portfolios	0.4516129032258065	0.5	0.6326530612244898	0.5609756097560976	0.5757575757575757	0.6136363636363636	0.65625	0.6304347826086957	0.5483870967741935
Financial Literacy and Mutual Fund Investments Who Buys Actively Managed Funds	0.36363636363636365	0.5483870967741935	0.5686274509803921	0.5227272727272727	0.641025641025641	0.6326530612244898	0.7105263157894737	0.5319148936170213	0.5
Financial Planning On the Issue of Advice	0.4375	0.4814814814814815	0.62	0.5476190476190477	0.6	0.6304347826086957	0.6764705882352942	0.6170212765957447	0.53125
HighQuality Financial Advice Wanted	0.5454545454545454	0.6071428571428572	0.6599999999999999	0.6590909090909092	0.6944444444444444	0.7291666666666667	0.7714285714285715	0.6875	0.5483870967741935
How to Invest Over the Life Cycle a Review	0.5	0.6	0.6274509803921569	0.5238095238095238	0.6842105263157895	0.6666666666666667	0.7222222222222222	0.5957446808510638	0.6285714285714286
Intermediated Investment Management	0.6129032258064516	0.6923076923076923	0.76	0.6829268292682926	0.6875	0.7272727272727273	0.7333333333333334	0.7111111111111111	0.6666666666666667
Investment Advice Survey 2001	0.5454545454545454	0.7419354838709677	0.6599999999999999	0.5609756097560976	0.5757575757575757	0.6444444444444444	0.696969696969697	0.5681818181818181	0.59375
Investment Mistakes of Individual Investors and the Impact of Financial Advice	0.4242424242424242	0.40740740740740744	0.607843137254902	0.5	0.6578947368421053	0.6170212765957447	0.6944444444444444	0.574468085106383	0.5151515151515151
Investor Behavior in the Mutual Fund Industry Evidence from Gross Flows	0.4117647058823529	0.3928571428571429	0.5686274509803921	0.4883720930232558	0.675	0.6599999999999999	0.7105263157894737	0.5625	0.5833333333333333
Investor Profile and Asset Allocation Advice	0.4666666666666667	0.5769230769230769	0.6734693877551021	0.6097560975609756	0.59375	0.6590909090909092	0.6333333333333333	0.6444444444444444	0.6129032258064516
Investor Timing and Fund Distribution Channels	0.4545454545454546	0.5517241379310345	0.6	0.4878048780487805	0.6111111111111112	0.5777777777777777	0.7222222222222222	0.5652173913043479	0.5
LifeCycle Funds	0.696969696969697	0.5833333333333333	0.7346938775510203	0.65	0.7272727272727273	0.6976744186046512	0.8125	0.7111111111111111	0.6206896551724138
NonMarket Wealth Background Risk and Portfolio Choice	0.4411764705882353	0.5333333333333333	0.56	0.5454545454545454	0.5142857142857142	0.5957446808510638	0.7027027027027026	0.5833333333333333	0.5294117647058824
Optimal Asset Location and Allocation with Taxable and TaxDeferred Investing	0.4	0.4838709677419355	0.5849056603773585	0.4418604651162791	0.6585365853658536	0.5918367346938775	0.6578947368421053	0.4893617021276596	0.5675675675675675
Personalized Retirement Advice and Managed Accounts Who Uses Them and How Does Advice Affect Behavior in 401k Plans	0.42500000000000004	0.5789473684210527	0.4528301886792453	0.4897959183673469	0.5238095238095238	0.5098039215686274	0.6190476190476191	0.5	0.5714285714285714
Portfolio Allocation Choices in Taxable and TaxDeferred Accounts An Empirical Analysis of TaxEfficiency	0.33333333333333337	0.4137931034482759	0.52	0.4285714285714286	0.6153846153846154	0.5833333333333333	0.717948717948718	0.4782608695652174	0.47058823529411764
Portfolio Transactions Costs at US Equity Mutual Funds	0.5142857142857142	0.4642857142857143	0.5800000000000001	0.5	0.6216216216216216	0.6170212765957447	0.7631578947368421	0.6326530612244898	0.5588235294117647
Regulating Markets for Retirement Payouts Solvency Supervision and Credibility	0.33333333333333337	0.5625	0.5769230769230769	0.3902439024390244	0.5	0.48888888888888893	0.717948717948718	0.5106382978723405	0.5142857142857142
Survey Findings Hot Topics in Retirement 2007	0.48571428571428577	0.625	0.56	0.47619047619047616	0.5555555555555556	0.5333333333333333	0.736842105263158	0.5833333333333333	0.5714285714285714
The Economics of MutualFund Brokerage Evidence from the Cross Section of Investment Channels	0.3529411764705882	0.43333333333333335	0.5576923076923077	0.40476190476190477	0.625	0.5918367346938775	0.725	0.5208333333333333	0.5277777777777778
The Economics of Providing 401k Plans Services Fees and Expenses 2006	0.4736842105263158	0.5151515151515151	0.5192307692307692	0.3571428571428571	0.5384615384615384	0.4893617021276596	0.641025641025641	0.5102040816326531	0.5526315789473684
The Efficiency of Pension Plan Investment Menus Investment Choices in Defined Contribution Pension Plans	0.33333333333333337	0.4666666666666667	0.5490196078431373	0.4285714285714286	0.6153846153846154	0.5833333333333333	0.75	0.5106382978723405	0.5555555555555556
The NUA Benefit and Optimal Investment in Company Stock in 401k Accounts	0.42105263157894735	0.5833333333333333	0.4807692307692307	0.4565217391304348	0.5952380952380952	0.54	0.6904761904761905	0.4042553191489362	0.5384615384615384
The Role of Brokers and Financial Advisors Behind Investment Into Load Funds	0.36363636363636365	0.5	0.5686274509803921	0.45238095238095233	0.641025641025641	0.6041666666666667	0.7105263157894737	0.5319148936170213	0.5833333333333333
The Role of Company Stock in 401k Plans	0.4411764705882353	0.5806451612903225	0.56	0.4390243902439024	0.5555555555555556	0.5652173913043479	0.7027027027027026	0.5531914893617021	0.5714285714285714
The Role of Company Stock in Defined Contribution Plans	0.33333333333333337	0.5161290322580645	0.5490196078431373	0.3902439024390244	0.5405405405405406	0.5217391304347826	0.75	0.5106382978723405	0.47058823529411764
Transfer Activity in 401k Plans	0.5151515151515151	0.6666666666666667	0.64	0.5714285714285714	0.5882352941176471	0.6521739130434783	0.625	0.6382978723404256	0.6470588235294117
Why Do Mutual Fund Investors Use Professional Financial Advisers	0.4117647058823529	0.5	0.5686274509803921	0.5555555555555556	0.641025641025641	0.6041666666666667	0.7105263157894737	0.5625	0.4545454545454546
Winners and Losers 401k Trading and Portfolio Performance	0.5142857142857142	0.6129032258064516	0.5800000000000001	0.5	0.5	0.5555555555555556	0.5757575757575757	0.6041666666666667	0.6
Yet Another Puzzle Relation Between Price and Performance in the Mutual Fund Industry	0.4	0.4838709677419355	0.5294117647058824	0.5111111111111111	0.5897435897435898	0.62	0.6923076923076923	0.5800000000000001	0.5675675675675675
Company Stock in Pension Plans How Costly Is It	0.5151515151515151	0.6206896551724138	0.64	0.5365853658536586	0.6666666666666667	0.6808510638297872	0.7777777777777778	0.6666666666666667	0.6470588235294117
Asset Allocation and Asset Location Household Evidence from the Survey of Consumer Finances	0.4117647058823529	0.5	0.5686274509803921	0.45238095238095233	0.641025641025641	0.574468085106383	0.7105263157894737	0.5	0.4545454545454546
Assessing the Costs and Benefits of Brokers in the Mutual Fund Industry	0.47058823529411764	0.5172413793103448	0.5800000000000001	0.5348837209302326	0.6578947368421053	0.6734693877551021	0.6571428571428571	0.574468085106383	0.4193548387096774
Down or Out Assessing the Welfare Costs of Household Investment Mistakes	0.4864864864864865	0.5757575757575757	0.5849056603773585	0.5434782608695652	0.6904761904761905	0.6470588235294117	0.6578947368421053	0.5800000000000001	0.48571428571428577
Are Investors Rational Choices Among Index Funds	0.4242424242424242	0.5172413793103448	0.5800000000000001	0.46341463414634143	0.5833333333333333	0.5869565217391304	0.6944444444444444	0.5111111111111111	0.5151515151515151
Asset Location in TaxDeferred and Conventional Savings Accounts	0.47058823529411764	0.5172413793103448	0.6603773584905661	0.5	0.5833333333333333	0.5555555555555556	0.6571428571428571	0.5111111111111111	0.46875
The Adequacy of Investment Choices Offered By 401k Plans	0.4054054054054054	0.6111111111111112	0.47058823529411764	0.40909090909090906	0.5853658536585367	0.5882352941176471	0.65	0.4897959183673469	0.5641025641025641
Out of Sight Out of Mind The Effects of Expenses on Mutual Fund Flows	0.48571428571428577	0.16666666666666663	0.6153846153846154	0.47619047619047616	0.631578947368421	0.653061224489796	0.7027027027027026	0.6122448979591837	0.5294117647058824
Individual Account Investment Options and Portfolio Choice Behavioral Lessons from 401k Plans	0.43243243243243246	0.6	0.5192307692307692	0.43181818181818177	0.575	0.5208333333333333	0.641025641025641	0.44680851063829785	0.5526315789473684
The Use and Abuse of Mutual Fund Expenses	0.5294117647058824	0.21739130434782605	0.62	0.5813953488372092	0.7105263157894737	0.6875	0.7142857142857143	0.6170212765957447	0.5757575757575757
Are Stocks Desirable in TaxDeferred Accounts	0.48484848484848486	0.4814814814814815	0.6730769230769231	0.5476190476190477	0.5588235294117647	0.6304347826086957	0.6764705882352942	0.5869565217391304	0.53125
ManagerInvestor Conflicts in Mutual Funds	0.5151515151515151	0.46153846153846156	0.64	0.5365853658536586	0.5882352941176471	0.5909090909090908	0.6666666666666667	0.6086956521739131	0.5161290322580645
Why Does the Law of One Price Fail An Experiment on Index Mutual Funds	0.4054054054054054	0.3870967741935484	0.5283018867924528	0.4444444444444444	0.6818181818181819	0.6153846153846154	0.7142857142857143	0.52	0.4864864864864865
Product Differentiation Search Costs and Competition in the Mutual Fund Industry A Case Study of SP 500 Index Funds	0.43243243243243246	0.46875	0.5192307692307692	0.39534883720930236	0.575	0.5208333333333333	0.675	0.44680851063829785	0.38235294117647056
