	What determines the value of a life A Meta Analysis	IX17 61 million The range of this factor also shifts rightwards from 1 to 10 million to 16 to 106 million Figure IX4 Normal Distribution for Cost Per Fatalities M	Hyundai Accent 4door Car	Sentra 4door Car	Hyundai Azera 4door Car	Versa 5door Car	Volkswagen Jetta 4door Car	Dodge Caliber 4door Car	Hyundai Sonata 4door Car	Carlo 2door Car	Volkswagen New GTI 3door Car	Five Hundred 4door Car	Fit 5door Car	Volkswagen New Beetle 3door Car	Volvo S80 4door Car	Toyota Prius 5door Car	Pontiac G6 4door Car	Focus 4door Car	Accord 4door Car	Mazda Mazda3 4door Car	BMW 3Series 4door Car	Acura RL 4door Car	Dodge Charger 4door Car	Kia Spectra 4door Car	Saturn Ion 4door Car	Chrysler 300 4door Car	Buick Lucerne 4door Car	Infiniti EX35 Stationwagon Car	Hyundai Elantra 4door Car	Chevrolet Aveo 4door Car	Subaru Legacy 4door Car	Volkswagen Passat 4door Car	Toyota Avalon 4door Car	Cadillac STS 4door Car	Fusion 4door Car	Lexus ES 4door Car	Matrix 5door Car	Hyundai Santa Fe SUV	Kia Sportage SUV	Toyota RAV4 SUV	Toyota 4Runner SUV	Vitara	Saturn Vue SUV	Expedition EL	Chevrolet 1500 Suburban SUV	Subaru Tribeca SUV	Mazda CX9 SUV	Cadillac Escalade SUV	Saturn Outlook SUV	Chevrolet 1500 Avalanche SUV 2010 923	Ford E250 Cargo Van
Driver Performance Evaluations of Two Rear Parking Aids	0.55	0.55	0.55	0.5700000000000001	0.5700000000000001	0.6	0.62	0.61	0.5	0.54	0.61	0.6	0.54	0.65	0.5800000000000001	0.55	0.55	0.54	0.5700000000000001	0.64	0.5800000000000001	0.62	0.61	0.62	0.5	0.64	0.5700000000000001	0.5700000000000001	0.56	0.5900000000000001	0.61	0.6	0.53	0.6	0.5	0.56	0.5700000000000001	0.65	0.63	0.6699999999999999	0.62	0.5	0.65	0.54	0.6699999999999999	0.6699999999999999	0.85	0.62	0.6699999999999999	0.65	0.5800000000000001
The  Danger to Young Pedestrians from Reversing Motor Vehicles 18th  International Technical Conference on the Enhanced Safety of  Vehicles	0.5700000000000001	0.5900000000000001	0.6699999999999999	0.5700000000000001	0.61	0.54	0.6599999999999999	0.61	0.63	0.6	0.72	0.64	0.54	0.62	0.69	0.6	0.65	0.6	0.63	0.73	0.5800000000000001	0.6699999999999999	0.5700000000000001	0.62	0.6	0.69	0.5700000000000001	0.6	0.64	0.63	0.6599999999999999	0.6699999999999999	0.61	0.69	0.5	0.62	0.5700000000000001	0.55	0.63	0.6699999999999999	0.62	0.6699999999999999	0.5800000000000001	0.54	0.6699999999999999	0.73	0.7	0.6699999999999999	0.62	0.65	0.69
nan	0.6699999999999999	0.33999999999999997	0.33999999999999997	0.6699999999999999	0.33999999999999997	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.33999999999999997	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.33999999999999997	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.33999999999999997	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.33999999999999997	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.33999999999999997	0.33999999999999997
Driver Performance Research into Systems for the Reduction of Backing Incidents at General Motors	0.5700000000000001	0.61	0.63	0.5	0.5700000000000001	0.54	0.62	0.5700000000000001	0.63	0.6	0.6799999999999999	0.6	0.62	0.62	0.64	0.64	0.6	0.6699999999999999	0.63	0.69	0.62	0.62	0.5700000000000001	0.5800000000000001	0.6	0.64	0.6599999999999999	0.6	0.6	0.63	0.61	0.63	0.61	0.69	0.5	0.62	0.63	0.65	0.63	0.74	0.62	0.6699999999999999	0.72	0.47	0.6699999999999999	0.6699999999999999	0.77	0.6699999999999999	0.62	0.6799999999999999	0.69
Driver Performance Research Regarding Systems for Use While Backing	0.65	0.63	0.6699999999999999	0.63	0.6599999999999999	0.54	0.62	0.6599999999999999	0.63	0.74	0.6799999999999999	0.6	0.62	0.65	0.69	0.64	0.65	0.6699999999999999	0.69	0.69	0.62	0.6699999999999999	0.6599999999999999	0.62	0.7	0.64	0.6599999999999999	0.7	0.6799999999999999	0.63	0.61	0.63	0.7	0.6	0.69	0.6699999999999999	0.69	0.6	0.63	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.65	0.62	0.71	0.62	0.7	0.62	0.6699999999999999	0.71	0.64
Revised Departmental Guidance Treatment of Value of Preventing Fatalities and Injuries in Preparing Economic Analyse	0.53	0.65	0.55	0.5700000000000001	0.61	0.6	0.62	0.5700000000000001	0.5900000000000001	0.6	0.65	0.6	0.62	0.5900000000000001	0.69	0.64	0.6	0.6	0.69	0.64	0.62	0.6699999999999999	0.61	0.62	0.55	0.64	0.61	0.6	0.56	0.63	0.61	0.63	0.6599999999999999	0.64	0.5	0.6699999999999999	0.5700000000000001	0.55	0.63	0.6699999999999999	0.73	0.6699999999999999	0.5800000000000001	0.62	0.6699999999999999	0.62	0.7	0.6699999999999999	0.62	0.65	0.64
65 FR 70681	0.8200000000000001	0.64	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.73	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.73	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.73	0.91	0.73	0.73	1.0	0.8200000000000001	0.91	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.91	0.8200000000000001	0.64	0.73
74 FR 9480	0.8	0.7	0.8	0.8	0.7	0.8	0.7	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.7	0.8	0.7	0.8	0.8	0.8	0.8	0.6	0.8	0.8	0.7	0.7	0.8	0.8	0.8	0.7	0.8	0.8	0.8	0.7	0.8	0.7	0.8	0.7	0.9	0.7	0.8	1.0	0.8	0.9	0.8	0.9	0.8	0.9	0.9	0.7	0.8
70 FR 53753	0.8200000000000001	0.73	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.73	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.73	0.73	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.73	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.73	0.8200000000000001	0.73	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.73	0.91	0.73	0.73	1.0	0.8200000000000001	0.91	0.8200000000000001	0.8200000000000001	0.8200000000000001	0.91	0.8200000000000001	0.73	0.73
docket 2006255792	0.77	0.71	0.71	0.8200000000000001	0.83	0.8	0.71	0.83	0.77	0.8	0.77	0.8200000000000001	0.77	0.77	0.83	0.77	0.77	0.8	0.8200000000000001	0.83	0.83	0.83	0.83	0.83	0.83	0.77	0.77	0.83	0.83	0.77	0.83	0.77	0.83	0.83	0.8200000000000001	0.83	0.8200000000000001	0.83	0.8200000000000001	0.8	0.83	0.84	0.86	0.77	0.65	0.89	0.85	0.77	0.83	0.53	0.77
NPRM to Require a Rear Detection System for SingleUnit Trucks	0.65	0.6	0.6699999999999999	0.63	0.7	0.6	0.7	0.6599999999999999	0.6699999999999999	0.6699999999999999	0.6799999999999999	0.69	0.62	0.62	0.64	0.69	0.65	0.6699999999999999	0.69	0.69	0.5800000000000001	0.62	0.6599999999999999	0.62	0.65	0.69	0.6599999999999999	0.6	0.6799999999999999	0.63	0.6599999999999999	0.63	0.7	0.69	0.63	0.6699999999999999	0.63	0.65	0.5700000000000001	0.74	0.62	0.5	0.65	0.54	0.6699999999999999	0.62	0.7	0.72	0.62	0.71	0.64
Preliminary Regulatory Impact Analysis Backover Crash Avoidance Technologies FMVSS No 111	0.63	0.63	0.5900000000000001	0.63	0.5700000000000001	0.54	0.6599999999999999	0.5700000000000001	0.5900000000000001	0.6	0.6799999999999999	0.69	0.54	0.65	0.64	0.6	0.6	0.54	0.63	0.64	0.62	0.62	0.6599999999999999	0.5800000000000001	0.65	0.64	0.6599999999999999	0.7	0.6	0.6699999999999999	0.5700000000000001	0.63	0.61	0.6	0.5700000000000001	0.62	0.5700000000000001	0.65	0.69	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.65	0.7	0.75	0.6699999999999999	0.77	0.6699999999999999	0.6699999999999999	0.65	0.69
What determines the value of life A metaanalysis	0.10999999999999999	0.61	0.71	0.63	0.7	0.6	0.7	0.6599999999999999	0.6699999999999999	0.6699999999999999	0.6799999999999999	0.64	0.7	0.65	0.69	0.64	0.7	0.74	0.75	0.73	0.5800000000000001	0.73	0.6599999999999999	0.62	0.65	0.69	0.6599999999999999	0.7	0.6799999999999999	0.5900000000000001	0.7	0.71	0.6599999999999999	0.73	0.69	0.6699999999999999	0.63	0.7	0.69	0.74	0.73	0.6699999999999999	0.5800000000000001	0.62	0.63	0.6699999999999999	0.77	0.72	0.6699999999999999	0.65	0.69
Discounting Environmental Health Risks New Evidence and Policy Implications	0.63	0.64	0.6699999999999999	0.63	0.7	0.6699999999999999	0.6599999999999999	0.7	0.63	0.74	0.61	0.64	0.7	0.5900000000000001	0.74	0.69	0.65	0.6699999999999999	0.69	0.69	0.72	0.73	0.7	0.6699999999999999	0.7	0.73	0.6599999999999999	0.64	0.6	0.6699999999999999	0.7	0.6699999999999999	0.7	0.73	0.69	0.6699999999999999	0.69	0.65	0.69	0.74	0.6699999999999999	0.6699999999999999	0.72	0.54	0.71	0.6699999999999999	0.7	0.72	0.73	0.6799999999999999	0.69
The value of a statistical life A critical review of market estimates throughout the world	0.51	0.5800000000000001	0.63	0.63	0.6599999999999999	0.6	0.6599999999999999	0.61	0.6699999999999999	0.6	0.6799999999999999	0.69	0.54	0.6799999999999999	0.69	0.55	0.6	0.6699999999999999	0.69	0.69	0.62	0.62	0.61	0.5800000000000001	0.65	0.64	0.5700000000000001	0.64	0.6799999999999999	0.5900000000000001	0.6599999999999999	0.63	0.61	0.64	0.63	0.6699999999999999	0.5700000000000001	0.6	0.63	0.6699999999999999	0.6699999999999999	0.5	0.72	0.7	0.6699999999999999	0.6699999999999999	0.77	0.62	0.73	0.65	0.69
The Value of Life Estimates with Risks by Occupation and Industry	0.61	0.5900000000000001	0.63	0.69	0.6599999999999999	0.6699999999999999	0.7	0.7	0.5900000000000001	0.6699999999999999	0.6799999999999999	0.69	0.7	0.6799999999999999	0.74	0.69	0.7	0.6699999999999999	0.63	0.69	0.72	0.6699999999999999	0.74	0.72	0.6	0.73	0.7	0.6	0.6	0.63	0.7	0.71	0.6599999999999999	0.73	0.5700000000000001	0.73	0.63	0.6	0.63	0.74	0.73	0.6699999999999999	0.65	0.54	0.71	0.6699999999999999	0.77	0.6699999999999999	0.6699999999999999	0.73	0.64
Collision warning timing driver distraction and driver response to imminent rearend collisions in a highfidelity driving simulator	0.5700000000000001	0.5700000000000001	0.5900000000000001	0.5700000000000001	0.61	0.6	0.5800000000000001	0.5700000000000001	0.55	0.6	0.65	0.6	0.54	0.62	0.64	0.64	0.6	0.6	0.5700000000000001	0.6	0.62	0.62	0.5700000000000001	0.5800000000000001	0.5	0.69	0.6599999999999999	0.54	0.6	0.5900000000000001	0.6599999999999999	0.6	0.61	0.64	0.5700000000000001	0.6699999999999999	0.63	0.65	0.63	0.8	0.6699999999999999	0.5	0.65	0.54	0.6699999999999999	0.73	0.77	0.62	0.6699999999999999	0.73	0.64
Design and evaluation of a prototype rear obstacle detection and driver warning system	0.5700000000000001	0.62	0.5900000000000001	0.5	0.5700000000000001	0.54	0.54	0.5700000000000001	0.55	0.54	0.61	0.55	0.62	0.5900000000000001	0.64	0.6	0.55	0.6	0.5700000000000001	0.6	0.62	0.62	0.61	0.53	0.5	0.6	0.61	0.5700000000000001	0.56	0.5900000000000001	0.6599999999999999	0.6	0.5700000000000001	0.6	0.5	0.62	0.5	0.65	0.5700000000000001	0.74	0.6699999999999999	0.6699999999999999	0.65	0.54	0.71	0.62	0.77	0.6699999999999999	0.6699999999999999	0.73	0.64
