	Ahold announced the pending purchase of Supermarket General-II Holdings Corporation, parent of the Pathmark chain. Similarly, SUPERVALUE acquired Richfood, Food Lion bought out Hannaford Brothers and Scarborough, and Albertson’s purchased American Stores. (Sean Mehegan, ‘‘Consolidation Changes the Face of the North American Supermarket Sector,’’ Meat & Poultry	Agricultural Handbook No.	King Marketing Services,	Safety Commission (Miller et al., ‘‘The Consumer Product Safety Commission’s Revised Injury Cost Model,’’ Peer Review Draft Prepared for the U.S. Consumer Product Safety Commission,	Food Safety Efforts Accelerate in the 1990’s,’’ Food Review,	The Economic Benefits of Nutrition Labeling: A Case Study for Fresh Meat and Poultry Products.’’	Re: Docket #98– 005F, Food Safety and Inspection Service Proposed Rule: ‘‘Nutrition Labeling of Ground or Chopped Meat and Poultry Products and SingleIngredient Products.’’ Comments submitted to the FSIS Docket Clerk,	Drug Administration (60 FR 65095,	Drug Administration (68 FR 41434–41504,	Drug Administration (69 FR 56824–56906,	Read the Label: Reducing Risk by Providing Information	Information Advertising, and Health Choices:	Information, Advertising, and Health: A Study of the Cereal Market.’’ In Economics of Food Safety,	Information and Advertising: The Case of	The Effect of Food Label Use on Nutrient Intakes: An Endogenous Switching Regression Analysis’’,	Assigning Value to Life: Comparing Methods for Valuing Health Risks, Agricultural Economic	A New Approach to Consumer Theory.’’	Informational Approaches to Regulation	Offsetting Behavior in Reducing High Cholesterol: Substitution of Medication for Diet and Lifestyle Changes.’’	Food companies spread nutrition information through advertising and labels. Food Review.	Personnal communication with Mary Muth, RTI International, Research	A Quasi Experiment to Assess the Consumer and Informational Determinants of Nutrition Information Processing Activities: The Case of the Nutrition Labeling and Education Act,’’	FDA Labeling Cost Model.’’ Prepared for the U.S. Food and Drug Administration, Center for Food Safety and Applied Nutrition. Research Triangle Park, NC.	National Cattlemen’s Beef Association.	The Journey towards Retail Meat Case Nutrition Labeling, A white paper,	Uniform Retail Meat Identity Standards.	The NMI Health and Wellness Trends Database.	As reported in Food Technology. ‘‘What, When and Where Americans Eat:	Use of food nutrition labels is associated with lower fat intake’’.	The Imperative to Warn: Disentangling the ‘‘Right to Know’’ from the ‘‘Need to Know’’ about Consumer Product Hazards’’	Guidelines for Ensuring and Maximizing the Quality, Objectivity, Utility, and Integrity of Information Disseminated by Federal Agencies.	Cost Analysis for Nutrition Labeling of Ground, Chopped, and Single-Ingredient Meat and Poultry VerDate	Does Nutrition Labeling Lead to Healthier Eating?’’	Measuring the welfare effects of nutrition information.	Hedonic Prices and Implicit Markets: Product Differentiation in	Department of Agriculture, 1994–1996. Continuing survey of food intake by individuals (CSFII), and companion diet and health knowledge survey (DHKS).	Survey years 1994–1996.	Nutrition Labeling/Safe Handling Information Study—Raw Meat and Poultry. Prepared by Retail Diagnostics,	Department of Agriculture, Agricultural Research Service,	Do Nutrition Labels Improve Dietary Outcomes?	Diet-Health Information and Nutrition: The Intake of Dietary Fats	Fatal Tradeoffs—Public & Private Responsibilities for Risk.	Estimated Benefits of Nutrition Label Changes: Final Report,	Potential Health Benefits of Nutrition Label Changes,’’	Section 381.400 is revised to read as follows:
Consumer Use of Information Implications for Food Policy	0.47619047619047616	0.6071428571428572	0.6785714285714286	0.4	0.5714285714285714	0.4722222222222222	0.5116279069767442	0.6	0.6666666666666667	0.6666666666666667	0.3793103448275862	0.40740740740740744	0.4411764705882353	0.4814814814814815	0.5135135135135135	0.46875	0.5333333333333333	0.3846153846153846	0.5675675675675675	0.3928571428571429	0.40740740740740744	0.4864864864864865	0.43243243243243246	0.5357142857142857	0.5454545454545454	0.36	0.6666666666666667	0.4838709677419355	0.48275862068965514	0.5128205128205128	0.4722222222222222	0.4545454545454546	0.6363636363636364	0.46153846153846156	0.3076923076923077	0.5	0.7741935483870968	0.4571428571428572	0.48275862068965514	0.4285714285714286	0.3928571428571429	0.43333333333333335	0.43333333333333335	0.5625	0.5666666666666667
Economics of Food Labeling	0.5952380952380952	0.5833333333333333	0.6666666666666667	0.6923076923076923	0.59375	0.48484848484848486	0.627906976744186	0.6296296296296297	0.696969696969697	0.696969696969697	0.4444444444444444	0.48	0.5454545454545454	0.56	0.5294117647058824	0.48275862068965514	0.7419354838709677	0.52	0.5882352941176471	0.4	0.6428571428571428	0.5428571428571429	0.5675675675675675	0.56	0.6129032258064516	0.56	0.7037037037037037	0.5	0.5555555555555556	0.641025641025641	0.5294117647058824	0.6060606060606061	0.5185185185185186	0.4782608695652174	0.5555555555555556	0.625	0.8620689655172413	0.5588235294117647	0.5555555555555556	0.5555555555555556	0.5714285714285714	0.5517241379310345	0.3846153846153846	0.5862068965517242	0.5925925925925926
FDA Labeling Cost Model	0.6046511627906976	0.5416666666666667	0.625	0.6666666666666667	0.6470588235294117	0.5	0.6046511627906976	0.5384615384615384	0.625	0.625	0.5666666666666667	0.5	0.5588235294117647	0.52	0.5833333333333333	0.5	0.7096774193548387	0.5925925925925926	0.5151515151515151	0.5357142857142857	0.6551724137931034	0.5555555555555556	0.5	0.5769230769230769	0.4285714285714286	0.5769230769230769	0.56	0.5666666666666667	0.6206896551724138	0.65	0.5428571428571429	0.43333333333333335	0.4814814814814815	0.56	0.5714285714285714	0.6	0.8666666666666667	0.5714285714285714	0.5714285714285714	0.5714285714285714	0.5862068965517242	0.6129032258064516	0.4642857142857143	0.5517241379310345	0.6551724137931034
The Consumer Product Safety Commission�s Revised Injury Cost Model	0.5	0.6666666666666667	0.6	0.2571428571428571	0.5135135135135135	0.42105263157894735	0.4666666666666667	0.6571428571428571	0.7073170731707317	0.7073170731707317	0.32258064516129037	0.4	0.38888888888888884	0.4137931034482759	0.5	0.4571428571428572	0.5588235294117647	0.43333333333333335	0.43243243243243246	0.4375	0.2857142857142857	0.475	0.42500000000000004	0.6060606060606061	0.48571428571428577	0.3571428571428571	0.59375	0.5555555555555556	0.5588235294117647	0.46341463414634143	0.46153846153846156	0.4444444444444444	0.6486486486486487	0.4482758620689655	0.4193548387096774	0.5227272727272727	0.7352941176470589	0.4473684210526315	0.4193548387096774	0.5151515151515151	0.4375	0.47058823529411764	0.5142857142857142	0.5833333333333333	0.5454545454545454
Cost Analysis for Nutrition Labeling of Ground Chopped and SingleIngredient Meat and Poultry Products	0.33333333333333337	0.5	0.6129032258064516	0.44999999999999996	0.5641025641025641	0.3055555555555556	0.37209302325581395	0.6666666666666667	0.7142857142857143	0.7142857142857143	0.34375	0.4193548387096774	0.4054054054054054	0.4838709677419355	0.39473684210526316	0.38235294117647056	0.5294117647058824	0.4	0.4054054054054054	0.4545454545454546	0.46875	0.368421052631579	0.3157894736842105	0.5757575757575757	0.3125	0.4838709677419355	0.5625	0.5277777777777778	0.5294117647058824	0.47619047619047616	0.4358974358974359	0.09999999999999998	0.5	0.4666666666666667	0.4375	0.4651162790697675	0.7777777777777778	0.33333333333333337	0.4375	0.4375	0.5	0.5277777777777778	0.3939393939393939	0.4242424242424242	0.6
National Meat Case Study	0.6190476190476191	0.5652173913043479	0.5909090909090908	0.5714285714285714	0.625	0.5151515151515151	0.6190476190476191	0.6666666666666667	0.7272727272727273	0.7272727272727273	0.5862068965517242	0.5769230769230769	0.53125	0.6	0.6	0.5666666666666667	0.5925925925925926	0.6153846153846154	0.53125	0.6071428571428572	0.52	0.6486486486486487	0.5555555555555556	0.5416666666666667	0.4444444444444444	0.40909090909090906	0.5833333333333333	0.6333333333333333	0.5925925925925926	0.6666666666666667	0.6388888888888888	0.4482758620689655	0.5555555555555556	0.5217391304347826	0.5384615384615384	0.65	0.72	0.5454545454545454	0.5925925925925926	0.5384615384615384	0.5	0.6333333333333333	0.5357142857142857	0.5714285714285714	0.5769230769230769
The Journey towards Retail Meat Case Nutrition Labeling A white paper	0.48888888888888893	0.5172413793103448	0.6774193548387097	0.5	0.5789473684210527	0.4054054054054054	0.5217391304347826	0.6060606060606061	0.6666666666666667	0.6666666666666667	0.4545454545454546	0.53125	0.5384615384615384	0.5	0.4054054054054054	0.3939393939393939	0.4516129032258065	0.4666666666666667	0.45945945945945943	0.4193548387096774	0.43333333333333335	0.46153846153846156	0.368421052631579	0.6363636363636364	0.0	0.5483870967741935	0.5333333333333333	0.5	0.5454545454545454	0.4878048780487805	0.5609756097560976	0.33333333333333337	0.46875	0.48275862068965514	0.5882352941176471	0.5454545454545454	0.8	0.43243243243243246	0.5	0.5	0.5151515151515151	0.5428571428571429	0.3548387096774194	0.48484848484848486	0.6571428571428571
Uniform Retail Meat Identity Standards	0.5476190476190477	0.6666666666666667	0.5833333333333333	0.4411764705882353	0.53125	0.5555555555555556	0.5813953488372092	0.6071428571428572	0.6764705882352942	0.6764705882352942	0.4285714285714286	0.46153846153846156	0.48484848484848486	0.48	0.5142857142857142	0.5161290322580645	0.6774193548387097	0.43999999999999995	0.5294117647058824	0.5	0.4	0.641025641025641	0.5135135135135135	0.5925925925925926	0.5483870967741935	0.0	0.5769230769230769	0.5806451612903225	0.5357142857142857	0.625	0.5142857142857142	0.5	0.6451612903225806	0.45833333333333337	0.42307692307692313	0.6097560975609756	0.75	0.4545454545454546	0.4814814814814815	0.5357142857142857	0.4444444444444444	0.5806451612903225	0.5333333333333333	0.65625	0.5185185185185186
Re Docket 98�005F Food Safety and Inspection Service Proposed Rule ��Nutrition Labeling of Ground or Chopped Meat and Poultry Products and SingleIngredient Products��	0.4117647058823529	0.6341463414634146	0.65	0.47916666666666663	0.5434782608695652	0.46808510638297873	0.19999999999999996	0.5952380952380952	0.6458333333333333	0.6170212765957447	0.4	0.5714285714285714	0.4782608695652174	0.6190476190476191	0.46808510638297873	0.5	0.6739130434782609	0.5609756097560976	0.4444444444444444	0.4878048780487805	0.5714285714285714	0.47916666666666663	0.3695652173913043	0.7111111111111111	0.4883720930232558	0.5853658536585367	0.6428571428571428	0.6382978723404256	0.6136363636363636	0.5	0.5	0.3414634146341463	0.5909090909090908	0.6097560975609756	0.5121951219512195	0.45999999999999996	0.7777777777777778	0.4222222222222223	0.5121951219512195	0.5121951219512195	0.5238095238095238	0.5116279069767442	0.47619047619047616	0.5681818181818181	0.6046511627906976
nan	0.9523809523809523	0.8823529411764706	0.8666666666666667	0.9411764705882353	0.9285714285714286	0.9393939393939394	0.9523809523809523	0.9	0.9230769230769231	0.9230769230769231	0.92	0.9047619047619048	0.935483870967742	0.8947368421052632	0.9393939393939394	0.9259259259259259	0.9090909090909091	0.9	0.935483870967742	0.9130434782608696	0.9047619047619048	0.9411764705882353	0.9444444444444444	0.8947368421052632	0.9230769230769231	0.8947368421052632	0.8888888888888888	0.92	0.9090909090909091	0.9444444444444444	0.9393939393939394	0.9310344827586207	0.9130434782608696	0.8888888888888888	0.9090909090909091	0.9473684210526316	0.9411764705882353	0.9375	0.9090909090909091	0.9090909090909091	0.9130434782608696	0.92	0.92	0.9166666666666666	0.9047619047619048
Guidelines for Ensuring and Maximizing the Quality Objectivity Utility and Integrity of Information Disseminated by Federal Agencies	0.4693877551020408	0.6111111111111112	0.6666666666666667	0.4772727272727273	0.5476190476190477	0.4651162790697675	0.5	0.6052631578947368	0.6590909090909092	0.6590909090909092	0.43243243243243246	0.4571428571428572	0.4	0.5142857142857142	0.4651162790697675	0.5	0.6585365853658536	0.48571428571428577	0.47619047619047616	0.4444444444444444	0.5405405405405406	0.40476190476190477	0.4666666666666667	0.6666666666666667	0.5609756097560976	0.5142857142857142	0.6216216216216216	0.5128205128205128	0.5526315789473684	0.5319148936170213	0.0	0.44999999999999996	0.5641025641025641	0.5	0.5135135135135135	0.4893617021276596	0.8048780487804879	0.5227272727272727	0.4722222222222222	0.4722222222222222	0.4864864864864865	0.5853658536585367	0.5128205128205128	0.6428571428571428	0.65
Labeling Trans Fatty Acids in Nutrition labeling Nutrient Content Claims and Health Claims Final Rule	0.41860465116279066	0.40740740740740744	0.6774193548387097	0.5365853658536586	0.5405405405405406	0.3142857142857143	0.48888888888888893	0.5161290322580645	0.5945945945945945	0.5945945945945945	0.3548387096774194	0.3793103448275862	0.41666666666666663	0.4482758620689655	0.36111111111111116	0.34375	0.4516129032258065	0.4137931034482759	0.41666666666666663	0.3666666666666667	0.43333333333333335	0.42105263157894735	0.32432432432432434	0.5483870967741935	0.2666666666666667	0.5483870967741935	0.5333333333333333	0.40625	0.5454545454545454	0.44999999999999996	0.4871794871794872	0.4285714285714286	0.4193548387096774	0.48275862068965514	0.5454545454545454	0.47619047619047616	0.8	0.43243243243243246	0.4516129032258065	0.4516129032258065	0.3666666666666667	0.5	0.30000000000000004	0.4375	0.6571428571428571
Prevention of Salmonella Enteritidis in Shell Eggs During Production Proposed Rule	0.5	0.5862068965517242	0.5555555555555556	0.38888888888888884	0.47058823529411764	0.45945945945945943	0.4651162790697675	0.5333333333333333	0.6111111111111112	0.6111111111111112	0.31034482758620685	0.3928571428571429	0.4285714285714286	0.4642857142857143	0.5	0.3548387096774194	0.6060606060606061	0.3076923076923077	0.4285714285714286	0.2592592592592593	0.4482758620689655	0.38888888888888884	0.42105263157894735	0.6129032258064516	0.5294117647058824	0.4642857142857143	0.6451612903225806	0.46875	0.5161290322580645	0.42105263157894735	0.45945945945945943	0.4411764705882353	0.4838709677419355	0.3846153846153846	0.3571428571428571	0.4878048780487805	0.75	0.4	0.16000000000000003	0.4666666666666667	0.4838709677419355	0.4193548387096774	0.3666666666666667	0.5454545454545454	0.5
Procedures for the Safe and Sanitary Processing and Importing of Fish and Fishery Products Final Rule	0.4285714285714286	0.5862068965517242	0.6071428571428572	0.38888888888888884	0.47058823529411764	0.41666666666666663	0.4285714285714286	0.5333333333333333	0.6111111111111112	0.6111111111111112	0.25	0.3928571428571429	0.38235294117647056	0.4642857142857143	0.41666666666666663	0.40625	0.5625	0.24	0.4722222222222222	0.2592592592592593	0.33333333333333337	0.4736842105263158	0.3783783783783784	0.6129032258064516	0.48484848484848486	0.34615384615384615	0.6451612903225806	0.4193548387096774	0.5161290322580645	0.46153846153846156	0.45945945945945943	0.3939393939393939	0.5757575757575757	0.3846153846153846	0.3571428571428571	0.44999999999999996	0.75	0.3529411764705882	0.2962962962962963	0.4666666666666667	0.3793103448275862	0.4193548387096774	0.3666666666666667	0.5454545454545454	0.5483870967741935
Use of food nutrition labels is associated with lower fat intake	0.5813953488372092	0.4347826086956522	0.5833333333333333	0.5277777777777778	0.53125	0.5555555555555556	0.6136363636363636	0.6551724137931034	0.7142857142857143	0.7142857142857143	0.37037037037037035	0.46153846153846156	0.5294117647058824	0.5384615384615384	0.4242424242424242	0.4666666666666667	0.5862068965517242	0.43999999999999995	0.5294117647058824	0.31999999999999995	0.46153846153846156	0.5675675675675675	0.5135135135135135	0.5925925925925926	0.5	0.48	0.5769230769230769	0.5806451612903225	0.13636363636363635	0.5526315789473684	0.5142857142857142	0.5454545454545454	0.5	0.31818181818181823	0.42307692307692313	0.5384615384615384	0.7931034482758621	0.5428571428571429	0.4814814814814815	0.5357142857142857	0.4444444444444444	0.4285714285714286	0.48275862068965514	0.5172413793103448	0.46153846153846156
Information Advertising and Health Choices A Study of the Cereal Market 	0.41860465116279066	0.4642857142857143	0.4814814814814815	0.42105263157894735	0.5	0.4054054054054054	0.4545454545454546	0.6060606060606061	0.6666666666666667	0.6666666666666667	0.30000000000000004	0.1923076923076923	0.16129032258064513	0.33333333333333337	0.4473684210526315	0.29032258064516125	0.5454545454545454	0.3571428571428571	0.37142857142857144	0.4193548387096774	0.43333333333333335	0.46153846153846156	0.41025641025641024	0.5483870967741935	0.47058823529411764	0.3928571428571429	0.5806451612903225	0.5	0.5	0.4878048780487805	0.4054054054054054	0.38235294117647056	0.5588235294117647	0.37037037037037035	0.3448275862068966	0.3589743589743589	0.7272727272727273	0.43243243243243246	0.3448275862068966	0.5	0.3666666666666667	0.5428571428571429	0.5	0.5294117647058824	0.53125
Information and Advertising The Case of Fat Consumption in the United States	0.5	0.6333333333333333	0.6071428571428572	0.43243243243243246	0.5555555555555556	0.45945945945945943	0.5333333333333333	0.5333333333333333	0.6111111111111112	0.6111111111111112	0.46875	0.33333333333333337	0.38235294117647056	0.20833333333333337	0.45945945945945943	0.4545454545454546	0.5161290322580645	0.37037037037037035	0.5526315789473684	0.3793103448275862	0.5483870967741935	0.43243243243243246	0.42105263157894735	0.6129032258064516	0.48484848484848486	0.4642857142857143	0.6451612903225806	0.46875	0.5625	0.5	0.45945945945945943	0.4411764705882353	0.6176470588235294	0.5	0.5161290322580645	0.44999999999999996	0.75	0.5641025641025641	0.3571428571428571	0.5625	0.43333333333333335	0.5151515151515151	0.4193548387096774	0.5882352941176471	0.59375
