	Comments submitted to OSHA docket S029 Exhibit 314 by	Institute of Electrical and Electronics Engineers IEEE Standard for Fall Protection for Utility Work IEEE Standard 13072004 httpstandardsieeeorgreadingieeestdnumericalhtml accessed	Occupational Safety and Health Administration 29 CFR Part	Occupational Safety and Health Administration Fixed Ladders Used on Outdoor Advertising StructuresBillboards in the Outdoor Advertising Industry	Occupational Safety and Health Administration Preliminary Regulatory Impact and Regulatory Flexibility Analysis of Draft Subparts D and I of 29 CFR Part	0030 Machine Shops Turned Product and Screw Nut	Electric Lighting Equipment Manufacturing	Household Appliance Manufacturing 279213 163 1712962 371 63608 2015 1236 0001 0019 Professional and Commercial Equipment and Supplies Merchant Wholesalers	Accessories	0024 Lawn and Garden Equipment and Supplies Stores	0039 Sporting Goods Hobby and Musical Instrument Stores	0050 Electronic Shopping and MailOrder Houses 12662263 13335 949551 396 	0095 Deep Sea Coastal and Great Lakes Water Transportation 1019668 645 1580880 417 	Rural Bus Transportation	Employee Bus Transportation	0102 Other Transit and Ground Passenger Transportation	Support Activities for Air Transportation	Motion Picture and Video Industries	Television Broadcasting	Other Subscription Programming	0263 Data Processing Hosting and Related Services	Monetary Authorities  Central Bank	0005 Securities and Commodity Contracts Intermediation and Brokerage	0000 Agencies Brokerages and Other Insurance Related Activities	Pools and Funds	Offices of Real Estate Agents and Brokers	Activities Related to Real Estate	Automotive Equipment Rental and Leasing	0040 Commercial and Industrial Machinery and Equipment Rental and Leasing	Legal Services 73138890 164606 444327 852  37841 657652 400 0001 0011 Accounting Tax Preparation Bookkeeping and Payroll Services	Specialized Design Services 12493910 29234 427376 623  26635 138628 474 0001 0018 Computer Systems Design and Related Services	Scientific Research and Development	Home Health Care Services	Health Care Services	General Medical and Surgical Hospitals	Psychiatric and Substance Abuse Hospitals 103678 48 2159950 508  109669 210 437 0000 0004 Specialty except Psychiatric and Substance Abuse Hospitals 140371 130 1079779 508 	0013 Residential Mental Retardation Mental Health and Substance Abuse Facilities 1155914 4046 285693 508 	Facilities for the Elderly	Care Facilities	Individual and Family Services 8057734 27310 295047 508  14981 86180 316 0001 0021 Community Food and Housing and Emergency and Other Relief Services 3126011 6774 461472 508 	Vocational Rehabilitation Services	Care Services	0006 Promoters of Performing Arts Sports and Similar Events 2931291	Boarding Houses	0091 Electronic and Precision Equipment Repair and	Death Care Services	Grantmaking and Giving Services	receipts and payroll data from US Census Bureau Statistics of US Businesses	1 Discussions with Outdoor Amusement Business Association OABA staff indicate that very few office and multifamily residential buildings use fixed ladders greater than 20 feet in height A5 Based on this data ERG estimated that all 28906 estimated fixed ladders on lift towers are infrequently climbed A4 Communications Towers Radio Television Cellular and Microwave Virtually all communication towers have fixed ladders The Federal Communications Commission FCC Antenna Structure Registration Database lists 93000 registered Albee	Economic Census Manufacturing As downloaded from httpfactfindercensusgovservletIQRTablebmydsnameEC0200A1NAICS20023133langen on	As downloaded from ftpftpeiadoegovpubconsumptionresidential2001hctableshousingunithouseholdpdf on August 24	United States Environmental Protection Agency	As downloaded from httpwwwepagovsafewatercwssvrhtml on August 23	Telephone conversation between Joe Shefchik and Ayesha Berlind	Telephone conversation between Wendell Kido Chief Policy and Planning Division Sacramento County Regional Sanitation District and Ayesha Berlind	Telephone conversation between
2006 Performance And Accountability Report	0.72	0.5800000000000001	0.65	0.6699999999999999	0.5800000000000001	0.62	0.7	0.5800000000000001	0.55	0.62	0.65	0.6	0.65	0.6699999999999999	0.71	0.5800000000000001	0.6599999999999999	0.63	0.7	0.7	0.6	0.65	0.5800000000000001	0.5800000000000001	0.54	0.71	0.6699999999999999	0.69	0.6	0.5800000000000001	0.6699999999999999	0.69	0.72	0.7	0.64	0.6699999999999999	0.62	0.6599999999999999	0.6	0.62	0.62	0.62	0.53	0.6699999999999999	0.53	0.74	0.62	0.6699999999999999	0.5800000000000001	0.7	0.7	0.7	0.7	0.7	0.62	0.63
Community Water System Survey 2000	0.56	0.5900000000000001	0.6799999999999999	0.5900000000000001	0.62	0.6699999999999999	0.77	0.65	0.73	0.65	0.65	0.6799999999999999	0.65	0.75	0.75	0.6799999999999999	0.74	0.64	0.74	0.7	0.65	0.65	0.56	0.65	0.74	0.71	0.6699999999999999	0.71	0.65	0.6799999999999999	0.5	0.74	0.6	0.55	0.71	0.62	0.5900000000000001	0.62	0.6699999999999999	0.53	0.65	0.54	0.62	0.6699999999999999	0.6799999999999999	0.53	0.6799999999999999	0.65	0.5900000000000001	0.6799999999999999	0.7	0.65	0.65	0.6799999999999999	0.65	0.7
Handbook for Manufacturing Safer Consumer Products Chinese	0.7	0.5900000000000001	0.6699999999999999	0.63	0.64	0.51	0.61	0.5900000000000001	0.55	0.62	0.62	0.71	0.6599999999999999	0.6699999999999999	0.6699999999999999	0.63	0.64	0.6	0.5700000000000001	0.64	0.6599999999999999	0.62	0.63	0.62	0.6	0.64	0.6699999999999999	0.6699999999999999	0.5900000000000001	0.64	0.71	0.6599999999999999	0.6	0.65	0.6599999999999999	0.6599999999999999	0.63	0.5800000000000001	0.6	0.61	0.62	0.62	0.64	0.54	0.6599999999999999	0.64	0.5900000000000001	0.61	0.61	0.5	0.61	0.55	0.6799999999999999	0.64	0.5900000000000001	0.64
Regulatory Reform of the US Manufacturing Sector	0.71	0.63	0.65	0.61	0.53	0.6799999999999999	0.52	0.61	0.64	0.69	0.61	0.73	0.65	0.6699999999999999	0.6	0.69	0.61	0.63	0.6599999999999999	0.5700000000000001	0.6599999999999999	0.5900000000000001	0.65	0.63	0.6699999999999999	0.6599999999999999	0.64	0.62	0.6699999999999999	0.65	0.65	0.72	0.64	0.65	0.69	0.6699999999999999	0.63	0.5800000000000001	0.6699999999999999	0.6699999999999999	0.62	0.62	0.5900000000000001	0.54	0.71	0.64	0.64	0.61	0.5900000000000001	0.5900000000000001	0.65	0.63	0.65	0.63	0.61	0.63
1999 Building activities Compare activities by number of buildings	0.7	0.6699999999999999	0.69	0.61	0.6599999999999999	0.62	0.5900000000000001	0.64	0.64	0.6799999999999999	0.6599999999999999	0.73	0.69	0.63	0.6699999999999999	0.69	0.54	0.6	0.6599999999999999	0.64	0.6799999999999999	0.56	0.64	0.64	0.6699999999999999	0.64	0.49	0.5900000000000001	0.64	0.6599999999999999	0.69	0.63	0.6	0.55	0.69	0.64	0.64	0.5	0.19999999999999996	0.64	0.62	0.54	0.72	0.6	0.64	0.53	0.62	0.63	0.6	0.6599999999999999	0.69	0.6	0.6599999999999999	0.65	0.63	0.6699999999999999
2002 Economic Census	0.7	0.55	0.75	0.7	0.7	0.6	0.7	0.7	0.64	0.6	0.6	0.5	0.7	0.75	0.75	0.65	0.7	0.65	0.75	0.65	0.65	0.65	0.6	0.65	0.6	0.7	0.75	0.7	0.6	0.65	0.65	0.7	0.75	0.75	0.7	0.65	0.6	0.8	0.74	0.6	0.7	0.7	0.6	0.6699999999999999	0.44999999999999996	0.74	0.7	0.5	0.65	0.44999999999999996	0.65	0.65	0.7	0.65	0.65	0.65
Alternating tread type stair is approved as safe for use	0.6799999999999999	0.5900000000000001	0.63	0.54	0.5900000000000001	0.64	0.6599999999999999	0.63	0.64	0.6	0.62	0.63	0.61	0.63	0.6699999999999999	0.62	0.64	0.52	0.61	0.6699999999999999	0.63	0.62	0.5900000000000001	0.63	0.6	0.61	0.55	0.62	0.63	0.5900000000000001	0.6699999999999999	0.63	0.6	0.55	0.64	0.61	0.56	0.62	0.6	0.63	0.62	0.62	0.65	0.6	0.62	0.53	0.55	0.61	0.56	0.63	0.6699999999999999	0.6	0.65	0.6	0.61	0.6699999999999999
Application of Gannett Outdoor Companies for a Variance Concerning Fixed Ladders	0.7	0.6	0.5700000000000001	0.53	0.5900000000000001	0.64	0.6599999999999999	0.64	0.64	0.6	0.64	0.69	0.69	0.5900000000000001	0.6	0.62	0.54	0.55	0.61	0.6	0.62	0.53	0.62	0.64	0.6	0.5900000000000001	0.6699999999999999	0.62	0.62	0.65	0.7	0.6599999999999999	0.56	0.55	0.64	0.7	0.65	0.54	0.6	0.64	0.5900000000000001	0.54	0.6599999999999999	0.54	0.62	0.53	0.5900000000000001	0.63	0.55	0.65	0.6799999999999999	0.63	0.6799999999999999	0.62	0.5800000000000001	0.6
Changes to the Chemical Accident Prevention Rule Risk Management Program in 2004	0.6799999999999999	0.6	0.5800000000000001	0.6	0.6	0.6599999999999999	0.5900000000000001	0.63	0.55	0.62	0.62	0.73	0.63	0.55	0.63	0.62	0.64	0.5800000000000001	0.61	0.54	0.64	0.5900000000000001	0.64	0.6699999999999999	0.6699999999999999	0.61	0.55	0.62	0.62	0.63	0.75	0.55	0.6	0.6	0.61	0.64	0.64	0.54	0.6	0.6699999999999999	0.5900000000000001	0.62	0.6599999999999999	0.6	0.56	0.5800000000000001	0.62	0.6699999999999999	0.5800000000000001	0.64	0.6699999999999999	0.56	0.69	0.62	0.5900000000000001	0.6
Circumstances under which installation of fixed industrial stairs with a slope between 50 degrees and 70 degrees from the horizontal would be considered a de minimis violation	0.6699999999999999	0.64	0.5700000000000001	0.6	0.64	0.64	0.5700000000000001	0.6699999999999999	0.64	0.6	0.5900000000000001	0.69	0.6599999999999999	0.55	0.56	0.54	0.5900000000000001	0.49	0.61	0.6	0.6	0.5900000000000001	0.5900000000000001	0.54	0.6	0.5700000000000001	0.61	0.5900000000000001	0.55	0.72	0.6799999999999999	0.52	0.64	0.6	0.53	0.69	0.6	0.5800000000000001	0.54	0.7	0.62	0.62	0.62	0.54	0.62	0.5800000000000001	0.62	0.5800000000000001	0.5700000000000001	0.6799999999999999	0.65	0.5800000000000001	0.6599999999999999	0.5700000000000001	0.62	0.5700000000000001
Economic Report of the President	0.6599999999999999	0.6	0.6	0.6	0.63	0.63	0.6599999999999999	0.6599999999999999	0.64	0.6599999999999999	0.6599999999999999	0.6	0.63	0.6699999999999999	0.6699999999999999	0.6599999999999999	0.6599999999999999	0.63	0.7	0.6699999999999999	0.62	0.6	0.5700000000000001	0.63	0.74	0.6	0.6	0.62	0.63	0.6	0.5700000000000001	0.56	0.56	0.6	0.72	0.6599999999999999	0.63	0.5700000000000001	0.74	0.6	0.6	0.62	0.6	0.6699999999999999	0.54	0.5800000000000001	0.6799999999999999	0.69	0.5700000000000001	0.5	0.54	0.6	0.6599999999999999	0.6	0.5700000000000001	0.6
Federal Participation in the Development and Use of Voluntary Consensus Standards and in Conformity Assessment Activities	0.6699999999999999	0.61	0.6	0.5800000000000001	0.5900000000000001	0.62	0.5700000000000001	0.6799999999999999	0.55	0.5800000000000001	0.5900000000000001	0.6699999999999999	0.6799999999999999	0.5	0.63	0.5800000000000001	0.64	0.55	0.61	0.5700000000000001	0.62	0.53	0.5900000000000001	0.54	0.54	0.5700000000000001	0.55	0.5700000000000001	0.61	0.73	0.7	0.45999999999999996	0.64	0.6	0.61	0.72	0.63	0.54	0.4	0.69	0.5900000000000001	0.62	0.6	0.54	0.56	0.64	0.55	0.55	0.61	0.71	0.6799999999999999	0.5800000000000001	0.6799999999999999	0.62	0.5900000000000001	0.6
Harmonized Tariff Schedule of the United States 2007	0.6799999999999999	0.62	0.64	0.6	0.62	0.62	0.71	0.64	0.73	0.62	0.64	0.6799999999999999	0.6599999999999999	0.6699999999999999	0.6699999999999999	0.6799999999999999	0.71	0.6	0.7	0.74	0.6599999999999999	0.62	0.6599999999999999	0.62	0.6699999999999999	0.5900000000000001	0.5800000000000001	0.6699999999999999	0.62	0.6799999999999999	0.6799999999999999	0.63	0.6	0.6	0.6599999999999999	0.6	0.6	0.5800000000000001	0.6	0.5800000000000001	0.71	0.62	0.64	0.6699999999999999	0.6799999999999999	0.5800000000000001	0.6799999999999999	0.6	0.62	0.64	0.6799999999999999	0.63	0.6799999999999999	0.6	0.6599999999999999	0.64
Job Openings and Labor Turnover Survey	0.6599999999999999	0.5800000000000001	0.6599999999999999	0.61	0.6599999999999999	0.61	0.7	0.61	0.73	0.5800000000000001	0.61	0.56	0.5800000000000001	0.6699999999999999	0.6699999999999999	0.5800000000000001	0.6599999999999999	0.63	0.6599999999999999	0.7	0.52	0.71	0.61	0.56	0.6	0.64	0.6699999999999999	0.62	0.64	0.5	0.5800000000000001	0.6599999999999999	0.5900000000000001	0.55	0.7	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.74	0.5800000000000001	0.61	0.47	0.61	0.6699999999999999	0.61	0.56	0.52	0.5800000000000001	0.61	0.64	0.69	0.6599999999999999	0.72	0.64	0.61	0.7
PPE Cost Survey Final Report	0.72	0.5800000000000001	0.65	0.61	0.5800000000000001	0.65	0.72	0.65	0.73	0.6799999999999999	0.65	0.6799999999999999	0.5800000000000001	0.63	0.63	0.65	0.65	0.61	0.74	0.6799999999999999	0.5800000000000001	0.65	0.65	0.65	0.6699999999999999	0.65	0.72	0.61	0.65	0.61	0.5800000000000001	0.6799999999999999	0.6799999999999999	0.65	0.61	0.61	0.5800000000000001	0.7	0.54	0.65	0.61	0.54	0.65	0.74	0.61	0.64	0.72	0.61	0.61	0.65	0.65	0.61	0.72	0.65	0.5800000000000001	0.6799999999999999
Regulatory Analysis	0.74	0.64	0.5800000000000001	0.53	0.31999999999999995	0.74	0.69	0.64	0.64	0.64	0.69	0.74	0.64	0.64	0.64	0.64	0.64	0.64	0.69	0.74	0.5800000000000001	0.5800000000000001	0.69	0.53	0.6699999999999999	0.53	0.48	0.5800000000000001	0.5800000000000001	0.69	0.5800000000000001	0.69	0.64	0.64	0.64	0.69	0.5800000000000001	0.69	0.52	0.64	0.64	0.7	0.69	0.6699999999999999	0.69	0.64	0.74	0.64	0.5800000000000001	0.5800000000000001	0.64	0.64	0.69	0.69	0.5800000000000001	0.69
Residential Energy Consumption Survey Table HC14a	0.6599999999999999	0.62	0.64	0.64	0.6	0.69	0.69	0.6	0.73	0.6799999999999999	0.6799999999999999	0.6799999999999999	0.62	0.55	0.63	0.6599999999999999	0.69	0.63	0.6599999999999999	0.6	0.6799999999999999	0.5900000000000001	0.64	0.64	0.6699999999999999	0.64	0.6699999999999999	0.6699999999999999	0.56	0.6599999999999999	0.6599999999999999	0.63	0.6799999999999999	0.7	0.5800000000000001	0.6	0.47	0.7	0.6699999999999999	0.5800000000000001	0.56	0.62	0.6799999999999999	0.6	0.6599999999999999	0.69	0.55	0.64	0.5800000000000001	0.62	0.5800000000000001	0.6	0.72	0.64	0.62	0.5700000000000001
Standards applicable to step bolts and manhole steps load requirements for step bolts	0.6699999999999999	0.5900000000000001	0.64	0.62	0.6	0.6	0.64	0.64	0.64	0.56	0.55	0.6699999999999999	0.6699999999999999	0.5900000000000001	0.6	0.62	0.61	0.55	0.6599999999999999	0.64	0.6	0.62	0.64	0.61	0.4	0.52	0.5800000000000001	0.65	0.61	0.71	0.73	0.5800000000000001	0.6	0.65	0.61	0.65	0.62	0.54	0.6	0.6599999999999999	0.62	0.62	0.65	0.6	0.56	0.64	0.6799999999999999	0.6	0.5900000000000001	0.64	0.64	0.5800000000000001	0.63	0.63	0.6	0.6
The use of ships stairs instead of fixed stairs in general industry	0.6799999999999999	0.62	0.64	0.53	0.63	0.62	0.6599999999999999	0.63	0.64	0.64	0.6599999999999999	0.72	0.6599999999999999	0.5900000000000001	0.6	0.5700000000000001	0.5900000000000001	0.52	0.5700000000000001	0.6	0.6	0.5	0.63	0.6599999999999999	0.6	0.5700000000000001	0.52	0.5900000000000001	0.6	0.69	0.6799999999999999	0.5800000000000001	0.6	0.65	0.61	0.6599999999999999	0.5700000000000001	0.62	0.6	0.6599999999999999	0.65	0.62	0.6599999999999999	0.6	0.6	0.64	0.62	0.62	0.54	0.63	0.65	0.56	0.64	0.5700000000000001	0.6	0.6
website Resource Center Loan Program Materials by subject	0.7	0.6	0.7	0.62	0.64	0.6599999999999999	0.64	0.62	0.55	0.7	0.6599999999999999	0.6699999999999999	0.64	0.63	0.63	0.64	0.61	0.63	0.5700000000000001	0.5	0.64	0.5900000000000001	0.6	0.6	0.6699999999999999	0.54	0.61	0.62	0.65	0.65	0.69	0.6	0.6	0.6	0.5800000000000001	0.64	0.5800000000000001	0.62	0.6	0.64	0.65	0.54	0.64	0.6699999999999999	0.64	0.5800000000000001	0.62	0.65	0.5800000000000001	0.64	0.69	0.56	0.6699999999999999	0.64	0.64	0.6
National Occupational Exposure Survey Volume III Analysis of Management Interview Responses	0.7	0.63	0.55	0.65	0.6	0.6599999999999999	0.64	0.6599999999999999	0.55	0.62	0.64	0.71	0.73	0.63	0.6699999999999999	0.65	0.6599999999999999	0.5800000000000001	0.61	0.64	0.64	0.62	0.65	0.65	0.74	0.5700000000000001	0.64	0.5900000000000001	0.65	0.71	0.74	0.6599999999999999	0.56	0.5	0.61	0.73	0.6599999999999999	0.62	0.6699999999999999	0.7	0.53	0.47	0.69	0.54	0.6599999999999999	0.5800000000000001	0.5900000000000001	0.62	0.62	0.65	0.7	0.6	0.69	0.6699999999999999	0.6	0.6
American National Standard for Ladders—Fixed– Safety Requirements	0.72	0.54	0.6	0.56	0.6	0.64	0.61	0.62	0.64	0.6	0.64	0.7	0.62	0.6699999999999999	0.63	0.6699999999999999	0.69	0.55	0.61	0.64	0.64	0.65	0.64	0.6699999999999999	0.54	0.5900000000000001	0.6699999999999999	0.5700000000000001	0.5700000000000001	0.65	0.6799999999999999	0.63	0.64	0.6	0.5800000000000001	0.6799999999999999	0.6	0.5800000000000001	0.6699999999999999	0.62	0.53	0.62	0.65	0.6	0.6	0.5800000000000001	0.5900000000000001	0.62	0.56	0.6	0.65	0.65	0.65	0.63	0.5900000000000001	0.64
