	Letter to Hon Nancy Pelosi	States as Policy Laboratories Emulating Success in the Children’s Health Insurance Program”	Active Purchasing for Health Exchanges An Analysis of Options	and Elizabeth McGylnn2010 Establishing State Health Insurance Exchanges	Health Reform in Massachusetts An Update As of fall	Citations Actuarial Research Corporation quotReinsurance attachment point estimatesquot	The Value of Health Insurance Few of the Uninsured Have Adequate Resources to Pay Potential Hospital Bills	Number of Firms Number of Establishments Employment and Annual Payroll by Enterprise Employment Size for the United States and States Totals	Independent Report on the Healthy NY Program for Calendar Year	Medicare  Medicaid Services quotAnnouncement of Calendar Year CY	Employer Health Benefits	Does major illness cause financial catastrophequot	Cost and Funding Considerations for a Statewide AllPayer Claims Database APCD quot	Katherine Baicker and The Oregon Health Study Group quotThe Oregon Health Insurance Experiment Evidence from the First Yearquot	Generosity and adjusted premiums in jobbased insurance Hawaii is up Wyoming is downquot	Patient Protection and Affordable Care Act PPACA Long Term Costs for Gvoernments Employers Families and Providersquot Staff Working Paper	Race and insurance status as risk factors for trauma mortalityquot	Care without coverage too little too late	The impact of health insurance on healthquot	of Health Care Finance and Policy quot2009 Annual Report Health Safety Netquot	AllPayer Claims Databases Robert Woods Johnson Foundation	Office of External Affairs and Beneficiary Services Unpublished quotFY	Office of the Inspector General Medicaid Managed Care Encounter Data Collection and Use	Reinsurance How States Can Make Health Coverage More Affordable for Employers and Workers Commonwealth Fund	Healthy New York Making Insurance More Affordable for LowIncome Workers The Commonwealth Fund	Massachusetts Health Care Reform—NearUniversal Coverage at What Costquot
Care without coverage too little too late	0.5909090909090908	0.5806451612903225	0.5	0.6451612903225806	0.5769230769230769	0.4545454545454546	0.59375	0.6875	0.6296296296296297	0.52	0.625	0.5217391304347826	0.5714285714285714	0.6388888888888888	0.5925925925925926	0.6176470588235294	0.5833333333333333	0.0	0.5	0.6129032258064516	0.6071428571428572	0.625	0.5185185185185186	0.53125	0.5757575757575757	0.5172413793103448
Employer Health Benefits 2010 Annual Survey	0.5862068965517242	0.5405405405405406	0.3666666666666667	0.47058823529411764	0.43333333333333335	0.48275862068965514	0.4722222222222222	0.4242424242424242	0.5757575757575757	0.4838709677419355	0.28	0.48275862068965514	0.5294117647058824	0.4473684210526315	0.5882352941176471	0.5	0.5333333333333333	0.6206896551724138	0.4642857142857143	0.4411764705882353	0.5588235294117647	0.4117647058823529	0.5714285714285714	0.41666666666666663	0.575	0.5675675675675675
FY 2010 SHIP Basic Grant Funding	0.6428571428571428	0.5833333333333333	0.6470588235294117	0.4193548387096774	0.6666666666666667	0.71875	0.5945945945945945	0.6756756756756757	0.6666666666666667	0.625	0.7096774193548387	0.71875	0.6176470588235294	0.5263157894736843	0.59375	0.6153846153846154	0.6774193548387097	0.7241379310344828	0.7096774193548387	0.5714285714285714	0.6857142857142857	0.6216216216216216	0.6176470588235294	0.65	0.6153846153846154	0.717948717948718
Health New York Making Insurance More Affordable for LowIncome Workers	0.5333333333333333	0.45945945945945943	0.5142857142857142	0.5135135135135135	0.3870967741935484	0.53125	0.5128205128205128	0.5135135135135135	0.48484848484848486	0.4375	0.5625	0.53125	0.48571428571428577	0.4878048780487805	0.4545454545454546	0.46153846153846156	0.4838709677419355	0.5666666666666667	0.5161290322580645	0.5641025641025641	0.5142857142857142	0.5384615384615384	0.48571428571428577	0.33333333333333337	0.125	0.4444444444444444
Letter to the Honorable Evan Bayh An Analysis of Health Insurance Premiums Under the Patient Protection and Affordable Care Act 	0.48275862068965514	0.32352941176470584	0.375	0.5135135135135135	0.3870967741935484	0.4838709677419355	0.34285714285714286	0.38235294117647056	0.48484848484848486	0.4375	0.4137931034482759	0.53125	0.4411764705882353	0.44999999999999996	0.5428571428571429	0.3783783783783784	0.4838709677419355	0.5666666666666667	0.5161290322580645	0.4864864864864865	0.4242424242424242	0.37142857142857144	0.4411764705882353	0.3783783783783784	0.3783783783783784	0.4864864864864865
Patient Protection and Affordable Care Act PPACA Long Term Costs for Governments Employers Families and Providers	0.5172413793103448	0.4444444444444444	0.40625	0.5789473684210527	0.5151515151515151	0.5161290322580645	0.45945945945945943	0.36363636363636365	0.5151515151515151	0.46875	0.5	0.5625	0.375	0.4358974358974359	0.48484848484848486	0.15625	0.5161290322580645	0.6	0.5	0.5135135135135135	0.4545454545454546	0.4444444444444444	0.47058823529411764	0.36111111111111116	0.4054054054054054	0.5897435897435898
Reinsurance How States Can Make Health Coverage More Affordable for Employers and Workers	0.6176470588235294	0.42105263157894735	0.38235294117647056	0.4736842105263158	0.34375	0.4375	0.4358974358974359	0.43243243243243246	0.48571428571428577	0.3939393939393939	0.46875	0.5294117647058824	0.4	0.41463414634146345	0.4117647058823529	0.29729729729729726	0.4375	0.5161290322580645	0.5151515151515151	0.4473684210526315	0.4285714285714286	0.42105263157894735	0.4444444444444444	0.03125	0.29729729729729726	0.4054054054054054
Generosity and adjusted premiums in jobbased insurance Hawaii is up Wyoming is down	0.5384615384615384	0.5	0.5161290322580645	0.5151515151515151	0.48275862068965514	0.5357142857142857	0.5555555555555556	0.5588235294117647	0.5806451612903225	0.5806451612903225	0.5185185185185186	0.4814814814814815	0.4838709677419355	0.5263157894736843	0.04347826086956519	0.4571428571428572	0.4814814814814815	0.5769230769230769	0.5185185185185186	0.6111111111111112	0.5161290322580645	0.5833333333333333	0.53125	0.4117647058823529	0.4571428571428572	0.5714285714285714
The Oregon Health Insurance Experiment Evidence from the First Year	0.6129032258064516	0.4864864864864865	0.30000000000000004	0.5	0.4193548387096774	0.5161290322580645	0.41666666666666663	0.4571428571428572	0.46875	0.46875	0.4482758620689655	0.4666666666666667	0.5555555555555556	0.20588235294117652	0.5294117647058824	0.4473684210526315	0.5161290322580645	0.5517241379310345	0.3928571428571429	0.5526315789473684	0.5833333333333333	0.3529411764705882	0.375	0.4054054054054054	0.4054054054054054	0.5135135135135135
Emergency Department Utilization After the Implementation of Massachusetts Health Reform	0.5666666666666667	0.4864864864864865	0.3548387096774194	0.4571428571428572	0.25	0.4137931034482759	0.41666666666666663	0.4117647058823529	0.46875	0.5151515151515151	0.3928571428571429	0.4137931034482759	0.5142857142857142	0.475	0.5294117647058824	0.525	0.4666666666666667	0.6	0.4482758620689655	0.5135135135135135	0.5	0.4864864864864865	0.32258064516129037	0.36111111111111116	0.4473684210526315	0.4285714285714286
Massachusetts Health Care Reform  NearUniversal Coverage at What Cost	0.5185185185185186	0.5277777777777778	0.4516129032258065	0.5833333333333333	0.2962962962962963	0.40740740740740744	0.5	0.5428571428571429	0.4666666666666667	0.4137931034482759	0.5	0.4642857142857143	0.5588235294117647	0.55	0.53125	0.5263157894736843	0.4642857142857143	0.43999999999999995	0.4444444444444444	0.5142857142857142	0.5	0.5675675675675675	0.4193548387096774	0.3529411764705882	0.4	0.1428571428571429
Race and insurance status as risk factors for trauma mortality	0.4545454545454546	0.53125	0.5	0.59375	0.33333333333333337	0.3913043478260869	0.5	0.5	0.5185185185185186	0.4	0.4347826086956522	0.3913043478260869	0.4642857142857143	0.5142857142857142	0.4814814814814815	0.48484848484848486	0.052631578947368474	0.5652173913043479	0.36363636363636365	0.5161290322580645	0.4444444444444444	0.53125	0.5172413793103448	0.4375	0.48484848484848486	0.5161290322580645
Does major illness cause financial catastrophe	0.5217391304347826	0.5757575757575757	0.4444444444444444	0.6363636363636364	0.33333333333333337	0.31818181818181823	0.5454545454545454	0.5	0.5714285714285714	0.46153846153846156	0.36363636363636365	0.052631578947368474	0.5172413793103448	0.5555555555555556	0.4814814814814815	0.5714285714285714	0.3913043478260869	0.5	0.19999999999999996	0.5625	0.5	0.53125	0.40740740740740744	0.5294117647058824	0.5714285714285714	0.5161290322580645
The impact of health insurance on health	0.5	0.5625	0.42307692307692313	0.625	0.30434782608695654	0.2857142857142857	0.4838709677419355	0.4285714285714286	0.5555555555555556	0.43999999999999995	0.33333333333333337	0.19999999999999996	0.5517241379310345	0.5	0.5185185185185186	0.5151515151515151	0.36363636363636365	0.47619047619047616	0.05555555555555558	0.5483870967741935	0.5357142857142857	0.5161290322580645	0.4444444444444444	0.5151515151515151	0.5151515151515151	0.5
