	Total number of HIV-Positive cases due to 1.51% onward transmission connected with U.S.	prevalence estimatesâ€”United States,	Revised recommendations for HIV testing of adults, adolescents, and pregnant women in healthcare settings. MMWR Recomm Rep,	Appendix II: HIVEcon: Additional notes and data on model inputs and outputs.	Yearbook of Immigration Statistics:	Population Prospects: The	AIDS Epidemic Update. WHO Library Cataloguing-in-Publication Data: UNAIDS/07.27E/JC1322E,	Life expectancy of individuals on combination antiretroviral therapy in highincome countries: a collaborative analysis of 14 cohort studies. Lancet,	The New Americans: Economic, Demographic, and Fiscal Effects of Immigration.	Technical Appendix I: HIVEcon: A model to estimate the economic costs of immigrants who are HIV-positive.	The lifetime cost of current human immunodeficiency virus care in the United States. Med Care,	for the Use of Antiretroviral Agents in HIVâ€“1â€“Infected Adults and Adolescents.	memorandum: Consolidation of Policy Regarding	A quick guide to public charge and receipt to public benefits.	How many sexuallyacquired HIV infections in the USA are due to acute-phase HIV transmission?	Transmission Rates in the United States.	Health status, health insurance, and health care utilization patterns of immigrant Black men.	Effects of immigration on selected health risk behaviors of Black college students.	Acculturation, sexual risk taking, and HIV health promotion among Latinas.	Alcohol and AIDS-related sexual behavior among Hispanics: acculturation and gender differences. AIDS Educ Prev,	Initial acculturation and HIV risk among new Hispanic immigrants.	HIV and sexually transmitted infection risk behaviors and beliefs among Black West Indian immigrants and US-born Blacks.	Immigration measures and reproductive health among Hispanic youth: findings from the national longitudinal survey of youth, 1997â€“2003. J Adolesc Health,	The impact of migration on the health of voluntary migrants in western societies.	Immigration and HIV/AIDS in the New York Metropolitan Area. J Urban Health,	HIV prevalence among foreign- and US-born clients of public STD clinics.	Acculturation and gender differences in sexual attitudes and behaviors: Hispanic vs non-Hispanic white unmarried adults.	Available from: http:// www.cdc.gov/hiv/topics/surveillance/ incidence.htm. V. Regulatory Flexibility Analysis VI. Other Administrative Requirements A. The Unfunded Mandates Reform Act HHS/CDC evaluated the rule requirements for compliance with the Unfunded Mandates Reform Act (UMRA) of 1995. This rule does not contain Federal mandates under the regulatory provisions of Title II of the UMRA for State, local, or Tribal Governments, nor for the private sector. The ruleâ€™s provisions will not affect small Governments. B. Executive Order 13045: Protection of Children From Environmental Health Risks and Safety Risks Executive	The authority citation for part 34 continues to read as follows:	34.2 by removing paragraph (b)(6) and redesignating paragraphs (b)(7) through (10) (b)(6) through (9), respectively.	34.3 by revising paragraphs (b)(1)(i), (e)(1) introductory text, (e)(2)(iii), (e)(2)(iv), (e)(5), and (e)(6) to read as follows: Â§ 34.3 Scope of examinations.
HIVAIDS Transmission Rates in  the United States	0.7804878048780488	0.6041666666666666	0.7983193277310925	0.7123287671232876	0.7916666666666666	0.7916666666666666	0.8148148148148148	0.8068965517241379	0.7777777777777778	0.7821782178217822	0.6847826086956522	0.7654320987654321	0.8541666666666666	0.8360655737704918	0.7555555555555555	0.1875	0.7777777777777778	0.7560975609756098	0.7746478873239436	0.7850467289719626	0.78125	0.7457627118644068	0.8266666666666667	0.75	0.7638888888888888	0.7681159420289855	0.7948717948717948	0.9320066334991708	0.746031746031746	0.8144329896907216	0.8083333333333333
Technical  Appendix I HIVEcon A model to estimate  the economic costs of immigrants who are  HIVpositive	0.7403846153846154	0.7788461538461539	0.773109243697479	0.6346153846153846	0.8076923076923077	0.8653846153846154	0.8461538461538461	0.7310344827586207	0.7211538461538461	0.028846153846153848	0.8076923076923077	0.8269230769230769	0.7788461538461539	0.7980769230769231	0.7884615384615384	0.7788461538461539	0.7307692307692307	0.7692307692307693	0.7980769230769231	0.8411214953271028	0.7596153846153846	0.7457627118644068	0.7933333333333333	0.6923076923076923	0.7596153846153846	0.7692307692307693	0.7692307692307693	0.8739635157545605	0.7692307692307693	0.8269230769230769	0.8
Technical Appendix II HIVEcon  Additional notes and data on model inputs  and outputs	0.788235294117647	0.7764705882352941	0.7142857142857143	0.1411764705882353	0.8	0.8705882352941177	0.8823529411764706	0.7655172413793103	0.7529411764705882	0.5346534653465347	0.8152173913043478	0.8235294117647058	0.7647058823529411	0.7411764705882353	0.7888888888888889	0.7411764705882353	0.8	0.8235294117647058	0.7764705882352941	0.7476635514018691	0.7647058823529411	0.7033898305084746	0.7866666666666666	0.8	0.7764705882352941	0.7764705882352941	0.7435897435897436	0.8955223880597015	0.7411764705882353	0.8247422680412371	0.775
Life expectancy of individuals on  combination antiretroviral therapy in high  income countries a collaborative analysis of 14 cohort studies	0.7943262411347518	0.8439716312056738	0.7588652482269503	0.75177304964539	0.8439716312056738	0.8652482269503546	0.8014184397163121	0.06896551724137931	0.7446808510638298	0.7304964539007093	0.7588652482269503	0.7304964539007093	0.8226950354609929	0.8085106382978723	0.7588652482269503	0.8014184397163121	0.7446808510638298	0.7163120567375887	0.7730496453900709	0.7872340425531915	0.7730496453900709	0.7446808510638298	0.82	0.7021276595744681	0.8014184397163121	0.7659574468085106	0.7730496453900709	0.8341625207296849	0.75177304964539	0.8085106382978723	0.7730496453900709
The impact of migration on the health of voluntary migrants in western societies	0.7439024390243902	0.8	0.680672268907563	0.8	0.725	0.8375	0.8888888888888888	0.7103448275862069	0.75	0.7029702970297029	0.7065217391304348	0.8024691358024691	0.7625	0.75	0.8	0.725	0.7333333333333333	0.6341463414634146	0.775	0.7850467289719626	0.725	0.7372881355932204	0.74	0.0	0.75	0.775	0.7350427350427351	0.8888888888888888	0.65	0.7731958762886598	0.775
Health status health insurance and health care utilization patterns of immigrant Black men	0.8222222222222222	0.8111111111111111	0.773109243697479	0.8	0.8222222222222222	0.8555555555555555	0.8111111111111111	0.7379310344827587	0.7111111111111111	0.7326732673267327	0.8369565217391305	0.8111111111111111	0.7888888888888889	0.7777777777777778	0.8111111111111111	0.7777777777777778	0.0	0.7555555555555555	0.7222222222222222	0.7757009345794392	0.7111111111111111	0.6949152542372882	0.7533333333333333	0.7333333333333333	0.7777777777777778	0.7555555555555555	0.7094017094017094	0.8739635157545605	0.7555555555555555	0.8350515463917526	0.8083333333333333
Estimating sexual transmission of HIV from persons aware and unaware that they are infected with the virus in the USA	0.6837606837606838	0.8290598290598291	0.7899159663865546	0.7692307692307693	0.8205128205128205	0.8547008547008547	0.8547008547008547	0.7931034482758621	0.7777777777777778	0.7948717948717948	0.7692307692307693	0.7777777777777778	0.811965811965812	0.7606837606837606	0.6837606837606838	0.7435897435897436	0.7692307692307693	0.7606837606837606	0.7435897435897436	0.811965811965812	0.717948717948718	0.7457627118644068	0.76	0.7521367521367521	0.7435897435897436	0.7777777777777778	0.8205128205128205	0.8623548922056384	0.7863247863247863	0.8034188034188035	0.8416666666666667
Metaanalysis of highrisk sexual behavior in persons aware and unaware they are infected with HIV in the United States implications for HIV prevention programs	0.7658227848101266	0.8354430379746836	0.7658227848101266	0.7784810126582279	0.8544303797468354	0.8924050632911392	0.8227848101265823	0.7848101265822784	0.7974683544303798	0.7658227848101266	0.7151898734177216	0.7721518987341772	0.8481012658227848	0.7848101265822784	0.7215189873417721	0.7848101265822784	0.7088607594936709	0.759493670886076	0.740506329113924	0.7278481012658228	0.7848101265822784	0.7658227848101266	0.8164556962025317	0.7468354430379747	0.7911392405063291	0.7911392405063291	0.7848101265822784	0.8308457711442786	0.7848101265822784	0.7848101265822784	0.759493670886076
Immigration measures and reproductive health among Hispanic youth findings from the national longitudinal survey of youth 1997Ð2003	0.7557251908396947	0.8473282442748091	0.7938931297709924	0.7709923664122137	0.8396946564885496	0.8778625954198473	0.7938931297709924	0.8	0.7709923664122137	0.816793893129771	0.7633587786259542	0.7786259541984732	0.816793893129771	0.8015267175572519	0.7633587786259542	0.8091603053435115	0.7633587786259542	0.7557251908396947	0.7251908396946565	0.7022900763358778	0.7786259541984732	0.816793893129771	0.13333333333333333	0.7175572519083969	0.7099236641221374	0.7862595419847328	0.7709923664122137	0.857379767827529	0.7862595419847328	0.816793893129771	0.7862595419847328
The lifetime cost of current human immunodeficiencyvirus care in the United States	0.8292682926829268	0.7195121951219512	0.7478991596638656	0.7682926829268293	0.8048780487804879	0.8414634146341463	0.8536585365853658	0.7517241379310344	0.7439024390243902	0.7722772277227723	0.10869565217391304	0.8170731707317073	0.8048780487804879	0.7560975609756098	0.8222222222222222	0.6341463414634146	0.8	0.8292682926829268	0.8292682926829268	0.8130841121495327	0.8048780487804879	0.7711864406779662	0.78	0.7317073170731707	0.8048780487804879	0.7682926829268293	0.7435897435897436	0.8922056384742952	0.7560975609756098	0.8247422680412371	0.7916666666666666
Effects of immigration on selected health risk behaviors of Black college students	0.8292682926829268	0.8048780487804879	0.7394957983193278	0.8048780487804879	0.7317073170731707	0.8170731707317073	0.8780487804878049	0.7103448275862069	0.8170731707317073	0.7722772277227723	0.8152173913043478	0.7926829268292683	0.7195121951219512	0.7560975609756098	0.8333333333333334	0.7682926829268293	0.7555555555555555	0.0	0.7926829268292683	0.8130841121495327	0.7195121951219512	0.7288135593220338	0.7733333333333333	0.6341463414634146	0.7439024390243902	0.8048780487804879	0.717948717948718	0.8922056384742952	0.7560975609756098	0.7938144329896907	0.75
Revised recommendations for HIV testing of adults adolescents and pregnant women in health care settings	0.75	0.7980769230769231	0.14285714285714285	0.6826923076923077	0.7884615384615384	0.8365384615384616	0.8173076923076923	0.7586206896551724	0.7596153846153846	0.7884615384615384	0.7692307692307693	0.7692307692307693	0.7692307692307693	0.7403846153846154	0.7884615384615384	0.7788461538461539	0.7692307692307693	0.7115384615384616	0.7307692307692307	0.8317757009345794	0.7403846153846154	0.7288135593220338	0.78	0.6538461538461539	0.7211538461538461	0.7403846153846154	0.7692307692307693	0.867330016583748	0.7307692307692307	0.7980769230769231	0.775
HIV prevalence among foreign and USborn clients of public STD clinics	0.8414634146341463	0.7246376811594203	0.7647058823529411	0.8082191780821918	0.7681159420289855	0.8260869565217391	0.8271604938271605	0.7793103448275862	0.7638888888888888	0.7623762376237624	0.782608695652174	0.7901234567901234	0.7246376811594203	0.6956521739130435	0.7222222222222222	0.782608695652174	0.7555555555555555	0.8048780487804879	0.8169014084507042	0.7663551401869159	0.7391304347826086	0.7288135593220338	0.7933333333333333	0.775	0.875	0.0	0.7606837606837606	0.9104477611940298	0.7681159420289855	0.7731958762886598	0.7583333333333333
How many sexually acquired HIV infections in the USA are due to acutephase HIV transmission	0.7912087912087912	0.8131868131868132	0.773109243697479	0.7692307692307693	0.8021978021978022	0.8351648351648352	0.8791208791208791	0.7517241379310344	0.7912087912087912	0.7920792079207921	0.8260869565217391	0.7802197802197802	0.8241758241758241	0.7472527472527473	0.01098901098901099	0.7472527472527473	0.8021978021978022	0.8241758241758241	0.7802197802197802	0.8037383177570093	0.7582417582417582	0.635593220338983	0.78	0.8021978021978022	0.7252747252747253	0.7252747252747253	0.7863247863247863	0.8839137645107794	0.7582417582417582	0.8144329896907216	0.7416666666666667
Initial acculturation and HIV risk among new Hispanic immigrants	0.8048780487804879	0.8125	0.7647058823529411	0.7671232876712328	0.765625	0.796875	0.8518518518518519	0.7724137931034483	0.7916666666666666	0.7524752475247525	0.7934782608695652	0.7530864197530864	0.8125	0.8125	0.7666666666666667	0.78125	0.7111111111111111	0.7195121951219512	0.6619718309859155	0.7570093457943925	0.0	0.6779661016949152	0.7933333333333333	0.725	0.7638888888888888	0.7391304347826086	0.7094017094017094	0.9154228855721394	0.796875	0.8350515463917526	0.7833333333333333
HIV and sexually transmitted infection risk behaviors and beliefs among Black West Indian immigrants and USborn Blacks	0.7796610169491526	0.8135593220338984	0.8067226890756303	0.711864406779661	0.8135593220338984	0.8728813559322034	0.8050847457627118	0.7655172413793103	0.7203389830508474	0.7372881355932204	0.788135593220339	0.7457627118644068	0.7966101694915254	0.7796610169491526	0.6440677966101694	0.7796610169491526	0.6949152542372882	0.7288135593220338	0.7288135593220338	0.7711864406779662	0.6779661016949152	0.0	0.8	0.7372881355932204	0.7542372881355932	0.7288135593220338	0.7966101694915254	0.8689883913764511	0.7457627118644068	0.8220338983050848	0.825
Alcohol and AIDSrelated sexual behavior among  Hispanics acculturation and gender differences	0.8064516129032258	0.8172043010752689	0.7983193277310925	0.7741935483870968	0.8064516129032258	0.8494623655913979	0.7849462365591398	0.7310344827586207	0.7849462365591398	0.8316831683168316	0.8387096774193549	0.7956989247311828	0.7849462365591398	0.7634408602150538	0.8279569892473119	0.8064516129032258	0.8387096774193549	0.8064516129032258	0.6989247311827957	0.14953271028037382	0.7096774193548387	0.7033898305084746	0.7333333333333333	0.7526881720430108	0.8064516129032258	0.7849462365591398	0.6837606837606838	0.8855721393034826	0.7526881720430108	0.845360824742268	0.825
Migration and AIDS	0.8658536585365854	0.8333333333333334	0.8991596638655462	0.863013698630137	0.7058823529411765	0.75	0.8271604938271605	0.9172413793103448	0.8611111111111112	0.900990099009901	0.8804347826086957	0.8518518518518519	0.8181818181818182	0.8524590163934426	0.8888888888888888	0.7948717948717948	0.8777777777777778	0.8536585365853658	0.8309859154929577	0.8411214953271028	0.796875	0.8898305084745762	0.9066666666666666	0.85	0.7638888888888888	0.855072463768116	0.8888888888888888	0.9734660033167496	0.8253968253968254	0.9072164948453608	0.9
Acculturation and gender differences in sexual attitudes and behaviors Hispanic vs nonHispanic white unmarried adults	0.7606837606837606	0.8290598290598291	0.8235294117647058	0.7435897435897436	0.8547008547008547	0.8547008547008547	0.8290598290598291	0.7724137931034483	0.7863247863247863	0.7606837606837606	0.7692307692307693	0.7777777777777778	0.8034188034188035	0.7435897435897436	0.7863247863247863	0.7948717948717948	0.7094017094017094	0.717948717948718	0.6752136752136753	0.7606837606837606	0.7094017094017094	0.7966101694915254	0.7466666666666667	0.7350427350427351	0.7264957264957265	0.7606837606837606	0.0	0.8590381426202321	0.7606837606837606	0.811965811965812	0.8166666666666667
Acculturation sexual risk taking and HIV health promotion among Latinas	0.7682926829268293	0.8028169014084507	0.7563025210084033	0.821917808219178	0.7746478873239436	0.8169014084507042	0.8641975308641975	0.7793103448275862	0.7916666666666666	0.801980198019802	0.8152173913043478	0.8148148148148148	0.7746478873239436	0.7183098591549296	0.7888888888888889	0.7464788732394366	0.7222222222222222	0.7926829268292683	0.0	0.7383177570093458	0.6619718309859155	0.7288135593220338	0.76	0.775	0.7777777777777778	0.8169014084507042	0.6752136752136753	0.8988391376451078	0.8169014084507042	0.7731958762886598	0.7666666666666667
Immigration and HIVAIDS in the New York Metropolitan Area	0.7926829268292683	0.8245614035087719	0.7563025210084033	0.7671232876712328	0.8245614035087719	0.8070175438596491	0.8518518518518519	0.8137931034482758	0.8472222222222222	0.7524752475247525	0.7934782608695652	0.8148148148148148	0.8070175438596491	0.819672131147541	0.7444444444444445	0.7368421052631579	0.7777777777777778	0.7073170731707317	0.704225352112676	0.794392523364486	0.703125	0.7796610169491526	0.76	0.7375	0.20833333333333334	0.7971014492753623	0.7435897435897436	0.9270315091210614	0.8412698412698413	0.7835051546391752	0.8083333333333333
