	Letter to Hon Nancy Pelosi	States as Policy Laboratories Emulating Success in the Children’s Health Insurance Program”	Active Purchasing for Health Exchanges An Analysis of Options	and Elizabeth McGylnn2010 Establishing State Health Insurance Exchanges	Health Reform in Massachusetts An Update As of fall	Citations Actuarial Research Corporation quotReinsurance attachment point estimatesquot	The Value of Health Insurance Few of the Uninsured Have Adequate Resources to Pay Potential Hospital Bills	Number of Firms Number of Establishments Employment and Annual Payroll by Enterprise Employment Size for the United States and States Totals	Independent Report on the Healthy NY Program for Calendar Year	Medicare  Medicaid Services quotAnnouncement of Calendar Year CY	Employer Health Benefits	Does major illness cause financial catastrophequot	Cost and Funding Considerations for a Statewide AllPayer Claims Database APCD quot	Katherine Baicker and The Oregon Health Study Group quotThe Oregon Health Insurance Experiment Evidence from the First Yearquot	Generosity and adjusted premiums in jobbased insurance Hawaii is up Wyoming is downquot	Patient Protection and Affordable Care Act PPACA Long Term Costs for Gvoernments Employers Families and Providersquot Staff Working Paper	Race and insurance status as risk factors for trauma mortalityquot	Care without coverage too little too late	The impact of health insurance on healthquot	of Health Care Finance and Policy quot2009 Annual Report Health Safety Netquot	AllPayer Claims Databases Robert Woods Johnson Foundation	Office of External Affairs and Beneficiary Services Unpublished quotFY	Office of the Inspector General Medicaid Managed Care Encounter Data Collection and Use	Reinsurance How States Can Make Health Coverage More Affordable for Employers and Workers Commonwealth Fund	Healthy New York Making Insurance More Affordable for LowIncome Workers The Commonwealth Fund	Massachusetts Health Care Reform—NearUniversal Coverage at What Costquot
Care without coverage too little too late	0.7560975609756098	0.8	0.7868852459016393	0.7887323943661971	0.7647058823529411	0.7586206896551724	0.7924528301886793	0.8214285714285714	0.7741935483870968	0.75	0.8048780487804879	0.84	0.7560975609756098	0.8031496062992126	0.8160919540229885	0.8102189781021898	0.7575757575757576	0.0	0.7954545454545454	0.782051282051282	0.7368421052631579	0.8285714285714286	0.7586206896551724	0.7663551401869159	0.7741935483870968	0.7837837837837838
Employer Health Benefits 2010 Annual Survey	0.7906976744186046	0.8	0.7868852459016393	0.8028169014084507	0.8235294117647058	0.8390804597701149	0.7735849056603774	0.8357142857142857	0.7580645161290323	0.78125	0.4418604651162791	0.8	0.8414634146341463	0.8346456692913385	0.8275862068965517	0.8540145985401459	0.8181818181818182	0.9069767441860465	0.7954545454545454	0.7307692307692307	0.7894736842105263	0.7285714285714285	0.8275862068965517	0.822429906542056	0.8279569892473119	0.7567567567567568
FY 2010 SHIP Basic Grant Funding	0.84375	0.8526315789473684	0.819672131147541	0.7746478873239436	0.8431372549019608	0.8505747126436781	0.8679245283018868	0.9	0.8387096774193549	0.84375	0.84375	0.8	0.8658536585365854	0.889763779527559	0.8390804597701149	0.8759124087591241	0.8333333333333334	0.9024390243902439	0.8181818181818182	0.8589743589743589	0.7719298245614035	0.8428571428571429	0.8505747126436781	0.8878504672897196	0.8709677419354839	0.8648648648648649
Health New York Making Insurance More Affordable for LowIncome Workers	0.7857142857142857	0.7684210526315789	0.7857142857142857	0.8873239436619719	0.6428571428571429	0.8045977011494253	0.7264150943396226	0.8	0.7857142857142857	0.7857142857142857	0.8428571428571429	0.8	0.8170731707317073	0.7480314960629921	0.8045977011494253	0.7664233576642335	0.8	0.7571428571428571	0.7428571428571429	0.782051282051282	0.7714285714285715	0.8857142857142857	0.7701149425287356	0.6074766355140186	0.24731182795698925	0.8513513513513513
Letter to the Honorable Evan Bayh An Analysis of Health Insurance Premiums Under the Patient Protection and Affordable Care Act 	0.828125	0.765625	0.7734375	0.7890625	0.7734375	0.734375	0.734375	0.7714285714285715	0.7578125	0.7890625	0.875	0.8125	0.78125	0.7578125	0.75	0.7664233576642335	0.75	0.8203125	0.7578125	0.7578125	0.8125	0.8046875	0.703125	0.75	0.7734375	0.7734375
Patient Protection and Affordable Care Act PPACA Long Term Costs for Governments Employers Families and Providers	0.8495575221238938	0.7964601769911505	0.7433628318584071	0.8053097345132744	0.8141592920353983	0.7610619469026548	0.8407079646017699	0.7785714285714286	0.7522123893805309	0.7699115044247787	0.8849557522123894	0.8407079646017699	0.7610619469026548	0.7637795275590551	0.7522123893805309	0.1897810218978102	0.7345132743362832	0.8053097345132744	0.8141592920353983	0.7964601769911505	0.7876106194690266	0.7522123893805309	0.7345132743362832	0.7699115044247787	0.7699115044247787	0.7787610619469026
Reinsurance How States Can Make Health Coverage More Affordable for Employers and Workers	0.8314606741573034	0.8315789473684211	0.7303370786516854	0.8314606741573034	0.7752808988764045	0.8426966292134831	0.7641509433962265	0.7428571428571429	0.6741573033707865	0.7752808988764045	0.8426966292134831	0.8089887640449438	0.8314606741573034	0.7244094488188977	0.8426966292134831	0.7226277372262774	0.6853932584269663	0.7191011235955056	0.7865168539325843	0.8202247191011236	0.7528089887640449	0.7752808988764045	0.7640449438202247	0.16822429906542055	0.7096774193548387	0.7640449438202247
Generosity and adjusted premiums in jobbased insurance Hawaii is up Wyoming is down	0.8192771084337349	0.8105263157894737	0.8072289156626506	0.8313253012048193	0.7590361445783133	0.7816091954022989	0.7735849056603774	0.7857142857142857	0.8192771084337349	0.7951807228915663	0.8674698795180723	0.7710843373493976	0.8072289156626506	0.7007874015748031	0.04597701149425287	0.7518248175182481	0.7710843373493976	0.8072289156626506	0.7590361445783133	0.8433734939759037	0.7710843373493976	0.8072289156626506	0.8160919540229885	0.7850467289719626	0.8172043010752689	0.8433734939759037
The Oregon Health Insurance Experiment Evidence from the First Year	0.8208955223880597	0.7684210526315789	0.835820895522388	0.8309859154929577	0.7761194029850746	0.7701149425287356	0.6226415094339622	0.7571428571428571	0.746268656716418	0.7761194029850746	0.7761194029850746	0.7761194029850746	0.8048780487804879	0.47244094488188976	0.8160919540229885	0.7518248175182481	0.8059701492537313	0.746268656716418	0.6417910447761194	0.782051282051282	0.7761194029850746	0.8	0.7816091954022989	0.7570093457943925	0.6881720430107527	0.7702702702702703
Emergency Department Utilization After the Implementation of Massachusetts Health Reform	0.8068181818181818	0.8105263157894737	0.7954545454545454	0.8522727272727273	0.7613636363636364	0.8636363636363636	0.8018867924528302	0.7285714285714285	0.7386363636363636	0.7613636363636364	0.8181818181818182	0.7954545454545454	0.8181818181818182	0.7795275590551181	0.8522727272727273	0.781021897810219	0.7954545454545454	0.7727272727272727	0.7159090909090909	0.8181818181818182	0.7840909090909091	0.8181818181818182	0.8636363636363636	0.794392523364486	0.8064516129032258	0.8295454545454546
Massachusetts Health Care Reform  NearUniversal Coverage at What Cost	0.782608695652174	0.7789473684210526	0.7971014492753623	0.8450704225352113	0.7391304347826086	0.7586206896551724	0.7075471698113207	0.7714285714285715	0.7681159420289855	0.7681159420289855	0.782608695652174	0.782608695652174	0.7439024390243902	0.7401574803149606	0.8045977011494253	0.7591240875912408	0.8260869565217391	0.782608695652174	0.7391304347826086	0.7948717948717948	0.7681159420289855	0.8571428571428571	0.7816091954022989	0.6728971962616822	0.7741935483870968	0.0945945945945946
Race and insurance status as risk factors for trauma mortality	0.7903225806451613	0.7473684210526316	0.8709677419354839	0.7887323943661971	0.7903225806451613	0.7471264367816092	0.6698113207547169	0.7785714285714286	0.7903225806451613	0.859375	0.8870967741935484	0.7741935483870968	0.7560975609756098	0.7716535433070866	0.7701149425287356	0.7664233576642335	0.06060606060606061	0.7419354838709677	0.7580645161290323	0.782051282051282	0.7741935483870968	0.7571428571428571	0.7701149425287356	0.719626168224299	0.6989247311827957	0.7837837837837838
Does major illness cause financial catastrophe	0.782608695652174	0.7578947368421053	0.7704918032786885	0.7746478873239436	0.7450980392156863	0.7586206896551724	0.7924528301886793	0.8285714285714286	0.8225806451612904	0.828125	0.8043478260869565	0.08	0.7926829268292683	0.8267716535433071	0.7816091954022989	0.8394160583941606	0.7727272727272727	0.8260869565217391	0.782608695652174	0.782051282051282	0.8245614035087719	0.7857142857142857	0.7586206896551724	0.8317757009345794	0.8064516129032258	0.7972972972972973
The impact of health insurance on health	0.75	0.7368421052631579	0.6721311475409836	0.6901408450704225	0.7647058823529411	0.7471264367816092	0.7264150943396226	0.8142857142857143	0.6774193548387096	0.765625	0.675	0.76	0.8292682926829268	0.7637795275590551	0.7586206896551724	0.8394160583941606	0.7575757575757576	0.7560975609756098	0.09090909090909091	0.7564102564102564	0.8070175438596491	0.7714285714285715	0.7586206896551724	0.7850467289719626	0.7526881720430108	0.7837837837837838
