	Department of Energy Energy Information Administration Transportation Sector Module of the National Energy Modeling System Model Documentation	Technical Support Document Fuel Economy Labeling of Motor Vehicle Revisions to Improve Calculation of Fuel Economy Estimates	The survival rates were calculated from RL Polk National Vehicle Population Profile 19772003 see NHTSA	Vehicle Survivability and Travel Mileage Schedules” Office of Regulatory Analysis and Evaluation	Oil Imports An Assessment of Benefits and Costs	Estimating the Energy Security Benefits of Reduced US Oil Imports Oak Ridge National Laboratory ORNLTM2007028 Revised July 23	Contribution of Working Group II to the Fourth Assessment Report of the IPCC 17 Available at httpwwwipccwg2org last accessed 4	Description of VMT Forecasting Procedure for ‘Car Talk’ Base line Forecasts” manuscript Volpe National Transportation Systems Center US Department of Transportation	Environmental Protection Agency MOBILE Motor Vehicle Emission Factor Model version 62	Uncertainty A Guide to Dealing with Uncertainty in Quantitative Risk and Policy Analysis”	CAFE Compliance and Effects Modeling System Documentation
Peer Review Report Summary Estimating the Energy Security Benefits of Reduced US Oil Imports	0.2142857142857143	0.23333333333333328	0.3125	0.2542372881355932	0.29166666666666663	0.20588235294117652	0.2698412698412699	0.3125	0.24137931034482762	0.27586206896551724	0.28301886792452835
Reducing Greenhouse Gas Emissions from LightDuty Motor Vehicles	0.1923076923076923	0.1785714285714286	0.3666666666666667	0.23636363636363633	0.40909090909090906	0.3125	0.35593220338983056	0.33333333333333337	0.2592592592592593	0.2962962962962963	0.22448979591836737
Variable Costs of Fuel Economy Technologies	0.24	0.14814814814814814	0.4137931034482759	0.24528301886792447	0.38095238095238093	0.3548387096774194	0.33333333333333337	0.31034482758620685	0.3076923076923077	0.42307692307692313	0.23404255319148937
Does Britain or the US Have the Right Gasoline Tax	0.3877551020408163	0.3584905660377359	0.4385964912280702	0.3846153846153846	0.46341463414634143	0.4098360655737705	0.4642857142857143	0.4385964912280702	0.4509803921568627	0.33333333333333337	0.4782608695652174
How to make a car lighter and safer	0.30434782608695654	0.4	0.33333333333333337	0.3877551020408163	0.3157894736842105	0.4137931034482759	0.3207547169811321	0.40740740740740744	0.375	0.33333333333333337	0.34883720930232553
National Household Transportation Survey	0.23404255319148937	0.33333333333333337	0.3090909090909091	0.31999999999999995	0.3846153846153846	0.35593220338983056	0.4444444444444444	0.38181818181818183	0.4285714285714286	0.3877551020408163	0.36363636363636365
Note on Strategic Cost Dynamics	0.2727272727272727	0.33333333333333337	0.5	0.44680851063829785	0.38888888888888884	0.4642857142857143	0.4901960784313726	0.34615384615384615	0.4347826086956522	0.4347826086956522	0.2682926829268293
Regulatory Analysis 	0.33333333333333337	0.3913043478260869	0.48	0.33333333333333337	0.3529411764705882	0.4814814814814815	0.4285714285714286	0.48	0.40909090909090906	0.31818181818181823	0.33333333333333337
The Economics of Energy Security Theory Evidence Policy	0.18367346938775508	0.24528301886792447	0.33333333333333337	0.23076923076923073	0.41463414634146345	0.3114754098360656	0.3571428571428571	0.33333333333333337	0.2941176470588235	0.33333333333333337	0.26086956521739135
The Value of Saving Travel Time Departmental Guidance for Conducting Economic Evaluations	0.16981132075471694	0.1578947368421053	0.3114754098360656	0.25	0.33333333333333337	0.32307692307692304	0.30000000000000004	0.2786885245901639	0.34545454545454546	0.34545454545454546	0.19999999999999996
Toward Cost Buydown via LearningbyDoing for Environmental Energy Technologies	0.2222222222222222	0.1724137931034483	0.3548387096774194	0.26315789473684215	0.34782608695652173	0.2727272727272727	0.3114754098360656	0.32258064516129037	0.2857142857142857	0.3214285714285714	0.2549019607843137
Unpublished analysis of RL Polk vehicle registration data	0.3076923076923077	0.25	0.30000000000000004	0.2727272727272727	0.40909090909090906	0.25	0.2542372881355932	0.33333333333333337	0.33333333333333337	0.2222222222222222	0.34693877551020413
Vehicle Use and Fuel Economy How Big is the Rebound Effect	0.3207547169811321	0.26315789473684215	0.3770491803278688	0.2857142857142857	0.4222222222222223	0.32307692307692304	0.33333333333333337	0.34426229508196726	0.3090909090909091	0.34545454545454546	0.28
Joint Press Release of the Council of Economic Advisors the Department of the Treasury and the Office of Management and Budget	0.1724137931034483	0.19354838709677424	0.33333333333333337	0.21311475409836067	0.28	0.22857142857142854	0.29230769230769227	0.2727272727272727	0.23333333333333328	0.30000000000000004	0.19999999999999996
National Vehicle Population Profile 19772003	0.4	0.4444444444444444	0.2068965517241379	0.4716981132075472	0.47619047619047616	0.3870967741935484	0.368421052631579	0.4482758620689655	0.46153846153846156	0.5	0.4893617021276596
Transportation Energy Data Book Edition 26	0.3191489361702128	0.4117647058823529	0.49090909090909096	0.43999999999999995	0.3846153846153846	0.38983050847457623	0.4814814814814815	0.38181818181818183	0.34693877551020413	0.4285714285714286	0.36363636363636365
49 USC 32902f	0.8378378378378378	0.8048780487804879	0.6888888888888889	0.85	0.7931034482758621	0.7142857142857143	0.7727272727272727	0.7777777777777778	0.8974358974358975	0.8974358974358975	0.7647058823529411
71 Fed Reg 17566 1766970	0.7948717948717949	0.7674418604651163	0.6595744680851063	0.7619047619047619	0.8064516129032258	0.7254901960784313	0.6521739130434783	0.7872340425531915	0.7073170731707317	0.7560975609756098	0.7222222222222222
71 FR 1759697	0.9428571428571428	0.8461538461538461	0.7674418604651163	0.8947368421052632	0.9259259259259259	0.8723404255319149	0.7619047619047619	0.9069767441860466	0.8378378378378378	0.8918918918918919	0.875
71 FR 77871	0.9393939393939394	0.8378378378378378	0.8048780487804879	0.8888888888888888	0.92	0.8222222222222222	0.75	0.9024390243902439	0.8857142857142857	0.8857142857142857	0.8666666666666667
71 FR 77872	0.9411764705882353	0.8421052631578947	0.7619047619047619	0.8918918918918919	0.9230769230769231	0.782608695652174	0.7073170731707317	0.9047619047619048	0.8333333333333334	0.8888888888888888	0.8709677419354839
72 FR 23899	0.9428571428571428	0.8461538461538461	0.7209302325581395	0.8947368421052632	0.9259259259259259	0.7446808510638299	0.7619047619047619	0.9069767441860466	0.8378378378378378	0.8918918918918919	0.875
Federal Register Vol 72 83	0.5111111111111111	0.4693877551020408	0.4339622641509434	0.45833333333333337	0.45945945945945943	0.4385964912280702	0.42307692307692313	0.5094339622641509	0.4042553191489362	0.4893617021276596	0.47619047619047616
Fuel Economy Labeling of Motor Vehicles Revisions to Improve Calculations of Fuel Economy Estimates 	0.23636363636363633	0.05084745762711862	0.3650793650793651	0.24137931034482762	0.36170212765957444	0.25373134328358204	0.25806451612903225	0.33333333333333337	0.22807017543859653	0.4035087719298246	0.23076923076923073
Corporate Average Fuel Economy and CAFE Reform for MY 20082011 Light Trucks	0.24590163934426235	0.19999999999999996	0.24637681159420288	0.28125	0.39622641509433965	0.20547945205479456	0.23529411764705888	0.33333333333333337	0.2698412698412699	0.3650793650793651	0.24137931034482762
Oil Prices Energy Security and Import Policy 	0.18367346938775508	0.28301886792452835	0.4035087719298246	0.3076923076923077	0.2682926829268293	0.3114754098360656	0.3571428571428571	0.33333333333333337	0.2549019607843137	0.37254901960784315	0.21739130434782605
Learning Curves in Manufacturing 	0.39534883720930236	0.3191489361702128	0.4901960784313726	0.3913043478260869	0.4285714285714286	0.4545454545454546	0.43999999999999995	0.4509803921568627	0.4222222222222223	0.4666666666666667	0.35
The Effect of Annual Changes in Automobile Fuel Economy Standards	0.15384615384615385	0.1785714285714286	0.3666666666666667	0.19999999999999996	0.31818181818181823	0.3125	0.288135593220339	0.30000000000000004	0.2962962962962963	0.37037037037037035	0.1428571428571429
An Overlapping Choice Set Model of Automotive Price Elasticities	0.16981132075471694	0.22807017543859653	0.3114754098360656	0.2142857142857143	0.24444444444444446	0.29230769230769227	0.2666666666666667	0.3114754098360656	0.23636363636363633	0.34545454545454546	0.16000000000000003
The marginal damage costs of carbon dioxide emissions an assessment of the uncertainties	0.23404255319148937	0.2941176470588235	0.38181818181818183	0.28	0.33333333333333337	0.35593220338983056	0.33333333333333337	0.38181818181818183	0.3877551020408163	0.3877551020408163	0.31818181818181823
The Demand for Vehicle Use in the Urban Household Sector Theory and Empirical Evidence	0.18518518518518523	0.1724137931034483	0.29032258064516125	0.22807017543859653	0.3913043478260869	0.2727272727272727	0.3770491803278688	0.29032258064516125	0.3571428571428571	0.3571428571428571	0.2549019607843137
Gasoline Price Expectations and the Used Automobile Market A Rational Expectations Asset Price Approach	0.28301886792452835	0.33333333333333337	0.34426229508196726	0.3214285714285714	0.37777777777777777	0.32307692307692304	0.2666666666666667	0.3770491803278688	0.34545454545454546	0.2727272727272727	0.31999999999999995
Fuel Economy Rebound Effect for US Household Vehicles	0.2941176470588235	0.23636363636363633	0.35593220338983056	0.2592592592592593	0.4418604651162791	0.33333333333333337	0.3793103448275862	0.35593220338983056	0.3584905660377359	0.39622641509433965	0.29166666666666663
Market Price and Income Elasticities of New Vehicle Demands	0.21568627450980393	0.3090909090909091	0.3220338983050848	0.37037037037037035	0.34883720930232553	0.3650793650793651	0.3448275862068966	0.3220338983050848	0.28301886792452835	0.3584905660377359	0.33333333333333337
Energy and Security Externalities and Policies	0.26086956521739135	0.36	0.4444444444444444	0.30612244897959184	0.42105263157894735	0.4137931034482759	0.4339622641509434	0.37037037037037035	0.33333333333333337	0.33333333333333337	0.2558139534883721
The Production Recipes Approach to Modeling Technological Innovation An Application to Learning by Doing	0.18518518518518523	0.1724137931034483	0.32258064516129037	0.22807017543859653	0.3913043478260869	0.2727272727272727	0.2786885245901639	0.3548387096774194	0.25	0.25	0.2941176470588235
Causal Influence of Car Mass and Size on Driver Fatality Risk	0.2692307692307693	0.2142857142857143	0.4	0.3090909090909091	0.36363636363636365	0.34375	0.3220338983050848	0.30000000000000004	0.37037037037037035	0.33333333333333337	0.22448979591836737
