	Division of Regulations Legislation and Interpretation US Department of Labor Wage and Hour Division 200 Constitution Avenue NW Room S– 81197 Federal Register 	Costs with Overtime Work in US	Does the Statutory Overtime Premium Discourage Long Workweeks’’ Industrial and Labor Relations Review 563 530– 81221	Census Bureau Center for Economic Studies Business Dynamics Statistics Firm Age by Firm Size Available at httpwwwcescensusgov indexphpbdsbdsdatabaselist Accessed	National Population Projections Table 2 Projections of the Population by Selected Age Groups and Sex for the United States	Occupational Outlook Handbook 2010–11 Edition Home Health Aides and Personal and Home Care Aides on the Internet at httpwwwbls	81244 Federal Register 	The authority citation for part 552 continues to read as follows Authority 29 USC 213a15 b21 88 stat 62 Sec 29b of the Fair Labor Standards Act Amendments of
Characteristics of Supplemental Nutrition Assistance Program Households Fiscal Year 2009	0.2647058823529411	0.4893617021276596	0.42028985507246375	0.2666666666666667	0.24137931034482762	0.2786885245901639	0.4666666666666667	0.2698412698412699
Overtime and extended work shifts Recent findings on illnesses injuries and health behaviors	0.4375	0.34883720930232553	0.32307692307692304	0.25	0.2962962962962963	0.33333333333333337	0.46341463414634143	0.38983050847457623
The Changing Demographic Profile of the United States	0.3870967741935484	0.36585365853658536	0.4285714285714286	0.2592592592592593	0.23076923076923073	0.38181818181818183	0.4871794871794872	0.29824561403508776
The Medicare Payment Advisory Commission MedPAC	0.5254237288135593	0.368421052631579	0.4666666666666667	0.33333333333333337	0.34693877551020413	0.3846153846153846	0.5555555555555556	0.37037037037037035
2011 Annual Report of the Boards of Trustees of the Federal Hospital Insurance and Federal Supplementary Medical Insurance Trust Funds	0.30434782608695654	0.5416666666666667	0.37142857142857144	0.2786885245901639	0.288135593220339	0.29032258064516125	0.4347826086956522	0.25
Background Report on the US Home Care and Personal Assistance Workforce and Industry Forthcoming	0.2857142857142857	0.3877551020408163	0.352112676056338	0.22580645161290325	0.2666666666666667	0.3015873015873016	0.4893617021276596	0.29230769230769227
Californias DirectCare Workforce	0.49090909090909096	0.3529411764705882	0.5	0.4042553191489362	0.4666666666666667	0.45833333333333337	0.5	0.48
Fair Pay for Home Care Workers	0.5272727272727273	0.4117647058823529	0.5714285714285714	0.4893617021276596	0.5555555555555556	0.5	0.5625	0.52
Family caregiving in the US Findings from a national study	0.3770491803278688	0.35	0.3870967741935484	0.2075471698113207	0.2549019607843137	0.4444444444444444	0.42105263157894735	0.2857142857142857
Home Health Study Report Literature Review	0.423728813559322	0.42105263157894735	0.4	0.33333333333333337	0.4285714285714286	0.42307692307692313	0.5	0.37037037037037035
Meals on Wheels of Contra Costa County	0.5272727272727273	0.4117647058823529	0.5357142857142857	0.4042553191489362	0.4222222222222223	0.5	0.5625	0.43999999999999995
Medicare and Home Health Care	0.5272727272727273	0.4117647058823529	0.5357142857142857	0.4042553191489362	0.4666666666666667	0.375	0.5	0.43999999999999995
The PHI Matching Services Project	0.5254237288135593	0.42105263157894735	0.4666666666666667	0.4509803921568627	0.34693877551020413	0.46153846153846156	0.5555555555555556	0.5185185185185186
Who Pays for Home Care Services	0.5087719298245614	0.33333333333333337	0.48275862068965514	0.3877551020408163	0.44680851063829785	0.48	0.6470588235294117	0.46153846153846156
15 Million Oregon Private Pay Homecare Registry for Sale	0.4285714285714286	0.4285714285714286	0.34375	0.38181818181818183	0.39622641509433965	0.4285714285714286	0.44999999999999996	0.4137931034482759
2009 BLS Occupational Employment Survey employment and Wages for SOC codes 399021 and 311011	0.2857142857142857	0.4285714285714286	0.295774647887324	0.25806451612903225	0.3666666666666667	0.33333333333333337	0.4893617021276596	0.2615384615384615
BLS National Compensation Survey	0.38983050847457623	0.368421052631579	0.4666666666666667	0.2941176470588235	0.3877551020408163	0.46153846153846156	0.5555555555555556	0.37037037037037035
Brief of Amici Curiae City of New York	0.5517241379310345	0.45945945945945943	0.5593220338983051	0.36	0.45833333333333337	0.4509803921568627	0.6571428571428571	0.4339622641509434
Consumer Direction and Family Caregiving Results from a National Survey	0.3015873015873016	0.4285714285714286	0.375	0.19999999999999996	0.3207547169811321	0.4642857142857143	0.4	0.3448275862068966
Experienced Home Care Registry About Us	0.3650793650793651	0.47619047619047616	0.46875	0.23636363636363633	0.28301886792452835	0.3214285714285714	0.5	0.3448275862068966
FY 2011 Budget	0.607843137254902	0.8	0.6538461538461539	0.627906976744186	0.6585365853658536	0.6363636363636364	0.4285714285714286	0.6521739130434783
Golden Care Co Inc Billing Policy	0.5714285714285714	0.6	0.5087719298245614	0.41666666666666663	0.3913043478260869	0.4693877551020408	0.5151515151515151	0.5294117647058824
Home care aides voices from the field Job experiences of personal support specialists	0.4098360655737705	0.44999999999999996	0.4516129032258065	0.24528301886792447	0.2941176470588235	0.33333333333333337	0.5263157894736843	0.3571428571428571
Home Care Services for Seniors in Tolland and Hartford Counties in Connecticut	0.38983050847457623	0.368421052631579	0.4666666666666667	0.2941176470588235	0.34693877551020413	0.3846153846153846	0.5	0.33333333333333337
Interview of Michael Elsas President and Adria Powell Executive Vice President of Cooperative Health Care Associates by Calvin Franz and Lauren Jankovic of ERG	0.3866666666666667	0.5185185185185186	0.39473684210526316	0.22388059701492535	0.32307692307692304	0.2941176470588235	0.5769230769230769	0.34285714285714286
Minimum Wage	0.6326530612244898	0.5714285714285714	0.64	0.6097560975609756	0.641025641025641	0.6666666666666667	0.6153846153846154	0.6818181818181819
The Personal Assistance Services and DirectSupport Workforce A Literature Review	0.36363636363636365	0.37777777777777777	0.31343283582089554	0.27586206896551724	0.2857142857142857	0.35593220338983056	0.5348837209302326	0.3114754098360656
The State of the States in Family Caregiver Support A 50State Study	0.32307692307692304	0.40909090909090906	0.3939393939393939	0.19298245614035092	0.2727272727272727	0.3793103448275862	0.47619047619047616	0.23333333333333328
Understanding Medicaid Home and Community Services A Primer	0.3870967741935484	0.36585365853658536	0.4285714285714286	0.2962962962962963	0.3076923076923077	0.38181818181818183	0.5384615384615384	0.368421052631579
A Data Book Healthcare Spending and the Medicare Program	0.4516129032258065	0.46341463414634143	0.4285714285714286	0.2962962962962963	0.34615384615384615	0.34545454545454546	0.5384615384615384	0.4385964912280702
Occupational Outlook Handbook 201011 Edition	0.48275862068965514	0.6216216216216216	0.4576271186440678	0.48	0.45833333333333337	0.2549019607843137	0.5428571428571429	0.4716981132075472
Federal Register 2011 p 5481	0.4137931034482759	0.6756756756756757	0.4576271186440678	0.52	0.5	0.4901960784313726	0.08571428571428574	0.4339622641509434
Requirements for MedicaidFunded Personal Care Service Attendants	0.3650793650793651	0.4285714285714286	0.4375	0.2727272727272727	0.3584905660377359	0.3928571428571429	0.44999999999999996	0.3448275862068966
Job Perceptions and Intent to Leave Among Direct Care Workers Evidence From the Better Jobs Better Care Demonstrations	0.3529411764705882	0.4042553191489362	0.3623188405797102	0.23333333333333328	0.4137931034482759	0.3114754098360656	0.5555555555555556	0.39682539682539686
The Effects of Overtime Pay Regulation on Worker Compensation	0.4242424242424242	0.33333333333333337	0.34328358208955223	0.27586206896551724	0.3214285714285714	0.3220338983050848	0.5348837209302326	0.3770491803278688
Organizing home care Lowwaged workers in the welfare state	0.5	0.33333333333333337	0.3770491803278688	0.3076923076923077	0.4	0.3584905660377359	0.45945945945945943	0.38181818181818183
The impact of overtime and long work hours on occupational injuries and illnesses new evidence from the United States	0.40625	0.3023255813953488	0.3846153846153846	0.25	0.2222222222222222	0.368421052631579	0.5121951219512195	0.288135593220339
The association between continuity of care and outcomes a systematic and critical review	0.4666666666666667	0.3846153846153846	0.3770491803278688	0.23076923076923073	0.28	0.3584905660377359	0.5135135135135135	0.2727272727272727
Effects of extended work shifts and shift work on patient safety productivity and employee health	0.4838709677419355	0.36585365853658536	0.39682539682539686	0.18518518518518523	0.3076923076923077	0.3090909090909091	0.5384615384615384	0.33333333333333337
Quits and job changes among home care workers in Maine The role of wages hours and benefits	0.4920634920634921	0.4285714285714286	0.40625	0.3090909090909091	0.28301886792452835	0.3571428571428571	0.5	0.3448275862068966
Does the Statutory Overtime Premium Discourage Long Workweeks	0.46031746031746035	0.23809523809523814	0.25	0.3090909090909091	0.39622641509433965	0.3928571428571429	0.6	0.4137931034482759
The Structure of Labor Costs with Overtime Work in US Jobs	0.41538461538461535	0.18181818181818177	0.36363636363636365	0.33333333333333337	0.38181818181818183	0.3793103448275862	0.6666666666666667	0.30000000000000004
The labor market for home care workers Demand supply and institutional barriers	0.4516129032258065	0.41463414634146345	0.3650793650793651	0.2222222222222222	0.2692307692307693	0.3090909090909091	0.5384615384615384	0.26315789473684215
Psychosocial factors contributing to occupational injuries among direct care workers	0.46031746031746035	0.4285714285714286	0.34375	0.23636363636363633	0.2075471698113207	0.2857142857142857	0.5	0.31034482758620685
