	Managing for Safer Food The Economics of Sanitation and	Does the Value of a Statistical Life Vary with Age and Health Status Evidence from the United States and Canada” Resources for the Future Discussion Paper	Economic News Release Employment Cost Index” httpwwwblsgovnewsreleaseecitochtm	Health Status Index in Cost Effectiveness Analysis of PKO Program”	Disease Control and Prevention httpwwwcdcgovmmwrpreviewmmwrhtmlmm5414a2htm Consumer Price Index – All Urban Consumers Medical Care Services Bureau of Labor Statistics	Measuring the Health of the United States Population” Microeconomics Brookings Paper	Health Care Contingent Valuation Studies A Review and	Foodborne Illness Cost Calculator for Salmonella	Per Capita Consumption of Selected Food Products httpwwwersusdagov	Foodborne Diseases Active Surveillance Network	Catfish and Basa Imports Continue to Increase Despite Confirmed Antidumping” Market News	Data US trade data US Imports Trade data	Reddy and the FoodNet Working Group	USDAFSIS Technical Center	Willingness to Pay for a Qualityadjusted Life Year In	What is the Price of Life and Why Doesn’t It Increase at the Rate of Inflation” Arch Intern Med	Foodborne Disease Handbook 2 nd edition vol1 Bacterial Pathogens	The Quality of WellBeing Scale Rationale for a Single Quality of Life Index” From Quality of Life Assessment Key Issues in the 1990s	The economic impact of the catfish industry on Chicot County	FoodRelated Illness and Death in the United States” Emerging Infectious Diseases	FDA Labeling Cost Model” Prepared for the US Department of Health and Human Services Research Triangle Park	Physician Characteristics and Distribution in the United States” 20022003 Edition	Food Poisoning Economic Implications” Encyclopedia of Food Sciences	Processing Channel Catfish South Regional Aquaculture Center	PostSalmonella Reactive Arthritis	Department of Agriculture Food Safety and Inspection Service Office of Public Health Science	Department of Agriculture National Agricultural Statistics Service USDANASS	Federal Register 21 CFR Parts 123 and 1240 Procedures for the Safe and Sanitary Processing and Importing of Fish and Fishery Products Final Rule	Trade Commission USITC	HACCP as a Regulatory Innovation to Improve Food Safety in the Meat Industry”	Tauxe and the Food Networking Group	Physician Socioeconomic Statistics” 20002002 Edition Profiles for Detailed Specialties Selected States and Practice Arrangements	Occurrence and Control of Salmonella in Freshwater Catfish	The Costs of Visits to Emergency Departments” The New England	Appendix “The Value of Consumer Loss Relating to Foodborne Reactive Arthritis” 63FR 24254	means 500 or less fulltime equivalent FTE employees Small Business Administration SBA definition  North American Industry Classification System NAICS code
Industry and  Trade Summary Catfish	0.7818181818181819	0.8525641025641025	0.85	0.8382352941176471	0.8630952380952381	0.8372093023255814	0.8301886792452831	0.8333333333333334	0.8484848484848485	0.7608695652173914	0.8111111111111111	0.8	0.8	0.8285714285714286	0.8113207547169812	0.8181818181818182	0.765625	0.8582089552238806	0.8166666666666667	0.7926829268292683	0.8256880733944955	0.8313253012048193	0.855072463768116	0.8166666666666667	0.8285714285714286	0.8043478260869565	0.8133333333333334	0.8263888888888888	0.8	0.7848101265822784	0.8285714285714286	0.8692307692307693	0.6551724137931034	0.8253968253968254	0.8172043010752689	0.8506493506493507
Preliminary FoodNet Data on the Incidence of Infection with Pathogens Transmitted Commonly Through Food 	0.7596153846153846	0.7756410256410257	0.8173076923076923	0.7403846153846154	0.8035714285714286	0.7403846153846154	0.75	0.7980769230769231	0.7403846153846154	0.7884615384615384	0.7692307692307693	0.7980769230769231	0.7980769230769231	0.875	0.8076923076923077	0.8173076923076923	0.7788461538461539	0.7835820895522388	0.7596153846153846	0.7980769230769231	0.8165137614678899	0.7596153846153846	0.7884615384615384	0.7884615384615384	0.8365384615384616	0.8076923076923077	0.8076923076923077	0.75	0.875	0.7788461538461539	0.7884615384615384	0.7923076923076923	0.7788461538461539	0.7884615384615384	0.7980769230769231	0.7662337662337663
Statistical Abstract of the United States	0.7272727272727273	0.7692307692307693	0.8375	0.7794117647058824	0.8571428571428571	0.7209302325581395	0.8113207547169812	0.8541666666666666	0.7878787878787878	0.8478260869565217	0.7555555555555555	0.8048780487804879	0.8780487804878049	0.8048780487804879	0.7924528301886793	0.7575757575757576	0.78125	0.8208955223880597	0.7666666666666667	0.7073170731707317	0.7981651376146789	0.6144578313253012	0.782608695652174	0.7666666666666667	0.7560975609756098	0.7717391304347826	0.76	0.8263888888888888	0.8536585365853658	0.7848101265822784	0.8536585365853658	0.7769230769230769	0.7241379310344828	0.7936507936507936	0.8172043010752689	0.8311688311688312
FDA Labeling  Cost Model	0.8363636363636363	0.8974358974358975	0.8375	0.8235294117647058	0.9107142857142857	0.8604651162790697	0.7924528301886793	0.7291666666666666	0.8333333333333334	0.8478260869565217	0.8666666666666667	0.75	0.8285714285714286	0.84	0.8490566037735849	0.8787878787878788	0.796875	0.8880597014925373	0.8166666666666667	0.8536585365853658	0.7981651376146789	0.8674698795180723	0.8115942028985508	0.8166666666666667	0.8484848484848485	0.8804347826086957	0.8666666666666667	0.8958333333333334	0.9166666666666666	0.8354430379746836	0.8571428571428571	0.9153846153846154	0.8448275862068966	0.873015873015873	0.8709677419354839	0.9025974025974026
Health Status Index in Cost  Effectiveness Analysis of PKO Program	0.8181818181818182	0.7564102564102564	0.8125	0.058823529411764705	0.8214285714285714	0.7558139534883721	0.696969696969697	0.803030303030303	0.8181818181818182	0.7878787878787878	0.7888888888888889	0.7878787878787878	0.7878787878787878	0.8484848484848485	0.8333333333333334	0.7575757575757576	0.8181818181818182	0.7835820895522388	0.8484848484848485	0.7682926829268293	0.7798165137614679	0.8072289156626506	0.8115942028985508	0.8484848484848485	0.7878787878787878	0.7717391304347826	0.8133333333333334	0.7708333333333334	0.8181818181818182	0.7848101265822784	0.7878787878787878	0.7846153846153846	0.803030303030303	0.8181818181818182	0.8064516129032258	0.8116883116883117
Physician Characteristics and Distribution  in the United States	0.796875	0.7628205128205128	0.8375	0.8676470588235294	0.8095238095238095	0.7325581395348837	0.765625	0.8125	0.8636363636363636	0.796875	0.7444444444444445	0.765625	0.828125	0.84375	0.8125	0.7474747474747475	0.8125	0.7835820895522388	0.78125	0.7804878048780488	0.8073394495412844	0.25301204819277107	0.8260869565217391	0.75	0.78125	0.75	0.7866666666666666	0.7916666666666666	0.8125	0.7468354430379747	0.796875	0.6846153846153846	0.78125	0.84375	0.7956989247311828	0.7857142857142857
Physician Socioeconomic Statistics	0.6727272727272727	0.8397435897435898	0.8375	0.8382352941176471	0.8452380952380952	0.7674418604651163	0.7735849056603774	0.8541666666666666	0.7878787878787878	0.8478260869565217	0.8222222222222222	0.875	0.9142857142857143	0.7941176470588235	0.8301886792452831	0.8181818181818182	0.8125	0.8432835820895522	0.7833333333333333	0.8170731707317073	0.8715596330275229	0.7108433734939759	0.782608695652174	0.7833333333333333	0.7941176470588235	0.8043478260869565	0.7466666666666667	0.8680555555555556	0.8529411764705882	0.7974683544303798	0.9142857142857143	0.7384615384615385	0.7586206896551724	0.8253968253968254	0.8279569892473119	0.8441558441558441
Processing Channel Catfish	0.8363636363636363	0.8910256410256411	0.825	0.8529411764705882	0.8809523809523809	0.8604651162790697	0.8113207547169812	0.8125	0.8484848484848485	0.782608695652174	0.8444444444444444	0.875	0.8571428571428571	0.8461538461538461	0.8301886792452831	0.8282828282828283	0.796875	0.8656716417910447	0.8333333333333334	0.8048780487804879	0.8623853211009175	0.8072289156626506	0.8115942028985508	0.5666666666666667	0.7878787878787878	0.8478260869565217	0.8266666666666667	0.875	0.8461538461538461	0.8607594936708861	0.8285714285714286	0.8769230769230769	0.7068965517241379	0.8253968253968254	0.8494623655913979	0.8831168831168831
The economic impact of the catfish industry  on Chicot County Arkansas	0.7714285714285715	0.7756410256410257	0.825	0.8714285714285714	0.8035714285714286	0.7093023255813954	0.8	0.8	0.8428571428571429	0.7857142857142857	0.7777777777777778	0.8	0.7714285714285715	0.8285714285714286	0.8	0.7676767676767676	0.8428571428571429	0.746268656716418	0.14285714285714285	0.7926829268292683	0.7339449541284404	0.8192771084337349	0.8	0.7714285714285715	0.8285714285714286	0.782608695652174	0.8266666666666667	0.7777777777777778	0.8285714285714286	0.8354430379746836	0.7714285714285715	0.7307692307692307	0.8285714285714286	0.8142857142857143	0.8172043010752689	0.7727272727272727
The Value of a Statistical Life A  Critical Review of Market Estimates throughout the World	0.7692307692307693	0.6410256410256411	0.8571428571428571	0.7692307692307693	0.8154761904761905	0.8241758241758241	0.7692307692307693	0.8131868131868132	0.8021978021978022	0.7912087912087912	0.8351648351648352	0.8021978021978022	0.8241758241758241	0.8681318681318682	0.8131868131868132	0.8080808080808081	0.7692307692307693	0.7014925373134329	0.7582417582417582	0.8241758241758241	0.7798165137614679	0.7472527472527473	0.8351648351648352	0.7802197802197802	0.8021978021978022	0.8260869565217391	0.7582417582417582	0.7847222222222222	0.8901098901098901	0.8021978021978022	0.7912087912087912	0.7076923076923077	0.7802197802197802	0.7252747252747253	0.8064516129032258	0.7857142857142857
Bacterial Pathogens	0.8363636363636363	0.9102564102564102	0.875	0.8529411764705882	0.9285714285714286	0.8488372093023255	0.8113207547169812	0.8333333333333334	0.8484848484848485	0.8260869565217391	0.8666666666666667	0.825	0.8285714285714286	0.88	0.8679245283018868	0.8686868686868687	0.703125	0.8880597014925373	0.8333333333333334	0.8780487804878049	0.8899082568807339	0.8433734939759037	0.8695652173913043	0.8	0.7878787878787878	0.8586956521739131	0.84	0.9097222222222222	0.9090909090909091	0.8607594936708861	0.8	0.8769230769230769	0.8275862068965517	0.8571428571428571	0.9032258064516129	0.9155844155844156
Food Poisoning Economic  Implications	0.6545454545454545	0.8653846153846154	0.8	0.8235294117647058	0.8511904761904762	0.8023255813953488	0.7735849056603774	0.7916666666666666	0.8181818181818182	0.7391304347826086	0.7888888888888889	0.9	0.8378378378378378	0.8648648648648649	0.8679245283018868	0.8181818181818182	0.703125	0.8507462686567164	0.8	0.7804878048780488	0.8348623853211009	0.8433734939759037	0.4927536231884058	0.8333333333333334	0.7837837837837838	0.7717391304347826	0.8266666666666667	0.8472222222222222	0.8378378378378378	0.7974683544303798	0.8918918918918919	0.823076923076923	0.7931034482758621	0.8253968253968254	0.8279569892473119	0.8311688311688312
Personal communication with Catherine Viator RTI	0.8	0.8269230769230769	0.8125	0.8235294117647058	0.8214285714285714	0.7906976744186046	0.8113207547169812	0.8541666666666666	0.7878787878787878	0.875	0.7888888888888889	0.8333333333333334	0.8125	0.7708333333333334	0.8301886792452831	0.797979797979798	0.71875	0.8208955223880597	0.75	0.7560975609756098	0.7981651376146789	0.7590361445783133	0.7101449275362319	0.7333333333333333	0.7291666666666666	0.7934782608695652	0.7333333333333333	0.8333333333333334	0.7708333333333334	0.7468354430379747	0.7916666666666666	0.7923076923076923	0.7758620689655172	0.8253968253968254	0.8064516129032258	0.7857142857142857
FoodRelated Illness and Death in the  United States	0.8363636363636363	0.7692307692307693	0.7875	0.8088235294117647	0.8273809523809523	0.7906976744186046	0.7924528301886793	0.6666666666666666	0.8484848484848485	0.7450980392156863	0.7444444444444445	0.7843137254901961	0.7647058823529411	0.8235294117647058	0.8301886792452831	0.7575757575757576	0.6875	0.7985074626865671	0.7833333333333333	0.4024390243902439	0.7522935779816514	0.6265060240963856	0.7391304347826086	0.75	0.7254901960784313	0.7608695652173914	0.8133333333333334	0.7916666666666666	0.8235294117647058	0.7215189873417721	0.7843137254901961	0.7923076923076923	0.7413793103448276	0.8095238095238095	0.7849462365591398	0.7922077922077922
Health Care Contingent Valuation Studies A Review and Classification of Literature	0.7560975609756098	0.7371794871794872	0.9024390243902439	0.7195121951219512	0.7797619047619048	0.813953488372093	0.35365853658536583	0.7926829268292683	0.7804878048780488	0.7804878048780488	0.8111111111111111	0.7804878048780488	0.8048780487804879	0.8658536585365854	0.7804878048780488	0.7373737373737373	0.7926829268292683	0.753731343283582	0.7560975609756098	0.8048780487804879	0.7706422018348624	0.8433734939759037	0.7804878048780488	0.7439024390243902	0.7804878048780488	0.8043478260869565	0.8048780487804879	0.7430555555555556	0.8536585365853658	0.8048780487804879	0.7926829268292683	0.7538461538461538	0.7804878048780488	0.8048780487804879	0.8279569892473119	0.6883116883116883
Microbiology of Aquaculture Products	0.8363636363636363	0.8717948717948718	0.85	0.8529411764705882	0.8809523809523809	0.813953488372093	0.8301886792452831	0.7708333333333334	0.7575757575757576	0.8478260869565217	0.8444444444444444	0.85	0.8888888888888888	0.8888888888888888	0.7924528301886793	0.8484848484848485	0.828125	0.8507462686567164	0.7666666666666667	0.8780487804878049	0.8532110091743119	0.8554216867469879	0.8115942028985508	0.7166666666666667	0.75	0.8260869565217391	0.7733333333333333	0.8472222222222222	0.9166666666666666	0.8354430379746836	0.8888888888888888	0.8384615384615385	0.7931034482758621	0.8571428571428571	0.8494623655913979	0.8831168831168831
Occurrence and Control of Salmonella in Freshwater Catfish	0.8275862068965517	0.8141025641025641	0.8	0.8235294117647058	0.8095238095238095	0.7674418604651163	0.7758620689655172	0.8103448275862069	0.7272727272727273	0.8103448275862069	0.7888888888888889	0.7758620689655172	0.7931034482758621	0.8448275862068966	0.8275862068965517	0.7777777777777778	0.765625	0.7835820895522388	0.8666666666666667	0.7926829268292683	0.7614678899082569	0.7710843373493976	0.8115942028985508	0.8166666666666667	0.7068965517241379	0.7717391304347826	0.7866666666666666	0.7847222222222222	0.8448275862068966	0.759493670886076	0.7586206896551724	0.7923076923076923	0.0	0.873015873015873	0.7741935483870968	0.8116883116883117
HACCP as a Regulatory Innovation to  Improve Food Safety in the Meat Industry	0.7402597402597403	0.7884615384615384	0.8625	0.7922077922077922	0.8154761904761905	0.8604651162790697	0.7402597402597403	0.8051948051948052	0.7402597402597403	0.7922077922077922	0.7777777777777778	0.7532467532467533	0.7662337662337663	0.8701298701298701	0.7662337662337663	0.7575757575757576	0.7792207792207793	0.7313432835820896	0.7402597402597403	0.8292682926829268	0.7706422018348624	0.7951807228915663	0.8181818181818182	0.8181818181818182	0.8051948051948052	0.7717391304347826	0.8311688311688312	0.7777777777777778	0.8831168831168831	0.05063291139240506	0.7792207792207793	0.7846153846153846	0.7662337662337663	0.7532467532467533	0.8064516129032258	0.7597402597402597
The Costs of Visits to Emergency Departments	0.8	0.8205128205128205	0.8125	0.7941176470588235	0.8511904761904762	0.7558139534883721	0.7735849056603774	0.8333333333333334	0.7424242424242424	0.8260869565217391	0.7666666666666667	0.7954545454545454	0.8409090909090909	0.8409090909090909	0.8113207547169812	0.797979797979798	0.78125	0.7985074626865671	0.7333333333333333	0.7560975609756098	0.8073394495412844	0.7710843373493976	0.7681159420289855	0.75	0.7727272727272727	0.7934782608695652	0.8	0.8402777777777778	0.7954545454545454	0.7721518987341772	0.8409090909090909	0.7923076923076923	0.7931034482758621	0.30158730158730157	0.7526881720430108	0.8441558441558441
Willingness to Pay for a Qualityadjusted Life Year In Search of a Standard	0.7297297297297297	0.782051282051282	0.8625	0.8378378378378378	0.7916666666666666	0.7906976744186046	0.7567567567567568	0.7702702702702703	0.8513513513513513	0.7837837837837838	0.8222222222222222	0.7702702702702703	0.8378378378378378	0.8918918918918919	0.28378378378378377	0.7777777777777778	0.8108108108108109	0.7164179104477612	0.7972972972972973	0.7926829268292683	0.6972477064220184	0.8554216867469879	0.8378378378378378	0.7837837837837838	0.8243243243243243	0.7717391304347826	0.8533333333333334	0.7708333333333334	0.8783783783783784	0.8481012658227848	0.8378378378378378	0.7846153846153846	0.8108108108108109	0.7972972972972973	0.8064516129032258	0.7922077922077922
