	Number 1210–NEW Affected Public Business or other forprofit Estimated Number of Respondents 16000 Estimated Number of Annual Responses 20789000 Frequency of Response Initially Annually Upon Request when a material change Estimated Total Annual Burden Hours 16126000 hours in the first year 13504000 hours in each subsequent year Estimated Total Annual Burden Cost 642552000 for the first year 493253000 for each subsequent year	List of Subjects in 29 CFR Part 2550 Employee benefit plans Exemptions Fiduciaries Investments Pensions Prohibited transactions Reporting and recordkeeping requirements and Labor’s Order No	Sec 2550401b–1 also issued under sec 102 Reorganization Plan No	Sec 2550401c–1 also issued under 29 USC 1101 Sections 2550404c–1 and 2550404c– 5 also issued under 29 USC 1104 Sec 2550407c–3 also issued under 29 USC 1107 Sec 2550404a–2 also issued under 26 USC 401 note sec 657 Pub L 107–16 115 Stat 38 Sec 2550408b–1 also issued under 29 USC 1108b1 and sec 102 Reorganization Plan No	2550408g–1 also issued under sec 102 Reorganization Plan No 4 of 1978 3 CFR	For purposes of paragraph c6i retirement ages life expectancies income levels financial resources replacement income ratios inflation VerDate Nov242008	Add § 2550408g–2 to read as follows	Section 408g11A of the Employee Retirement Income accordance with 29 CFR 2550408g– 1b5 and v Is maintained in accordance with 29 CFR 2550408g–1e	this 9th day of January
The Role of Brokers and Financial Advisors Behind Investment Into Load Funds	0.5686274509803921	0.5111111111111111	0.641025641025641	0.6739130434782609	0.6190476190476191	0.5277777777777778	0.7027027027027026	0.5348837209302326	0.5714285714285714
Advisory Opinion	0.8	0.7441860465116279	0.7878787878787878	0.8292682926829268	0.8157894736842105	0.75	0.7931034482758621	0.717948717948718	0.5789473684210527
How Do Mutual Funds Fees Affect Investor Choices Evidence from Survey Experiments	0.5283018867924528	0.46808510638297873	0.6818181818181819	0.7058823529411764	0.6595744680851063	0.4736842105263158	0.7073170731707317	0.41860465116279066	0.59375
nan	0.9583333333333334	0.9523809523809523	0.9285714285714286	0.9444444444444444	0.9393939393939394	0.9285714285714286	0.9583333333333334	0.9473684210526316	0.8666666666666667
Pension Protection Act of 2006	0.6875	0.7045454545454546	0.6129032258064516	0.6578947368421053	0.6285714285714286	0.5666666666666667	0.6428571428571428	0.675	0.6363636363636364
Fiduciary Requirements for Disclosure in ParticipantDirected Individual Account Plans	0.54	0.4772727272727273	0.6052631578947368	0.6739130434782609	0.5853658536585367	0.48571428571428577	0.7027027027027026	0.5	0.5714285714285714
General Statutory Exemption for services or office space 	0.6730769230769231	0.5348837209302326	0.6388888888888888	0.7045454545454546	0.6829268292682926	0.46875	0.7428571428571429	0.5609756097560976	0.56
Interpretative Bulletin relating to participant investment education	0.6326530612244898	0.5813953488372092	0.5757575757575757	0.6585365853658536	0.631578947368421	0.4838709677419355	0.6875	0.575	0.5833333333333333
Notice of adoption of revisions to annual returnreport forms	0.653061224489796	0.5714285714285714	0.5625	0.65	0.5833333333333333	0.4137931034482759	0.6774193548387097	0.6	0.5
Reasonable Contract or Arrangement under Section 408b2�Fee Disclosure Proposed Rule	0.4901960784313726	0.4893617021276596	0.41666666666666663	0.45238095238095233	0.44999999999999996	0.41666666666666663	0.5945945945945945	0.40476190476190477	0.7058823529411764
Reorganization Plan No 4 of 1978	0.6122448979591837	0.6808510638297872	0.5	0.4864864864864865	0.3939393939393939	0.5882352941176471	0.65625	0.6190476190476191	0.6538461538461539
Mutual Fund Advisory Contracts An Empirical Investigation	0.56	0.5	0.631578947368421	0.6666666666666667	0.6097560975609756	0.5142857142857142	0.6944444444444444	0.44999999999999996	0.6071428571428572
Costly Search and Mutual Fund Flows	0.6599999999999999	0.6136363636363636	0.6176470588235294	0.6585365853658536	0.631578947368421	0.6176470588235294	0.6875	0.575	0.5217391304347826
Are Investors Rational Choices Among Index Funds	0.5800000000000001	0.4883720930232558	0.5833333333333333	0.627906976744186	0.5641025641025641	0.4545454545454546	0.6857142857142857	0.475	0.5925925925925926
Mutual Fund FeeSetting Market Structure and MarkUps	0.6862745098039216	0.6136363636363636	0.5757575757575757	0.625	0.631578947368421	0.5757575757575757	0.7272727272727273	0.6428571428571428	0.64
Out of Sight Out of Mind The Effects of Expenses on Mutual Fund Flows	0.6153846153846154	0.5333333333333333	0.631578947368421	0.6956521739130435	0.6428571428571428	0.5142857142857142	0.6944444444444444	0.5581395348837209	0.6071428571428572
Product Differentiation Search Costs and Competition in the Mutual Fund Industry A Case Study of SP 500 Index Funds	0.5192307692307692	0.4222222222222223	0.575	0.6170212765957447	0.5581395348837209	0.45945945945945943	0.6666666666666667	0.4418604651162791	0.5806451612903225
The Determinants of the Flow of Funds of Managed Portfolios Mutual Funds vs Pension Funds	0.607843137254902	0.5869565217391304	0.6216216216216216	0.6888888888888889	0.6	0.4545454545454546	0.6470588235294117	0.5813953488372092	0.5384615384615384
Mutual Fund Advisory Fees The Cost of Conflicts of Interest	0.5800000000000001	0.5555555555555556	0.6578947368421053	0.6888888888888889	0.6	0.5428571428571429	0.6857142857142857	0.5121951219512195	0.48
Why Does the Law of One Price Fail An Experiment on Index Mutual Funds	0.5283018867924528	0.46808510638297873	0.6818181818181819	0.7058823529411764	0.6595744680851063	0.5128205128205128	0.7073170731707317	0.5217391304347826	0.59375
