	LowLevel Lead Exposure Intelligence and Academic Achievement A LongTerm FollowUp Study	The Relationship between Air Lead and Blood Lead in Children A Critical Review	Intellectual Impairment in Children with Blood Lead Concentrations below 10 Î¼g per Deciliter The New England	Strategic Plan for Elimination of Childhood Lead Poisoning	Preventing Lead Poisoning in Young Children	IQ and Blood Lead from 2 to 7 Years of Age Are the Effects in Older Children the Residual of High Blood Lead Concentrations in 2yearolds Environmental Health Perspectives 113	The Developmental Consequences of Low to Moderate Prenatal and Postnatal Lead Exposure Intellectual Attainment in the Cincinnati Lead Study Cohort Following School Entry	Lead Exposure and the Motor Development Status of Urban Sixyearold Children in the Cincinnati Prospective Study	Low Level Lead Exposure in the Prenatal and Early Preschool Periods Intelligence Prior to School Entry	How Much Does IQ Raise Earnings Implications for Regulatory Impact Analyses	Effect of Smelter Emissions Reductions on Childrenâ€™s Blood Pb Levels	Reduction in Fine Particulate Air Pollution and Mortality	LowLevel Environmental Lead Exposure and Childrenâ€™s Intellectual Function An International Pooled Analysis	The LongTerm Effects of Exposure to Low Doses of Lead in Children	Environmental Lead and Childrenâ€™s Intelligence A Systematic Review of the Epidemiological Evidence	Lung Cancer Cardiopulmonary Mortality and LongTerm Exposure to Fine Particulate Air Pollution	Updated Estimates of Earnings Benefits from Reduced Exposure of Children to Environmental Lead	Temporal Pattern in the Effect of PostNatal Blood Lead Level in Intellectual Development of Young Children Neurotoxicology and Teratology	Blood lead levels and death from all causes cardiovascular disease and cancer results from the NHANES III Mortality Study Environ Health Perspect doi101289ehp9123	Lowlevel Lead Exposure and Childrenâ€™s IQ A MetaAnalysis and Search for a Threshold	Societal Benefits of Reducing Lead Exposure	The Relationship between Gasoline Lead and Blood Lead in the United States	Lifetime Exposure to Environmental Lead and Childrenâ€™s Intelligence at 1113 years the Port Pirie Cohort Study	Environmental Protection Agency	Available at httpwwwepagovttnnaaqsstandardspbspbprfrhtml US Environmental Protection Agency	Environmental Protection Agency 2006a Air Quality Criteria for Lead	Environmental Protection Agency 2006b Economic Analysis for the Renovation Repair and Painting Program Proposed Rule Office of Pollution Prevention and Toxics	Environmental Protection Agency 2006c Final Regulatory Impact Analysis	Environmental Protection Agency 2007c Review of the National Ambient Air Quality Standards for Lead Policy Assessment	Environmental Protection Agency 2007d Letter from Rogene Henderson Chair of the Clean Air Scientific Advisory Committee CASAC to	Environmental Protection Agency 2008a Final Ozone NAAQS Regulatory Impact Analysis Office of Air and Radiation Research Triangle Park	Environmental Protection Agency 2008b Proposed National Ambient Air Quality Standards for Lead Office of Air and Radiation	Environmental Protection Agency 2008c Economic Analysis for the TSCA Lead Renovation Repair and Painting Program Final Rule for Target Housing and ChildOccupied Facilities Economic and Policy Analysis Branch Economics Exposure and Technology Division Office of Pollution Prevention and Toxics	The Yugoslavia Prospective Lead Industry Study Contributions of Prenatal and Postnatal Lead Exposure to Early Intelligence	Population by Single Year of Age CD	World Health Organization
Expanded Expert Judgment Assessment of the ConcentrationResponse Relationship between PM25 Exposure and Mortality	0.7964601769911505	0.7787610619469026	0.7522123893805309	0.7787610619469026	0.8141592920353983	0.7586206896551724	0.757396449704142	0.7876106194690266	0.7876106194690266	0.7876106194690266	0.7433628318584071	0.7079646017699115	0.7876106194690266	0.7876106194690266	0.8053097345132744	0.7787610619469026	0.7787610619469026	0.7518248175182481	0.7962962962962963	0.7787610619469026	0.7787610619469026	0.7699115044247787	0.7876106194690266	0.8230088495575221	0.831858407079646	0.7787610619469026	0.7468354430379747	0.7787610619469026	0.811965811965812	0.7890625	0.7969924812030075	0.7868852459016393	0.7773972602739726	0.7459016393442623	0.8584070796460177	0.8761061946902655
Integrated Risk Information System IRIS Profile for Lead and Compounds inorganic	0.8488372093023255	0.8125	0.7706422018348624	0.675	0.75	0.7931034482758621	0.7928994082840237	0.7837837837837838	0.7843137254901961	0.8	0.825	0.725	0.7962962962962963	0.75	0.77	0.7956989247311828	0.7978723404255319	0.781021897810219	0.8209876543209876	0.8452380952380952	0.775	0.775	0.7927927927927928	0.8	0.8571428571428571	0.75	0.7658227848101266	0.7625	0.7863247863247863	0.796875	0.7669172932330827	0.7459016393442623	0.815068493150685	0.7622950819672131	0.775	0.85
Lead Human Exposure and Health Risk Assessments for Selected Case Studies Volume I Human Exposure and Health Risk Assessments Ð Fullscale	0.7518248175182481	0.781021897810219	0.7883211678832117	0.8102189781021898	0.8248175182481752	0.7701149425287356	0.7869822485207101	0.6861313868613139	0.7664233576642335	0.7591240875912408	0.7956204379562044	0.7883211678832117	0.7737226277372263	0.7883211678832117	0.7737226277372263	0.7226277372262774	0.7226277372262774	0.8467153284671532	0.7407407407407407	0.7226277372262774	0.8029197080291971	0.7664233576642335	0.7518248175182481	0.8613138686131386	0.8175182481751825	0.8175182481751825	0.7974683544303798	0.7956204379562044	0.7664233576642335	0.8175182481751825	0.8321167883211679	0.8321167883211679	0.7705479452054794	0.7737226277372263	0.8540145985401459	0.8686131386861314
Preventing Lead Poisoning in Young Children	0.7906976744186046	0.717948717948718	0.7706422018348624	0.7241379310344828	0.0	0.8448275862068966	0.834319526627219	0.8198198198198198	0.7843137254901961	0.7866666666666666	0.7285714285714285	0.7543859649122807	0.7685185185185185	0.7230769230769231	0.77	0.8064516129032258	0.776595744680851	0.781021897810219	0.8580246913580247	0.7857142857142857	0.8372093023255814	0.7297297297297297	0.8018018018018018	0.7674418604651163	0.8351648351648352	0.7761194029850746	0.8227848101265823	0.8	0.8034188034188035	0.8046875	0.8270676691729323	0.7950819672131147	0.8767123287671232	0.7868852459016393	0.7674418604651163	0.8372093023255814
Review of the National Ambient Air Quality Standards for Lead Policy Assessment of Scientific and Technical Information	0.7647058823529411	0.6722689075630253	0.7815126050420168	0.7563025210084033	0.773109243697479	0.7758620689655172	0.7455621301775148	0.8067226890756303	0.7815126050420168	0.7899159663865546	0.7983193277310925	0.7310924369747899	0.8151260504201681	0.7394957983193278	0.773109243697479	0.6974789915966386	0.7563025210084033	0.7518248175182481	0.7839506172839507	0.7815126050420168	0.7983193277310925	0.7226890756302521	0.8067226890756303	0.8151260504201681	0.773109243697479	0.7394957983193278	0.759493670886076	0.7815126050420168	0.6554621848739496	0.7578125	0.7894736842105263	0.6311475409836066	0.7602739726027398	0.8442622950819673	0.8235294117647058	0.8487394957983193
Strategic Plan for Elimination of Childhood Lead Poisoning	0.7674418604651163	0.7564102564102564	0.7798165137614679	0.0	0.7241379310344828	0.8045977011494253	0.8047337278106509	0.7477477477477478	0.7647058823529411	0.76	0.6857142857142857	0.7758620689655172	0.8055555555555556	0.7692307692307693	0.76	0.7634408602150538	0.7446808510638298	0.7591240875912408	0.8333333333333334	0.8095238095238095	0.6896551724137931	0.7702702702702703	0.7837837837837838	0.8275862068965517	0.8241758241758241	0.835820895522388	0.7784810126582279	0.8142857142857143	0.7350427350427351	0.7890625	0.7894736842105263	0.7622950819672131	0.8458904109589042	0.7459016393442623	0.7413793103448276	0.8103448275862069
The Benefits and Costs of the Clean Air Act 1970 to 1990	0.7790697674418605	0.7435897435897436	0.7889908256880734	0.8620689655172413	0.7678571428571429	0.8103448275862069	0.7928994082840237	0.7567567567567568	0.7549019607843137	0.8133333333333334	0.7714285714285715	0.8245614035087719	0.7685185185185185	0.7538461538461538	0.79	0.7741935483870968	0.7446808510638298	0.8102189781021898	0.7839506172839507	0.75	0.7678571428571429	0.7432432432432432	0.7837837837837838	0.8035714285714286	0.7802197802197802	0.7611940298507462	0.810126582278481	0.8285714285714286	0.7692307692307693	0.7265625	0.8195488721804511	0.8032786885245902	0.8767123287671232	0.7540983606557377	0.7857142857142857	0.8214285714285714
Air Quality Guidelines for Europe Second Edition	0.813953488372093	0.782051282051282	0.7889908256880734	0.7931034482758621	0.7916666666666666	0.8448275862068966	0.834319526627219	0.7927927927927928	0.7843137254901961	0.7733333333333333	0.8142857142857143	0.7543859649122807	0.8148148148148148	0.7846153846153846	0.78	0.7526881720430108	0.7872340425531915	0.8175182481751825	0.8333333333333334	0.8095238095238095	0.75	0.7567567567567568	0.8108108108108109	0.7916666666666666	0.8131868131868132	0.8059701492537313	0.8227848101265823	0.8	0.8034188034188035	0.8046875	0.7969924812030075	0.7540983606557377	0.8767123287671232	0.8032786885245902	0.7916666666666666	0.7708333333333334
Calculating Benefit PerTon Estimates	0.8372093023255814	0.7692307692307693	0.8073394495412844	0.8103448275862069	0.7441860465116279	0.8563218390804598	0.8698224852071006	0.8378378378378378	0.8333333333333334	0.7866666666666666	0.8285714285714286	0.7719298245614035	0.8333333333333334	0.8461538461538461	0.82	0.7741935483870968	0.7340425531914894	0.8540145985401459	0.8641975308641975	0.8333333333333334	0.7209302325581395	0.7432432432432432	0.8468468468468469	0.8333333333333334	0.8241758241758241	0.8059701492537313	0.8544303797468354	0.7857142857142857	0.8205128205128205	0.8359375	0.8571428571428571	0.8442622950819673	0.9075342465753424	0.819672131147541	0.75	0.7777777777777778
Circular A4	0.9418604651162791	0.9102564102564102	0.9357798165137615	0.896551724137931	0.9302325581395349	0.9540229885057471	0.9526627218934911	0.9369369369369369	0.9411764705882353	0.88	0.9285714285714286	0.8596491228070176	0.9166666666666666	0.9230769230769231	0.93	0.9032258064516129	0.925531914893617	0.948905109489051	0.9506172839506173	0.9166666666666666	0.9069767441860465	0.9459459459459459	0.9369369369369369	0.8064516129032258	0.9230769230769231	0.8805970149253731	0.9556962025316456	0.8714285714285714	0.9230769230769231	0.9375	0.9323308270676691	0.9262295081967213	0.9691780821917808	0.9344262295081968	0.8285714285714286	0.88
Email from Khan Sikander to Sorrels Larry	0.8023255813953488	0.7948717948717948	0.8165137614678899	0.7931034482758621	0.7906976744186046	0.8505747126436781	0.863905325443787	0.8018018018018018	0.803921568627451	0.7866666666666666	0.7714285714285715	0.7894736842105263	0.8148148148148148	0.7846153846153846	0.82	0.7849462365591398	0.7872340425531915	0.8321167883211679	0.8271604938271605	0.7976190476190477	0.8604651162790697	0.7972972972972973	0.8018018018018018	0.7560975609756098	0.8021978021978022	0.746268656716418	0.8417721518987342	0.7714285714285715	0.8034188034188035	0.8203125	0.8195488721804511	0.8114754098360656	0.8972602739726028	0.8032786885245902	0.7804878048780488	0.8292682926829268
Lead Exposure and the Motor Development Status of Urban Sixyearold Children in the Cincinnati Prospective Study	0.7297297297297297	0.7207207207207207	0.8378378378378378	0.7477477477477478	0.8198198198198198	0.7068965517241379	0.7041420118343196	0.0	0.7297297297297297	0.8108108108108109	0.7387387387387387	0.7657657657657657	0.8288288288288288	0.7837837837837838	0.8108108108108109	0.7927927927927928	0.7297297297297297	0.7591240875912408	0.7469135802469136	0.7477477477477478	0.8018018018018018	0.7207207207207207	0.7567567567567568	0.8198198198198198	0.7387387387387387	0.7657657657657657	0.7721518987341772	0.7927927927927928	0.8290598290598291	0.765625	0.8120300751879699	0.8114754098360656	0.7945205479452054	0.8114754098360656	0.8198198198198198	0.8558558558558559
Letter from CASAC Chairman Rogene Henderson to EPA Administrator Stephen Johnson	0.8372093023255814	0.85	0.7522935779816514	0.7625	0.8125	0.7816091954022989	0.7810650887573964	0.7927927927927928	0.7941176470588235	0.8375	0.7875	0.8125	0.7592592592592593	0.7875	0.82	0.7419354838709677	0.776595744680851	0.781021897810219	0.7839506172839507	0.8214285714285714	0.8	0.7875	0.7747747747747747	0.825	0.8351648351648352	0.8125	0.7848101265822784	0.825	0.7863247863247863	0.703125	0.7894736842105263	0.8032786885245902	0.8356164383561644	0.8032786885245902	0.8	0.8375
Personal communication of Skiander Khan with Larry Sorrels	0.7906976744186046	0.782051282051282	0.7889908256880734	0.8103448275862069	0.7931034482758621	0.8333333333333334	0.8106508875739645	0.7657657657657657	0.803921568627451	0.8266666666666667	0.7857142857142857	0.8103448275862069	0.7962962962962963	0.8	0.79	0.7741935483870968	0.7978723404255319	0.8102189781021898	0.808641975308642	0.7619047619047619	0.7413793103448276	0.7432432432432432	0.7837837837837838	0.8103448275862069	0.8351648351648352	0.7164179104477612	0.8037974683544303	0.7714285714285715	0.7521367521367521	0.765625	0.7819548872180451	0.7786885245901639	0.8664383561643836	0.7622950819672131	0.6896551724137931	0.8275862068965517
Revised Methodology for Estimating Lead Emissions from PistonEngine Aircraft Operating on Leaded Aviation Gasoline	0.8070175438596491	0.7719298245614035	0.8421052631578947	0.7192982456140351	0.7631578947368421	0.7528735632183908	0.757396449704142	0.8508771929824561	0.8245614035087719	0.7543859649122807	0.7280701754385965	0.7192982456140351	0.8157894736842105	0.7368421052631579	0.8070175438596491	0.7631578947368421	0.7368421052631579	0.781021897810219	0.7469135802469136	0.7894736842105263	0.7719298245614035	0.7631578947368421	0.7982456140350878	0.8333333333333334	0.8245614035087719	0.7807017543859649	0.7341772151898734	0.7894736842105263	0.7863247863247863	0.8125	0.7669172932330827	0.7786885245901639	0.7808219178082192	0.7786885245901639	0.8157894736842105	0.8596491228070176
Supplemental IQ Gain Calculations Using Two Additional ConcentrationResponse Functions	0.8372093023255814	0.8372093023255814	0.7339449541284404	0.7441860465116279	0.7674418604651163	0.7528735632183908	0.7751479289940828	0.7927927927927928	0.7941176470588235	0.7441860465116279	0.7790697674418605	0.7441860465116279	0.7222222222222222	0.8372093023255814	0.77	0.7956989247311828	0.8297872340425532	0.7883211678832117	0.7901234567901234	0.813953488372093	0.7558139534883721	0.813953488372093	0.8018018018018018	0.8023255813953488	0.8461538461538461	0.7674418604651163	0.7468354430379747	0.7093023255813954	0.717948717948718	0.7734375	0.7218045112781954	0.7213114754098361	0.8082191780821918	0.7868852459016393	0.7906976744186046	0.8372093023255814
Memo to the Docket from Marion Hoyer 	0.813953488372093	0.782051282051282	0.8165137614678899	0.8103448275862069	0.813953488372093	0.8390804597701149	0.863905325443787	0.7837837837837838	0.803921568627451	0.7866666666666666	0.8	0.7368421052631579	0.8055555555555556	0.7538461538461538	0.84	0.8064516129032258	0.7978723404255319	0.8248175182481752	0.8333333333333334	0.8214285714285714	0.813953488372093	0.7702702702702703	0.8018018018018018	0.7567567567567568	0.8131868131868132	0.7910447761194029	0.8544303797468354	0.8142857142857143	0.811965811965812	0.8125	0.8345864661654135	0.8278688524590164	0.9006849315068494	0.8360655737704918	0.8378378378378378	0.7837837837837838
BenMAP User Manual	0.8953488372093024	0.8717948717948718	0.9174311926605505	0.8793103448275862	0.8372093023255814	0.9310344827586207	0.9230769230769231	0.9099099099099099	0.9019607843137255	0.8533333333333334	0.8857142857142857	0.8245614035087719	0.8981481481481481	0.8615384615384616	0.91	0.8817204301075269	0.8829787234042553	0.9197080291970803	0.9197530864197531	0.8690476190476191	0.813953488372093	0.8783783783783784	0.918918918918919	0.8387096774193549	0.9120879120879121	0.8507462686567164	0.9240506329113924	0.8571428571428571	0.905982905982906	0.921875	0.9097744360902256	0.9016393442622951	0.9554794520547946	0.9098360655737705	0.8571428571428571	0.84
Air Quality Criteria for Lead and Related Photochemical Oxidants	0.7906976744186046	0.7051282051282052	0.7339449541284404	0.78125	0.796875	0.8103448275862069	0.7928994082840237	0.7747747747747747	0.7549019607843137	0.7866666666666666	0.8571428571428571	0.796875	0.7592592592592593	0.8615384615384616	0.72	0.7311827956989247	0.7872340425531915	0.781021897810219	0.8024691358024691	0.8214285714285714	0.765625	0.7027027027027027	0.7567567567567568	0.78125	0.8241758241758241	0.8059701492537313	0.7784810126582279	0.7714285714285715	0.7948717948717948	0.78125	0.7969924812030075	0.7786885245901639	0.8424657534246576	0.7459016393442623	0.796875	0.8125
Clean Air Act	0.872093023255814	0.8717948717948718	0.908256880733945	0.8793103448275862	0.8837209302325582	0.9367816091954023	0.9289940828402367	0.9099099099099099	0.9019607843137255	0.88	0.9	0.8596491228070176	0.9074074074074074	0.9076923076923077	0.89	0.8924731182795699	0.9042553191489362	0.927007299270073	0.9320987654320988	0.8809523809523809	0.8604651162790697	0.8918918918918919	0.9099099099099099	0.7741935483870968	0.8901098901098901	0.8656716417910447	0.9367088607594937	0.8571428571428571	0.905982905982906	0.90625	0.9172932330827067	0.9098360655737705	0.958904109589041	0.9262295081967213	0.8	0.8
Economic Analysis for the TSCA Lead Renovation Repair and Painting Program Final Rule for Target Housing and ChildOccupied Facilities	0.7894736842105263	0.7368421052631579	0.7969924812030075	0.7894736842105263	0.7744360902255639	0.7816091954022989	0.7869822485207101	0.7744360902255639	0.7819548872180451	0.7518796992481203	0.7894736842105263	0.7518796992481203	0.7443609022556391	0.7894736842105263	0.7669172932330827	0.7518796992481203	0.7969924812030075	0.8102189781021898	0.7777777777777778	0.7819548872180451	0.8195488721804511	0.7443609022556391	0.7969924812030075	0.849624060150376	0.8045112781954887	0.7894736842105263	0.6012658227848101	0.7518796992481203	0.7894736842105263	0.8270676691729323	0.8345864661654135	0.7669172932330827	0.5445205479452054	0.7819548872180451	0.8345864661654135	0.8796992481203008
National Primary and Secondary Ambient Air Quality Standards for Lead	0.7906976744186046	0.7948717948717948	0.7706422018348624	0.7971014492753623	0.782608695652174	0.7931034482758621	0.8047337278106509	0.7837837837837838	0.7843137254901961	0.8133333333333334	0.8571428571428571	0.7246376811594203	0.7685185185185185	0.855072463768116	0.76	0.7526881720430108	0.7659574468085106	0.781021897810219	0.7839506172839507	0.7261904761904762	0.782608695652174	0.8378378378378378	0.7387387387387387	0.8115942028985508	0.8021978021978022	0.5507246376811594	0.7658227848101266	0.8142857142857143	0.5384615384615384	0.7578125	0.7368421052631579	0.5573770491803278	0.8356164383561644	0.7622950819672131	0.782608695652174	0.8260869565217391
Proposed National Ambient Air Quality Standards for Lead	0.7790697674418605	0.7435897435897436	0.7981651376146789	0.8448275862068966	0.7678571428571429	0.8218390804597702	0.8224852071005917	0.7747747747747747	0.803921568627451	0.8	0.8142857142857143	0.7719298245614035	0.7685185185185185	0.8307692307692308	0.79	0.7741935483870968	0.7659574468085106	0.8102189781021898	0.808641975308642	0.7142857142857143	0.7678571428571429	0.7702702702702703	0.7477477477477478	0.8214285714285714	0.8351648351648352	0.5671641791044776	0.8037974683544303	0.8	0.5470085470085471	0.8046875	0.7819548872180451	0.5409836065573771	0.8561643835616438	0.7868852459016393	0.6785714285714286	0.8035714285714286
