	Total number of HIVPositive cases due to 151 onward transmission connected with US	prevalence estimatesâ€”United States	Revised recommendations for HIV testing of adults adolescents and pregnant women in healthcare settings MMWR Recomm Rep	Appendix II HIVEcon Additional notes and data on model inputs and outputs	Yearbook of Immigration Statistics	Population Prospects The	AIDS Epidemic Update WHO Library CataloguinginPublication Data UNAIDS0727EJC1322E	Life expectancy of individuals on combination antiretroviral therapy in highincome countries a collaborative analysis of 14 cohort studies Lancet	The New Americans Economic Demographic and Fiscal Effects of Immigration	Technical Appendix I HIVEcon A model to estimate the economic costs of immigrants who are HIVpositive	The lifetime cost of current human immunodeficiency virus care in the United States Med Care	for the Use of Antiretroviral Agents in HIVâ€“1â€“Infected Adults and Adolescents	memorandum Consolidation of Policy Regarding	A quick guide to public charge and receipt to public benefits	How many sexuallyacquired HIV infections in the USA are due to acutephase HIV transmission	Transmission Rates in the United States	Health status health insurance and health care utilization patterns of immigrant Black men	Effects of immigration on selected health risk behaviors of Black college students	Acculturation sexual risk taking and HIV health promotion among Latinas	Alcohol and AIDSrelated sexual behavior among Hispanics acculturation and gender differences AIDS Educ Prev	Initial acculturation and HIV risk among new Hispanic immigrants	HIV and sexually transmitted infection risk behaviors and beliefs among Black West Indian immigrants and USborn Blacks	Immigration measures and reproductive health among Hispanic youth findings from the national longitudinal survey of youth 1997â€“2003 J Adolesc Health	The impact of migration on the health of voluntary migrants in western societies	Immigration and HIVAIDS in the New York Metropolitan Area J Urban Health	HIV prevalence among foreign and USborn clients of public STD clinics	Acculturation and gender differences in sexual attitudes and behaviors Hispanic vs nonHispanic white unmarried adults	Available from http wwwcdcgovhivtopicssurveillance incidencehtm V Regulatory Flexibility Analysis VI Other Administrative Requirements A The Unfunded Mandates Reform Act HHSCDC evaluated the rule requirements for compliance with the Unfunded Mandates Reform Act UMRA of 1995 This rule does not contain Federal mandates under the regulatory provisions of Title II of the UMRA for State local or Tribal Governments nor for the private sector The ruleâ€™s provisions will not affect small Governments B Executive Order 13045 Protection of Children From Environmental Health Risks and Safety Risks Executive	The authority citation for part 34 continues to read as follows	342 by removing paragraph b6 and redesignating paragraphs b7 through 10 b6 through 9 respectively	343 by revising paragraphs b1i e1 introductory text e2iii e2iv e5 and e6 to read as follows Â§ 343 Scope of examinations
HIVAIDS Transmission Rates in  the United States	0.26530612244897955	0.4	0.3191489361702128	0.31707317073170727	0.3846153846153846	0.4054054054054054	0.4385964912280702	0.4782608695652174	0.30434782608695654	0.276595744680851	0.31818181818181823	0.3191489361702128	0.41463414634146345	0.4285714285714286	0.25	0.1351351351351351	0.39534883720930236	0.4418604651162791	0.28888888888888886	0.30612244897959184	0.33333333333333337	0.31999999999999995	0.4444444444444444	0.4285714285714286	0.26530612244897955	0.23404255319148937	0.37777777777777777	0.41666666666666663	0.4285714285714286	0.5102040816326531	0.5094339622641509
Technical  Appendix I HIVEcon A model to estimate  the economic costs of immigrants who are  HIVpositive	0.2222222222222222	0.37777777777777777	0.15384615384615385	0.17391304347826086	0.36363636363636365	0.33333333333333337	0.4193548387096774	0.2549019607843137	0.13725490196078427	0.0	0.30612244897959184	0.23076923076923073	0.34782608695652173	0.276595744680851	0.16981132075471694	0.38095238095238093	0.25	0.25	0.16000000000000003	0.14814814814814814	0.19148936170212771	0.23636363636363633	0.288135593220339	0.19148936170212771	0.2962962962962963	0.1923076923076923	0.12	0.3246753246753247	0.276595744680851	0.37037037037037035	0.31034482758620685
Technical Appendix II HIVEcon  Additional notes and data on model inputs  and outputs	0.28	0.41463414634146345	0.25	0.04761904761904767	0.44999999999999996	0.26315789473684215	0.4137931034482759	0.3191489361702128	0.23404255319148937	0.125	0.33333333333333337	0.29166666666666663	0.38095238095238093	0.3023255813953488	0.18367346938775508	0.368421052631579	0.2727272727272727	0.31818181818181823	0.13043478260869568	0.19999999999999996	0.2093023255813954	0.2941176470588235	0.34545454545454546	0.3023255813953488	0.36	0.25	0.21739130434782605	0.3972602739726028	0.3023255813953488	0.4	0.40740740740740744
Life expectancy of individuals on  combination antiretroviral therapy in high  income countries a collaborative analysis of 14 cohort studies	0.28301886792452835	0.36363636363636365	0.2549019607843137	0.33333333333333337	0.34883720930232553	0.31707317073170727	0.3770491803278688	0.0	0.31999999999999995	0.2549019607843137	0.25	0.2941176470588235	0.24444444444444446	0.21739130434782605	0.2692307692307693	0.41463414634146345	0.23404255319148937	0.19148936170212771	0.22448979591836737	0.2075471698113207	0.30434782608695654	0.2222222222222222	0.27586206896551724	0.17391304347826086	0.4339622641509434	0.2549019607843137	0.1428571428571429	0.368421052631579	0.21739130434782605	0.16981132075471694	0.1578947368421053
The impact of migration on the health of voluntary migrants in western societies	0.26530612244897955	0.35	0.19148936170212771	0.36585365853658536	0.33333333333333337	0.18918918918918914	0.4736842105263158	0.17391304347826086	0.21739130434782605	0.19148936170212771	0.18181818181818177	0.3191489361702128	0.2195121951219512	0.23809523809523814	0.25	0.3513513513513513	0.2093023255813954	0.2093023255813954	0.28888888888888886	0.26530612244897955	0.23809523809523814	0.28	0.2962962962962963	0.0	0.4285714285714286	0.23404255319148937	0.15555555555555556	0.41666666666666663	0.1428571428571429	0.26530612244897955	0.24528301886792447
Health status health insurance and health care utilization patterns of immigrant Black men	0.31999999999999995	0.36585365853658536	0.20833333333333337	0.2857142857142857	0.30000000000000004	0.26315789473684215	0.4482758620689655	0.23404255319148937	0.276595744680851	0.25	0.28888888888888886	0.29166666666666663	0.23809523809523814	0.16279069767441856	0.26530612244897955	0.368421052631579	0.0	0.13636363636363635	0.17391304347826086	0.24	0.16279069767441856	0.21568627450980393	0.3090909090909091	0.2093023255813954	0.36	0.25	0.17391304347826086	0.4246575342465754	0.2558139534883721	0.31999999999999995	0.33333333333333337
Estimating sexual transmission of HIV from persons aware and unaware that they are infected with the virus in the USA	0.19298245614035092	0.33333333333333337	0.1636363636363637	0.18367346938775508	0.36170212765957444	0.37777777777777777	0.32307692307692304	0.2222222222222222	0.2222222222222222	0.09090909090909094	0.23076923076923073	0.19999999999999996	0.30612244897959184	0.28	0.0714285714285714	0.37777777777777777	0.2549019607843137	0.2549019607843137	0.16981132075471694	0.1228070175438597	0.19999999999999996	0.13793103448275867	0.25806451612903225	0.19999999999999996	0.26315789473684215	0.1636363636363637	0.13207547169811318	0.275	0.28	0.33333333333333337	0.24590163934426235
Metaanalysis of highrisk sexual behavior in persons aware and unaware they are infected with HIV in the United States implications for HIV prevention programs	0.1724137931034483	0.34693877551020413	0.1428571428571429	0.28	0.29166666666666663	0.3913043478260869	0.36363636363636365	0.19999999999999996	0.3090909090909091	0.1785714285714286	0.2075471698113207	0.25	0.31999999999999995	0.2549019607843137	0.1228070175438597	0.3913043478260869	0.23076923076923073	0.23076923076923073	0.18518518518518523	0.1724137931034483	0.17647058823529416	0.0847457627118644	0.3015873015873016	0.21568627450980393	0.2068965517241379	0.1428571428571429	0.14814814814814814	0.2592592592592593	0.2941176470588235	0.31034482758620685	0.22580645161290325
Immigration measures and reproductive health among Hispanic youth findings from the national longitudinal survey of youth 1997Ð2003	0.29824561403508776	0.41666666666666663	0.23636363636363633	0.34693877551020413	0.4042553191489362	0.37777777777777777	0.29230769230769227	0.2222222222222222	0.33333333333333337	0.2727272727272727	0.3076923076923077	0.2727272727272727	0.30612244897959184	0.31999999999999995	0.2857142857142857	0.4666666666666667	0.2549019607843137	0.2941176470588235	0.28301886792452835	0.26315789473684215	0.28	0.27586206896551724	0.09677419354838712	0.24	0.4385964912280702	0.2727272727272727	0.24528301886792447	0.35	0.28	0.1228070175438597	0.24590163934426235
The lifetime cost of current human immunodeficiencyvirus care in the United States	0.18367346938775508	0.25	0.276595744680851	0.36585365853658536	0.33333333333333337	0.2432432432432432	0.4385964912280702	0.21739130434782605	0.30434782608695654	0.276595744680851	0.045454545454545414	0.276595744680851	0.2195121951219512	0.2857142857142857	0.20833333333333337	0.18918918918918914	0.2558139534883721	0.2093023255813954	0.33333333333333337	0.26530612244897955	0.33333333333333337	0.19999999999999996	0.33333333333333337	0.1428571428571429	0.4285714285714286	0.19148936170212771	0.24444444444444446	0.41666666666666663	0.19047619047619047	0.30612244897959184	0.28301886792452835
Effects of immigration on selected health risk behaviors of Black college students	0.28	0.36585365853658536	0.25	0.33333333333333337	0.25	0.3157894736842105	0.4482758620689655	0.19148936170212771	0.276595744680851	0.25	0.24444444444444446	0.29166666666666663	0.23809523809523814	0.16279069767441856	0.34693877551020413	0.368421052631579	0.13636363636363635	0.0	0.26086956521739135	0.19999999999999996	0.2558139534883721	0.17647058823529416	0.34545454545454546	0.2093023255813954	0.4	0.25	0.17391304347826086	0.3972602739726028	0.3023255813953488	0.28	0.2962962962962963
Revised recommendations for HIV testing of adults adolescents and pregnant women in health care settings	0.1923076923076923	0.34883720930232553	0.040000000000000036	0.2272727272727273	0.33333333333333337	0.30000000000000004	0.43333333333333335	0.22448979591836737	0.22448979591836737	0.12	0.276595744680851	0.19999999999999996	0.2272727272727273	0.24444444444444446	0.17647058823529416	0.35	0.17391304347826086	0.21739130434782605	0.16666666666666663	0.1923076923076923	0.11111111111111116	0.2075471698113207	0.26315789473684215	0.15555555555555556	0.3076923076923077	0.16000000000000003	0.125	0.36	0.24444444444444446	0.3076923076923077	0.2857142857142857
HIV prevalence among foreign and USborn clients of public STD clinics	0.14814814814814814	0.28888888888888886	0.1923076923076923	0.26086956521739135	0.2727272727272727	0.33333333333333337	0.32258064516129037	0.2549019607843137	0.2549019607843137	0.1923076923076923	0.22448979591836737	0.23076923076923073	0.30434782608695654	0.276595744680851	0.2075471698113207	0.33333333333333337	0.25	0.25	0.24	0.14814814814814814	0.19148936170212771	0.1636363636363637	0.3220338983050848	0.23404255319148937	0.2592592592592593	0.0	0.19999999999999996	0.3246753246753247	0.3191489361702128	0.33333333333333337	0.31034482758620685
How many sexually acquired HIV infections in the USA are due to acutephase HIV transmission	0.19999999999999996	0.34782608695652173	0.2075471698113207	0.19148936170212771	0.37777777777777777	0.34883720930232553	0.3650793650793651	0.2692307692307693	0.2692307692307693	0.16981132075471694	0.24	0.24528301886792447	0.3191489361702128	0.25	0.0	0.34883720930232553	0.26530612244897955	0.34693877551020413	0.17647058823529416	0.19999999999999996	0.20833333333333337	0.1785714285714286	0.30000000000000004	0.25	0.2727272727272727	0.2075471698113207	0.17647058823529416	0.3076923076923077	0.25	0.38181818181818183	0.288135593220339
Initial acculturation and HIV risk among new Hispanic immigrants	0.26530612244897955	0.35	0.14893617021276595	0.1707317073170732	0.28205128205128205	0.29729729729729726	0.4035087719298246	0.30434782608695654	0.26086956521739135	0.19148936170212771	0.36363636363636365	0.276595744680851	0.2682926829268293	0.23809523809523814	0.20833333333333337	0.4054054054054054	0.16279069767441856	0.2558139534883721	0.11111111111111116	0.26530612244897955	0.0	0.24	0.33333333333333337	0.23809523809523814	0.26530612244897955	0.19148936170212771	0.19999999999999996	0.41666666666666663	0.2857142857142857	0.34693877551020413	0.3584905660377359
HIV and sexually transmitted infection risk behaviors and beliefs among Black West Indian immigrants and USborn Blacks	0.19298245614035092	0.375	0.19999999999999996	0.30612244897959184	0.276595744680851	0.4222222222222223	0.3538461538461538	0.2222222222222222	0.37037037037037035	0.23636363636363633	0.23076923076923073	0.23636363636363633	0.30612244897959184	0.28	0.1785714285714286	0.37777777777777777	0.21568627450980393	0.17647058823529416	0.2075471698113207	0.19298245614035092	0.24	0.0	0.32258064516129037	0.28	0.29824561403508776	0.1636363636363637	0.2075471698113207	0.30000000000000004	0.36	0.33333333333333337	0.2786885245901639
Alcohol and AIDSrelated sexual behavior among  Hispanics acculturation and gender differences	0.2222222222222222	0.33333333333333337	0.1923076923076923	0.21739130434782605	0.2727272727272727	0.33333333333333337	0.32258064516129037	0.17647058823529416	0.21568627450980393	0.15384615384615385	0.26530612244897955	0.23076923076923073	0.30434782608695654	0.19148936170212771	0.16981132075471694	0.38095238095238093	0.20833333333333337	0.20833333333333337	0.16000000000000003	0.03703703703703709	0.23404255319148937	0.1636363636363637	0.2542372881355932	0.23404255319148937	0.2592592592592593	0.11538461538461542	0.07999999999999996	0.3246753246753247	0.3191489361702128	0.2962962962962963	0.24137931034482762
Migration and AIDS	0.5238095238095238	0.5151515151515151	0.44999999999999996	0.47058823529411764	0.375	0.5333333333333333	0.48	0.5384615384615384	0.3846153846153846	0.44999999999999996	0.45945945945945943	0.44999999999999996	0.47058823529411764	0.4285714285714286	0.46341463414634143	0.4	0.5	0.5	0.42105263157894735	0.38095238095238093	0.4285714285714286	0.4883720930232558	0.5319148936170213	0.5428571428571429	0.33333333333333337	0.4	0.4736842105263158	0.5692307692307692	0.5428571428571429	0.5714285714285714	0.5652173913043479
Acculturation and gender differences in sexual attitudes and behaviors Hispanic vs nonHispanic white unmarried adults	0.23076923076923073	0.34883720930232553	0.16000000000000003	0.2272727272727273	0.33333333333333337	0.30000000000000004	0.4	0.1428571428571429	0.22448979591836737	0.12	0.276595744680851	0.24	0.2727272727272727	0.15555555555555556	0.17647058823529416	0.4	0.17391304347826086	0.17391304347826086	0.16666666666666663	0.11538461538461542	0.19999999999999996	0.2075471698113207	0.26315789473684215	0.15555555555555556	0.3076923076923077	0.19999999999999996	0.0	0.36	0.24444444444444446	0.2692307692307693	0.2142857142857143
Acculturation sexual risk taking and HIV health promotion among Latinas	0.3076923076923077	0.39534883720930236	0.19999999999999996	0.13636363636363635	0.33333333333333337	0.30000000000000004	0.3666666666666667	0.22448979591836737	0.26530612244897955	0.16000000000000003	0.36170212765957444	0.24	0.31818181818181823	0.19999999999999996	0.17647058823529416	0.4	0.17391304347826086	0.26086956521739135	0.0	0.1923076923076923	0.11111111111111116	0.2075471698113207	0.29824561403508776	0.28888888888888886	0.2692307692307693	0.24	0.16666666666666663	0.3866666666666667	0.33333333333333337	0.34615384615384615	0.3571428571428571
Immigration and HIVAIDS in the New York Metropolitan Area	0.3584905660377359	0.4545454545454546	0.2549019607843137	0.33333333333333337	0.34883720930232553	0.46341463414634143	0.3770491803278688	0.43999999999999995	0.24	0.2549019607843137	0.41666666666666663	0.37254901960784315	0.4666666666666667	0.34782608695652173	0.2692307692307693	0.41463414634146345	0.3191489361702128	0.4042553191489362	0.22448979591836737	0.28301886792452835	0.21739130434782605	0.33333333333333337	0.4137931034482759	0.3913043478260869	0.05660377358490565	0.2941176470588235	0.30612244897959184	0.39473684210526316	0.4347826086956522	0.4716981132075472	0.4385964912280702
