	Ahold announced the pending purchase of Supermarket GeneralII Holdings Corporation parent of the Pathmark chain Similarly SUPERVALUE acquired Richfood Food Lion bought out Hannaford Brothers and Scarborough and Albertson’s purchased American Stores Sean Mehegan ‘‘Consolidation Changes the Face of the North American Supermarket Sector’’ Meat  Poultry	Agricultural Handbook No	King Marketing Services	Safety Commission Miller et al ‘‘The Consumer Product Safety Commission’s Revised Injury Cost Model’’ Peer Review Draft Prepared for the US Consumer Product Safety Commission	Food Safety Efforts Accelerate in the 1990’s’’ Food Review	The Economic Benefits of Nutrition Labeling A Case Study for Fresh Meat and Poultry Products’’	Re Docket 98– 005F Food Safety and Inspection Service Proposed Rule ‘‘Nutrition Labeling of Ground or Chopped Meat and Poultry Products and SingleIngredient Products’’ Comments submitted to the FSIS Docket Clerk	Drug Administration 60 FR 65095	Drug Administration 68 FR 41434–41504	Read the Label Reducing Risk by Providing Information	Information Advertising and Health Choices	Information Advertising and Health A Study of the Cereal Market’’ In Economics of Food Safety	Information and Advertising The Case of	The Effect of Food Label Use on Nutrient Intakes An Endogenous Switching Regression Analysis’’	Assigning Value to Life Comparing Methods for Valuing Health Risks Agricultural Economic	A New Approach to Consumer Theory’’	Informational Approaches to Regulation	Offsetting Behavior in Reducing High Cholesterol Substitution of Medication for Diet and Lifestyle Changes’’	Food companies spread nutrition information through advertising and labels Food Review	Personnal communication with Mary Muth RTI International Research	A Quasi Experiment to Assess the Consumer and Informational Determinants of Nutrition Information Processing Activities The Case of the Nutrition Labeling and Education Act’’	FDA Labeling Cost Model’’ Prepared for the US Food and Drug Administration Center for Food Safety and Applied Nutrition Research Triangle Park NC	National Cattlemen’s Beef Association	The Journey towards Retail Meat Case Nutrition Labeling A white paper	Uniform Retail Meat Identity Standards	The NMI Health and Wellness Trends Database	As reported in Food Technology ‘‘What When and Where Americans Eat	Use of food nutrition labels is associated with lower fat intake’’	The Imperative to Warn Disentangling the ‘‘Right to Know’’ from the ‘‘Need to Know’’ about Consumer Product Hazards’’	Guidelines for Ensuring and Maximizing the Quality Objectivity Utility and Integrity of Information Disseminated by Federal Agencies	Cost Analysis for Nutrition Labeling of Ground Chopped and SingleIngredient Meat and Poultry VerDate	Personal communication with Mary Muth RTI International Research	Does Nutrition Labeling Lead to Healthier Eating’’	Measuring the welfare effects of nutrition information	Hedonic Prices and Implicit Markets Product Differentiation in	Department of Agriculture 1994–1996 Continuing survey of food intake by individuals CSFII and companion diet and health knowledge survey DHKS	Survey years 1994–1996	Nutrition LabelingSafe Handling Information Study—Raw Meat and Poultry Prepared by Retail Diagnostics	Department of Agriculture Agricultural Research Service	Do Nutrition Labels Improve Dietary Outcomes	DietHealth Information and Nutrition The Intake of Dietary Fats	Fatal Tradeoffs—Public  Private Responsibilities for Risk	Estimated Benefits of Nutrition Label Changes Final Report	Potential Health Benefits of Nutrition Label Changes’’	Section 381400 is revised to read as follows
Consumer Use of Information Implications for Food Policy	0.5800000000000001	0.63	0.65	0.5800000000000001	0.61	0.5800000000000001	0.61	0.55	0.65	0.6799999999999999	0.49	0.5900000000000001	0.49	0.5900000000000001	0.5900000000000001	0.65	0.48	0.52	0.56	0.63	0.43000000000000005	0.5	0.62	0.6699999999999999	0.64	0.6799999999999999	0.6799999999999999	0.56	0.63	0.49	0.5800000000000001	0.63	0.65	0.5800000000000001	0.5900000000000001	0.5900000000000001	0.8	0.56	0.6699999999999999	0.64	0.54	0.63	0.5900000000000001	0.6699999999999999	0.62
Economics of Food Labeling	0.54	0.75	0.7	0.6599999999999999	0.64	0.39	0.5800000000000001	0.74	0.74	0.5800000000000001	0.5800000000000001	0.19999999999999996	0.54	0.39	0.54	0.7	0.62	0.62	0.5800000000000001	0.6599999999999999	0.47	0.5800000000000001	0.64	0.54	0.6599999999999999	0.7	0.62	0.54	0.6599999999999999	0.62	0.43000000000000005	0.6599999999999999	0.5800000000000001	0.62	0.62	0.5	0.92	0.5800000000000001	0.74	0.6599999999999999	0.62	0.6599999999999999	0.5	0.47	0.6599999999999999
FDA Labeling Cost Model	0.5700000000000001	0.74	0.64	0.43999999999999995	0.6599999999999999	0.4	0.4	0.74	0.74	0.53	0.61	0.61	0.5700000000000001	0.53	0.5700000000000001	0.7	0.61	0.5700000000000001	0.5700000000000001	0.7	0.6599999999999999	0.0	0.7	0.43999999999999995	0.6599999999999999	0.6599999999999999	0.61	0.5700000000000001	0.5700000000000001	0.61	0.4	0.7	0.4	0.6599999999999999	0.6599999999999999	0.61	0.83	0.48	0.74	0.5700000000000001	0.7	0.6599999999999999	0.53	0.61	0.6599999999999999
The Consumer Product Safety Commission�s Revised Injury Cost Model	0.63	0.71	0.6599999999999999	0.050000000000000044	0.63	0.5700000000000001	0.5800000000000001	0.6799999999999999	0.7	0.63	0.62	0.69	0.62	0.63	0.64	0.65	0.6599999999999999	0.61	0.64	0.65	0.55	0.5700000000000001	0.6699999999999999	0.6	0.64	0.6599999999999999	0.72	0.63	0.6599999999999999	0.64	0.64	0.64	0.69	0.62	0.6	0.63	0.75	0.6699999999999999	0.7	0.62	0.6699999999999999	0.6799999999999999	0.64	0.69	0.54
Cost Analysis for Nutrition Labeling of Ground Chopped and SingleIngredient Meat and Poultry Products	0.5700000000000001	0.55	0.6599999999999999	0.61	0.6599999999999999	0.39	0.33999999999999997	0.65	0.65	0.5700000000000001	0.53	0.63	0.5700000000000001	0.6	0.61	0.6699999999999999	0.61	0.61	0.55	0.64	0.5700000000000001	0.5900000000000001	0.62	0.53	0.56	0.61	0.5900000000000001	0.53	0.61	0.61	0.050000000000000044	0.63	0.43000000000000005	0.6	0.62	0.5900000000000001	0.71	0.44999999999999996	0.6599999999999999	0.45999999999999996	0.5800000000000001	0.6799999999999999	0.47	0.49	0.6
National Meat Case Study	0.5	0.75	0.6599999999999999	0.5900000000000001	0.6699999999999999	0.33999999999999997	0.5900000000000001	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.55	0.42000000000000004	0.52	0.5900000000000001	0.5900000000000001	0.5900000000000001	0.5	0.55	0.55	0.55	0.45999999999999996	0.5900000000000001	0.45999999999999996	0.38	0.42000000000000004	0.63	0.63	0.55	0.5900000000000001	0.5	0.5	0.55	0.5	0.63	0.63	0.55	0.8	0.5	0.63	0.55	0.55	0.6699999999999999	0.5	0.55	0.63
The Journey towards Retail Meat Case Nutrition Labeling A white paper	0.53	0.6699999999999999	0.53	0.6	0.65	0.44999999999999996	0.51	0.65	0.72	0.63	0.61	0.6599999999999999	0.54	0.5700000000000001	0.6	0.6699999999999999	0.61	0.5800000000000001	0.5800000000000001	0.6	0.48	0.53	0.62	0.0	0.44999999999999996	0.5900000000000001	0.64	0.5700000000000001	0.6	0.6	0.53	0.61	0.49	0.5	0.5900000000000001	0.63	0.63	0.6	0.6599999999999999	0.5	0.53	0.6699999999999999	0.47	0.47	0.64
Uniform Retail Meat Identity Standards	0.64	0.6699999999999999	0.61	0.64	0.64	0.53	0.56	0.75	0.79	0.69	0.56	0.56	0.56	0.5800000000000001	0.61	0.77	0.5800000000000001	0.56	0.5	0.5800000000000001	0.56	0.61	0.6799999999999999	0.44999999999999996	0.0	0.63	0.61	0.6599999999999999	0.64	0.56	0.5800000000000001	0.5800000000000001	0.5800000000000001	0.64	0.61	0.5800000000000001	0.75	0.56	0.69	0.63	0.5800000000000001	0.6599999999999999	0.6599999999999999	0.5800000000000001	0.6599999999999999
Re Docket 98�005F Food Safety and Inspection Service Proposed Rule ��Nutrition Labeling of Ground or Chopped Meat and Poultry Products and SingleIngredient Products��	0.61	0.63	0.5700000000000001	0.6	0.5800000000000001	0.36	0.06999999999999995	0.6799999999999999	0.72	0.5900000000000001	0.55	0.61	0.5700000000000001	0.62	0.62	0.65	0.56	0.5800000000000001	0.56	0.62	0.6	0.6	0.62	0.48	0.56	0.56	0.62	0.55	0.62	0.65	0.36	0.61	0.43000000000000005	0.54	0.54	0.65	0.6699999999999999	0.44999999999999996	0.6	0.45999999999999996	0.5800000000000001	0.65	0.5	0.54	0.6
nan	0.33999999999999997	0.33999999999999997	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.33999999999999997	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.33999999999999997	0.33999999999999997	0.33999999999999997	0.33999999999999997	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.33999999999999997	0.33999999999999997	0.33999999999999997	0.33999999999999997	0.6699999999999999	0.6699999999999999	0.33999999999999997	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.33999999999999997	0.6699999999999999	0.6699999999999999
Guidelines for Ensuring and Maximizing the Quality Objectivity Utility and Integrity of Information Disseminated by Federal Agencies	0.63	0.63	0.53	0.6599999999999999	0.61	0.63	0.6	0.65	0.7	0.53	0.43000000000000005	0.62	0.49	0.6599999999999999	0.61	0.6699999999999999	0.5800000000000001	0.6	0.54	0.5700000000000001	0.5700000000000001	0.63	0.5900000000000001	0.6	0.56	0.63	0.63	0.5800000000000001	0.6699999999999999	0.0	0.6	0.5800000000000001	0.6	0.52	0.5900000000000001	0.63	0.75	0.56	0.64	0.6	0.56	0.6699999999999999	0.56	0.5700000000000001	0.6
Labeling Trans Fatty Acids in Nutrition labeling Nutrient Content Claims and Health Claims Final Rule	0.5800000000000001	0.63	0.48	0.65	0.65	0.5800000000000001	0.54	0.5900000000000001	0.65	0.61	0.45999999999999996	0.64	0.54	0.62	0.55	0.6699999999999999	0.5800000000000001	0.6	0.54	0.6	0.55	0.6	0.62	0.51	0.5800000000000001	0.61	0.63	0.52	0.6799999999999999	0.5800000000000001	0.49	0.6	0.47	0.54	0.62	0.61	0.75	0.5900000000000001	0.6799999999999999	0.45999999999999996	0.53	0.62	0.49	0.52	0.62
Prevention of Salmonella Enteritidis in Shell Eggs During Production Proposed Rule	0.5900000000000001	0.6699999999999999	0.53	0.5800000000000001	0.63	0.6	0.5700000000000001	0.62	0.7	0.5900000000000001	0.5800000000000001	0.63	0.52	0.6	0.64	0.6699999999999999	0.61	0.5800000000000001	0.5900000000000001	0.65	0.5900000000000001	0.61	0.62	0.61	0.61	0.63	0.6599999999999999	0.6	0.65	0.64	0.61	0.65	0.62	0.6	0.62	0.63	0.71	0.5800000000000001	0.64	0.6	0.61	0.6799999999999999	0.5900000000000001	0.5900000000000001	0.62
Procedures for the Safe and Sanitary Processing and Importing of Fish and Fishery Products Final Rule	0.5800000000000001	0.6699999999999999	0.5700000000000001	0.6	0.65	0.5800000000000001	0.51	0.62	0.6699999999999999	0.51	0.55	0.64	0.52	0.64	0.63	0.6699999999999999	0.61	0.64	0.5800000000000001	0.5700000000000001	0.5700000000000001	0.52	0.65	0.6	0.5800000000000001	0.61	0.6	0.6	0.65	0.61	0.61	0.5700000000000001	0.6	0.54	0.49	0.5900000000000001	0.71	0.61	0.6599999999999999	0.6	0.56	0.65	0.56	0.6599999999999999	0.6
Use of food nutrition labels is associated with lower fat intake	0.55	0.6699999999999999	0.61	0.61	0.6599999999999999	0.47	0.55	0.62	0.7	0.5700000000000001	0.55	0.5800000000000001	0.5700000000000001	0.54	0.61	0.7	0.56	0.5700000000000001	0.55	0.5900000000000001	0.52	0.55	0.52	0.55	0.6599999999999999	0.6599999999999999	0.64	0.0	0.63	0.55	0.49	0.5900000000000001	0.44999999999999996	0.56	0.62	0.55	0.75	0.65	0.64	0.43999999999999995	0.5700000000000001	0.65	0.5	0.63	0.5700000000000001
Information Advertising and Health Choices A Study of the Cereal Market 	0.53	0.6699999999999999	0.48	0.62	0.6799999999999999	0.53	0.5900000000000001	0.6799999999999999	0.72	0.6799999999999999	0.0	0.12	0.29000000000000004	0.63	0.56	0.6699999999999999	0.44999999999999996	0.55	0.53	0.62	0.49	0.5900000000000001	0.6699999999999999	0.64	0.56	0.61	0.6	0.5800000000000001	0.62	0.6	0.5700000000000001	0.63	0.54	0.63	0.6	0.5700000000000001	0.75	0.55	0.62	0.6	0.54	0.6799999999999999	0.61	0.5700000000000001	0.64
Information and Advertising The Case of Fat Consumption in the United States	0.54	0.71	0.61	0.5700000000000001	0.65	0.5700000000000001	0.6	0.6799999999999999	0.72	0.63	0.33999999999999997	0.48	0.0	0.62	0.62	0.5900000000000001	0.48	0.5700000000000001	0.56	0.62	0.43000000000000005	0.5700000000000001	0.5900000000000001	0.53	0.56	0.61	0.63	0.62	0.61	0.56	0.5700000000000001	0.61	0.56	0.5	0.6	0.5700000000000001	0.71	0.6	0.7	0.6	0.44999999999999996	0.64	0.61	0.63	0.5700000000000001
The Regulation of Science Based Claims in Advertising	0.63	0.71	0.61	0.5700000000000001	0.6799999999999999	0.5900000000000001	0.5700000000000001	0.71	0.77	0.62	0.6	0.6699999999999999	0.54	0.5900000000000001	0.61	0.72	0.61	0.5900000000000001	0.53	0.65	0.5700000000000001	0.61	0.62	0.5900000000000001	0.64	0.5900000000000001	0.65	0.5900000000000001	0.5900000000000001	0.61	0.5900000000000001	0.65	0.5900000000000001	0.63	0.63	0.63	0.71	0.61	0.63	0.64	0.61	0.6699999999999999	0.54	0.61	0.62
A New Approach to Consumer Theory	0.5800000000000001	0.71	0.74	0.49	0.6699999999999999	0.64	0.64	0.75	0.76	0.73	0.7	0.64	0.64	0.6699999999999999	0.61	0.0	0.51	0.6699999999999999	0.61	0.6699999999999999	0.55	0.55	0.6699999999999999	0.64	0.73	0.64	0.61	0.64	0.52	0.64	0.64	0.6699999999999999	0.64	0.64	0.64	0.61	0.8	0.64	0.61	0.64	0.61	0.61	0.6699999999999999	0.6699999999999999	0.7
The Effect of Food Label Use on Nutrient Intakes An Endogenous Switching Regression Analysis	0.5900000000000001	0.6699999999999999	0.53	0.6599999999999999	0.63	0.5800000000000001	0.6	0.6799999999999999	0.75	0.5900000000000001	0.6	0.65	0.65	0.0	0.65	0.7	0.61	0.65	0.55	0.62	0.5800000000000001	0.5900000000000001	0.65	0.5700000000000001	0.5800000000000001	0.61	0.62	0.56	0.64	0.64	0.5800000000000001	0.61	0.6	0.6	0.55	0.62	0.71	0.65	0.64	0.55	0.56	0.6699999999999999	0.54	0.5900000000000001	0.6
The Economics of Information	0.5800000000000001	0.75	0.74	0.5800000000000001	0.61	0.36	0.65	0.65	0.65	0.43000000000000005	0.6799999999999999	0.4	0.65	0.5800000000000001	0.5800000000000001	0.6799999999999999	0.5700000000000001	0.5800000000000001	0.43000000000000005	0.5800000000000001	0.36	0.61	0.5800000000000001	0.61	0.6799999999999999	0.72	0.61	0.5800000000000001	0.5800000000000001	0.36	0.5800000000000001	0.5800000000000001	0.6799999999999999	0.43000000000000005	0.54	0.5800000000000001	0.84	0.43000000000000005	0.6799999999999999	0.72	0.5	0.6	0.5	0.5	0.65
The Economic Benefits of Nutrition Labeling A Case Study for Fresh Meat and Poultry Products	0.56	0.63	0.5700000000000001	0.6	0.6599999999999999	0.0	0.35	0.62	0.65	0.5900000000000001	0.55	0.5900000000000001	0.47	0.5800000000000001	0.5900000000000001	0.65	0.5800000000000001	0.5800000000000001	0.56	0.6	0.53	0.5700000000000001	0.62	0.44999999999999996	0.53	0.61	0.65	0.52	0.64	0.61	0.43000000000000005	0.6	0.41000000000000003	0.54	0.62	0.61	0.6699999999999999	0.47	0.6	0.41000000000000003	0.56	0.65	0.35	0.4	0.5700000000000001
