	46 California HealthCare Foundation, “Gauging the Progress of the National Health Information Technology Initiative: Perspectives from the Field.”	48 California HealthCare Foundation, Snapshot: The State of Health Information Technology in	The Proliferation and Consolidation of Word Processing Software:	53 Source: Office of Employment Statistics,	treated as	Hospital human-resource assistants:	58 Pharmacy technicians: $12.04	Service provider support/sales staff:	Service provider information clerks:	60 APPENDIX B: BIBLIOGRAPHY	Recommendations for Comparing Electronic Prescribing Systems: Results of An Expert Consensus Process,” Health Affairs,	The Diffusion and Value of Healthcare Information Technology, Rand Health,	National IndustrySpecific Occupational Employment and Wage Estimates.	California HealthCare Foundation, “Gauging the Progress of the National Health Information Technology Initiative: Perspectives from the Field.”	Foundation, Snapshot: The State of Health Information Technology in	Disease Control and Prevention, “Electronic Medical Record Use by OfficeBased Physicians and Their Practices: United States	Certification Commission for Healthcare Information Technology, CCHIT Ambulatory Functionality	Certification Commission for Healthcare Information Technology, CCHIT Security Criteria	Drug Abuse Warning Network,	National Estimates of Drug-Related Emergency Department Visits DAWN Series D-29, DHHS Publication No. (SMA) 07-4256,	The State and Pattern of Health Information Technology Adoption,	Foundation of Research and Education, American Health Information Management Association. “Report on the	Extrapolating Evidence of Health Information Technology Savings and Costs,	LLP, 12th Annual Government Contractor Industry Survey,	Characteristics of Office-Based Physicians and their Practices: United States,	Electronic medical record use by office-based physicians and their practices: United States,	of Chain Drug Stores, “The Chain Pharmacy Industry Profile	of Standards and Technology. Special Publication 800-63-1, Information Security: Electronic Authentication Guideline.	Electronic Prescribing Systems: Making it safer to take your medicine?” Research Highlights,	Health Information Technology: Can HIT Lower Costs and Improve Quality?”	Substance Abuse and Mental Health Services Administration.	62 The DAWN Report – Opiate-related Drug Misuse Deaths in Six States,	Report – Emergency Department Visits Involving Non-medical Use of Selected Pharmaceuticals.	of Labor Statistics,	Economic Census	Department of Health and Human Services.	Enforcement Administration, Economic Impact of the Electronic Orders Rule,	Functional Characteristics of Commercial Ambulatory Electronic Prescribing Systems: A Field Study,”	accessed 1/18/2008. www.nacds.org/wmspage.cfm?parm1=507, accessed 1/18/2008. www.surescripts.com/get-connected.aspx?ptype=physician,
Emergency Department Visits Involving Nonmedical Use of Selected Pharmaceuticals	0.7959183673469388	0.8222222222222222	0.775	0.7625	0.8875	0.8125	0.85	0.7875	0.7625	0.9375	0.7692307692307693	0.85	0.7625	0.7916666666666666	0.8375	0.7317073170731707	0.8279569892473119	0.8488372093023255	0.8375	0.75	0.8125	0.8173076923076923	0.825	0.8125	0.85	0.797752808988764	0.8125	0.7837837837837838	0.7252747252747253	0.8375	0.7875	0.7875	0.12087912087912088	0.85	0.85	0.7	0.7375	0.8080808080808081	0.8108108108108109
Health United States 2007 with chartbook on trends in the Health of Americans	0.7482993197278912	0.7555555555555555	0.7922077922077922	0.7922077922077922	0.8831168831168831	0.7922077922077922	0.8701298701298701	0.8311688311688312	0.7792207792207793	0.935064935064935	0.7777777777777778	0.8181818181818182	0.8181818181818182	0.7430555555555556	0.7792207792207793	0.7642276422764228	0.7956989247311828	0.7906976744186046	0.8311688311688312	0.7777777777777778	0.7532467532467533	0.7980769230769231	0.8441558441558441	0.8181818181818182	0.7922077922077922	0.7528089887640449	0.7792207792207793	0.7837837837837838	0.7362637362637363	0.7792207792207793	0.7922077922077922	0.7792207792207793	0.7472527472527473	0.8441558441558441	0.8961038961038961	0.7532467532467533	0.8311688311688312	0.797979797979798	0.8288288288288288
Opiaterelated Drug Misuse Deaths in Six States 2003	0.8095238095238095	0.8	0.8095238095238095	0.7647058823529411	0.803921568627451	0.7843137254901961	0.7843137254901961	0.7843137254901961	0.803921568627451	0.9215686274509803	0.8290598290598291	0.8333333333333334	0.8088235294117647	0.8055555555555556	0.8153846153846154	0.7723577235772358	0.8172043010752689	0.813953488372093	0.7254901960784313	0.7407407407407407	0.8095238095238095	0.7884615384615384	0.7945205479452054	0.9056603773584906	0.7333333333333333	0.7528089887640449	0.8135593220338984	0.8198198198198198	0.8021978021978022	0.8194444444444444	0.7894736842105263	0.4057971014492754	0.7802197802197802	0.8431372549019608	0.9019607843137255	0.7843137254901961	0.8055555555555556	0.7878787878787878	0.8468468468468469
Report on the Use of Health Information Technology to Enhance and Expand Health Care AntiFraud Activities	0.7142857142857143	0.7333333333333333	0.7714285714285715	0.7904761904761904	0.9142857142857143	0.819047619047619	0.8476190476190476	0.8571428571428571	0.780952380952381	0.9523809523809523	0.7692307692307693	0.6190476190476191	0.7238095238095238	0.7083333333333334	0.6952380952380952	0.7560975609756098	0.6476190476190476	0.6666666666666666	0.8666666666666667	0.8611111111111112	0.6285714285714286	0.780952380952381	0.5904761904761905	0.7714285714285715	0.7238095238095238	0.7428571428571429	0.7904761904761904	0.8108108108108109	0.8	0.6	0.7714285714285715	0.7619047619047619	0.7238095238095238	0.8666666666666667	0.8857142857142857	0.7142857142857143	0.7428571428571429	0.8095238095238095	0.9009009009009009
Electronic Prescribing Systems Making it safer to take your medicine	0.7755102040816326	0.7888888888888889	0.7794117647058824	0.7941176470588235	0.8823529411764706	0.8382352941176471	0.8529411764705882	0.7647058823529411	0.7647058823529411	0.9558823529411765	0.6410256410256411	0.8333333333333334	0.8088235294117647	0.7708333333333334	0.8088235294117647	0.7723577235772358	0.7849462365591398	0.8023255813953488	0.7941176470588235	0.7870370370370371	0.8235294117647058	0.7403846153846154	0.8493150684931506	0.8529411764705882	0.7866666666666666	0.6741573033707865	0.7941176470588235	0.7657657657657657	0.25274725274725274	0.8194444444444444	0.7941176470588235	0.8695652173913043	0.7362637362637363	0.8235294117647058	0.8529411764705882	0.7794117647058824	0.8055555555555556	0.7676767676767676	0.8018018018018018
Extrapolating Evidence of Health Information Technology Savings and Costs	0.6598639455782312	0.6666666666666666	0.7534246575342466	0.7534246575342466	0.8767123287671232	0.7671232876712328	0.8082191780821918	0.821917808219178	0.7123287671232876	0.9452054794520548	0.7863247863247863	0.5068493150684932	0.8082191780821918	0.6527777777777778	0.5342465753424658	0.7642276422764228	0.5483870967741935	0.5232558139534884	0.821917808219178	0.7962962962962963	0.4794520547945205	0.6634615384615384	0.0	0.8356164383561644	0.8	0.7415730337078652	0.8082191780821918	0.7207207207207207	0.7802197802197802	0.8082191780821918	0.7671232876712328	0.8767123287671232	0.7802197802197802	0.8493150684931506	0.8356164383561644	0.684931506849315	0.863013698630137	0.7474747474747475	0.8828828828828829
Gauging the Progress of the National Health Information Technology Initative Perspectives from the Field	0.2925170068027211	0.75	0.6826923076923077	0.7788461538461539	0.9134615384615384	0.8269230769230769	0.8365384615384616	0.8461538461538461	0.7692307692307693	0.9326923076923077	0.811965811965812	0.6153846153846154	0.7403846153846154	0.2777777777777778	0.5961538461538461	0.7642276422764228	0.6346153846153846	0.5961538461538461	0.8557692307692307	0.8240740740740741	0.5961538461538461	0.6923076923076923	0.6057692307692307	0.7980769230769231	0.7403846153846154	0.7884615384615384	0.7307692307692307	0.7297297297297297	0.7884615384615384	0.6923076923076923	0.7403846153846154	0.7788461538461539	0.7596153846153846	0.8557692307692307	0.9038461538461539	0.7692307692307693	0.7307692307692307	0.8173076923076923	0.9009009009009009
Health Information Technology Can HIT Lower Costs and Improve Quality	0.7551020408163265	0.7555555555555555	0.7391304347826086	0.855072463768116	0.8840579710144928	0.7971014492753623	0.8115942028985508	0.8115942028985508	0.8260869565217391	0.9130434782608695	0.7435897435897436	0.8333333333333334	0.8405797101449275	0.75	0.8260869565217391	0.7479674796747967	0.6344086021505376	0.7093023255813954	0.8840579710144928	0.8055555555555556	0.8260869565217391	0.7692307692307693	0.7671232876712328	0.7536231884057971	0.84	0.7640449438202247	0.7971014492753623	0.7477477477477478	0.7912087912087912	0.041666666666666664	0.7971014492753623	0.8985507246376812	0.8021978021978022	0.8695652173913043	0.855072463768116	0.7536231884057971	0.8055555555555556	0.7878787878787878	0.8288288288288288
Snapshot The State of Health Information Technology in California	0.6598639455782312	0.5222222222222223	0.7846153846153846	0.7692307692307693	0.8923076923076924	0.8	0.8	0.8153846153846154	0.6923076923076923	0.9384615384615385	0.7948717948717948	0.4722222222222222	0.8235294117647058	0.6527777777777778	0.3384615384615385	0.7967479674796748	0.5483870967741935	0.5348837209302325	0.8307692307692308	0.7962962962962963	0.4	0.6346153846153846	0.4383561643835616	0.8307692307692308	0.8266666666666667	0.7865168539325843	0.8	0.6936936936936937	0.7912087912087912	0.8055555555555556	0.7538461538461538	0.8695652173913043	0.7802197802197802	0.8461538461538461	0.8769230769230769	0.676923076923077	0.8194444444444444	0.7575757575757576	0.8468468468468469
The Chain Pharmacy Industry Profile 2003	0.8299319727891157	0.8111111111111111	0.746031746031746	0.926829268292683	0.9	0.8	0.675	0.85	0.825	0.9	0.8290598290598291	0.7638888888888888	0.8382352941176471	0.8263888888888888	0.8	0.8373983739837398	0.7849462365591398	0.813953488372093	0.85	0.8425925925925926	0.7301587301587301	0.8365384615384616	0.821917808219178	0.7547169811320755	0.7733333333333333	0.8314606741573034	0.4915254237288136	0.8198198198198198	0.8351648351648352	0.7916666666666666	0.8421052631578947	0.7971014492753623	0.8351648351648352	0.85	0.85	0.85	0.7777777777777778	0.8080808080808081	0.8648648648648649
The Diffusion of Healthcare Information Technology	0.7414965986394558	0.6111111111111112	0.7301587301587301	0.8	0.88	0.86	0.86	0.82	0.64	0.92	0.811965811965812	0.3055555555555556	0.8235294117647058	0.7361111111111112	0.5076923076923077	0.8048780487804879	0.5483870967741935	0.5116279069767442	0.78	0.8148148148148148	0.4603174603174603	0.7211538461538461	0.5616438356164384	0.8679245283018868	0.7333333333333333	0.7640449438202247	0.8135593220338984	0.7387387387387387	0.7472527472527473	0.7638888888888888	0.8070175438596491	0.7536231884057971	0.8241758241758241	0.8	0.84	0.64	0.8055555555555556	0.7878787878787878	0.8558558558558559
The State and Pattern of Health Information Technology Adoption	0.6598639455782312	0.5444444444444444	0.7936507936507936	0.7619047619047619	0.8888888888888888	0.8253968253968254	0.8253968253968254	0.8095238095238095	0.6825396825396826	0.9047619047619048	0.7948717948717948	0.3888888888888889	0.8529411764705882	0.6527777777777778	0.46153846153846156	0.7723577235772358	0.5483870967741935	0.5581395348837209	0.8412698412698413	0.7962962962962963	0.0	0.625	0.4794520547945205	0.7777777777777778	0.84	0.7865168539325843	0.7936507936507936	0.6756756756756757	0.7912087912087912	0.8194444444444444	0.6984126984126984	0.8260869565217391	0.7912087912087912	0.8412698412698413	0.873015873015873	0.6825396825396826	0.8333333333333334	0.7474747474747475	0.8288288288288288
12th Annual Government Contractor Industry Survey	0.8163265306122449	0.8111111111111111	0.7936507936507936	0.8367346938775511	0.8571428571428571	0.7755102040816326	0.8163265306122449	0.8367346938775511	0.8367346938775511	0.9183673469387755	0.8290598290598291	0.8055555555555556	0.8088235294117647	0.8125	0.8153846153846154	0.8211382113821138	0.7849462365591398	0.7906976744186046	0.7755102040816326	0.8240740740740741	0.7777777777777778	0.7980769230769231	0.821917808219178	0.07547169811320754	0.8	0.7865168539325843	0.6779661016949152	0.8108108108108109	0.8241758241758241	0.7361111111111112	0.8421052631578947	0.782608695652174	0.7912087912087912	0.7959183673469388	0.8367346938775511	0.7142857142857143	0.7916666666666666	0.7878787878787878	0.8468468468468469
Results from the 2006 National Survey on Drug Use and Health National Findings	0.7414965986394558	0.7	0.8076923076923077	0.7692307692307693	0.8717948717948718	0.782051282051282	0.8589743589743589	0.8076923076923077	0.782051282051282	0.9358974358974359	0.7606837606837606	0.8205128205128205	0.782051282051282	0.75	0.7692307692307693	0.7560975609756098	0.7956989247311828	0.8488372093023255	0.8461538461538461	0.7685185185185185	0.7948717948717948	0.7596153846153846	0.8076923076923077	0.8076923076923077	0.8333333333333334	0.797752808988764	0.8333333333333334	0.7567567567567568	0.8021978021978022	0.7948717948717948	0.7692307692307693	0.7564102564102564	0.7692307692307693	0.8461538461538461	0.8974358974358975	0.7564102564102564	0.8333333333333334	0.8181818181818182	0.8558558558558559
Small Business Size Standards	0.8707482993197279	0.8333333333333334	0.8412698412698413	0.7317073170731707	0.8620689655172413	0.7272727272727273	0.9310344827586207	0.8285714285714286	0.7714285714285715	0.9310344827586207	0.8632478632478633	0.8194444444444444	0.7941176470588235	0.875	0.8461538461538461	0.8617886178861789	0.8602150537634409	0.8488372093023255	0.8275862068965517	0.8611111111111112	0.8412698412698413	0.875	0.8082191780821918	0.8301886792452831	0.8133333333333334	0.8089887640449438	0.7796610169491526	0.8468468468468469	0.8241758241758241	0.8055555555555556	0.7543859649122807	0.8405797101449275	0.8351648351648352	0.8275862068965517	0.8275862068965517	0.8205128205128205	0.8055555555555556	0.8484848484848485	0.8918918918918919
Surescripts  The Nations EPrescription Network	0.8163265306122449	0.7666666666666667	0.7142857142857143	0.8478260869565217	0.8695652173913043	0.7608695652173914	0.8260869565217391	0.782608695652174	0.6956521739130435	0.9347826086956522	0.7948717948717948	0.7916666666666666	0.7647058823529411	0.8125	0.7230769230769231	0.8292682926829268	0.7956989247311828	0.7906976744186046	0.6739130434782609	0.7962962962962963	0.7936507936507936	0.7692307692307693	0.821917808219178	0.8867924528301887	0.7333333333333333	0.7752808988764045	0.7966101694915254	0.7837837837837838	0.7802197802197802	0.8055555555555556	0.7894736842105263	0.8115942028985508	0.8131868131868132	0.8478260869565217	0.8695652173913043	0.8478260869565217	0.7638888888888888	0.7474747474747475	0.8108108108108109
CCHIT Ambulatory Functionality 2007 Final Criteria	0.8095238095238095	0.7444444444444445	0.7936507936507936	0.88	0.88	0.84	0.82	0.86	0.84	0.92	0.8461538461538461	0.8611111111111112	0.7794117647058824	0.8055555555555556	0.8461538461538461	0.8130081300813008	0.7956989247311828	0.7209302325581395	0.8	0.8240740740740741	0.8253968253968254	0.8173076923076923	0.821917808219178	0.8301886792452831	0.8266666666666667	0.8089887640449438	0.8135593220338984	0.7927927927927928	0.8241758241758241	0.8194444444444444	0.8070175438596491	0.782608695652174	0.7912087912087912	0.8	0.88	0.78	0.7916666666666666	0.7575757575757576	0.8468468468468469
CCHIT Security Criteria	0.8979591836734694	0.8666666666666667	0.8571428571428571	0.8536585365853658	0.8695652173913043	0.8181818181818182	0.8928571428571429	0.8285714285714286	0.8	1.0	0.8974358974358975	0.8888888888888888	0.8382352941176471	0.8958333333333334	0.8461538461538461	0.8943089430894309	0.8494623655913979	0.7325581395348837	0.8461538461538461	0.8796296296296297	0.873015873015873	0.875	0.863013698630137	0.8490566037735849	0.8533333333333334	0.8651685393258427	0.8305084745762712	0.8468468468468469	0.8681318681318682	0.8472222222222222	0.8421052631578947	0.8405797101449275	0.8571428571428571	0.8695652173913043	0.8695652173913043	0.8461538461538461	0.875	0.8686868686868687	0.9009009009009009
HIPAA Security Guidance	0.9183673469387755	0.9	0.8412698412698413	0.8536585365853658	0.8695652173913043	0.7575757575757576	0.8214285714285714	0.8571428571428571	0.8	0.9615384615384616	0.905982905982906	0.875	0.8529411764705882	0.9166666666666666	0.8769230769230769	0.8861788617886179	0.8709677419354839	0.8488372093023255	0.8461538461538461	0.8981481481481481	0.8888888888888888	0.875	0.863013698630137	0.8301886792452831	0.88	0.8651685393258427	0.864406779661017	0.8558558558558559	0.8791208791208791	0.8611111111111112	0.8596491228070176	0.8260869565217391	0.8681318681318682	0.8260869565217391	0.9130434782608695	0.8205128205128205	0.875	0.8888888888888888	0.9099099099099099
Information Security Electronic Authentication Guideline	0.7891156462585034	0.7222222222222222	0.7777777777777778	0.8035714285714286	0.8928571428571429	0.8214285714285714	0.7857142857142857	0.8035714285714286	0.75	0.9285714285714286	0.7264957264957265	0.7638888888888888	0.7794117647058824	0.7847222222222222	0.676923076923077	0.7642276422764228	0.7634408602150538	0.7558139534883721	0.8214285714285714	0.7685185185185185	0.7936507936507936	0.7019230769230769	0.7945205479452054	0.8571428571428571	0.7466666666666667	0.7415730337078652	0.864406779661017	0.4954954954954955	0.7912087912087912	0.6805555555555556	0.8596491228070176	0.8115942028985508	0.7802197802197802	0.8035714285714286	0.8392857142857143	0.7678571428571429	0.6944444444444444	0.7070707070707071	0.8468468468468469
Physicians Experiences Using Commercial EPrescribing Systems	0.8299319727891157	0.8444444444444444	0.7936507936507936	0.7833333333333333	0.9	0.7666666666666667	0.8333333333333334	0.7166666666666667	0.7333333333333333	0.9333333333333333	0.7692307692307693	0.8055555555555556	0.7941176470588235	0.8333333333333334	0.8769230769230769	0.7804878048780488	0.8279569892473119	0.8023255813953488	0.8333333333333334	0.7962962962962963	0.8095238095238095	0.7980769230769231	0.7808219178082192	0.7833333333333333	0.72	0.7528089887640449	0.85	0.8108108108108109	0.7582417582417582	0.8472222222222222	0.8166666666666667	0.7971014492753623	0.7472527472527473	0.8666666666666667	0.8166666666666667	0.7666666666666667	0.8194444444444444	0.6363636363636364	0.8108108108108109
A Conceptual Framework for Evaluating Outpatient Electronic Prescribing Systems Based on their Functional Capabilities	0.7619047619047619	0.7542372881355932	0.7711864406779662	0.8135593220338984	0.9152542372881356	0.8220338983050848	0.8728813559322034	0.8389830508474576	0.8135593220338984	0.9576271186440678	0.6610169491525424	0.788135593220339	0.7542372881355932	0.7708333333333334	0.7796610169491526	0.7642276422764228	0.7288135593220338	0.7711864406779662	0.8728813559322034	0.788135593220339	0.7711864406779662	0.7796610169491526	0.7542372881355932	0.8220338983050848	0.7288135593220338	0.7288135593220338	0.788135593220339	0.7966101694915254	0.788135593220339	0.7711864406779662	0.788135593220339	0.7372881355932204	0.7542372881355932	0.8728813559322034	0.8983050847457628	0.788135593220339	0.7033898305084746	0.6271186440677966	0.864406779661017
Functional Characteristics of Commercial Ambulatory Electronic Prescribing Systems A Field Study	0.7687074829931972	0.84375	0.7395833333333334	0.78125	0.9166666666666666	0.8125	0.8229166666666666	0.8229166666666666	0.8229166666666666	0.9375	0.7606837606837606	0.78125	0.7291666666666666	0.7638888888888888	0.7395833333333334	0.7642276422764228	0.8229166666666666	0.8125	0.8645833333333334	0.8148148148148148	0.7395833333333334	0.7692307692307693	0.7395833333333334	0.8020833333333334	0.6354166666666666	0.7708333333333334	0.8020833333333334	0.8018018018018018	0.7604166666666666	0.8020833333333334	0.75	0.78125	0.8645833333333334	0.8645833333333334	0.875	0.7916666666666666	0.7395833333333334	0.030303030303030304	0.8468468468468469
