	46 California HealthCare Foundation, “Gauging the Progress of the National Health Information Technology Initiative: Perspectives from the Field.”	48 California HealthCare Foundation, Snapshot: The State of Health Information Technology in	The Proliferation and Consolidation of Word Processing Software:	53 Source: Office of Employment Statistics,	treated as	Hospital human-resource assistants:	58 Pharmacy technicians: $12.04	Service provider support/sales staff:	Service provider information clerks:	60 APPENDIX B: BIBLIOGRAPHY	Recommendations for Comparing Electronic Prescribing Systems: Results of An Expert Consensus Process,” Health Affairs,	The Diffusion and Value of Healthcare Information Technology, Rand Health,	National IndustrySpecific Occupational Employment and Wage Estimates.	California HealthCare Foundation, “Gauging the Progress of the National Health Information Technology Initiative: Perspectives from the Field.”	Foundation, Snapshot: The State of Health Information Technology in	Disease Control and Prevention, “Electronic Medical Record Use by OfficeBased Physicians and Their Practices: United States	Certification Commission for Healthcare Information Technology, CCHIT Ambulatory Functionality	Certification Commission for Healthcare Information Technology, CCHIT Security Criteria	Drug Abuse Warning Network,	National Estimates of Drug-Related Emergency Department Visits DAWN Series D-29, DHHS Publication No. (SMA) 07-4256,	The State and Pattern of Health Information Technology Adoption,	Foundation of Research and Education, American Health Information Management Association. “Report on the	Extrapolating Evidence of Health Information Technology Savings and Costs,	LLP, 12th Annual Government Contractor Industry Survey,	Characteristics of Office-Based Physicians and their Practices: United States,	Electronic medical record use by office-based physicians and their practices: United States,	of Chain Drug Stores, “The Chain Pharmacy Industry Profile	of Standards and Technology. Special Publication 800-63-1, Information Security: Electronic Authentication Guideline.	Electronic Prescribing Systems: Making it safer to take your medicine?” Research Highlights,	Health Information Technology: Can HIT Lower Costs and Improve Quality?”	Substance Abuse and Mental Health Services Administration.	62 The DAWN Report – Opiate-related Drug Misuse Deaths in Six States,	Report – Emergency Department Visits Involving Non-medical Use of Selected Pharmaceuticals.	of Labor Statistics,	Economic Census	Department of Health and Human Services.	Enforcement Administration, Economic Impact of the Electronic Orders Rule,	Functional Characteristics of Commercial Ambulatory Electronic Prescribing Systems: A Field Study,”	accessed 1/18/2008. www.nacds.org/wmspage.cfm?parm1=507, accessed 1/18/2008. www.surescripts.com/get-connected.aspx?ptype=physician,
Opiaterelated Drug Misuse Deaths in Six States 2003	0.5	0.3877551020408163	0.39534883720930236	0.34883720930232553	0.5172413793103448	0.368421052631579	0.46341463414634143	0.368421052631579	0.4	0.7948717948717949	0.39622641509433965	0.3913043478260869	0.34782608695652173	0.4814814814814815	0.34782608695652173	0.4339622641509434	0.4782608695652174	0.40909090909090906	0.44999999999999996	0.38983050847457623	0.4222222222222223	0.4	0.375	0.44680851063829785	0.4285714285714286	0.36363636363636365	0.3877551020408163	0.37037037037037035	0.4117647058823529	0.46153846153846156	0.34883720930232553	0.23076923076923073	0.40740740740740744	0.5882352941176471	0.6363636363636364	0.3023255813953488	0.36363636363636365	0.43999999999999995	0.33333333333333337
Report on the Use of Health Information Technology to Enhance and Expand Health Care AntiFraud Activities	0.21875	0.1578947368421053	0.33333333333333337	0.33333333333333337	0.6216216216216216	0.30434782608695654	0.5102040816326531	0.34782608695652173	0.33333333333333337	0.7446808510638299	0.180327868852459	0.18518518518518523	0.2592592592592593	0.19354838709677424	0.14814814814814814	0.3114754098360656	0.14814814814814814	0.1923076923076923	0.5	0.34328358208955223	0.2075471698113207	0.1724137931034483	0.1071428571428571	0.3090909090909091	0.36	0.23076923076923073	0.26315789473684215	0.25806451612903225	0.288135593220339	0.19999999999999996	0.2941176470588235	0.3666666666666667	0.22580645161290325	0.5714285714285714	0.46341463414634143	0.2549019607843137	0.1923076923076923	0.24137931034482762	0.3214285714285714
Electronic Prescribing Systems Making it safer to take your medicine	0.368421052631579	0.28	0.2727272727272727	0.2272727272727273	0.5333333333333333	0.33333333333333337	0.4285714285714286	0.28205128205128205	0.2195121951219512	0.85	0.2222222222222222	0.276595744680851	0.19148936170212771	0.34545454545454546	0.23404255319148937	0.2962962962962963	0.276595744680851	0.24444444444444446	0.36585365853658536	0.2666666666666667	0.26086956521739135	0.2941176470588235	0.26530612244897955	0.33333333333333337	0.3023255813953488	0.15555555555555556	0.24	0.23636363636363633	0.11538461538461542	0.3584905660377359	0.2272727272727273	0.4339622641509434	0.2727272727272727	0.37142857142857144	0.4117647058823529	0.2727272727272727	0.28888888888888886	0.17647058823529416	0.34693877551020413
Extrapolating Evidence of Health Information Technology Savings and Costs	0.23333333333333328	0.13207547169811318	0.23404255319148937	0.276595744680851	0.5757575757575757	0.2857142857142857	0.4666666666666667	0.2857142857142857	0.2272727272727273	0.813953488372093	0.19298245614035092	0.19999999999999996	0.19999999999999996	0.2068965517241379	0.12	0.29824561403508776	0.19999999999999996	0.125	0.5454545454545454	0.3650793650793651	0.1428571428571429	0.2592592592592593	0.0	0.2941176470588235	0.30434782608695654	0.20833333333333337	0.2075471698113207	0.24137931034482762	0.2727272727272727	0.1785714285714286	0.276595744680851	0.3928571428571429	0.24137931034482762	0.4736842105263158	0.45945945945945943	0.19148936170212771	0.25	0.2592592592592593	0.3076923076923077
Gauging the Progress of the National Health Information Technology Initative Perspectives from the Field	0.11475409836065575	0.14814814814814814	0.29166666666666663	0.33333333333333337	0.5882352941176471	0.2558139534883721	0.4347826086956522	0.3023255813953488	0.28888888888888886	0.7272727272727273	0.27586206896551724	0.17647058823529416	0.21568627450980393	0.0847457627118644	0.0980392156862745	0.3793103448275862	0.17647058823529416	0.18367346938775508	0.4666666666666667	0.34375	0.16000000000000003	0.23636363636363633	0.16981132075471694	0.2692307692307693	0.36170212765957444	0.26530612244897955	0.2222222222222222	0.22033898305084743	0.2857142857142857	0.19298245614035092	0.29166666666666663	0.4035087719298246	0.22033898305084743	0.5384615384615384	0.5263157894736843	0.20833333333333337	0.26530612244897955	0.2727272727272727	0.3207547169811321
Health Information Technology Can HIT Lower Costs and Improve Quality	0.21311475409836067	0.14814814814814814	0.25	0.33333333333333337	0.5882352941176471	0.2558139534883721	0.4782608695652174	0.3023255813953488	0.28888888888888886	0.8181818181818181	0.27586206896551724	0.17647058823529416	0.2549019607843137	0.18644067796610164	0.13725490196078427	0.3793103448275862	0.17647058823529416	0.1428571428571429	0.4666666666666667	0.40625	0.19999999999999996	0.2727272727272727	0.13207547169811318	0.2692307692307693	0.36170212765957444	0.26530612244897955	0.2222222222222222	0.288135593220339	0.3214285714285714	0.052631578947368474	0.29166666666666663	0.4385964912280702	0.288135593220339	0.4871794871794872	0.4736842105263158	0.20833333333333337	0.26530612244897955	0.3090909090909091	0.28301886792452835
Snapshot The State of Health Information Technology in California	0.25	0.10204081632653061	0.2093023255813954	0.2558139534883721	0.5862068965517242	0.21052631578947367	0.41463414634146345	0.3157894736842105	0.25	0.8461538461538461	0.24528301886792447	0.17391304347826086	0.21739130434782605	0.2222222222222222	0.08695652173913049	0.3584905660377359	0.13043478260869568	0.045454545454545414	0.5	0.38983050847457623	0.11111111111111116	0.28	0.08333333333333337	0.3191489361702128	0.2857142857142857	0.2272727272727273	0.18367346938775508	0.2592592592592593	0.2941176470588235	0.1923076923076923	0.3023255813953488	0.42307692307692313	0.2962962962962963	0.4117647058823529	0.4545454545454546	0.2093023255813954	0.2727272727272727	0.28	0.33333333333333337
The Chain Pharmacy Industry Profile 2003	0.27586206896551724	0.21568627450980393	0.24444444444444446	0.28888888888888886	0.5483870967741935	0.30000000000000004	0.3023255813953488	0.35	0.33333333333333337	0.8048780487804879	0.3090909090909091	0.20833333333333337	0.29166666666666663	0.25	0.20833333333333337	0.34545454545454546	0.20833333333333337	0.17391304347826086	0.5238095238095238	0.3770491803278688	0.23404255319148937	0.34615384615384615	0.24	0.22448979591836737	0.2727272727272727	0.26086956521739135	0.17647058823529416	0.2142857142857143	0.3207547169811321	0.2592592592592593	0.33333333333333337	0.4444444444444444	0.3214285714285714	0.5	0.4285714285714286	0.28888888888888886	0.26086956521739135	0.2692307692307693	0.28
The Diffusion of Healthcare Information Technology	0.2727272727272727	0.16666666666666663	0.2857142857142857	0.2857142857142857	0.5714285714285714	0.18918918918918914	0.4	0.3513513513513513	0.33333333333333337	0.7894736842105263	0.3076923076923077	0.06666666666666665	0.24444444444444446	0.24528301886792447	0.11111111111111116	0.3846153846153846	0.11111111111111116	0.06976744186046513	0.3846153846153846	0.3793103448275862	0.18181818181818177	0.26530612244897955	0.19148936170212771	0.34782608695652173	0.36585365853658536	0.2558139534883721	0.16666666666666663	0.28301886792452835	0.28	0.21568627450980393	0.2857142857142857	0.4117647058823529	0.28301886792452835	0.4545454545454546	0.4375	0.19047619047619047	0.2558139534883721	0.30612244897959184	0.3191489361702128
The State and Pattern of Health Information Technology Adoption	0.26315789473684215	0.16000000000000003	0.2272727272727273	0.31818181818181823	0.6	0.28205128205128205	0.4285714285714286	0.33333333333333337	0.2682926829268293	0.75	0.2222222222222222	0.19148936170212771	0.23404255319148937	0.23636363636363633	0.1063829787234043	0.37037037037037035	0.19148936170212771	0.15555555555555556	0.5121951219512195	0.33333333333333337	0.0	0.2549019607843137	0.1428571428571429	0.29166666666666663	0.3023255813953488	0.24444444444444446	0.19999999999999996	0.19999999999999996	0.2692307692307693	0.24528301886792447	0.2727272727272727	0.39622641509433965	0.2727272727272727	0.48571428571428577	0.5882352941176471	0.2272727272727273	0.24444444444444446	0.2549019607843137	0.34693877551020413
12th Annual Government Contractor Industry Survey	0.33333333333333337	0.28	0.36363636363636365	0.36363636363636365	0.5333333333333333	0.33333333333333337	0.38095238095238093	0.33333333333333337	0.31707317073170727	0.8	0.33333333333333337	0.3191489361702128	0.3191489361702128	0.3090909090909091	0.276595744680851	0.40740740740740744	0.276595744680851	0.24444444444444446	0.5121951219512195	0.43333333333333335	0.30434782608695654	0.37254901960784315	0.26530612244897955	0.04166666666666663	0.34883720930232553	0.28888888888888886	0.28	0.2727272727272727	0.3846153846153846	0.3207547169811321	0.2272727272727273	0.4339622641509434	0.34545454545454546	0.5428571428571429	0.47058823529411764	0.2727272727272727	0.28888888888888886	0.2941176470588235	0.34693877551020413
Results from the 2006 National Survey on Drug Use and Health National Findings	0.29032258064516125	0.2727272727272727	0.3877551020408163	0.3877551020408163	0.6	0.36363636363636365	0.44680851063829785	0.36363636363636365	0.34782608695652173	0.6888888888888889	0.3220338983050848	0.23076923076923073	0.3076923076923077	0.30000000000000004	0.23076923076923073	0.35593220338983056	0.3076923076923077	0.28	0.4347826086956522	0.2615384615384615	0.33333333333333337	0.3214285714285714	0.2962962962962963	0.3584905660377359	0.375	0.28	0.3090909090909091	0.33333333333333337	0.29824561403508776	0.3448275862068966	0.30612244897959184	0.31034482758620685	0.23333333333333328	0.55	0.5897435897435898	0.22448979591836737	0.36	0.3214285714285714	0.33333333333333337
Small Business Size Standards	0.5102040816326531	0.38095238095238093	0.38888888888888884	0.33333333333333337	0.36363636363636365	0.29032258064516125	0.47058823529411764	0.29032258064516125	0.2727272727272727	0.875	0.4347826086956522	0.3846153846153846	0.33333333333333337	0.4893617021276596	0.33333333333333337	0.4782608695652174	0.4358974358974359	0.3513513513513513	0.4545454545454546	0.5	0.42105263157894735	0.4418604651162791	0.41463414634146345	0.4	0.37142857142857144	0.29729729729729726	0.38095238095238093	0.44680851063829785	0.40909090909090906	0.4666666666666667	0.2777777777777778	0.4666666666666667	0.44680851063829785	0.4814814814814815	0.46153846153846156	0.2777777777777778	0.3513513513513513	0.39534883720930236	0.46341463414634143
Surescripts  The Nations EPrescription Network	0.40740740740740744	0.36170212765957444	0.2682926829268293	0.31707317073170727	0.5555555555555556	0.2777777777777778	0.4358974358974359	0.33333333333333337	0.3157894736842105	0.7837837837837838	0.37254901960784315	0.40909090909090906	0.31818181818181823	0.3846153846153846	0.31818181818181823	0.4117647058823529	0.40909090909090906	0.33333333333333337	0.3157894736842105	0.4385964912280702	0.34883720930232553	0.41666666666666663	0.34782608695652173	0.4222222222222223	0.35	0.2857142857142857	0.36170212765957444	0.34615384615384615	0.34693877551020413	0.4	0.36585365853658536	0.4	0.34615384615384615	0.4375	0.4193548387096774	0.31707317073170727	0.33333333333333337	0.375	0.3913043478260869
CCHIT Ambulatory Functionality 2007 Final Criteria	0.368421052631579	0.28	0.4545454545454546	0.40909090909090906	0.6666666666666667	0.33333333333333337	0.4285714285714286	0.4871794871794872	0.46341463414634143	0.75	0.37037037037037035	0.3191489361702128	0.4042553191489362	0.34545454545454546	0.276595744680851	0.4814814814814815	0.14893617021276595	0.24444444444444446	0.46341463414634143	0.3666666666666667	0.30434782608695654	0.37254901960784315	0.34693877551020413	0.33333333333333337	0.4883720930232558	0.37777777777777777	0.36	0.34545454545454546	0.42307692307692313	0.3584905660377359	0.31818181818181823	0.5094339622641509	0.49090909090909096	0.5428571428571429	0.47058823529411764	0.40909090909090906	0.37777777777777777	0.33333333333333337	0.3877551020408163
CCHIT Security Criteria	0.45833333333333337	0.31707317073170727	0.4285714285714286	0.4285714285714286	0.5238095238095238	0.4	0.5151515151515151	0.4	0.5	0.8064516129032258	0.4666666666666667	0.368421052631579	0.42105263157894735	0.4347826086956522	0.3157894736842105	0.5111111111111111	0.3157894736842105	0.2222222222222222	0.5625	0.5686274509803921	0.3513513513513513	0.5238095238095238	0.35	0.4358974358974359	0.4117647058823529	0.4444444444444444	0.36585365853658536	0.4782608695652174	0.4883720930232558	0.40909090909090906	0.4285714285714286	0.5909090909090908	0.5217391304347826	0.46153846153846156	0.52	0.4285714285714286	0.5	0.47619047619047616	0.55
HIPAA Security Guidance	0.4117647058823529	0.36363636363636365	0.42105263157894735	0.42105263157894735	0.5	0.3939393939393939	0.4444444444444444	0.3939393939393939	0.4285714285714286	0.6470588235294117	0.375	0.36585365853658536	0.36585365853658536	0.3877551020408163	0.31707317073170727	0.5	0.36585365853658536	0.33333333333333337	0.48571428571428577	0.4444444444444444	0.25	0.4222222222222223	0.39534883720930236	0.2857142857142857	0.3513513513513513	0.3846153846153846	0.36363636363636365	0.34693877551020413	0.3913043478260869	0.44680851063829785	0.3157894736842105	0.5319148936170213	0.4285714285714286	0.5172413793103448	0.5714285714285714	0.368421052631579	0.3846153846153846	0.37777777777777777	0.4883720930232558
Information Security Electronic Authentication Guideline	0.34545454545454546	0.25	0.33333333333333337	0.23809523809523814	0.5714285714285714	0.29729729729729726	0.44999999999999996	0.29729729729729726	0.28205128205128205	0.736842105263158	0.2692307692307693	0.24444444444444446	0.19999999999999996	0.3207547169811321	0.19999999999999996	0.3846153846153846	0.24444444444444446	0.2093023255813954	0.4871794871794872	0.3793103448275862	0.18181818181818177	0.26530612244897955	0.23404255319148937	0.21739130434782605	0.31707317073170727	0.16279069767441856	0.25	0.2075471698113207	0.28	0.33333333333333337	0.23809523809523814	0.4509803921568627	0.28301886792452835	0.4545454545454546	0.4375	0.23809523809523814	0.16279069767441856	0.22448979591836737	0.36170212765957444
Physicians Experiences Using Commercial EPrescribing Systems	0.368421052631579	0.28	0.2727272727272727	0.2727272727272727	0.6	0.28205128205128205	0.38095238095238093	0.3846153846153846	0.31707317073170727	0.85	0.18518518518518523	0.36170212765957444	0.276595744680851	0.34545454545454546	0.276595744680851	0.2962962962962963	0.276595744680851	0.24444444444444446	0.46341463414634143	0.3666666666666667	0.26086956521739135	0.37254901960784315	0.18367346938775508	0.33333333333333337	0.2558139534883721	0.15555555555555556	0.28	0.2727272727272727	0.2692307692307693	0.3584905660377359	0.31818181818181823	0.4339622641509434	0.2727272727272727	0.4285714285714286	0.4117647058823529	0.31818181818181823	0.33333333333333337	0.21568627450980393	0.34693877551020413
A Conceptual Framework for Evaluating Outpatient Electronic Prescribing Systems Based on their Functional Capabilities	0.29230769230769227	0.24137931034482762	0.2692307692307693	0.2692307692307693	0.631578947368421	0.36170212765957444	0.48	0.3191489361702128	0.26530612244897955	0.75	0.19354838709677424	0.34545454545454546	0.23636363636363633	0.2698412698412699	0.23636363636363633	0.25806451612903225	0.23636363636363633	0.28301886792452835	0.3877551020408163	0.32352941176470584	0.2592592592592593	0.288135593220339	0.22807017543859653	0.2857142857142857	0.2549019607843137	0.2075471698113207	0.27586206896551724	0.23809523809523814	0.23333333333333328	0.2786885245901639	0.2692307692307693	0.4098360655737705	0.2698412698412699	0.4883720930232558	0.47619047619047616	0.2692307692307693	0.24528301886792447	0.15254237288135597	0.33333333333333337
Functional Characteristics of Commercial Ambulatory Electronic Prescribing Systems A Field Study	0.288135593220339	0.1923076923076923	0.21739130434782605	0.26086956521739135	0.5625	0.31707317073170727	0.40909090909090906	0.31707317073170727	0.3023255813953488	0.8095238095238095	0.1428571428571429	0.26530612244897955	0.22448979591836737	0.26315789473684215	0.18367346938775508	0.2857142857142857	0.1428571428571429	0.19148936170212771	0.39534883720930236	0.29032258064516125	0.20833333333333337	0.24528301886792447	0.21568627450980393	0.24	0.24444444444444446	0.14893617021276595	0.1923076923076923	0.19298245614035092	0.18518518518518523	0.3090909090909091	0.21739130434782605	0.4181818181818182	0.26315789473684215	0.4054054054054054	0.38888888888888884	0.26086956521739135	0.23404255319148937	0.05660377358490565	0.33333333333333337
