ria,cite,jac,jac_match,jac_check,lev,lev_match,lev_check,partial,partial_match,partial_check,sor,sor_match,sor_chck,source,type
1218-AC20,Section 192665 of 29 CFR also issued under section 126 of the Superfund Amendments and Reauthorization Act of 1986 as amended reprinted at 29 USCA,0.378378378,Final Report Data and Analysis in Support of an Economic Analysis of Proposed Changes to the OSHA Hazard Communication Standard,0,0.705479452,Summary report on the evaluation of the accuracy of first aid information on material safety data sheets,0,0.48,Hazard level perceptions of warning components and configurations,0,0.233333333,Final Report Data and Analysis in Support of an Economic Analysis of Proposed Changes to the OSHA Hazard Communication Standard,0,pc,
2060-AP50,Traffic Density as a Surrogate Measure of Environmental Exposures in Studies of Air Pollution Health Effects LongTerm Mortality in a Cohort of US Veterans,0,Traffic Density as a Surrogate Measure of Environmental Exposures in Studies of Air Pollution Health Effects Long Term Mortality in a Cohort of US Veterans ,1,0.012820513,Traffic Density as a Surrogate Measure of Environmental Exposures in Studies of Air Pollution Health Effects Long Term Mortality in a Cohort of US Veterans ,1,0.01,Traffic Density as a Surrogate Measure of Environmental Exposures in Studies of Air Pollution Health Effects Long Term Mortality in a Cohort of US Veterans ,1,0,Traffic Density as a Surrogate Measure of Environmental Exposures in Studies of Air Pollution Health Effects Long Term Mortality in a Cohort of US Veterans ,1,pc,
2070-AJ55,Economic Census Industry Series Tile and Terrazzo Contractors ECO2231238340 Available at httpwwwcensusgovprodec02ec0223i238340pdf Accessed 11182006,0.315789474,Childcare and Early Education Arrangements of Infants Toddlers and Preschoolers 2001,0,0.619047619,2002 Economic Census Industry Series Tile and Terrazzo Contractors,1,0.08,2002 Economic Census Industry Series Tile and Terrazzo Contractors,1,0.1875,Childcare and Early Education Arrangements of Infants Toddlers and Preschoolers 2001,0,pc,
0596-AC74,Western National Forests A Cohesive Strategy is Needed to Address Catastrophic Wildland Fire Threats,0,Western National Forests A Cohesive Strategy is Needed to Address Catastrophic Wildland Fire Threats,1,0,Western National Forests A Cohesive Strategy is Needed to Address Catastrophic Wildland Fire Threats,1,0,Western National Forests A Cohesive Strategy is Needed to Address Catastrophic Wildland Fire Threats,1,0,Western National Forests A Cohesive Strategy is Needed to Address Catastrophic Wildland Fire Threats,1,pc,Government Report
2060-AO47,Environmental Protection Agency Region 10 EPA Agricultural Burning,0.344827586,Effects of Environmental Regulations on Manufacturing Plant Births Evidence from a Propensity Score Matching Estimator,0,0.545454545,Environmental Protection the Economy  and Jobs National and Regional Analyses,0,0.41,Environmental Protection the Economy  and Jobs National and Regional Analyses,0,0.208333333,Effects of Environmental Regulations on Manufacturing Plant Births Evidence from a Propensity Score Matching Estimator,0,pc,
0938-AP15,Kidney  urinary tract infections wo MMCC ,0.47826087,Congressional Review Act,0,0.788461538,Section 202 of Unfunded Manadates Reform Act of 1995,0,0.23,Section 7,0,0.314285714,Congressional Review Act,0,pc,
1218-AC01,Poured Concrete foundation and struct ,0.380952381,Census of Fatal Occupational Injuries,0,0.716981132,Crane Related Fatalities in the Construction Industry,0,0.51,Crane Related Fatalities in the Construction Industry,0,0.235294118,Census of Fatal Occupational Injuries,0,pc,
2060-AP50,Acute Effects of Ambient Inhalable Particles in Asthmatic and Nonasthmatic Children,0,Acute Effects of Ambient Inhalable Particles in Asthmatic and Nonasthmatic Children,1,0,Acute Effects of Ambient Inhalable Particles in Asthmatic and Nonasthmatic Children,1,0,Acute Effects of Ambient Inhalable Particles in Asthmatic and Nonasthmatic Children,1,0,Acute Effects of Ambient Inhalable Particles in Asthmatic and Nonasthmatic Children,1,pc,Scholarly Journal
1218-AB80,Grantmaking and Giving Services,0.4,Portable Dock Leveling Devices Safety Performance and Testing,0,0.677419355,Grant of Variance,0,0.36,Data on Fixed Ladders and Cost Analysis Update in Support of OSHA’s rulemaking on Walking and Working Surfaces Submitted to OSHA,0,0.25,Portable Dock Leveling Devices Safety Performance and Testing,0,pc,
2060-AO15,Department of the Interior US Geological Survey 2008b Minerals Commodity Summaries Cement,0.263157895,Regulatory Impact Analysis 2008 National Ambient Air Quality Standards for Groundlevel Ozone Chapter 6,0,0.606741573,Minerals Commodity Summaries Cement,1,0,Minerals Commodity Summaries Cement,1,0.151515152,Regulatory Impact Analysis 2008 National Ambient Air Quality Standards for Groundlevel Ozone Chapter 6,0,pc,
2040-AE91,Water Quality Index Application in the Kansas River Basin US Environmental Protection Agency Region 7,0.21875,Water Quality Index Application in the Kansas River Basin,1,0.435643564,Water Quality Index Application in the Kansas River Basin,1,0,Water Quality Index Application in the Kansas River Basin,1,0.122807018,Water Quality Index Application in the Kansas River Basin,1,pc,
0938-AP15,Chronic posttraumatic headache ,0.47826087,Table of Small Business Size Standards,0,0.774193548,Congressional Review Act,0,0.65,Section 202 of Unfunded Manadates Reform Act of 1995,0,0.314285714,Table of Small Business Size Standards,0,pc,
2060-AP50,Final Regulatory Impact Analysis RIA for the NO2 National Ambient Air Quality Standards NAAQS,0.205882353,Risk and Exposure Assessment for Review of the Secondary National Ambient Air Quality Standards for Oxides of Nitrogen and Oxides of Sulfur Final,0,0.462365591,Regulatory Impact Analysis for the Final Clean Air Interstate Rule,0,0,NO2 National Ambient Air Quality Standards ,0,0.114754098,Risk and Exposure Assessment for Review of the Secondary National Ambient Air Quality Standards for Oxides of Nitrogen and Oxides of Sulfur Final,0,pc,
1210-ZA14,The Behavioral Economics of Retirement Savings Behavior AARP Public Policy Institute White Paper,0.272727273,Company Stock and Pension Plan Diversification in The Pension Challenge Risk Transfers and Retirement Income Security,0,0.427083333,The Behavioral Economics of Retirement Savings Behavior,1,0,The Behavioral Economics of Retirement Savings Behavior,1,0.157894737,Company Stock and Pension Plan Diversification in The Pension Challenge Risk Transfers and Retirement Income Security,0,pc,
2060-AO47,A preliminary assessment of the Montreal process indicators of air pollution for the United States‚Äù Environmental Monitoring and Assessment,0.258064516,Effects of Environmental Regulations on Manufacturing Plant Births Evidence from a Propensity Score Matching Estimator,0,0.716312057,Environmental Protection the Economy  and Jobs National and Regional Analyses,0,0.39,Environmental  Industries Fact Sheet,0,0.148148148,Effects of Environmental Regulations on Manufacturing Plant Births Evidence from a Propensity Score Matching Estimator,0,pc,
0938-AR25,Katherine Baicker and The Oregon Health Study Group quotThe Oregon Health Insurance Experiment Evidence from the First Yearquot,0.205882353,The Oregon Health Insurance Experiment Evidence from the First Year,1,0.472440945,The Oregon Health Insurance Experiment Evidence from the First Year,1,0,The Oregon Health Insurance Experiment Evidence from the First Year,1,0.114754098,The Oregon Health Insurance Experiment Evidence from the First Year,1,pc,
2060-AP36,reducing one ton of PM25 or PM25 precursor emissions from a specified source,0.35483871,Expanded Expert Judgment Assessment of the ConcentrationResponse Relationship Between PM25 Exposure and Mortality,0,0.723684211,Guidelines for Preparing  Economic Analyses,0,0.53,Final Regulatory Analysis  Control of Emissions from Nonroad Diesel Engines,0,0.215686275,Expanded Expert Judgment Assessment of the ConcentrationResponse Relationship Between PM25 Exposure and Mortality,0,pc,
1205-AB61,and I issued under 8 USC,0.571428571,2002 County Business Patterns ,0,0.827586207,Comite´ de Apoyo a los Trabajadores Agricolas CATA v Solis,0,0.61,2002 County Business Patterns ,0,0.4,2002 County Business Patterns ,0,pc,
0938-AP15,Other disorders of soft tissue ,0.523809524,Table of Small Business Size Standards,0,0.774193548,Section 1886 of Act,0,0.58,Section 1886 of Act,0,0.35483871,Table of Small Business Size Standards,0,pc,
0938-AP15,Abnormal glandular Papanicolaou smear of vagina ,0.44,Table of Small Business Size Standards,0,0.791666667,Regulatory Flexibility Act of 1980,0,0.62,Regulatory Flexibility Act of 1980,0,0.282051282,Table of Small Business Size Standards,0,pc,
2070-AJ57,Early Education Council,0.3,Economic Census Industry Series Residential Remodelers ,0,0.6875,The State of the Nations Housing,0,0.27,Child Care and Early Education Arrangements of Infants Toddlers and Preschoolers 2001 ,0,0.176470588,Economic Census Industry Series Residential Remodelers ,0,pc,
1625-AA32,Damages to tourism electric industry fishing boating other recreation for limited geographic area  12500000 2005 Ben Grumbles AA Office of Water USEPA Testimony Before WATER RESOURCES AND INFRASTRUCTURE COMMITTEE,0.285714286,Ships Ballast Water and the Introduction of Exotic Organisms into the San Francisco Estuary Current Status of the Problem and Options for Management,0,0.764150943,Summary of data and analyses indicating that exotic species have impaired the beneficial uses of certain California waters,0,0.45,Shipping and Ports,0,0.166666667,Ships Ballast Water and the Introduction of Exotic Organisms into the San Francisco Estuary Current Status of the Problem and Options for Management,0,pc,
2060-AP36,Table of Small Business Size Standards Matched to North American Industry Classification System Codes Effective,0.068965517,Table of Small Business Size Standards  Matched to North American Industry Classification System Codes,1,0.099099099,Table of Small Business Size Standards  Matched to North American Industry Classification System Codes,1,0.01,Table of Small Business Size Standards  Matched to North American Industry Classification System Codes,1,0.035714286,Table of Small Business Size Standards  Matched to North American Industry Classification System Codes,1,pc,
2060-AO81,Structural Uncertainty and the Statistical Life in the Economics of Catastrophic Climate Change‚Äù Working,0.266666667,Estimates of the contributions of biogenic and anthropogenic hydrocarbons to sceondary organic aerosol at the southeastern US locations,0,0.679245283,Economic Analysis of Land Use in Global Climate Change Policy,0,0.45,Economic Analysis of Land Use in Global Climate Change Policy,0,0.153846154,Estimates of the contributions of biogenic and anthropogenic hydrocarbons to sceondary organic aerosol at the southeastern US locations,0,pc,
2060-AP90,Memorandum from Eastern Research Group to Amy Hambrick US Environmental Protection Agency,0.228571429,Consultation of EPAs Particulate Matter National Ambient Air Quality Standards Scope and Methods Plan for Health Risk and Exposure Assesment,0,0.71641791,An empirical Bayes approach to combining and comparing estimates of the value of a statistical life for environmental policy analysis ,0,0.53,An empirical Bayes approach to combining and comparing estimates of the value of a statistical life for environmental policy analysis ,0,0.129032258,Consultation of EPAs Particulate Matter National Ambient Air Quality Standards Scope and Methods Plan for Health Risk and Exposure Assesment,0,pc,
2060-AO15,Department of the Interior US Geological Survey,0.321428571,Historical Statistics for Mineral and Material Commodities in the United States Cement Supply and Demand Statistics,0,0.70212766,Cement Plant Operating Cost Study,0,0.54,Expanded Expert Judgment Assessment of the ConcentrationResponse Relationship Between PM25 Exposure and Mortality,0,0.191489362,Historical Statistics for Mineral and Material Commodities in the United States Cement Supply and Demand Statistics,0,pc,
2502-AI61,Discrimination Resulting From Overage Practices‚Äù,0.208333333,Discrimination Resulting from Overage Practices,1,0.08,Discrimination Resulting from Overage Practices,1,0.03,Discrimination Resulting from Overage Practices,1,0.11627907,Discrimination Resulting from Overage Practices,1,pc,
2502-AI61,Comments from the Chairman of Stewart Information Services Corporation regarding ‚ÄúProposed Rule on Real Estate Settlement Procedures Act RESPA Simplifying and Improving the Process of Obtaining Mortgages To Reduce Settlement Costs to Consumers Docket No FR4727P01 67 Fed,0.266666667,Comments from the Senior Managing Director of Countrywide regarding Proposed Rule on Real Estate Settlement Procedures Act Simplifying and Improving the Process of Obtaining Mortgages To Reduce Settlement Costs to Consumers,0,0.147058824,Comments from the Chairman of the Stewart Information Services Corporation regarding Proposed Rule on Real Estate Settlement Procedures Act Simplifying and Improving the Process of Obtaining Mortgages To Reduce Settlement Costs to Consumers,1,0.04,Comments from the Chairman of the Stewart Information Services Corporation regarding Proposed Rule on Real Estate Settlement Procedures Act Simplifying and Improving the Process of Obtaining Mortgages To Reduce Settlement Costs to Consumers,1,0.153846154,Comments from the Senior Managing Director of Countrywide regarding Proposed Rule on Real Estate Settlement Procedures Act Simplifying and Improving the Process of Obtaining Mortgages To Reduce Settlement Costs to Consumers,0,pc,
2060-AP90,Regulatory Impact Analysis of the Proposed Revisions to the National Ambient Air Quality Standards for Lead Office of Air Quality Planning and Standards Research Triangle Park,0.09375,Regulatory Impact Analysis of the Proposed Revisions to the National Ambient Air Quality Standards for Lead,1,0.388571429,Regulatory Impact Analysis of the Proposed Revisions to the National Ambient Air Quality Standards for Lead,1,0,Regulatory Impact Analysis of the Proposed Revisions to the National Ambient Air Quality Standards for Lead,1,0.049180328,Regulatory Impact Analysis of the Proposed Revisions to the National Ambient Air Quality Standards for Lead,1,pc,
0910-AG41,Economic Census Accommodation and Food Services Subject Series available at httpwwwcensusgov prodec02ec0272sllstpdf,0.193548387,Establishment and Firm Size 2002 Economic Census Accommodation and Food Services Subject Series,0,0.504347826,2002 Economic Census Accommodation and Food Services Subject Series,1,0.08,2002 Economic Census Accommodation and Food Services Subject Series,1,0.107142857,Establishment and Firm Size 2002 Economic Census Accommodation and Food Services Subject Series,0,pc,
0910-AG56,Separating what We Eat from where,0.37037037,Separating what We Eat from where Measuring the Effect of Food Away from Home on Diet,1,0.611764706,Separating what We Eat from where Measuring the Effect of Food Away from Home on Diet,1,0,Separating what We Eat from where Measuring the Effect of Food Away from Home on Diet,1,0.227272727,Separating what We Eat from where Measuring the Effect of Food Away from Home on Diet,1,pc,
2060-AN83,The Developmental Consequences of Low to Moderate Prenatal and Postnatal Lead Exposure Intellectual Attainment in the Cincinnati Lead Study Cohort Following School Entry,0,The Developmental Consequences of Low to Moderate Prenatal and Postnatal Lead Exposure Intellectual Attainment in the Cincinnati Lead Study Cohort Following School Entry,1,0,The Developmental Consequences of Low to Moderate Prenatal and Postnatal Lead Exposure Intellectual Attainment in the Cincinnati Lead Study Cohort Following School Entry,1,0,The Developmental Consequences of Low to Moderate Prenatal and Postnatal Lead Exposure Intellectual Attainment in the Cincinnati Lead Study Cohort Following School Entry,1,0,The Developmental Consequences of Low to Moderate Prenatal and Postnatal Lead Exposure Intellectual Attainment in the Cincinnati Lead Study Cohort Following School Entry,1,pc,Scholarly Journal
1218-AC01,In addition 2‚Äì35 applies VerDate Aug31gt2005,0.470588235,Daniel Int’l Corp v Donovan 705 F2d 382 388 10th Cir 1983,0,0.768115942,Crane Study Confirms Downward Trend Underlines Importance of Training,0,0.62,IMIS Fatality Reports,0,0.307692308,Daniel Int’l Corp v Donovan 705 F2d 382 388 10th Cir 1983,0,pc,
2060-AP50,Circulation,0.470588235,Current Participation Patterns in Marine Recreation,0,0.533333333,OMB Circular A4,0,0.19,Air Pollution and Hospital Admissions for Diseases of the Circulatory System in Three US Metropolitan Areas,0,0.307692308,Current Participation Patterns in Marine Recreation,0,pc,
0938-AP15,Cardiac arrhythmia  conduction disorders wo,0.454545455,Congressional Review Act,0,0.790697674,IPPS Market Basket Increase,0,0.34,Section 7,0,0.294117647,Congressional Review Act,0,pc,
2060-AO81,Streamflow and Nutrient Fluxes of the MississippiAtchafalaya River Basin and Subbasins for the Period of Record Through,0.212121212,Forest Residues Bundling ProjectNew Technology for Residue Removal,0,0.425806452,Nutrient Fluxes of the MississippiAtchafalaya River Basin and Subbasins for the Period of Record Through 2005 US Geological Survey OpenFile Report 20071080,1,0.13,Nutrient Fluxes of the MississippiAtchafalaya River Basin and Subbasins for the Period of Record Through 2005 US Geological Survey OpenFile Report 20071080,1,0.118644068,Forest Residues Bundling ProjectNew Technology for Residue Removal,0,pc,
2060-AO81,Geographic Perspective on the Current Biomass Resource Availability in the United States‚Äù 70 pp,0.151515152,Geographic Perspective on the Current Biomass Resource Availability in the United States,1,0.092783505,Geographic Perspective on the Current Biomass Resource Availability in the United States,1,0,Geographic Perspective on the Current Biomass Resource Availability in the United States,1,0.081967213,Geographic Perspective on the Current Biomass Resource Availability in the United States,1,pc,
2060-AP52,The benefits of pollution control the case of ozone,0.181818182,The benefits of pollution control the case of ozone and US agriculture,1,0.271428571,The benefits of pollution control the case of ozone and US agriculture,1,0,The benefits of pollution control the case of ozone and US agriculture,1,0.1,The benefits of pollution control the case of ozone and US agriculture,1,pc,
2040-AE95,North American Steel Industry Recent Market Developments Future Prospects and Key Challenges,0,North American Steel Industry Recent Market Developments Future Prospects and Key Challenges,1,0,North American Steel Industry Recent Market Developments Future Prospects and Key Challenges,1,0,North American Steel Industry Recent Market Developments Future Prospects and Key Challenges,1,0,North American Steel Industry Recent Market Developments Future Prospects and Key Challenges,1,pc,
0910-AG57,The Impact of Obesity on,0.1,The Impact of Obesity on Wages,1,0.2,The Impact of Obesity on Wages,1,0,The Impact of Obesity on Wages,1,0.052631579,The Impact of Obesity on Wages,1,pc,
0938-AP15,Papanicolaou smear of anus with atypical squamous cells of undetermined significance ASC‚ÄìUS,0.5,Section 601b of Social Security Amendments of 1983,0,0.774193548,Tax Equity and Fiscal Responsibility Act,0,0.56,Section 7,0,0.333333333,Section 601b of Social Security Amendments of 1983,0,pc,
2060-AO81,Review of the National Ambient Air Quality Standards for Ozone Policy Assessment,0.066666667,Review of the National Ambient Air Quality Standards for Ozone Policy Assessment of Scientific and Technical Information,1,0.333333333,Review of the National Ambient Air Quality Standards for Ozone Policy Assessment of Scientific and Technical Information,1,0,Review of the National Ambient Air Quality Standards for Ozone Policy Assessment of Scientific and Technical Information,1,0.034482759,Review of the National Ambient Air Quality Standards for Ozone Policy Assessment of Scientific and Technical Information,1,pc,
1652-AA53,Forecasts,0.6,Categories of Airports,0,0.772727273,Categories of Airports,0,0.56,Economic Values for FAA Investment and Regulatory Decisions A Guide,0,0.428571429,Categories of Airports,0,pc,
2070-AJ55,Education Statistics NCES 2006b Common Core of Data Public ElementarySecondary School Universe Survey Data 20042005‚Äù Available at,0.171428571,Common Core of Data Public ElementarySecondary School Universe Survey Data 20042005,1,0.366412214,Common Core of Data Public ElementarySecondary School Universe Survey Data 20042005,1,0,Common Core of Data Public ElementarySecondary School Universe Survey Data 20042005,1,0.09375,Common Core of Data Public ElementarySecondary School Universe Survey Data 20042005,1,pc,
2060-AO47,Association of particulate matter components with daily mortality and morbidity in urban populations‚Äù Res Rep Health Eff Inst Aug95572,0.358974359,The Impacts of Environmental Regulations on Industrial Activity Evidence from the 1970 and 1977 Clean Air Act Amendments and the Census of Manufactures,0,0.735294118,Environmental Protection the Economy  and Jobs National and Regional Analyses,0,0.55,Effects of Air Quality Regulation,0,0.21875,The Impacts of Environmental Regulations on Industrial Activity Evidence from the 1970 and 1977 Clean Air Act Amendments and the Census of Manufactures,0,pc,
2060-AO15,DB Million Dollar Directory,0,DB Million Dollar Directory,1,0,DB Million Dollar Directory,1,0,DB Million Dollar Directory,1,0,DB Million Dollar Directory,1,pc,Non-Government Report
2060-AO81,Approach for Developing,0.3,Alcohol teratogenesis mechanisms of damage and strategies for intervention,0,0.695652174,Acerage report,0,0,Approach for Developing 2002 and Future Emission Summaries Memorandum from Madeleine Strum to Docket,1,0.176470588,Alcohol teratogenesis mechanisms of damage and strategies for intervention,0,pc,
2060-AP52,Air Pollution and Acute Respiratory Morbidity An Observational Study of Multiple Pollutants,0,Air Pollution and Acute Respiratory Morbidity An Observational Study of Multiple Pollutants,1,0,Air Pollution and Acute Respiratory Morbidity An Observational Study of Multiple Pollutants,1,0,Air Pollution and Acute Respiratory Morbidity An Observational Study of Multiple Pollutants,1,0,Air Pollution and Acute Respiratory Morbidity An Observational Study of Multiple Pollutants,1,pc,Scholarly Journal
0910-AG41,Department of Commerce Bureau of Economic Analysis 2010a National Economic Accounts Currentdollar and ‚Äò‚Äòreal‚Äô‚Äô GDP available at httpwwwbeagov nationalindexhtm 69562,0.377777778,2007 Census of Agriculture United States Summary and State Data Volume 1 Geographic Area Series Part 51,0,0.691860465,National Economic Accounts Currentdollar and ‘‘real’’ GDP,0,0.15,National Economic Accounts Currentdollar and ‘‘real’’ GDP,0,0.232876712,2007 Census of Agriculture United States Summary and State Data Volume 1 Geographic Area Series Part 51,0,pc,
2502-AI61,NewHome Incentives Who Benefits More ‚Äì,0.310344828,NewHome Incentives Who Benefits More  Buyer or Builders Affiliate,1,0.430769231,NewHome Incentives Who Benefits More  Buyer or Builders Affiliate,1,0.08,NewHome Incentives Who Benefits More  Buyer or Builders Affiliate,1,0.183673469,NewHome Incentives Who Benefits More  Buyer or Builders Affiliate,1,pc,
2040-AE95,Soft Drink Industry,0,Soft Drink Industry,1,0,Soft Drink Industry,1,0,Soft Drink Industry,1,0,Soft Drink Industry,1,pc,Non-Government Report
1117-AA61,Drug Abuse Warning Network,0.48,Surescripts  The Nations EPrescription Network,0,0.673913043,Surescripts  The Nations EPrescription Network,0,0.5,Opiaterelated Drug Misuse Deaths in Six States 2003,0,0.315789474,Surescripts  The Nations EPrescription Network,0,pc,
2060-AQ58,Regulatory Impact Analysis National Emission Standards for Hazardous Air Pollutants from the Portland Cement Manufacturing Industry Office of Air Quality Planning and Standards Research Triangle Park,0.117647059,Regulatory Impact Analysis National Emission Standards for Hazardous Air Pollutants from the Portland Cement Manufacturing Industry,1,0.341708543,Regulatory Impact Analysis National Emission Standards for Hazardous Air Pollutants from the Portland Cement Manufacturing Industry,1,0,Regulatory Impact Analysis National Emission Standards for Hazardous Air Pollutants from the Portland Cement Manufacturing Industry,1,0.0625,Regulatory Impact Analysis National Emission Standards for Hazardous Air Pollutants from the Portland Cement Manufacturing Industry,1,pc,
2120-AJ58,previously called Federal Aviation Regulation FAR Pilot deviations also take place when the North American Aerospace Defense Command NORAD Air Defense Identification Zone ADIZ tolerance is neglected Starting with 1987 pilot deviations have been documented by air traffic and flight standards on FAA Form 802017 Preliminary Pilot Deviation Report and FAA Form 802018 Investigation of Pilot Deviation Report The results are then coded into the Pilot Deviation System PDS database The FAA uses the PDS database to monitor the number of,0.380952381,Principles and Guidelines for Duty and Rest Scheduling in Commercial Aviation,0,0.789473684,A description of the Chi Square goodness of fit test can be found in any introductory statistics text A comprehensive discussion of the test with references can be found online at,0,0.55,Principles and Guidelines for Duty and Rest Scheduling in Commercial Aviation,0,0.235294118,Principles and Guidelines for Duty and Rest Scheduling in Commercial Aviation,0,pc
2060-AO81,Urban tree residues Results of the first national inventory Final Report,0.095238095,Urban tree residues Results of the first national inventory,1,0.180555556,Urban tree residues Results of the first national inventory,1,0,Urban tree residues Results of the first national inventory,1,0.05,Urban tree residues Results of the first national inventory,1,pc
2070-AJ57,Small Business Size Standards matched to North American Industry Classification System‚Äù Available at,0.166666667,Table of Small Business Size Standards matched to North American Industry Classification System,1,0.156862745,Small Business Size Standards matched to North American Industry Classification System,1,0,Small Business Size Standards matched to North American Industry Classification System,1,0.090909091,Table of Small Business Size Standards matched to North American Industry Classification System,1,pc
0938-AP15,Papanicolaou smear of anus with atypical squamous cells cannot exclude high grade squamous intraepithelial lesion ASC‚ÄìH,0.513513514,Section 601b of Social Security Amendments of 1983,0,0.801652893,Tax Equity and Fiscal Responsibility Act,0,0.55,Congressional Review Act,0,0.345454545,Section 601b of Social Security Amendments of 1983,0,pc
0910-AG56,Trends in QualityAdjusted LifeYears Lost Contributed by Smoking and Obesity‚Äù,0.41025641,ObesityRelated QualityAdjusted Life Years Lost in the US from 19932008,0,0.576923077,ObesityRelated QualityAdjusted Life Years Lost in the US from 19932008,0,0.4,ObesityRelated QualityAdjusted Life Years Lost in the US from 19932008,0,0.258064516,ObesityRelated QualityAdjusted Life Years Lost in the US from 19932008,0,pc
2060-AO15,Simplified Flow Sheet of Clinker and Cement Manufacture 22 22 Labor Costs per Metric Ton of Cement,0.35483871,Historical Statistics for Mineral and Material Commodities in the United States Cement Supply and Demand Statistics,0,0.653061224,Cement and Concrete Basics History  Manufacture of Portland Cement,0,0.34,nan,0,0.215686275,Historical Statistics for Mineral and Material Commodities in the United States Cement Supply and Demand Statistics,0,pc
0910-AG41,Approved Tobacco Manufacturers and CigaretteRYO Brands‚Äô‚Äô Utah State Tax Commission Publication 51 11012010 available at httptaxutahgov formspubspub51pdf,0.307692308,Utah Approved Tobacco Manufacturers and CigaretteRYO Brands,1,0.685897436,Utah Approved Tobacco Manufacturers and CigaretteRYO Brands,1,0.09,Utah Approved Tobacco Manufacturers and CigaretteRYO Brands,1,0.181818182,Utah Approved Tobacco Manufacturers and CigaretteRYO Brands,1,pc
