	Letter to Hon. Nancy Pelosi.	States as Policy Laboratories: Emulating Success in the Children’s Health Insurance Program”	Active Purchasing for Health Exchanges: An Analysis of Options:	and Elizabeth McGylnn(2010) Establishing State Health Insurance Exchanges.	Health Reform in Massachusetts An Update As of fall	Citations Actuarial Research Corporation. &quot;Reinsurance attachment point estimates.&quot;	The Value of Health Insurance: Few of the Uninsured Have Adequate Resources to Pay Potential Hospital Bills.	Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:	Independent Report on the Healthy NY Program for Calendar Year	Medicare & Medicaid Services. &quot;Announcement of Calendar Year (CY)	Employer Health Benefits,	Does major illness cause financial catastrophe?&quot;	Cost and Funding Considerations for a Statewide All-Payer Claims Database (APCD). .&quot;	Katherine Baicker, and The Oregon Health Study Group. &quot;The Oregon Health Insurance Experiment: Evidence from the First Year.&quot;	Generosity and adjusted premiums in job-based insurance: Hawaii is up, Wyoming is down.&quot;	Patient Protection and Affordable Care Act (PPACA): Long Term Costs for Gvoernments, Employers, Families and Providers.&quot; Staff Working Paper	Race and insurance status as risk factors for trauma mortality.&quot;	Care without coverage: too little, too late:	The impact of health insurance on health.&quot;	of Health Care Finance and Policy. &quot;2009 Annual Report Health Safety Net.&quot;	All-Payer Claims Databases. (Robert Woods Johnson Foundation.	Office of External Affairs and Beneficiary Services, Unpublished. &quot;FY	Office of the Inspector General. Medicaid Managed Care Encounter Data: Collection and Use.	Reinsurance: How States Can Make Health Coverage More Affordable for Employers and Workers: Commonwealth Fund,	Healthy New York: Making Insurance More Affordable for LowIncome Workers: The Commonwealth Fund.,	Massachusetts Health Care Reform—Near-Universal Coverage at What Cost?&quot;
Care without coverage too little too late	0.4193548387096774	0.40909090909090906	0.33333333333333337	0.47619047619047616	0.4054054054054054	0.2941176470588235	0.4222222222222223	0.5238095238095238	0.45945945945945943	0.3513513513513513	0.4545454545454546	0.3529411764705882	0.4	0.4693877551020408	0.42105263157894735	0.44680851063829785	0.4117647058823529	0.0	0.33333333333333337	0.4418604651162791	0.4358974358974359	0.4545454545454546	0.35	0.36170212765957444	0.4042553191489362	0.34883720930232553
Employer Health Benefits 2010 Annual Survey	0.41463414634146345	0.37037037037037035	0.22448979591836737	0.3076923076923077	0.276595744680851	0.31818181818181823	0.3090909090909091	0.2692307692307693	0.4042553191489362	0.3191489361702128	0.16279069767441856	0.31818181818181823	0.36	0.288135593220339	0.41666666666666663	0.33333333333333337	0.36363636363636365	0.44999999999999996	0.3023255813953488	0.28301886792452835	0.3877551020408163	0.2592592592592593	0.4	0.26315789473684215	0.4035087719298246	0.39622641509433965
FY 2010 SHIP Basic Grant Funding	0.4736842105263158	0.4117647058823529	0.4782608695652174	0.26530612244897955	0.5	0.5609756097560976	0.42307692307692313	0.5102040816326531	0.5	0.4545454545454546	0.55	0.5609756097560976	0.44680851063829785	0.3571428571428571	0.4222222222222223	0.4444444444444444	0.5121951219512195	0.5675675675675675	0.55	0.4	0.5217391304347826	0.4509803921568627	0.44680851063829785	0.4814814814814815	0.4444444444444444	0.56
Health New York Making Insurance More Affordable for LowIncome Workers	0.36363636363636365	0.29824561403508776	0.34615384615384615	0.34545454545454546	0.24	0.36170212765957444	0.3448275862068966	0.34545454545454546	0.31999999999999995	0.28	0.3913043478260869	0.36170212765957444	0.3207547169811321	0.32258064516129037	0.2941176470588235	0.30000000000000004	0.3191489361702128	0.39534883720930236	0.34782608695652173	0.3928571428571429	0.34615384615384615	0.368421052631579	0.3207547169811321	0.19999999999999996	0.06666666666666665	0.2857142857142857
Letter to the Honorable Evan Bayh An Analysis of Health Insurance Premiums Under the Patient Protection and Affordable Care Act 	0.31818181818181823	0.19298245614035092	0.23076923076923073	0.34545454545454546	0.24	0.3191489361702128	0.2068965517241379	0.23636363636363633	0.31999999999999995	0.28	0.26086956521739135	0.36170212765957444	0.28301886792452835	0.29032258064516125	0.37254901960784315	0.23333333333333328	0.3191489361702128	0.39534883720930236	0.34782608695652173	0.3214285714285714	0.2692307692307693	0.22807017543859653	0.28301886792452835	0.23333333333333328	0.23333333333333328	0.3214285714285714
Patient Protection and Affordable Care Act PPACA Long Term Costs for Governments Employers Families and Providers	0.34883720930232553	0.2857142857142857	0.2549019607843137	0.40740740740740744	0.34693877551020413	0.34782608695652173	0.29824561403508776	0.2222222222222222	0.34693877551020413	0.30612244897959184	0.33333333333333337	0.3913043478260869	0.23076923076923073	0.2786885245901639	0.31999999999999995	0.0847457627118644	0.34782608695652173	0.4285714285714286	0.33333333333333337	0.34545454545454546	0.2941176470588235	0.2857142857142857	0.3076923076923077	0.22033898305084743	0.2542372881355932	0.4181818181818182
Reinsurance How States Can Make Health Coverage More Affordable for Employers and Workers	0.44680851063829785	0.2666666666666667	0.23636363636363633	0.31034482758620685	0.2075471698113207	0.28	0.2786885245901639	0.27586206896551724	0.3207547169811321	0.24528301886792447	0.30612244897959184	0.36	0.25	0.2615384615384615	0.2592592592592593	0.17460317460317465	0.28	0.34782608695652173	0.34693877551020413	0.288135593220339	0.2727272727272727	0.2666666666666667	0.2857142857142857	0.015873015873015928	0.17460317460317465	0.2542372881355932
Generosity and adjusted premiums in jobbased insurance Hawaii is up Wyoming is down	0.368421052631579	0.33333333333333337	0.34782608695652173	0.34693877551020413	0.31818181818181823	0.36585365853658536	0.3846153846153846	0.3877551020408163	0.40909090909090906	0.40909090909090906	0.35	0.31707317073170727	0.3191489361702128	0.3571428571428571	0.022222222222222254	0.2962962962962963	0.31707317073170727	0.4054054054054054	0.35	0.43999999999999995	0.34782608695652173	0.4117647058823529	0.36170212765957444	0.2592592592592593	0.2962962962962963	0.4
The Oregon Health Insurance Experiment Evidence from the First Year	0.4418604651162791	0.3214285714285714	0.17647058823529416	0.33333333333333337	0.26530612244897955	0.34782608695652173	0.26315789473684215	0.2962962962962963	0.30612244897959184	0.30612244897959184	0.28888888888888886	0.30434782608695654	0.3846153846153846	0.11475409836065575	0.36	0.288135593220339	0.34782608695652173	0.38095238095238093	0.24444444444444446	0.38181818181818183	0.4117647058823529	0.2142857142857143	0.23076923076923073	0.2542372881355932	0.2542372881355932	0.34545454545454546
Emergency Department Utilization After the Implementation of Massachusetts Health Reform	0.39534883720930236	0.3214285714285714	0.21568627450980393	0.2962962962962963	0.1428571428571429	0.26086956521739135	0.26315789473684215	0.2592592592592593	0.30612244897959184	0.34693877551020413	0.24444444444444446	0.26086956521739135	0.34615384615384615	0.3114754098360656	0.36	0.35593220338983056	0.30434782608695654	0.4285714285714286	0.28888888888888886	0.34545454545454546	0.33333333333333337	0.3214285714285714	0.1923076923076923	0.22033898305084743	0.288135593220339	0.2727272727272727
Massachusetts Health Care Reform  NearUniversal Coverage at What Cost	0.35	0.3584905660377359	0.29166666666666663	0.4117647058823529	0.17391304347826086	0.2558139534883721	0.33333333333333337	0.37254901960784315	0.30434782608695654	0.26086956521739135	0.33333333333333337	0.3023255813953488	0.3877551020408163	0.3793103448275862	0.36170212765957444	0.3571428571428571	0.3023255813953488	0.28205128205128205	0.2857142857142857	0.34615384615384615	0.33333333333333337	0.39622641509433965	0.26530612244897955	0.2142857142857143	0.25	0.07692307692307687
Race and insurance status as risk factors for trauma mortality	0.2941176470588235	0.36170212765957444	0.33333333333333337	0.4222222222222223	0.19999999999999996	0.2432432432432432	0.33333333333333337	0.33333333333333337	0.35	0.25	0.2777777777777778	0.2432432432432432	0.3023255813953488	0.34615384615384615	0.31707317073170727	0.31999999999999995	0.027027027027026973	0.3939393939393939	0.2222222222222222	0.34782608695652173	0.2857142857142857	0.36170212765957444	0.34883720930232553	0.28	0.31999999999999995	0.34782608695652173
Does major illness cause financial catastrophe	0.3529411764705882	0.4042553191489362	0.2857142857142857	0.4666666666666667	0.19999999999999996	0.18918918918918914	0.375	0.33333333333333337	0.4	0.30000000000000004	0.2222222222222222	0.027027027027026973	0.34883720930232553	0.3846153846153846	0.31707317073170727	0.4	0.2432432432432432	0.33333333333333337	0.11111111111111116	0.3913043478260869	0.33333333333333337	0.36170212765957444	0.2558139534883721	0.36	0.4	0.34782608695652173
The impact of health insurance on health	0.33333333333333337	0.3913043478260869	0.2682926829268293	0.4545454545454546	0.17948717948717952	0.16666666666666663	0.3191489361702128	0.2727272727272727	0.3846153846153846	0.28205128205128205	0.19999999999999996	0.11111111111111116	0.38095238095238093	0.33333333333333337	0.35	0.34693877551020413	0.2222222222222222	0.3125	0.02857142857142858	0.37777777777777777	0.36585365853658536	0.34782608695652173	0.2857142857142857	0.34693877551020413	0.34693877551020413	0.33333333333333337
