	Division of Regulations Legislation and Interpretation US Department of Labor Wage and Hour Division 200 Constitution Avenue NW Room S– 81197 Federal Register 	Costs with Overtime Work in US	Does the Statutory Overtime Premium Discourage Long Workweeks’’ Industrial and Labor Relations Review 563 530– 81221	Census Bureau Center for Economic Studies Business Dynamics Statistics Firm Age by Firm Size Available at httpwwwcescensusgov indexphpbdsbdsdatabaselist Accessed	National Population Projections Table 2 Projections of the Population by Selected Age Groups and Sex for the United States	Occupational Outlook Handbook 2010–11 Edition Home Health Aides and Personal and Home Care Aides on the Internet at httpwwwbls	81244 Federal Register 	The authority citation for part 552 continues to read as follows Authority 29 USC 213a15 b21 88 stat 62 Sec 29b of the Fair Labor Standards Act Amendments of
Understanding Medicaid Home and Community Services A Primer	0.5581395348837209	0.5357142857142857	0.6	0.4571428571428572	0.47058823529411764	0.5526315789473684	0.7	0.5384615384615384
A Data Book Healthcare Spending and the Medicare Program	0.6222222222222222	0.6333333333333333	0.6	0.4571428571428572	0.5142857142857142	0.5135135135135135	0.7	0.6097560975609756
Occupational Outlook Handbook 201011 Edition	0.6511627906976745	0.7666666666666666	0.627906976744186	0.6486486486486487	0.6285714285714286	0.40625	0.7037037037037037	0.641025641025641
Federal Register 2011 p 5481	0.5853658536585367	0.8064516129032258	0.627906976744186	0.6842105263157895	0.6666666666666667	0.6578947368421053	0.1578947368421053	0.6052631578947368
Requirements for MedicaidFunded Personal Care Service Attendants	0.5348837209302326	0.6	0.6086956521739131	0.4285714285714286	0.5277777777777778	0.5641025641025641	0.6206896551724138	0.5128205128205128
Job Perceptions and Intent to Leave Among Direct Care Workers Evidence From the Better Jobs Better Care Demonstrations	0.5217391304347826	0.5757575757575757	0.5319148936170213	0.3783783783783784	0.5853658536585367	0.475	0.7142857142857143	0.5681818181818181
The Effects of Overtime Pay Regulation on Worker Compensation	0.5957446808510638	0.5	0.5111111111111111	0.43243243243243246	0.4864864864864865	0.4871794871794872	0.696969696969697	0.5476190476190477
Organizing home care Lowwaged workers in the welfare state	0.6666666666666667	0.5	0.5476190476190477	0.47058823529411764	0.5714285714285714	0.5277777777777778	0.6296296296296297	0.5526315789473684
The impact of overtime and long work hours on occupational injuries and illnesses new evidence from the United States	0.5777777777777777	0.4642857142857143	0.5555555555555556	0.4	0.36363636363636365	0.5384615384615384	0.6774193548387097	0.4473684210526315
The association between continuity of care and outcomes a systematic and critical review	0.6363636363636364	0.5555555555555556	0.5476190476190477	0.375	0.4375	0.5277777777777778	0.6785714285714286	0.4285714285714286
Effects of extended work shifts and shift work on patient safety productivity and employee health	0.6521739130434783	0.5357142857142857	0.5681818181818181	0.3125	0.47058823529411764	0.4722222222222222	0.7	0.5
Quits and job changes among home care workers in Maine The role of wages hours and benefits	0.6595744680851063	0.6	0.5777777777777777	0.4722222222222222	0.4411764705882353	0.5263157894736843	0.6666666666666667	0.5128205128205128
Does the Statutory Overtime Premium Discourage Long Workweeks	0.6304347826086957	0.3846153846153846	0.4	0.4722222222222222	0.5675675675675675	0.5641025641025641	0.75	0.5853658536585367
The Structure of Labor Costs with Overtime Work in US Jobs	0.5869565217391304	0.3076923076923077	0.5333333333333333	0.5	0.5526315789473684	0.55	0.8	0.46153846153846156
The labor market for home care workers Demand supply and institutional barriers	0.6222222222222222	0.5862068965517242	0.5348837209302326	0.36363636363636365	0.4242424242424242	0.4722222222222222	0.7	0.41666666666666663
Psychosocial factors contributing to occupational injuries among direct care workers	0.6304347826086957	0.6	0.5116279069767442	0.38235294117647056	0.34375	0.4444444444444444	0.6666666666666667	0.4736842105263158
