	Association of American Railroads (AAR), before U.S. House of Representatives Subcommittee on Railroads,	Car Performance Standards NPRM - RIA NTSB, “Derailment of Canadian Pacific Railway Freight Train 292-16 and Subsequent Release of Anhydrous Ammonia Near	Sign Safety Pact, Traffic World	Car Performance Standards NPRM - RIA “Economic Analysis of Federal Regulations Under Executive Order 12866.” http://www.whitehouse.gov/OMB/inforeg/riaguide.html,	Highway Business Report Fewer Customers,” Augusta Chronicle,	Statement to the docket by the Dow Chemical Company,	Alternative Technologies to Railroad Tank Car Placarding.” Texas Transportation Institute,	Car Performance Standards NPRM - RIA AEI-Brookings Joint Center for Regulatory Studies, “Interests of Amici Curiae: American Trucking Associations,	Abbreviated Injury Scale _____________________________________________________________________________ The Abbreviated Injury Scale (AIS) was &quot;[f]irst published in 1971 under the joint sponsorship of the American Medical Association; the Society of Automotive Engineers; and the Association for the Advancement of Automotive Medicine (formerly the American Association for Automotive Medicine).&quot; The AIS was originally developed for impact injury assessment.	(Produced by the University of California, San Francisco and The John Hopkins University for the National Highway Traffic Satey Administation and the Centers for Disease Control)	Railroad Injury: Causes, Costs, and Comparisons with other Transport Modes,” Journal of Safety Research,
NTSB Breif Accident Report RAB9807	0.5333333333333333	0.6136363636363636	0.5555555555555556	0.6382978723404256	0.6666666666666667	0.6774193548387097	0.6388888888888888	0.5789473684210527	0.5789473684210527	0.625	0.6216216216216216
Report of Railroad Accident Collision of Norfolk Southern Frieght Train 192 with Standing Norfolk Southern Local Train P22 with Subsequent Hazardous Materials Release	0.4871794871794872	0.3111111111111111	0.5789473684210527	0.4509803921568627	0.5	0.5641025641025641	0.47619047619047616	0.4666666666666667	0.39534883720930236	0.33333333333333337	0.5
Report on the Graniteville SC derailment	0.42307692307692313	0.6511627906976745	0.56	0.6136363636363636	0.5483870967741935	0.41666666666666663	0.5161290322580645	0.6216216216216216	0.5833333333333333	0.5555555555555556	0.5
Report on the Minot ND derailment	0.5185185185185186	0.6097560975609756	0.6	0.6363636363636364	0.5806451612903225	0.45833333333333337	0.59375	0.6111111111111112	0.6111111111111112	0.5833333333333333	0.53125
FRA Public Hearing	0.5	0.6341463414634146	0.5833333333333333	0.6888888888888889	0.5172413793103448	0.7142857142857143	0.5806451612903225	0.6388888888888888	0.6756756756756757	0.5714285714285714	0.7222222222222222
Public meeting statement by Manager Fleet Engineer American Railcar Industries	0.4666666666666667	0.46341463414634143	0.5357142857142857	0.5	0.48484848484848486	0.6129032258064516	0.5	0.4	0.4444444444444444	0.5	0.5277777777777778
Public meeting statement by Manager Technical Research	0.5172413793103448	0.5	0.48	0.6	0.4838709677419355	0.5714285714285714	0.5	0.48571428571428577	0.48571428571428577	0.5	0.48484848484848486
Statement of Edward Hamberger President and CEO Association of American Railroads before US House of Representatives Subcommittee on Railroads	0.2068965517241379	0.5	0.53125	0.4	0.4444444444444444	0.5151515151515151	0.45945945945945943	0.44999999999999996	0.41025641025641024	0.29729729729729726	0.4871794871794872
Statement to the docket by the Dow Chemical Company	0.5172413793103448	0.5714285714285714	0.5384615384615384	0.6304347826086957	0.53125	0.0	0.5882352941176471	0.6052631578947368	0.5277777777777778	0.4117647058823529	0.48484848484848486
Testimony of Fred Morscheck from the McGregor Company	0.5625	0.5348837209302326	0.4814814814814815	0.5652173913043479	0.48484848484848486	0.4642857142857143	0.5	0.4864864864864865	0.4864864864864865	0.41666666666666663	0.4411764705882353
Testimony of Joe Giesler from Terra Industries 	0.5	0.5952380952380952	0.45833333333333337	0.6521739130434783	0.6060606060606061	0.6071428571428572	0.5757575757575757	0.47058823529411764	0.5142857142857142	0.5277777777777778	0.4193548387096774
Testimony of Wolf Anderson	0.5	0.6341463414634146	0.38095238095238093	0.6888888888888889	0.6129032258064516	0.6153846153846154	0.625	0.5588235294117647	0.5588235294117647	0.5714285714285714	0.5625
Transcript of May 31  June 1 2006 public meeting in docket no FRA 25169	0.4864864864864865	0.4130434782608695	0.5833333333333333	0.5098039215686274	0.5365853658536586	0.6052631578947368	0.5476190476190477	0.4651162790697675	0.4285714285714286	0.4418604651162791	0.5
BenefitCost Analysis of Using Type 105 Tank Cars Instead of Type 111 Tank Cars to Ship EnvironmentallySensitive Chemicals	0.4571428571428572	0.4893617021276596	0.5151515151515151	0.42553191489361697	0.5128205128205128	0.5	0.4473684210526315	0.4	0.3589743589743589	0.375	0.475
Interests of Amici Curiae American Trucking Association Inc et al v Carol Browner Administrator of the Environmental Protection Agency et al	0.5	0.41860465116279066	0.4666666666666667	0.4222222222222223	0.4285714285714286	0.5	0.3529411764705882	0.3055555555555556	0.3513513513513513	0.32432432432432434	0.43243243243243246
Norfolk Southern Railway Annual Report	0.4642857142857143	0.5714285714285714	0.5384615384615384	0.5681818181818181	0.4838709677419355	0.46153846153846156	0.5454545454545454	0.5277777777777778	0.5277777777777778	0.4571428571428572	0.48484848484848486
Norfolk Southern Railway Quarterly Financial Review Fourth Quarter	0.5	0.5581395348837209	0.5185185185185186	0.5555555555555556	0.5151515151515151	0.5	0.5714285714285714	0.5526315789473684	0.5526315789473684	0.4444444444444444	0.5142857142857142
Alternative Technologies to Railroad Tank Car Placarding	0.48275862068965514	0.5476190476190477	0.43999999999999995	0.5777777777777777	0.5	0.5357142857142857	0.25	0.4571428571428572	0.5405405405405406	0.4285714285714286	0.5428571428571429
Ammonia the Story Behind the Gas	0.5185185185185186	0.6097560975609756	0.5416666666666667	0.6363636363636364	0.5333333333333333	0.52	0.6363636363636364	0.5714285714285714	0.5714285714285714	0.5833333333333333	0.5757575757575757
Chlorine	0.76	0.8	0.7	0.813953488372093	0.7037037037037037	0.6666666666666667	0.7142857142857143	0.7941176470588236	0.7941176470588236	0.7647058823529411	0.7333333333333334
Chlorines Casualties and Counsel Nations worst chlorine gas leak wreaked havoc but research reveals lessons learned	0.48275862068965514	0.5476190476190477	0.5555555555555556	0.5777777777777777	0.5	0.42307692307692313	0.4193548387096774	0.5405405405405406	0.5	0.38235294117647056	0.5428571428571429
Circular A4 Regulatory Analysis	0.4814814814814815	0.5853658536585367	0.5	0.6136363636363636	0.3928571428571429	0.5925925925925926	0.4666666666666667	0.5	0.5833333333333333	0.5555555555555556	0.5454545454545454
Data from Earl Hunter	0.52	0.7142857142857143	0.6086956521739131	0.7333333333333334	0.6333333333333333	0.64	0.7272727272727273	0.6571428571428571	0.6571428571428571	0.6285714285714286	0.6666666666666667
Element properties of chlorine	0.48	0.6904761904761905	0.5652173913043479	0.6511627906976745	0.5517241379310345	0.5416666666666667	0.6129032258064516	0.6285714285714286	0.5454545454545454	0.6	0.5483870967741935
Information extracted from the RSIAAR Railroad Tank Car Saftey Research Test Project	0.46875	0.4651162790697675	0.4285714285714286	0.5	0.5277777777777778	0.4666666666666667	0.36363636363636365	0.36111111111111116	0.4473684210526315	0.42105263157894735	0.3529411764705882
PIH Risk Analysis Presentation	0.5185185185185186	0.6428571428571428	0.5416666666666667	0.6666666666666667	0.5333333333333333	0.6296296296296297	0.5	0.5294117647058824	0.6486486486486487	0.5833333333333333	0.6176470588235294
Propulsion Resistance	0.41666666666666663	0.6585365853658536	0.5	0.6511627906976745	0.5	0.6	0.4642857142857143	0.5882352941176471	0.6285714285714286	0.6	0.5483870967741935
Risk Analysis of Rail Transport of Chlorine  Ammonia on US railroad Mainlines	0.3793103448275862	0.5116279069767442	0.5	0.5111111111111111	0.5	0.4285714285714286	0.47058823529411764	0.41666666666666663	0.45945945945945943	0.38888888888888884	0.36363636363636365
The Abbreviated Injury Scale as Measurement of Bicyclists Minor Injuries	0.3666666666666667	0.4285714285714286	0.48275862068965514	0.5	0.5277777777777778	0.5161290322580645	0.5	0.4054054054054054	0.2647058823529411	0.42105263157894735	0.3529411764705882
The Chlorine Institute	0.6296296296296297	0.65	0.6086956521739131	0.7045454545454546	0.5862068965517242	0.64	0.5	0.6176470588235294	0.6176470588235294	0.6285714285714286	0.5333333333333333
UP Down Sign Safety Pact	0.6071428571428572	0.6341463414634146	0.38095238095238093	0.6590909090909092	0.65625	0.5	0.7058823529411764	0.6388888888888888	0.6388888888888888	0.5294117647058824	0.6470588235294117
Using Agricultural Anhydrous Ammonia Safely 	0.3076923076923077	0.5121951219512195	0.375	0.5116279069767442	0.4516129032258065	0.4814814814814815	0.5151515151515151	0.4571428571428572	0.4117647058823529	0.38235294117647056	0.4545454545454546
Volpe Center research	0.5769230769230769	0.7142857142857143	0.6086956521739131	0.7045454545454546	0.5357142857142857	0.5217391304347826	0.5517241379310345	0.6944444444444444	0.6571428571428571	0.6285714285714286	0.5806451612903225
Emergency Response Planning Committee Procedures and Responsibilities	0.3928571428571429	0.5238095238095238	0.46153846153846156	0.5227272727272727	0.4193548387096774	0.4444444444444444	0.4375	0.4285714285714286	0.4722222222222222	0.4444444444444444	0.47058823529411764
The Abbreviated Injury Scale 1990 revision	0.4516129032258065	0.4883720930232558	0.5172413793103448	0.5833333333333333	0.5945945945945945	0.5483870967741935	0.48571428571428577	0.55	0.2941176470588235	0.4871794871794872	0.4722222222222222
71 FR 30019	0.9310344827586207	0.8837209302325582	0.96	0.9148936170212766	0.90625	0.962962962962963	0.9411764705882353	0.9487179487179487	0.8918918918918919	0.95	0.9444444444444444
44 FR 11034	0.9285714285714286	0.9069767441860466	0.9583333333333334	0.9130434782608696	0.9032258064516129	0.9615384615384616	0.9393939393939394	0.9473684210526316	0.9473684210526316	0.9487179487179487	0.9428571428571428
49 CFR Part 213	0.8387096774193549	0.7380952380952381	0.8076923076923077	0.782608695652174	0.7878787878787878	0.8620689655172413	0.7941176470588236	0.8205128205128205	0.85	0.825	0.8378378378378378
71 FR 12259	0.9310344827586207	0.8571428571428572	0.96	0.8913043478260869	0.90625	0.962962962962963	0.9411764705882353	0.9487179487179487	0.8918918918918919	0.95	0.9444444444444444
71 FR 67015	0.9310344827586207	0.8837209302325582	0.96	0.8913043478260869	0.90625	0.962962962962963	0.9411764705882353	0.9487179487179487	0.9210526315789473	0.95	0.9444444444444444
Statement to the docket by the Chlorine Institute Inc	0.4285714285714286	0.5121951219512195	0.5	0.5777777777777777	0.5	0.29166666666666663	0.46875	0.4571428571428572	0.4571428571428572	0.4285714285714286	0.40625
TCC Docket T 872	0.8333333333333334	0.7906976744186046	0.75	0.8297872340425532	0.8181818181818181	0.6666666666666667	0.75	0.7837837837837838	0.8157894736842105	0.7567567567567568	0.8
Docket Submission USDOTFRA docket number 25169 p1	0.4545454545454546	0.48888888888888893	0.6857142857142857	0.5510204081632653	0.625	0.5882352941176471	0.6	0.6136363636363636	0.5476190476190477	0.4878048780487805	0.6190476190476191
Economic Analysis of Federal Regulations Under Executive Order 12866	0.4242424242424242	0.5	0.5757575757575757	0.32558139534883723	0.5263157894736843	0.6756756756756757	0.5384615384615384	0.5238095238095238	0.4878048780487805	0.5	0.5952380952380952
Railroad Injury Causes Costs and Comparisons with other Transport Modes	0.5161290322580645	0.5	0.5862068965517242	0.5333333333333333	0.4375	0.4642857142857143	0.4545454545454546	0.4864864864864865	0.4	0.5	0.23333333333333328
CostBenefit Default Principles	0.4814814814814815	0.5853658536585367	0.5	0.6136363636363636	0.5	0.5384615384615384	0.5161290322580645	0.5428571428571429	0.6216216216216216	0.5142857142857142	0.5454545454545454
