	Urban ornamental plants: sensitivity to ozone and potential economic losses. U.S. EPA, Office of Air Quality Planning and Standards, Research Triangle Park. Under contract to RADIAN Corporation, contract no. 68-D3-0033,	A reassessment of the economic effects of ozone on U.S.	The benefits of pollution control: the case of ozone	Ambient ozone effects on forest trees of the eastern United States: a review.	A preliminary assessment of the Montreal process indicators of air pollution for the United States. Environmental Monitoring and Assessment, Integrated Science Assessment	Air Pollution Damage to U.S. Forests.	Impact of Air Pollutants on Southern Pine Forests,	The physiological basis of ozone injury assessment attributes in Sierran conifers. In	The need for a long term cumulative secondary ozone standard ‚Äì an ecological perspective. Environmental Management,	Implications of environmental policy for U.S. agriculture: the case of ambient ozone standards.	Effects of oxidant air pollutants on forest succession in the mixed conifer forest type of southern California. In: Air Pollutants Effects on Forest Ecosystems,	Oxidant air pollution effects on a western coniferous forest ecosystem.	Little‚Äôs range and FIA importance value database for 135 eastern U.S. tree species. Northeastern Research Station, USDA Forest Service. Available on the Internet at http://www.fs.fed.us/ne/delaware/4153/global/littlefia/index.html Pye,	A national ozone biomonitoring program‚Äî results from field surveys of ozone sensitive plants in Northeastern forests (1994-2000). Environmental Monitoring and Assessment,	Deterministic versus stochastic evaluation of the aggregate economic effects of price support programs.	Variation in plant response to ozone: a conceptual model of physiological events.	The Benefits and Costs of the Clean Air Act, 1990-2010. Prepared for U.S. Congress by U.S.	Available on the Internet at http://www.epa.gov/oar/sect812/1990-2010/chap1130.pdf U.S. Environmental Protection Agency	Guidance on the Use of Models and Other Analyses for Demonstrating Attainment of Air Quality Goals for Ozone, PM2.5, and Regional Haze. Office of Air Quality Planning and Standards. EPA-454/B-07-002. April. Available on the Internet at http://www.epa.gov/scram001/guidance/guide/final-03-pm-rh-guidance.pdf U.S. Environmental Protection Agency	Available on the Internet at http://cfpub.epa.gov/ncea/cfm/recordisplay.cfm?deid=201485 U.S. Environmental Protection Agency
Expert Judgment Assessment of the Mortality Impact of Changes	0.4651162790697675	0.5172413793103448	0.48275862068965514	0.53125	0.2068965517241379	0.5483870967741935	0.3793103448275862	0.3870967741935484	0.34375	0.3548387096774194	0.1785714285714286	0.3571428571428571	0.5	0.4473684210526315	0.3928571428571429	0.3448275862068966	0.4722222222222222	0.4473684210526315	0.5106382978723405	0.4054054054054054
Extended followup and spatial analysis of the American Cancer Society study linking particulate air pollution and mortality	0.4285714285714286	0.4642857142857143	0.48275862068965514	0.43333333333333335	0.2666666666666667	0.5	0.3793103448275862	0.3870967741935484	0.3939393939393939	0.3548387096774194	0.24137931034482762	0.2962962962962963	0.4651162790697675	0.4871794871794872	0.3928571428571429	0.3448275862068966	0.4285714285714286	0.4054054054054054	0.5106382978723405	0.4054054054054054
The need for a long term cumulative secondary ozone standard – an ecological perspective	0.46341463414634143	0.46153846153846156	0.29166666666666663	0.4285714285714286	0.31034482758620685	0.5517241379310345	0.4285714285714286	0.2592592592592593	0.2142857142857143	0.2222222222222222	0.4	0.34615384615384615	0.5348837209302326	0.4444444444444444	0.25	0.125	0.47058823529411764	0.4864864864864865	0.5434782608695652	0.4444444444444444
Impact of Air Pollutants on Southern Pine Forests	0.5121951219512195	0.34782608695652173	0.375	0.4444444444444444	0.3214285714285714	0.33333333333333337	0.0	0.33333333333333337	0.5	0.3571428571428571	0.23076923076923073	0.42307692307692313	0.475	0.5789473684210527	0.33333333333333337	0.40740740740740744	0.48484848484848486	0.4571428571428572	0.5555555555555556	0.4117647058823529
Effects of oxidant air pollutants on forest succession in the mixed conifer forest type of southern California	0.5121951219512195	0.48	0.375	0.5	0.3214285714285714	0.5714285714285714	0.3846153846153846	0.3928571428571429	0.3448275862068966	0.3571428571428571	0.16000000000000003	0.21739130434782605	0.5476190476190477	0.5	0.33333333333333337	0.28	0.48484848484848486	0.5	0.5869565217391304	0.4571428571428572
2008 National Ambient Air Quality Standards for Groundlevel Ozone Chapter 6	0.30952380952380953	0.5454545454545454	0.5151515151515151	0.47058823529411764	0.45945945945945943	0.6111111111111112	0.5142857142857142	0.4722222222222222	0.5128205128205128	0.4	0.4864864864864865	0.5	0.5510204081632653	0.4	0.5294117647058824	0.4411764705882353	0.46153846153846156	0.4390243902439024	0.4375	0.4
National Emission Standards for Hazardous Air Pollutants from the Portland Cement Manufacturing Industry	0.38095238095238093	0.4482758620689655	0.5161290322580645	0.46875	0.25806451612903225	0.4838709677419355	0.3666666666666667	0.375	0.38235294117647056	0.34375	0.29032258064516125	0.5	0.48888888888888893	0.4358974358974359	0.4838709677419355	0.3870967741935484	0.45945945945945943	0.4358974358974359	0.4347826086956522	0.39473684210526316
Proposed NO2 NAAQS Regulatory Impact Analysis	0.3902439024390244	0.5666666666666667	0.5806451612903225	0.5757575757575757	0.375	0.4482758620689655	0.3793103448275862	0.4375	0.5277777777777778	0.40625	0.40625	0.4137931034482759	0.4651162790697675	0.525	0.5	0.4516129032258065	0.4722222222222222	0.4473684210526315	0.4444444444444444	0.4054054054054054
Deterministic versus stochastic evaluation of the aggregate economic effects of price support programs	0.525	0.4347826086956522	0.31818181818181823	0.46153846153846156	0.33333333333333337	0.41666666666666663	0.33333333333333337	0.34615384615384615	0.3571428571428571	0.3076923076923077	0.4285714285714286	0.375	0.525	0.5142857142857142	0.0	0.21739130434782605	0.5454545454545454	0.5142857142857142	0.5681818181818181	0.47058823529411764
Lung Cancer Cardiopulmonary Mortality and Longterm Exposure to Fine Particulate Air Pollution	0.5227272727272727	0.6	0.5666666666666667	0.6060606060606061	0.3548387096774194	0.4285714285714286	0.4137931034482759	0.5151515151515151	0.4242424242424242	0.48484848484848486	0.2142857142857143	0.3928571428571429	0.4883720930232558	0.5128205128205128	0.48275862068965514	0.43333333333333335	0.5	0.5128205128205128	0.5625	0.4736842105263158
Air pollution and emergency department visits for asthma among Ohio Medicaid recipients	0.46341463414634143	0.46153846153846156	0.42307692307692313	0.4285714285714286	0.18518518518518523	0.5	0.37037037037037035	0.3793103448275862	0.27586206896551724	0.2857142857142857	0.3448275862068966	0.28	0.5	0.4	0.25	0.19999999999999996	0.47058823529411764	0.4444444444444444	0.4772727272727273	0.4
Ambient air pollution and respiratory emergency department visits	0.5	0.52	0.41666666666666663	0.42307692307692313	0.2962962962962963	0.43999999999999995	0.42307692307692313	0.37037037037037035	0.3793103448275862	0.2692307692307693	0.3928571428571429	0.33333333333333337	0.5	0.4411764705882353	0.30434782608695654	0.25	0.46875	0.4411764705882353	0.5454545454545454	0.3939393939393939
How sensitive is the association between ozone and daily deaths to control for temperature	0.5	0.46153846153846156	0.29166666666666663	0.3076923076923077	0.3666666666666667	0.6	0.4285714285714286	0.3214285714285714	0.33333333333333337	0.2222222222222222	0.4	0.28	0.5	0.4444444444444444	0.31999999999999995	0.19999999999999996	0.5142857142857142	0.4444444444444444	0.4772727272727273	0.4444444444444444
Ozone exposure and mortality an empiric bayes metaregression analysis	0.5121951219512195	0.5384615384615384	0.375	0.5	0.43333333333333335	0.5185185185185186	0.5	0.33333333333333337	0.4	0.2962962962962963	0.4137931034482759	0.21739130434782605	0.5476190476190477	0.5	0.4	0.28	0.5294117647058824	0.5405405405405406	0.5555555555555556	0.5
Reduction in fine particulate air pollution and mortality  Extended followup of the Harvard six cities study	0.5116279069767442	0.5357142857142857	0.4444444444444444	0.4482758620689655	0.33333333333333337	0.6129032258064516	0.4482758620689655	0.4516129032258065	0.3548387096774194	0.3666666666666667	0.31034482758620685	0.24	0.47619047619047616	0.5	0.34615384615384615	0.2962962962962963	0.5675675675675675	0.45945945945945943	0.48888888888888893	0.45945945945945943
Bayesian Hierarchical Distributed Lag Models for Summer Ozone Exposure and CardioRespiratory Mortality 	0.4	0.5588235294117647	0.48484848484848486	0.5277777777777778	0.38888888888888884	0.5833333333333333	0.5277777777777778	0.4	0.4054054054054054	0.37142857142857144	0.41666666666666663	0.4242424242424242	0.46808510638297873	0.4883720930232558	0.4545454545454546	0.4117647058823529	0.475	0.5227272727272727	0.3829787234042553	0.4883720930232558
Associations between ozone and daily mortality analysis and metaanalysis	0.5853658536585367	0.40909090909090906	0.4347826086956522	0.30434782608695654	0.48275862068965514	0.52	0.5	0.4444444444444444	0.5	0.40740740740740744	0.4642857142857143	0.34782608695652173	0.5853658536585367	0.5428571428571429	0.52	0.4	0.53125	0.5	0.5909090909090908	0.5428571428571429
A preliminary assessment of the Montreal process indicators of air pollution for the United States	0.4878048780487805	0.30434782608695654	0.4	0.34615384615384615	0.15384615384615385	0.42307692307692313	0.28	0.3571428571428571	0.3666666666666667	0.2592592592592593	0.3214285714285714	0.31999999999999995	0.4878048780487805	0.4722222222222222	0.36	0.3076923076923077	0.40625	0.4285714285714286	0.5	0.38235294117647056
Mechanistic analysis of plant responses to air pollution	0.6097560975609756	0.4545454545454546	0.25	0.5384615384615384	0.34615384615384615	0.56	0.34782608695652173	0.36	0.37037037037037035	0.3846153846153846	0.3846153846153846	0.31818181818181823	0.6097560975609756	0.5294117647058824	0.2857142857142857	0.30434782608695654	0.5161290322580645	0.5714285714285714	0.6136363636363636	0.5294117647058824
The benefits of pollution control the case of ozone and US agriculture	0.44999999999999996	0.375	0.18181818181818177	0.34615384615384615	0.3448275862068966	0.4814814814814815	0.40740740740740744	0.23076923076923073	0.3666666666666667	0.1923076923076923	0.4838709677419355	0.4444444444444444	0.5238095238095238	0.5135135135135135	0.36	0.3076923076923077	0.3548387096774194	0.4722222222222222	0.5333333333333333	0.4285714285714286
Implications of environmental policy for US agriculture the case of ambient ozone standards	0.375	0.3846153846153846	0.34615384615384615	0.2962962962962963	0.1785714285714286	0.48275862068965514	0.3571428571428571	0.18518518518518523	0.32258064516129037	0.0	0.3870967741935484	0.3928571428571429	0.41463414634146345	0.43243243243243246	0.3076923076923077	0.1923076923076923	0.4117647058823529	0.34285714285714286	0.43181818181818177	0.2941176470588235
LongTerm Ozone Exposure and Mortality	0.5348837209302326	0.6206896551724138	0.4814814814814815	0.625	0.4193548387096774	0.5517241379310345	0.5806451612903225	0.43333333333333335	0.33333333333333337	0.4516129032258065	0.4516129032258065	0.34615384615384615	0.6	0.4864864864864865	0.5	0.3928571428571429	0.5945945945945945	0.6	0.574468085106383	0.5641025641025641
A national ozone biomonitoring program—results from field surveys of ozone sensitive plants in Northeastern forests	0.4390243902439024	0.4814814814814815	0.3846153846153846	0.3928571428571429	0.33333333333333337	0.5172413793103448	0.4482758620689655	0.3448275862068966	0.3548387096774194	0.25	0.4193548387096774	0.4285714285714286	0.47619047619047616	0.32352941176470584	0.34615384615384615	0.23076923076923073	0.48571428571428577	0.45945945945945943	0.5217391304347826	0.41666666666666663
Air pollution weather and respiratory emergency room visits in two northern New England cities an ecological timeseries study	0.46341463414634143	0.5185185185185186	0.4814814814814815	0.4285714285714286	0.25	0.5	0.4285714285714286	0.43333333333333335	0.33333333333333337	0.3448275862068966	0.3448275862068966	0.34615384615384615	0.46341463414634143	0.4	0.31999999999999995	0.2692307692307693	0.5142857142857142	0.4	0.5111111111111111	0.4
Impact of ozone on the growth and yield of trees A review	0.46341463414634143	0.4	0.42307692307692313	0.3076923076923077	0.25	0.5517241379310345	0.37037037037037035	0.3214285714285714	0.33333333333333337	0.2222222222222222	0.3448275862068966	0.34615384615384615	0.46341463414634143	0.4444444444444444	0.31999999999999995	0.19999999999999996	0.47058823529411764	0.3529411764705882	0.4772727272727273	0.4
Absorption of air pollution by plants and consequences for growth	0.5238095238095238	0.5	0.33333333333333337	0.40740740740740744	0.3448275862068966	0.5357142857142857	0.40740740740740744	0.3571428571428571	0.4193548387096774	0.3214285714285714	0.3793103448275862	0.31999999999999995	0.4878048780487805	0.4722222222222222	0.36	0.3076923076923077	0.40625	0.4285714285714286	0.5333333333333333	0.4285714285714286
A metaanalysis of timeseries studies of ozone and mortality with comparison to the national morbidity mortality and air pollution study	0.4878048780487805	0.375	0.26086956521739135	0.28	0.3448275862068966	0.5357142857142857	0.34615384615384615	0.2962962962962963	0.3666666666666667	0.2592592592592593	0.3214285714285714	0.25	0.4878048780487805	0.4285714285714286	0.36	0.24	0.4545454545454546	0.4285714285714286	0.5	0.4285714285714286
Ozone and shortterm mortality in 95 US urban communities 19872000	0.48888888888888893	0.5	0.5161290322580645	0.46875	0.5	0.5757575757575757	0.5588235294117647	0.47058823529411764	0.5526315789473684	0.3939393939393939	0.5675675675675675	0.5	0.5531914893617021	0.475	0.5757575757575757	0.48484848484848486	0.41666666666666663	0.39473684210526316	0.4347826086956522	0.3513513513513513
