	Association of American Railroads (AAR), before U.S. House of Representatives Subcommittee on Railroads,	Car Performance Standards NPRM - RIA NTSB, “Derailment of Canadian Pacific Railway Freight Train 292-16 and Subsequent Release of Anhydrous Ammonia Near	Sign Safety Pact, Traffic World	Car Performance Standards NPRM - RIA “Economic Analysis of Federal Regulations Under Executive Order 12866.” http://www.whitehouse.gov/OMB/inforeg/riaguide.html,	Highway Business Report Fewer Customers,” Augusta Chronicle,	Statement to the docket by the Dow Chemical Company,	Alternative Technologies to Railroad Tank Car Placarding.” Texas Transportation Institute,	Car Performance Standards NPRM - RIA AEI-Brookings Joint Center for Regulatory Studies, “Interests of Amici Curiae: American Trucking Associations,	Abbreviated Injury Scale _____________________________________________________________________________ The Abbreviated Injury Scale (AIS) was &quot;[f]irst published in 1971 under the joint sponsorship of the American Medical Association; the Society of Automotive Engineers; and the Association for the Advancement of Automotive Medicine (formerly the American Association for Automotive Medicine).&quot; The AIS was originally developed for impact injury assessment.	(Produced by the University of California, San Francisco and The John Hopkins University for the National Highway Traffic Satey Administation and the Centers for Disease Control)	Railroad Injury: Causes, Costs, and Comparisons with other Transport Modes,” Journal of Safety Research,
Public meeting statement by Manager Technical Research	0.34883720930232553	0.33333333333333337	0.3157894736842105	0.4285714285714286	0.3191489361702128	0.4	0.33333333333333337	0.3207547169811321	0.3207547169811321	0.33333333333333337	0.31999999999999995
Statement of Edward Hamberger President and CEO Association of American Railroads before US House of Representatives Subcommittee on Railroads	0.11538461538461542	0.33333333333333337	0.36170212765957444	0.25	0.2857142857142857	0.34693877551020413	0.29824561403508776	0.29032258064516125	0.25806451612903225	0.17460317460317465	0.3220338983050848
Statement to the docket by the Dow Chemical Company	0.34883720930232553	0.4	0.368421052631579	0.46031746031746035	0.36170212765957444	0.0	0.41666666666666663	0.4339622641509434	0.3584905660377359	0.2592592592592593	0.31999999999999995
Testimony of Fred Morscheck from the McGregor Company	0.3913043478260869	0.3650793650793651	0.31707317073170727	0.3939393939393939	0.31999999999999995	0.3023255813953488	0.33333333333333337	0.3214285714285714	0.3214285714285714	0.26315789473684215	0.28301886792452835
Testimony of Joe Giesler from Terra Industries 	0.33333333333333337	0.423728813559322	0.29729729729729726	0.4838709677419355	0.4347826086956522	0.4358974358974359	0.4042553191489362	0.3076923076923077	0.34615384615384615	0.3584905660377359	0.26530612244897955
Testimony of Wolf Anderson	0.33333333333333337	0.4642857142857143	0.23529411764705888	0.5254237288135593	0.4418604651162791	0.4444444444444444	0.4545454545454546	0.3877551020408163	0.3877551020408163	0.4	0.3913043478260869
Transcript of May 31  June 1 2006 public meeting in docket no FRA 25169	0.3214285714285714	0.26027397260273977	0.4117647058823529	0.3421052631578947	0.3666666666666667	0.4339622641509434	0.3770491803278688	0.303030303030303	0.2727272727272727	0.28358208955223885	0.33333333333333337
BenefitCost Analysis of Using Type 105 Tank Cars Instead of Type 111 Tank Cars to Ship EnvironmentallySensitive Chemicals	0.2962962962962963	0.323943661971831	0.34693877551020413	0.2702702702702703	0.3448275862068966	0.33333333333333337	0.288135593220339	0.25	0.21875	0.23076923076923073	0.3114754098360656
Interests of Amici Curiae American Trucking Association Inc et al v Carol Browner Administrator of the Environmental Protection Agency et al	0.33333333333333337	0.2647058823529411	0.30434782608695654	0.2676056338028169	0.2727272727272727	0.33333333333333337	0.2142857142857143	0.180327868852459	0.21311475409836067	0.19354838709677424	0.27586206896551724
Norfolk Southern Railway Annual Report	0.3023255813953488	0.4	0.368421052631579	0.39682539682539686	0.3191489361702128	0.30000000000000004	0.375	0.3584905660377359	0.3584905660377359	0.2962962962962963	0.31999999999999995
Norfolk Southern Railway Quarterly Financial Review Fourth Quarter	0.33333333333333337	0.3870967741935484	0.35	0.3846153846153846	0.34693877551020413	0.33333333333333337	0.4	0.38181818181818183	0.38181818181818183	0.2857142857142857	0.34615384615384615
Alternative Technologies to Railroad Tank Car Placarding	0.31818181818181823	0.3770491803278688	0.28205128205128205	0.40625	0.33333333333333337	0.36585365853658536	0.1428571428571429	0.2962962962962963	0.37037037037037035	0.2727272727272727	0.37254901960784315
Ammonia the Story Behind the Gas	0.35	0.4385964912280702	0.37142857142857144	0.4666666666666667	0.36363636363636365	0.3513513513513513	0.4666666666666667	0.4	0.4	0.4117647058823529	0.4042553191489362
Chlorine	0.6129032258064516	0.6666666666666667	0.5384615384615384	0.6862745098039216	0.5428571428571429	0.5	0.5555555555555556	0.6585365853658536	0.6585365853658536	0.6190476190476191	0.5789473684210527
Chlorines Casualties and Counsel Nations worst chlorine gas leak wreaked havoc but research reveals lessons learned	0.31818181818181823	0.3770491803278688	0.3846153846153846	0.40625	0.33333333333333337	0.2682926829268293	0.26530612244897955	0.37037037037037035	0.33333333333333337	0.23636363636363633	0.37254901960784315
Circular A4 Regulatory Analysis	0.31707317073170727	0.4137931034482759	0.33333333333333337	0.4426229508196722	0.24444444444444446	0.42105263157894735	0.30434782608695654	0.33333333333333337	0.4117647058823529	0.3846153846153846	0.375
Data from Earl Hunter	0.3513513513513513	0.5555555555555556	0.4375	0.5789473684210527	0.46341463414634143	0.47058823529411764	0.5714285714285714	0.4893617021276596	0.4893617021276596	0.45833333333333337	0.5
Element properties of chlorine	0.3157894736842105	0.5272727272727273	0.3939393939393939	0.48275862068965514	0.38095238095238093	0.37142857142857144	0.4418604651162791	0.45833333333333337	0.375	0.4285714285714286	0.37777777777777777
Information extracted from the RSIAAR Railroad Tank Car Saftey Research Test Project	0.30612244897959184	0.303030303030303	0.2727272727272727	0.33333333333333337	0.3584905660377359	0.30434782608695654	0.2222222222222222	0.22033898305084743	0.288135593220339	0.2666666666666667	0.2142857142857143
PIH Risk Analysis Presentation	0.35	0.4736842105263158	0.37142857142857144	0.5	0.36363636363636365	0.45945945945945943	0.33333333333333337	0.36	0.48	0.4117647058823529	0.44680851063829785
Propulsion Resistance	0.26315789473684215	0.49090909090909096	0.33333333333333337	0.48275862068965514	0.33333333333333337	0.4285714285714286	0.3023255813953488	0.41666666666666663	0.45833333333333337	0.4285714285714286	0.37777777777777777
Risk Analysis of Rail Transport of Chlorine  Ammonia on US railroad Mainlines	0.23404255319148937	0.34375	0.33333333333333337	0.34328358208955223	0.33333333333333337	0.2727272727272727	0.3076923076923077	0.26315789473684215	0.29824561403508776	0.24137931034482762	0.2222222222222222
The Abbreviated Injury Scale as Measurement of Bicyclists Minor Injuries	0.22448979591836737	0.2727272727272727	0.31818181818181823	0.33333333333333337	0.3584905660377359	0.34782608695652173	0.33333333333333337	0.2542372881355932	0.15254237288135597	0.2666666666666667	0.2142857142857143
The Chlorine Institute	0.45945945945945943	0.4814814814814815	0.4375	0.543859649122807	0.41463414634146345	0.47058823529411764	0.33333333333333337	0.44680851063829785	0.44680851063829785	0.45833333333333337	0.36363636363636365
UP Down Sign Safety Pact	0.4358974358974359	0.4642857142857143	0.23529411764705888	0.4915254237288136	0.4883720930232558	0.33333333333333337	0.5454545454545454	0.4693877551020408	0.4693877551020408	0.36	0.4782608695652174
Using Agricultural Anhydrous Ammonia Safely 	0.18181818181818177	0.34426229508196726	0.23076923076923073	0.34375	0.29166666666666663	0.31707317073170727	0.34693877551020413	0.2962962962962963	0.2592592592592593	0.23636363636363633	0.2941176470588235
Volpe Center research	0.4054054054054054	0.5555555555555556	0.4375	0.543859649122807	0.36585365853658536	0.3529411764705882	0.38095238095238093	0.5319148936170213	0.4893617021276596	0.45833333333333337	0.40909090909090906
Emergency Response Planning Committee Procedures and Responsibilities	0.24444444444444446	0.3548387096774194	0.30000000000000004	0.3538461538461538	0.26530612244897955	0.2857142857142857	0.28	0.2727272727272727	0.3090909090909091	0.2857142857142857	0.3076923076923077
The Abbreviated Injury Scale 1990 revision	0.29166666666666663	0.32307692307692304	0.34883720930232553	0.4117647058823529	0.42307692307692313	0.37777777777777777	0.3207547169811321	0.3793103448275862	0.1724137931034483	0.3220338983050848	0.3090909090909091
71 FR 30019	0.8709677419354839	0.7916666666666666	0.9230769230769231	0.8431372549019608	0.8285714285714285	0.9285714285714286	0.8888888888888888	0.9024390243902439	0.8048780487804879	0.9047619047619048	0.8947368421052632
44 FR 11034	0.8666666666666667	0.8297872340425532	0.92	0.84	0.8235294117647058	0.9259259259259259	0.8857142857142857	0.9	0.9	0.9024390243902439	0.8918918918918919
49 CFR Part 213	0.7222222222222222	0.5849056603773585	0.6774193548387097	0.6428571428571428	0.65	0.7575757575757576	0.6585365853658536	0.6956521739130435	0.7391304347826086	0.7021276595744681	0.7209302325581395
71 FR 12259	0.8709677419354839	0.75	0.9230769230769231	0.803921568627451	0.8285714285714285	0.9285714285714286	0.8888888888888888	0.9024390243902439	0.8048780487804879	0.9047619047619048	0.8947368421052632
71 FR 67015	0.8709677419354839	0.7916666666666666	0.9230769230769231	0.803921568627451	0.8285714285714285	0.9285714285714286	0.8888888888888888	0.9024390243902439	0.8536585365853658	0.9047619047619048	0.8947368421052632
Statement to the docket by the Chlorine Institute Inc	0.2727272727272727	0.34426229508196726	0.33333333333333337	0.40625	0.33333333333333337	0.1707317073170732	0.30612244897959184	0.2962962962962963	0.2962962962962963	0.2727272727272727	0.2549019607843137
TCC Docket T 872	0.7142857142857143	0.6538461538461539	0.6	0.7090909090909091	0.6923076923076923	0.5	0.6	0.6444444444444444	0.6888888888888889	0.6086956521739131	0.6666666666666667
Docket Submission USDOTFRA docket number 25169 p1	0.2941176470588235	0.32352941176470584	0.5217391304347826	0.3802816901408451	0.4545454545454546	0.41666666666666663	0.4285714285714286	0.4426229508196722	0.3770491803278688	0.32258064516129037	0.4482758620689655
Economic Analysis of Federal Regulations Under Executive Order 12866	0.2692307692307693	0.33333333333333337	0.4042553191489362	0.19444444444444442	0.3571428571428571	0.5102040816326531	0.368421052631579	0.3548387096774194	0.32258064516129037	0.33333333333333337	0.423728813559322
Railroad Injury Causes Costs and Comparisons with other Transport Modes	0.34782608695652173	0.33333333333333337	0.41463414634146345	0.36363636363636365	0.28	0.3023255813953488	0.2941176470588235	0.3214285714285714	0.25	0.33333333333333337	0.13207547169811318
CostBenefit Default Principles	0.31707317073170727	0.4137931034482759	0.33333333333333337	0.4426229508196722	0.33333333333333337	0.368421052631579	0.34782608695652173	0.37254901960784315	0.4509803921568627	0.34615384615384615	0.375
