cite,jac,jac_match,lev,lev_match,partial,partial_match,ria,sor,sor_match,source,type,citeulike
Stack Testing Costs ParametersCosts Equation Values A Parameters 1 Cost index a,0.3225806451612904,Extended followup and spatial analysis of the American Cancer Society study linking particulate air pollution and mortality,0.7272727272727273,OAQPS Control Cost Manual Section 6 Particulate Matter Controls Chapter 2 Wet Scrubbers for Particulate Matter,0.52,Consultation of EPAs Particulate Matter National Ambient Air Quality Standards Scope and Methods Plan for Health Risk and Exposure Assesment,2060-AP90,0.1923076923076923,Extended followup and spatial analysis of the American Cancer Society study linking particulate air pollution and mortality,pc,,no match
Medical Waste Incinerator Study Emission Measurement and Continuous Monitoring,0.12,Medical Waste Incinerator Study Emission Measurement and Continuous Monitoring IIB89,0.07142857142857142,Medical Waste Incinerator Study Emission Measurement and Continuous Monitoring IIB89,0.0,Medical Waste Incinerator Study Emission Measurement and Continuous Monitoring IIB89,2060-AP90,0.06382978723404252,Medical Waste Incinerator Study Emission Measurement and Continuous Monitoring IIB89,pc,,no match
C34 Table C4d Visible Emissions Testing Costs ParametersCosts Equation Values A Parameters 1 Operating labor rate hr LR 3460 2 Capital recovery factor 5yr equipment life 7 interest CRF  i x 1  ia  1  ia  1 where i  interest rate a  equipment life 024389 B Total Capital Investment  TCI  Combination light meteranemometer 200  digital stopwatches 2 each at 25 250 C Direct Annual Costs yr 1,0.23076923076923075,Technical Support Document Social Cost of Carbon for Regulatory Impact Analysis Under Executive Order  Docket ID EPAHQOAR20090472114577 12866,0.7917737789203085,Letter from Dr Daniel Krewski to HEI�s Dr Kate Adams dated July 7 2009 regarding �EPA queries regarding HEI Report 140� Dr Adams then forwarded the letter on July 10 2009 to EPA�s Beth HassettSipple,0.5,Landfill Gas Emissions Model version 302,2060-AP90,0.13043478260869568,Technical Support Document Social Cost of Carbon for Regulatory Impact Analysis Under Executive Order  Docket ID EPAHQOAR20090472114577 12866,pc,,no match
Reporting Requirements 1 Read instructions,0.33333333333333337,Deposition and cycling of sulfur controls mercury accumulation in Isle Royal fish ,0.6428571428571429,Biosolids Frequently Asked Questions,0.48,Medical Waste Incinerator Study Emission Measurement and Continuous Monitoring IIB89,2060-AP90,0.2,Deposition and cycling of sulfur controls mercury accumulation in Isle Royal fish ,pc,,no match
State average tipping fees from BioCycle,0.28,An empirical Bayes approach to combining and comparing estimates of the value of a statistical life for environmental policy analysis ,0.6,Table on state average tipping fees,0.29000000000000004,Table on state average tipping fees,2060-AP90,0.16279069767441856,An empirical Bayes approach to combining and comparing estimates of the value of a statistical life for environmental policy analysis ,pc,,no match
Where state data unavailable NSWMA’s 2005 Tip Fee Survey regional averages were used,0.3902439024390244,EPAs Review of the National Ambient Air Quality Standards for Particulate Matter Second Draft PM Staff Paper January 2005,0.6976744186046512,Dust Disposal Cost 2005 Tip Fee Survey,0.35,Dust Disposal Cost 2005 Tip Fee Survey,2060-AP90,0.24242424242424246,EPAs Review of the National Ambient Air Quality Standards for Particulate Matter Second Draft PM Staff Paper January 2005,pc,,no match
average used All values corrected to 2008 dollars using CPI data from Bureau of Labor Statistics httpdatablsgovcgibincpicalcpl Unitspecific tipping fees are listed in Table 5 2 Hauling cost,0.3191489361702128,Technical Support Document Social Cost of Carbon for Regulatory Impact Analysis Under Executive Order  Docket ID EPAHQOAR20090472114577 12866,0.7460317460317459,Sewage Sludge Incinerator Informational Meeting with the National Association of Clean Water Agencies,0.46,Table on state average tipping fees,2060-AP90,0.18987341772151897,Technical Support Document Social Cost of Carbon for Regulatory Impact Analysis Under Executive Order  Docket ID EPAHQOAR20090472114577 12866,pc,,no match
WAEdmonds 1 FB vs ,0.6086956521739131,What determines the value of life A metaanalysis,0.775,Landfill Gas Emissions Model version 302,0.56,Landfill Gas Emissions Model version 302,2060-AP90,0.4375,What determines the value of life A metaanalysis,pc,,no match
Volume based on sludge density of 1215 lbsyd3 Pocket Ref ISBN 1885071000 page 435 c Assumed square concrete pad d Rail height of 6 feet chosen for minimal concrete surface area requirement e Based on cost of 154 per 4apos by 8apos sheet of flattened aluminum 0125 inches thick Metals Depot httpwwwmetalsdepotcomproductshrsteel2phtmlpageexpandedLimAccLimAcc f Researched concrete slab costs including installation materials and labor ranged from 3ft2 to 10ft2 For this analysis an average of 6ft2 was used g Capital Recovery Factor based on 7 interest and 15 year lifetime,0.2962962962962963,Technical Support Document Social Cost of Carbon for Regulatory Impact Analysis Under Executive Order  Docket ID EPAHQOAR20090472114577 12866,0.8213660245183888,Letter from Dr Daniel Krewski to HEI�s Dr Kate Adams dated July 7 2009 regarding �EPA queries regarding HEI Report 140� Dr Adams then forwarded the letter on July 10 2009 to EPA�s Beth HassettSipple,0.0,Pocket Ref,2060-AP90,0.17391304347826084,Technical Support Document Social Cost of Carbon for Regulatory Impact Analysis Under Executive Order  Docket ID EPAHQOAR20090472114577 12866,pc,,no match
assumed density of dewatered sludge is 1215 lbsyd3 Pocket Ref ISBN 1885071000 page 435 assumed maximum capacity of hauling vehicles 36 cu yd for 50 cu ydday Land application of biosolids process design manual,0.30000000000000004,Technical Support Document Social Cost of Carbon for Regulatory Impact Analysis Under Executive Order  Docket ID EPAHQOAR20090472114577 12866,0.7403846153846154,The influence of location source and emission type in estimates of the human health benefits of reducing a ton of air pollution,0.0,Pocket Ref,2060-AP90,0.17647058823529416,Technical Support Document Social Cost of Carbon for Regulatory Impact Analysis Under Executive Order  Docket ID EPAHQOAR20090472114577 12866,pc,,no match
Expected Upfront and Ongoing Compliance Costs Nationwide Per Facility and Per Inmate Upfront Ongoing Prisons,0.3636363636363637,CostBenefit Analysis for Crime Prevention Opportunity Costs Routine Savings and Crime Externalities,0.75,Sexual Victimization in Juvenile Facilities Reported by Youth 200809,0.48,Bulletin HIV in Prisons,1105-AB34,0.2222222222222222,CostBenefit Analysis for Crime Prevention Opportunity Costs Routine Savings and Crime Externalities,pc,,no match
Justification Analysis This Part analyzes the cost justification of the proposed standards First we conduct a breakeven analysis to demonstrate that the costs of PREA compliance are justified by the anticipated benefits Given that the proposed PREA standards are expected to cost the correctional community approximately 213 million in startup costs and that the monetary benefit of a 1 reduction in the 62 Comments of the Institute for Policy Integrity,0.3571428571428571,The Department of Justices Efforts to Prevent Staff Sexual Abuse of Federal Inmates,0.8344370860927153,Table 1 percent distribution of expenditure for the justice system by type of government fiscal year 2007,0.35,Comments on PREA Standards,1105-AB34,0.21739130434782605,The Department of Justices Efforts to Prevent Staff Sexual Abuse of Federal Inmates,pc,,no match
945am Department of Justice NPRM for PREA Standards Page 60 of 65 Initial Regulatory Impact Analysis Draft Dated January 24 2011 945am Department of Justice NPRM for PREA Standards Page 63 of 65 the Department’s internal assessment based on analyses conducted by Booz Allen of the total projected upfront and ongoing costs of the Commission’s recommended standards as compared to the Department’s proposals,0.4230769230769231,The Impact of Prisoner Sexual Violence Challenges of Implementing Public Law 10879 The Prison Rape Elimination Act of 2003,0.8300970873786407,Retaking Rationality How CostBenefit Analysis can Beter Protect the Environment and our Health,0.31000000000000005,Comments on PREA Standards,1105-AB34,0.2682926829268293,The Impact of Prisoner Sexual Violence Challenges of Implementing Public Law 10879 The Prison Rape Elimination Act of 2003,pc,,no match
Initial Regulatory Impact Analysis Draft Dated,0.3076923076923077,Little Sympathy or Remedy for Inmates Who Are Raped,0.7173913043478259,Special Report State Prison Expenditures,0.48,Prison Rape Elimination Action Cost Impact Analysis,1105-AB34,0.18181818181818174,Little Sympathy or Remedy for Inmates Who Are Raped,pc,,no match
Letter to Hon Nancy Pelosi,0.4545454545454546,Race and insurance status as risk factors for trauma mortality,0.75,The impact of health insurance on health,0.4300000000000001,Letter to the Honorable Evan Bayh An Analysis of Health Insurance Premiums Under the Patient Protection and Affordable Care Act ,0938-AR25,0.2941176470588235,Race and insurance status as risk factors for trauma mortality,pc,,no match
States as Policy Laboratories Emulating Success in the Children’s Health Insurance Program”,0.32352941176470584,Letter to the Honorable Evan Bayh An Analysis of Health Insurance Premiums Under the Patient Protection and Affordable Care Act ,0.7368421052631579,The impact of health insurance on health,0.5,The impact of health insurance on health,0938-AR25,0.19298245614035087,Letter to the Honorable Evan Bayh An Analysis of Health Insurance Premiums Under the Patient Protection and Affordable Care Act ,pc,,10.2307/369427
Active Purchasing for Health Exchanges An Analysis of Options,0.30000000000000004,The Oregon Health Insurance Experiment Evidence from the First Year,0.6721311475409836,The impact of health insurance on health,0.48,Letter to the Honorable Evan Bayh An Analysis of Health Insurance Premiums Under the Patient Protection and Affordable Care Act ,0938-AR25,0.17647058823529416,The Oregon Health Insurance Experiment Evidence from the First Year,pc,,no match
and Elizabeth McGylnn2010 Establishing State Health Insurance Exchanges,0.4193548387096774,FY 2010 SHIP Basic Grant Funding,0.6901408450704225,The impact of health insurance on health,0.45,The impact of health insurance on health,0938-AR25,0.26530612244897955,FY 2010 SHIP Basic Grant Funding,pc,,10.1093/publius/pjt01
Health Reform in Massachusetts An Update As of fall,0.25,Emergency Department Utilization After the Implementation of Massachusetts Health Reform,0.6428571428571429,Health New York Making Insurance More Affordable for LowIncome Workers,0.48,Emergency Department Utilization After the Implementation of Massachusetts Health Reform,0938-AR25,0.1428571428571429,Emergency Department Utilization After the Implementation of Massachusetts Health Reform,pc,,no match
Citations Actuarial Research Corporation quotReinsurance attachment point estimatesquot,0.21052631578947367,Reinsurance attachment point estimates,0.5632183908045977,Reinsurance attachment point estimates,0.0,Reinsurance attachment point estimates,0938-AR25,0.11764705882352945,Reinsurance attachment point estimates,pc,,no match
The Value of Health Insurance Few of the Uninsured Have Adequate Resources to Pay Potential Hospital Bills,0.0,The Value of Health Insurance Few of the Uninsured Have Adequate Resources to Pay Potential Hospital Bills,0.0,The Value of Health Insurance Few of the Uninsured Have Adequate Resources to Pay Potential Hospital Bills,0.0,The Value of Health Insurance Few of the Uninsured Have Adequate Resources to Pay Potential Hospital Bills,0938-AR25,0.0,The Value of Health Insurance Few of the Uninsured Have Adequate Resources to Pay Potential Hospital Bills,pc,Non-Government Report,no match
Number of Firms Number of Establishments Employment and Annual Payroll by Enterprise Employment Size for the United States and States Totals,0.09999999999999998,Number of Firms Number of Establishments Employment and Annual Payroll by Enterprise Employment Size for the United States and States Totals 2008,0.03448275862068965,Number of Firms Number of Establishments Employment and Annual Payroll by Enterprise Employment Size for the United States and States Totals 2008,0.0,Number of Firms Number of Establishments Employment and Annual Payroll by Enterprise Employment Size for the United States and States Totals 2008,0938-AR25,0.05263157894736848,Number of Firms Number of Establishments Employment and Annual Payroll by Enterprise Employment Size for the United States and States Totals 2008,pc,,no match
